sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-44259.675891648185,0.0,-0.0004425967589164818,0.0,0.0,1.4160358103678013e+24,1.5690574115248428e+23,9.912753242013711e+23,0.0,1416035810367.801,156905741152.48425,1189530389041.645,0.0,0.0,0.0,848892254682.5199,0.0,0.0,0.0,0.0,0.0,1416035810367.7986,156905741152.48395,575931141051.1436,0.0,0.0,0.0,-235293006692.01923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.462128572042034e-66,42876.20012744709,3315382.3518401096,851341975774.0889,0.0,0.0,0.0,0.0,8.02987192185746e-64,6303527.569445067,0.8375581638632161,754811557916.139,0.0,0.0,0.0,0.0,62589821.1057934,1416085399913.9924,156913670010.16708,575931372686.5306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1039366784195.1056,0.0,0.0,0.0,-1.2472401410341263,0.0,0.0,0.0,-848892254682.5199,0.0,0.0,0.0,754362738645.5525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235293006692.01923,0.0,0.0,0.0,-140763490656.29877,0.0,-44259.67589164665,0.0,-0.00044259675891646647,0.0,1.4160358103678013e+24,1.5690574115248428e+23,9.912753242003316e+23,0.0,1416035810367.801,156905741152.48425,1189530389040.3977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754362738645.5525,0.0,1416035810367.7986,156905741152.48395,575931141051.1436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140763490656.29877
0.02,-1,-1,1,-44240.69705696858,0.0,-0.0004424069705696857,0.0,0.0,1.4160357839224204e+24,1.569057233504719e+23,9.902882227260256e+23,0.0,1416035783922.4202,156905723350.47186,1188345867271.2305,0.0,0.0,0.0,848386940365.0422,0.0,0.0,0.0,0.0,0.0,1416035783922.417,156905723350.47153,575931137397.8737,0.0,0.0,0.0,-235972210491.6865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.564473946604636e-66,43679.59042111785,3317156.1700433227,850843740012.2805,0.0,0.0,0.0,0.0,8.02884846806752e-64,6302724.184706821,0.8519897916923874,755361143444.7197,0.0,0.0,0.0,0.0,62589821.1057934,1416085399913.9941,156913670010.16742,575931372686.5317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336819712067954.3,0.0,0.0,0.0,404.1836544815451,0.0,0.0,0.0,-848386940365.0422,0.0,0.0,0.0,754906734664.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235972210491.6865,0.0,0.0,0.0,-142492004386.4842,-2.524354896707238e-18,-44240.697056967016,-2.5243548967072378e-26,-0.00044240697056967005,0.0,1.4160357839224204e+24,1.569057233504719e+23,9.90288223062845e+23,0.0,1416035783922.4202,156905723350.47186,1188345867675.4138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754906734664.0238,0.0,1416035783922.417,156905723350.47153,575931137397.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142492004386.4842
0.04,-1,-1,1,-44221.5304870902,0.0,-0.00044221530487090194,0.0,0.0,1.4160357577364434e+24,1.569057053605093e+23,9.892913560801506e+23,0.0,1416035757736.443,156905705360.50928,1187149627296.1804,0.0,0.0,0.0,847875361493.3278,0.0,0.0,0.0,0.0,0.0,1416035757736.4402,156905705360.50888,575931133697.5876,0.0,0.0,0.0,-236656867894.73627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666811926620304e-66,44482.92284842751,3318952.092195613,850339296527.4465,0.0,0.0,0.0,0.0,8.027825088223071e-64,6301920.857833091,0.8669388763455469,755916978003.2922,0.0,0.0,0.0,0.0,62589821.105793394,1416085399913.9922,156913670010.16693,575931372686.5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728016823062984.2,0.0,0.0,0.0,2073.6201876755804,0.0,0.0,0.0,-847875361493.3278,0.0,0.0,0.0,755456921807.6705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236656867894.73627,0.0,0.0,0.0,-144238426135.4582,-2.524354896707238e-18,-44221.53048708868,-2.5243548967072378e-26,-0.0004422153048708867,0.0,1.4160357577364434e+24,1.569057053605093e+23,9.892913578081672e+23,0.0,1416035757736.443,156905705360.50928,1187149629369.8003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755456921807.6705,0.0,1416035757736.4402,156905705360.50888,575931133697.5876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144238426135.4582
0.06,-1,-1,1,-44202.17207560531,0.0,-0.000442021720756053,0.0,0.0,1.4160357317939704e+24,1.5690568717837978e+23,9.882845124273342e+23,0.0,1416035731793.97,156905687178.37973,1185941414912.8008,0.0,0.0,0.0,847357444836.0205,0.0,0.0,0.0,0.0,0.0,1416035731793.9668,156905687178.37924,575931129949.3423,0.0,0.0,0.0,-237347159872.5623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.769161990059812e-66,45286.35030483675,3320770.3730008285,849828573974.5537,0.0,0.0,0.0,0.0,8.026801587544375e-64,6301117.435929489,0.8824332140294289,756479118836.0004,0.0,0.0,0.0,0.0,62589821.1057934,1416085399913.9924,156913670010.1672,575931372686.5311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733721630801446.9,0.0,0.0,0.0,880.4659569617361,0.0,0.0,0.0,-847357444836.0205,0.0,0.0,0.0,756013356303.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237347159872.5623,0.0,0.0,0.0,-146003070459.57065,0.0,-44202.17207560388,0.0,-0.0004420217207560387,0.0,1.4160357317939704e+24,1.5690568717837978e+23,9.882845131610558e+23,0.0,1416035731793.97,156905687178.37973,1185941415793.2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756013356303.495,0.0,1416035731793.9668,156905687178.37924,575931129949.3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146003070459.57065
0.08,-1,-1,1,-44182.617560453764,0.0,-0.0004418261756045376,0.0,0.0,1.4160357060798533e+24,1.5690566879964923e+23,9.872674685909394e+23,0.0,1416035706079.853,156905668799.6492,1184720962309.127,0.0,0.0,0.0,846833108596.4242,0.0,0.0,0.0,0.0,0.0,1416035706079.8508,156905668799.6487,575931126152.1482,0.0,0.0,0.0,-238043272439.4453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.871543469159113e-66,46090.02454202687,3322611.2973802867,849311492496.4113,0.0,0.0,0.0,0.0,8.025777772709057e-64,6300313.767245385,0.8985026152182968,757047631990.2646,0.0,0.0,0.0,0.0,62589821.10579342,1416085399913.9932,156913670010.16742,575931372686.5317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417781670706657.2,0.0,0.0,0.0,501.3380048479885,0.0,0.0,0.0,-846833108596.4242,0.0,0.0,0.0,756576103135.2982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238043272439.4453,0.0,0.0,0.0,-147786266476.98148,-2.524354896707238e-18,-44182.61756045236,-2.5243548967072378e-26,-0.0004418261756045235,0.0,1.4160357060798533e+24,1.5690566879964923e+23,9.872674690087217e+23,0.0,1416035706079.853,156905668799.6492,1184720962810.4658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756576103135.2982,0.0,1416035706079.8508,156905668799.6487,575931126152.1482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147786266476.98148
0.1,-1,-1,1,-44162.86242999566,0.0,-0.0004416286242999565,0.0,0.0,1.416035680579473e+24,1.5690565021966016e+23,9.862399900817988e+23,0.0,1416035680579.4727,156905650219.66013,1183487988098.1582,0.0,0.0,0.0,846302262870.0199,0.0,0.0,0.0,0.0,0.0,1416035680579.4697,156905650219.65964,575931122304.9515,0.0,0.0,0.0,-238745397076.81354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.973976302890419e-66,46894.10207463977,3324475.1788201886,848787964185.5497,0.0,0.0,0.0,0.0,8.024753444327412e-64,6299509.695267199,0.9151791431058208,757622591750.8422,0.0,0.0,0.0,0.0,62589821.1057934,1416085399913.993,156913670010.16708,575931372686.5314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172518467139452.75,0.0,0.0,0.0,207.02216056734324,0.0,0.0,0.0,-846302262870.0199,0.0,0.0,0.0,757145235440.2654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238745397076.81354,0.0,0.0,0.0,-149588369440.03665,-2.524354896707238e-18,-44162.86242999413,-2.5243548967072378e-26,-0.00044162862429994123,0.0,1.416035680579473e+24,1.5690565021966016e+23,9.862399902543175e+23,0.0,1416035680579.4727,156905650219.66013,1183487988305.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757145235440.2654,0.0,1416035680579.4697,156905650219.65964,575931122304.9515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149588369440.03665
0.12,-1,-1,1,-44142.901941636286,0.0,-0.0004414290194163628,0.0,0.0,1.4160356552787614e+24,1.5690563143352284e+23,9.852018303262598e+23,0.0,1416035655278.761,156905631433.5228,1182242196391.5115,0.0,0.0,0.0,845764809298.2146,0.0,0.0,0.0,0.0,0.0,1416035655278.7576,156905631433.52228,575931118406.6433,0.0,0.0,0.0,-239453731313.34753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076480740235526e-66,47698.74185102996,3326362.360605738,848257892743.8912,0.0,0.0,0.0,0.0,8.023728399909583e-64,6298705.061047669,0.9324973891599175,758204080955.1577,0.0,0.0,0.0,0.0,62589821.10579341,1416085399913.993,156913670010.1672,575931372686.5309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153433052692562.38,0.0,0.0,0.0,184.1196632310748,0.0,0.0,0.0,-845764809298.2146,0.0,0.0,0.0,757720834837.3083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239453731313.34753,0.0,0.0,0.0,-151409756668.32123,-2.524354896707238e-18,-44142.90194163496,-2.5243548967072378e-26,-0.00044142901941634957,0.0,1.4160356552787614e+24,1.5690563143352284e+23,9.852018304796931e+23,0.0,1416035655278.761,156905631433.5228,1182242196575.6313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757720834837.3083,0.0,1416035655278.7576,156905631433.52228,575931118406.6433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151409756668.32123
0.14,-1,-1,1,-44122.731108555934,0.0,-0.00044122731108555926,0.0,0.0,1.4160356301641194e+24,1.569056124360985e+23,9.841527300185399e+23,0.0,1416035630164.1191,156905612436.09845,1180983276022.2476,0.0,0.0,0.0,845220640881.3473,0.0,0.0,0.0,0.0,0.0,1416035630164.1165,156905612436.09793,575931114456.0511,0.0,0.0,0.0,-240168479315.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.179077457472445e-66,48504.106173935026,3328273.2165188855,847721173301.6868,0.0,0.0,0.0,0.0,8.02270243269279e-64,6297899.702285198,0.9504948093965233,758792191129.8934,0.0,0.0,0.0,0.0,62589821.10579341,1416085399913.993,156913670010.16742,575931372686.5315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136914760926738.42,0.0,0.0,0.0,164.29771311208606,0.0,0.0,0.0,-845220640881.3473,0.0,0.0,0.0,758302991556.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240168479315.1511,0.0,0.0,0.0,-153250829825.59232,-2.524354896707238e-18,-44122.73110855451,-2.5243548967072378e-26,-0.000441227311085545,0.0,1.4160356301641194e+24,1.569056124360985e+23,9.841527301554549e+23,0.0,1416035630164.1191,156905612436.09845,1180983276186.5454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758302991556.0862,0.0,1416035630164.1165,156905612436.09793,575931114456.0511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153250829825.59232
0.16,-1,-1,1,-44102.34468624281,0.0,-0.000441023446862428,0.0,0.0,1.4160356052223977e+24,1.569055932219883e+23,9.830924163937141e+23,0.0,1416035605222.3975,156905593221.98828,1179710899672.4565,0.0,0.0,0.0,844669641741.3998,0.0,0.0,0.0,0.0,0.0,1416035605222.3943,156905593221.98776,575931110451.9369,0.0,0.0,0.0,-240889852520.87964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.281787551016497e-66,49310.36064427237,3330208.1517393375,847177692186.5831,0.0,0.0,0.0,0.0,8.021675331712895e-64,6297093.453379999,0.9692120424189391,759387022678.7751,0.0,0.0,0.0,0.0,62589821.10579338,1416085399913.9924,156913670010.16757,575931372686.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122624543754694.4,0.0,0.0,0.0,147.14945250563323,0.0,0.0,0.0,-844669641741.3998,0.0,0.0,0.0,758891804623.4332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240889852520.87964,0.0,0.0,0.0,-155112015255.7634,-1.262177448353619e-18,-44102.344686241406,-1.2621774483536189e-26,-0.00044102344686241396,0.0,1.4160356052223977e+24,1.569055932219883e+23,9.830924165163386e+23,0.0,1416035605222.3975,156905593221.98828,1179710899819.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758891804623.4332,0.0,1416035605222.3943,156905593221.98776,575931110451.9369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155112015255.7634
