sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-54580.0039016195,0.0,-0.0005458000390161949,0.0,0.0,1.9989529721168127e+23,1.4160297833700358e+24,1.8694939878022503e+24,0.0,199895297211.6812,1416029783370.0354,1790690815778.7852,0.0,0.0,0.0,1347833842249.9907,0.0,0.0,0.0,0.0,0.0,199895297211.68073,1416029783370.033,507917733701.72784,0.0,0.0,0.0,-65060760172.93436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53905283006.4526,0.0,0.0,0.0,0.05163305997848511,0.0,0.0,0.0,-1347833842249.9907,0.0,0.0,0.0,2136939283049.8813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65060760172.93436,0.0,0.0,0.0,-854166200972.7711,1.0008364586200487e-17,-54580.0039016171,1.0008364586200485e-25,-0.0005458000390161709,0.0,1.9989529721168127e+23,1.4160297833700358e+24,1.8694939878023045e+24,0.0,199895297211.6812,1416029783370.0354,1790690815778.8372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136939283049.8813,0.0,199895297211.68073,1416029783370.033,507917733701.72784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854166200972.7711,0.0,0.0,0.0,0.0,5.1249411172300626e-64,14386079.117289437,4023080.256985779,1351809415845.567,0.0,0.0,0.0,0.0,4.6509170607565535e-63,1180330.3612934547,36509806.11938246,2146811290014.1072,0.0,0.0,0.0,0.0,62589837.950572275,199906186802.01608,1416085781024.5908,507918434354.7697
0.02,-1,-1,1,-54567.97693771079,0.0,-0.0005456797693771078,0.0,0.0,1.998952771642043e+23,1.4160297766642456e+24,1.8687103189006143e+24,0.0,199895277164.20422,1416029776664.2454,1789940180198.2874,0.0,0.0,0.0,1347542363719.781,0.0,0.0,0.0,0.0,0.0,199895277164.20355,1416029776664.2441,507917729842.9438,0.0,0.0,0.0,-65519913364.4373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2324064782128571.0,0.0,0.0,0.0,-2226.100478410721,0.0,0.0,0.0,-1347542363719.781,0.0,0.0,0.0,2137626558410.4578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65519913364.4373,0.0,0.0,0.0,-855604110281.215,1.2532719482907725e-17,-54567.97693770815,1.2532719482907723e-25,-0.0005456797693770814,0.0,1.998952771642043e+23,1.4160297766642456e+24,1.8687103165765498e+24,0.0,199895277164.20422,1416029776664.2454,1789940177972.1873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2137626558410.4578,0.0,199895277164.20355,1416029776664.2441,507917729842.9438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-855604110281.215,0.0,0.0,0.0,0.0,5.124887779926386e-64,14412293.756135153,4023038.3761006924,1351546097870.2646,0.0,0.0,0.0,0.0,4.650925950306988e-63,1203881.294770279,36509875.91915805,2147515223806.799,0.0,0.0,0.0,0.0,62589837.950572275,199906186802.01624,1416085781024.5906,507918434354.7695
0.04,-1,-1,1,-54555.80491192897,0.0,-0.0005455580491192896,0.0,0.0,1.9989525696630168e+23,1.4160297699020808e+24,1.8679171983461155e+24,0.0,199895256966.30164,1416029769902.0806,1789180491372.32,0.0,0.0,0.0,1347248212964.9744,0.0,0.0,0.0,0.0,0.0,199895256966.30106,1416029769902.0789,507917725939.4062,0.0,0.0,0.0,-65985447532.05891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5550834390288286.0,0.0,0.0,0.0,-5316.854842782021,0.0,0.0,0.0,-1347248212964.9744,0.0,0.0,0.0,2138316231619.6106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65985447532.05891,0.0,0.0,0.0,-857053471503.5504,8.746187137846868e-18,-54555.80491192652,8.746187137846866e-26,-0.0005455580491192651,0.0,1.9989525696630168e+23,1.4160297699020808e+24,1.8679171927952823e+24,0.0,199895256966.30164,1416029769902.0806,1789180486055.4666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138316231619.6106,0.0,199895256966.30106,1416029769902.0789,507917725939.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-857053471503.5504,0.0,0.0,0.0,0.0,5.1248340322050836e-64,14438436.893493952,4022996.1729250057,1351280499460.7678,0.0,0.0,0.0,0.0,4.6509349082603595e-63,1228174.982734534,36509946.25607198,2148221687565.3284,0.0,0.0,0.0,0.0,62589837.9505723,199906186802.0163,1416085781024.5916,507918434354.7702
0.06,-1,-1,1,-54543.48344321938,0.0,-0.0005454348344321937,0.0,0.0,1.998952366153478e+23,1.4160297630819873e+24,1.8671143453040313e+24,0.0,199895236615.34778,1416029763081.987,1788411480303.9453,0.0,0.0,0.0,1346951335588.555,0.0,0.0,0.0,0.0,0.0,199895236615.34714,1416029763081.9854,507917721989.89984,0.0,0.0,0.0,-66457577274.51121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6599897619029976e+16,0.0,0.0,0.0,-15900.176413089037,0.0,0.0,0.0,-1346951335588.555,0.0,0.0,0.0,2139008342953.0483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66457577274.51121,0.0,0.0,0.0,-858514600539.1819,1.0008364586200487e-17,-54543.48344321708,1.0008364586200485e-25,-0.0005454348344321707,0.0,1.998952366153478e+23,1.4160297630819873e+24,1.867114328704133e+24,0.0,199895236615.34778,1416029763081.987,1788411464403.7683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139008342953.0483,0.0,199895236615.34714,1416029763081.9854,507917721989.89984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-858514600539.1819,0.0,0.0,0.0,0.0,5.1247798628955574e-64,14464499.821141813,4022953.6386874607,1351012579402.6765,0.0,0.0,0.0,0.0,4.650943936478439e-63,1253233.2055643778,36510017.144742124,2148930725208.5593,0.0,0.0,0.0,0.0,62589837.95057229,199906186802.01642,1416085781024.5908,507918434354.7701
0.08,-1,-1,1,-54531.00818820466,0.0,-0.0005453100818820464,0.0,0.0,1.9989521610789095e+23,1.416029756202368e+24,1.866301463612793e+24,0.0,199895216107.8909,1416029756202.3677,1787632863315.4382,0.0,0.0,0.0,1346651665795.831,0.0,0.0,0.0,0.0,0.0,199895216107.89035,1416029756202.365,507917717993.19366,0.0,0.0,0.0,-66936520473.586365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6437354863066376e+16,0.0,0.0,0.0,-15744.485182106495,0.0,0.0,0.0,-1346651665795.831,0.0,0.0,0.0,2139702960010.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66936520473.586365,0.0,0.0,0.0,-859987830433.0464,1.2532719482907725e-17,-54531.00818820236,1.2532719482907723e-25,-0.0005453100818820235,0.0,1.9989521610789095e+23,1.416029756202368e+24,1.8663014471754397e+24,0.0,199895216107.8909,1416029756202.3677,1787632847570.9543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139702960010.806,0.0,199895216107.89035,1416029756202.365,507917717993.19366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-859987830433.0464,0.0,0.0,0.0,0.0,5.124725259284373e-64,14490475.429945063,4022910.763406042,1350742285283.8494,0.0,0.0,0.0,0.0,4.650953037080116e-63,1279076.6174450584,36510088.60180483,2149642408179.7031,0.0,0.0,0.0,0.0,62589837.95057228,199906186802.01608,1416085781024.591,507918434354.7698
0.1,-1,-1,1,-54518.374117992375,0.0,-0.0005451837411799236,0.0,0.0,1.9989519544148096e+23,1.41602974926151e+24,1.8654782334630187e+24,0.0,199895195441.4809,1416029749261.5098,1786844334078.0662,0.0,0.0,0.0,1346349148878.106,0.0,0.0,0.0,0.0,0.0,199895195441.48035,1416029749261.5078,507917713947.947,0.0,0.0,0.0,-67422528747.98708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6262398517824254e+16,0.0,0.0,0.0,-15576.903621196747,0.0,0.0,0.0,-1346349148878.106,0.0,0.0,0.0,2140400113358.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67422528747.98708,0.0,0.0,0.0,-861473508805.2378,1.0008364586200487e-17,-54518.374117990104,1.0008364586200485e-25,-0.000545183741179901,0.0,1.9989519544148096e+23,1.41602974926151e+24,1.86547821720062e+24,0.0,199895195441.4809,1416029749261.5098,1786844318501.1624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140400113358.453,0.0,199895195441.48035,1416029749261.5078,507917713947.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-861473508805.2378,0.0,0.0,0.0,0.0,5.124670209221739e-64,14516355.243355123,4022867.537540539,1350469577850.5737,0.0,0.0,0.0,0.0,4.6509622120903843e-63,1305724.065241752,36510160.643159956,2150356771058.4172,0.0,0.0,0.0,0.0,62589837.95057227,199906186802.0161,1416085781024.5903,507918434354.7694
0.12,-1,-1,1,-54505.5759855875,0.0,-0.000545055759855875,0.0,0.0,1.9989517461331804e+23,1.4160297422576172e+24,1.86464431295603e+24,0.0,199895174613.318,1416029742257.617,1786045565104.912,0.0,0.0,0.0,1346043724367.3008,0.0,0.0,0.0,0.0,0.0,199895174613.31738,1416029742257.6147,507917709852.7652,0.0,0.0,0.0,-67915869115.1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.607536509420094e+16,0.0,0.0,0.0,-15397.754056602716,0.0,0.0,0.0,-1346043724367.3008,0.0,0.0,0.0,2141099844062.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67915869115.1539,0.0,0.0,0.0,-862972004208.3,1.1270542034554106e-17,-54505.575985585216,1.1270542034554104e-25,-0.0005450557598558521,0.0,1.9989517461331804e+23,1.4160297422576172e+24,1.864644296880665e+24,0.0,199895174613.318,1416029742257.617,1786045549707.1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141099844062.6934,0.0,199895174613.31738,1416029742257.6147,507917709852.7652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-862972004208.3,0.0,0.0,0.0,0.0,5.124614699360383e-64,14542132.017224275,4022823.9506107857,1350194413033.827,0.0,0.0,0.0,0.0,4.6509714637337516e-63,1333192.0526067177,36510233.28627437,2151073859170.6877,0.0,0.0,0.0,0.0,62589837.95057229,199906186802.01624,1416085781024.5903,507918434354.7697
0.14,-1,-1,1,-54492.60814503495,0.0,-0.0005449260814503494,0.0,0.0,1.998951536206604e+23,1.4160297351887863e+24,1.8637993341961617e+24,0.0,199895153620.66034,1416029735188.786,1785236204007.9004,0.0,0.0,0.0,1345735330926.4583,0.0,0.0,0.0,0.0,0.0,199895153620.6598,1416029735188.784,507917705706.17474,0.0,0.0,0.0,-68416832624.73324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5876516285920746e+16,0.0,0.0,0.0,-15207.287151098251,0.0,0.0,0.0,-1345735330926.4583,0.0,0.0,0.0,2141802189351.6172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68416832624.73324,0.0,0.0,0.0,-864483706257.1799,1.2532719482907725e-17,-54492.60814503235,1.2532719482907723e-25,-0.0005449260814503234,0.0,1.998951536206604e+23,1.4160297351887863e+24,1.863799318319645e+24,0.0,199895153620.66034,1416029735188.786,1785236188800.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141802189351.6172,0.0,199895153620.6598,1416029735188.784,507917705706.17474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-864483706257.1799,0.0,0.0,0.0,0.0,5.1245587155698285e-64,14567799.363922765,4022779.99152142,1349916747370.1536,0.0,0.0,0.0,0.0,4.650980794365329e-63,1361493.8916685574,36510306.54963969,2151793714251.4307,0.0,0.0,0.0,0.0,62589837.950572304,199906186802.01614,1416085781024.591,507918434354.76996
0.16,-1,-1,1,-54479.464499949725,0.0,-0.0005447946449994972,0.0,0.0,1.9989513246085675e+23,1.4160297280529983e+24,1.862942899937036e+24,0.0,199895132460.8567,1416029728052.998,1784415870285.4382,0.0,0.0,0.0,1345423906589.7415,0.0,0.0,0.0,0.0,0.0,199895132460.85626,1416029728052.995,507917701506.6185,0.0,0.0,0.0,-68925737810.92241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5666173954055212e+16,0.0,0.0,0.0,-15005.811198621988,0.0,0.0,0.0,-1345423906589.7415,0.0,0.0,0.0,2142507181473.8677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68925737810.92241,0.0,0.0,0.0,-866009027700.861,1.0008364586200487e-17,-54479.46449994724,1.0008364586200485e-25,-0.0005447946449994723,0.0,1.9989513246085675e+23,1.4160297280529983e+24,1.8629428842708624e+24,0.0,199895132460.8567,1416029728052.998,1784415855279.6272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142507181473.8677,0.0,199895132460.85626,1416029728052.995,507917701506.6185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-866009027700.861,0.0,0.0,0.0,0.0,5.124502242855464e-64,14593352.100310922,4022735.6484985244,1349636538453.25,0.0,0.0,0.0,0.0,4.650990206484206e-63,1390638.7192837007,36510380.45287849,2152516373328.6814,0.0,0.0,0.0,0.0,62589837.95057227,199906186802.0158,1416085781024.5908,507918434354.7695
