sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,avg:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,avg:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,avg:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-45448.021419974924,0.0,-0.0004544802141997492,0.0,1.4160272987064003e+24,0.0,8.575024751854822e+23,1.1343653073466456e+23,1416027298706.4,0.0,1307178551649.3887,113436530734.66454,0.0,0.0,823943870833.8572,0.0,0.0,0.0,0.0,0.0,1416027298706.398,0.0,644700556426.3464,113436530734.6642,0.0,0.0,-161465875610.81616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46987171187.70967,0.0,0.0,0.0,0.07162734121084213,0.0,0.0,0.0,-823943870833.8572,0.0,0.0,0.0,2330189094443.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161465875610.81616,0.0,0.0,0.0,-1667711099220.7642,0.0,7.011540555536172e-18,-45448.02141997274,7.011540555536171e-26,-0.00045448021419972734,1.4160272987064003e+24,0.0,8.575024751855296e+23,1.1343653073466456e+23,1416027298706.4,0.0,1307178551649.461,113436530734.66454,0.0,0.0,0.0,0.0,0.0,0.0,2330189094443.876,0.0,1416027298706.398,0.0,644700556426.3464,113436530734.6642,0.0,0.0,0.0,0.0,0.0,0.0,-1667711099220.7642,0.0,0.0,0.0,0.0,0.0,642376.0667265382,8.183108412003435e-65,825917474352.56,8183819.311859836,0.0,0.0,0.0,0.0,37861780.940234154,4.8231482092107044e-63,2349499354563.932,79.33413493161066,0.0,0.0,0.0,0.0,1416085781024.6035,62589837.950572334,644702354036.8236,113442259059.83711
0.02,-1,-1,1,-45434.29319573341,0.0,-0.000454342931957334,0.0,1.4160272945049605e+24,0.0,8.569403984618252e+23,1.1343651753084372e+23,1416027294504.9602,0.0,1306321720726.0881,113436517530.84369,0.0,0.0,823546168192.6245,0.0,0.0,0.0,0.0,0.0,1416027294504.9595,0.0,644700552841.0217,113436517530.84343,0.0,0.0,-161925000307.55865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80183428280994.55,0.0,0.0,0.0,-122.2317843735218,0.0,0.0,0.0,-823546168192.6245,0.0,0.0,0.0,2330418823265.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161925000307.55865,0.0,0.0,0.0,-1668797655502.5999,0.0,5.749363107182553e-18,-45434.29319573107,5.749363107182552e-26,-0.00045434293195731063,1.4160272945049605e+24,0.0,8.569403983816414e+23,1.1343651753084372e+23,1416027294504.9602,0.0,1306321720603.8557,113436517530.84369,0.0,0.0,0.0,0.0,0.0,0.0,2330418823265.433,0.0,1416027294504.9595,0.0,644700552841.0217,113436517530.84343,0.0,0.0,0.0,0.0,0.0,0.0,-1668797655502.5999,0.0,0.0,0.0,0.0,0.0,642396.6964328083,8.183371214368072e-65,825525403596.6346,8188904.608933504,0.0,0.0,0.0,0.0,37861609.03118101,4.823126309014084e-63,2349741689353.1343,80.54174145504332,0.0,0.0,0.0,0.0,1416085781024.6035,62589837.95057232,644702354036.8237,113442259059.83746
0.04,-1,-1,1,-45420.42180325442,0.0,-0.00045420421803254416,0.0,1.4160272902633233e+24,0.0,8.563724600195916e+23,1.1343650419455365e+23,1416027290263.323,0.0,1305455954186.832,113436504194.55362,0.0,0.0,823144897331.0897,0.0,0.0,0.0,0.0,0.0,1416027290263.321,0.0,644700549215.7706,113436504194.55328,0.0,0.0,-162389492360.02866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243491295827213.53,0.0,0.0,0.0,-371.1786363646388,0.0,0.0,0.0,-823144897331.0897,0.0,0.0,0.0,2330649686242.8237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162389492360.02866,0.0,0.0,0.0,-1669894281642.939,0.0,5.749363107182553e-18,-45420.42180325234,5.749363107182552e-26,-0.00045420421803252334,1.4160272902633233e+24,0.0,8.563724597761003e+23,1.1343650419455365e+23,1416027290263.323,0.0,1305455953815.653,113436504194.55362,0.0,0.0,0.0,0.0,0.0,0.0,2330649686242.8237,0.0,1416027290263.321,0.0,644700549215.7706,113436504194.55328,0.0,0.0,0.0,0.0,0.0,0.0,-1669894281642.939,0.0,0.0,0.0,0.0,0.0,642417.4882119346,8.183636081360744e-65,825129830471.5911,8194035.270441078,0.0,0.0,0.0,0.0,37861435.771561146,4.823104236765128e-63,2349985275127.0312,81.79171764453348,0.0,0.0,0.0,0.0,1416085781024.603,62589837.950572304,644702354036.8237,113442259059.83727
0.06,-1,-1,1,-45406.403514237136,0.0,-0.00045406403514237133,0.0,1.4160272859804332e+24,0.0,8.557985070124926e+23,1.1343649072241365e+23,1416027285980.4329,0.0,1304581019032.4207,113436490722.41362,0.0,0.0,822739967732.9907,0.0,0.0,0.0,0.0,0.0,1416027285980.4314,0.0,644700545549.5294,113436490722.41328,0.0,0.0,-162859494250.09998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22135193394063.816,0.0,0.0,0.0,-33.742934718728065,0.0,0.0,0.0,-822739967732.9907,0.0,0.0,0.0,2330881714362.9805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162859494250.09998,0.0,0.0,0.0,-1671001240913.834,0.0,7.011540555536172e-18,-45406.40351423492,7.011540555536171e-26,-0.00045406403514234905,1.4160272859804332e+24,0.0,8.557985069903577e+23,1.1343649072241365e+23,1416027285980.4329,0.0,1304581018998.678,113436490722.41362,0.0,0.0,0.0,0.0,0.0,0.0,2330881714362.9805,0.0,1416027285980.4314,0.0,644700545549.5294,113436490722.41328,0.0,0.0,0.0,0.0,0.0,0.0,-1671001240913.834,0.0,0.0,0.0,0.0,0.0,642438.4463994952,8.183903068206942e-65,824730666210.3086,8199212.443869677,0.0,0.0,0.0,0.0,37861261.12524607,4.8230819878617207e-63,2350230145926.466,83.08636772404498,0.0,0.0,0.0,0.0,1416085781024.6038,62589837.95057232,644702354036.8236,113442259059.83739
0.08,-1,-1,1,-45392.234424837276,0.0,-0.0004539223442483727,0.0,1.4160272816551796e+24,0.0,8.552183798406498e+23,1.1343647711089574e+23,1416027281655.1792,0.0,1303696671968.4685,113436477110.8957,0.0,0.0,822331284982.5349,0.0,0.0,0.0,0.0,0.0,1416027281655.1777,0.0,644700541841.184,113436477110.89536,0.0,0.0,-163335154855.25165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21832396956458.086,0.0,0.0,0.0,-33.28135120123625,0.0,0.0,0.0,-822331284982.5349,0.0,0.0,0.0,2331114939941.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163335154855.25165,0.0,0.0,0.0,-1672118809847.2637,0.0,7.642629279712982e-18,-45392.23442483507,7.64262927971298e-26,-0.00045392234424835063,1.4160272816551796e+24,0.0,8.552183798188168e+23,1.1343647711089574e+23,1416027281655.1792,0.0,1303696671935.186,113436477110.8957,0.0,0.0,0.0,0.0,0.0,0.0,2331114939941.2656,0.0,1416027281655.1777,0.0,644700541841.184,113436477110.89536,0.0,0.0,0.0,0.0,0.0,0.0,-1672118809847.2637,0.0,0.0,0.0,0.0,0.0,642459.5756059258,8.184172233636685e-65,824327818224.8335,8204437.325728912,0.0,0.0,0.0,0.0,37861085.053816594,4.8230595574096893e-63,2350476337274.4307,84.42816651458426,0.0,0.0,0.0,0.0,1416085781024.6028,62589837.95057231,644702354036.823,113442259059.83699
0.1,-1,-1,1,-45377.9104710598,0.0,-0.0004537791047105979,0.0,1.4160272772864135e+24,0.0,8.546319120269055e+23,1.134364633563171e+23,1416027277286.413,0.0,1302802659216.851,113436463356.31706,0.0,0.0,821918750473.2064,0.0,0.0,0.0,0.0,0.0,1416027277286.4111,0.0,644700538089.5765,113436463356.3167,0.0,0.0,-163816629345.93225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21488049209386.156,0.0,0.0,0.0,-32.75642678141594,0.0,0.0,0.0,-821918750473.2064,0.0,0.0,0.0,2331349396777.6626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163816629345.93225,0.0,0.0,0.0,-1673247275683.1443,0.0,5.749363107182553e-18,-45377.91047105754,5.749363107182552e-26,-0.0004537791047105753,1.4160272772864135e+24,0.0,8.546319120054179e+23,1.134364633563171e+23,1416027277286.413,0.0,1302802659184.0955,113436463356.31706,0.0,0.0,0.0,0.0,0.0,0.0,2331349396777.6626,0.0,1416027277286.4111,0.0,644700538089.5765,113436463356.3167,0.0,0.0,0.0,0.0,0.0,0.0,-1673247275683.1443,0.0,0.0,0.0,0.0,0.0,642480.8805737277,8.184443638065944e-65,823921189813.7561,8209711.16542122,0.0,0.0,0.0,0.0,37860907.51775299,4.823036940374361e-63,2350723886302.7515,85.81977662931448,0.0,0.0,0.0,0.0,1416085781024.6035,62589837.95057233,644702354036.8235,113442259059.8371
0.12,-1,-1,1,-45363.42740485265,0.0,-0.0004536342740485264,0.0,1.4160272728729314e+24,0.0,8.540389296424297e+23,1.1343644945482868e+23,1416027272872.9312,0.0,1301898715640.0994,113436449454.82866,0.0,0.0,821502261181.2242,0.0,0.0,0.0,0.0,0.0,1416027272872.9297,0.0,644700534293.4913,113436449454.8283,0.0,0.0,-164304079834.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21105967377648.33,0.0,0.0,0.0,-32.17398044466972,0.0,0.0,0.0,-821502261181.2242,0.0,0.0,0.0,2331585120204.2983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164304079834.61722,0.0,0.0,0.0,-1674386938889.8655,0.0,5.749363107182553e-18,-45363.42740485048,5.749363107182552e-26,-0.0004536342740485047,1.4160272728729314e+24,0.0,8.540389296213227e+23,1.1343644945482868e+23,1416027272872.9312,0.0,1301898715607.9238,113436449454.82866,0.0,0.0,0.0,0.0,0.0,0.0,2331585120204.2983,0.0,1416027272872.9297,0.0,644700534293.4913,113436449454.8283,0.0,0.0,0.0,0.0,0.0,0.0,-1674386938889.8655,0.0,0.0,0.0,0.0,0.0,642502.3662749892,8.184717344838599e-65,823510679943.4233,8215035.26820529,0.0,0.0,0.0,0.0,37860728.4756224,4.8230141314770947e-63,2350972831828.966,87.26406620988836,0.0,0.0,0.0,0.0,1416085781024.6035,62589837.950572304,644702354036.8237,113442259059.83737
0.14,-1,-1,1,-45348.780785363684,0.0,-0.0004534878078536367,0.0,1.4160272684134803e+24,0.0,8.534392508645119e+23,1.1343643540240577e+23,1416027268413.48,0.0,1300984564067.2961,113436435402.40573,0.0,0.0,821081709393.5994,0.0,0.0,0.0,0.0,0.0,1416027268413.478,0.0,644700530451.6626,113436435402.40543,0.0,0.0,-164797675777.96722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20702168711695.78,0.0,0.0,0.0,-31.558428920805454,0.0,0.0,0.0,-821081709393.5994,0.0,0.0,0.0,2331822147182.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164797675777.96722,0.0,0.0,0.0,-1675538113598.0762,0.0,5.749363107182553e-18,-45348.78078536133,5.749363107182552e-26,-0.00045348780785361325,1.4160272684134803e+24,0.0,8.534392508438091e+23,1.1343643540240577e+23,1416027268413.48,0.0,1300984564035.7368,113436435402.40573,0.0,0.0,0.0,0.0,0.0,0.0,2331822147182.15,0.0,1416027268413.478,0.0,644700530451.6626,113436435402.40543,0.0,0.0,0.0,0.0,0.0,0.0,-1675538113598.0762,0.0,0.0,0.0,0.0,0.0,642524.0379062352,8.184993420159716e-65,823096182980.7576,8220410.99881181,0.0,0.0,0.0,0.0,37860547.88412178,4.8229911252007896e-63,2351223214458.1504,88.76412962057566,0.0,0.0,0.0,0.0,1416085781024.605,62589837.95057235,644702354036.8246,113442259059.83745
0.16,-1,-1,1,-45333.965966249896,0.0,-0.00045333965966249886,0.0,1.4160272639067352e+24,0.0,8.528326854570096e+23,1.1343642119483822e+23,1416027263906.7349,0.0,1300059914502.0713,113436421194.8382,0.0,0.0,820656982423.4695,0.0,0.0,0.0,0.0,0.0,1416027263906.7336,0.0,644700526562.7601,113436421194.83781,0.0,0.0,-165297594484.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20294813688659.887,0.0,0.0,0.0,-30.93745607882738,0.0,0.0,0.0,-820656982423.4695,0.0,0.0,0.0,2332060516394.3765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165297594484.159,0.0,0.0,0.0,-1676701128486.0015,0.0,7.642629279712982e-18,-45333.96596624741,7.64262927971298e-26,-0.00045333965966247404,1.4160272639067352e+24,0.0,8.528326854367151e+23,1.1343642119483822e+23,1416027263906.7349,0.0,1300059914471.1343,113436421194.8382,0.0,0.0,0.0,0.0,0.0,0.0,2332060516394.3765,0.0,1416027263906.7336,0.0,644700526562.7601,113436421194.83781,0.0,0.0,0.0,0.0,0.0,0.0,-1676701128486.0015,0.0,0.0,0.0,0.0,0.0,642545.9009030525,8.185271933280757e-65,822677588414.6616,8225839.785200859,0.0,0.0,0.0,0.0,37860365.69795589,4.8229679157744974e-63,2351475076686.579,90.32331070790445,0.0,0.0,0.0,0.0,1416085781024.6038,62589837.95057234,644702354036.8241,113442259059.83751
