sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-45571.910564796446,0.0,-0.0004557191056479644,0.0,8.618610104799647e+23,1.1327013166572937e+23,1.4160268306587873e+24,0.0,1315078231954.2703,113270131665.72934,1416026830658.7869,0.0,790343619584.7018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962043527.5471,113270131665.72916,1416026830658.7852,0.0,-120227431157.98001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791809044061.4463,9880583.409836898,811283.6496085671,1.033483432574341e-64,0.0,0.0,0.0,0.0,2368019584581.5933,116613.13259705885,36454253.886167556,4.6438370591449063e-63,0.0,0.0,0.0,0.0,644963423710.271,113277091343.03938,1416085399914.0007,62589821.105793424,0.0,0.0,0.0,0.0,28016546470.059704,0.0,0.0,0.0,0.0427492947810606,0.0,0.0,0.0,-790343619584.7018,0.0,0.0,0.0,2348583248762.5195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120227431157.98001,0.0,0.0,0.0,-1678467060335.754,0.0,0.0,0.0,-1.8932661725304287e-18,-45571.910564794875,-1.8932661725304283e-26,-0.00045571910564794866,8.618610104799921e+23,1.1327013166572937e+23,1.4160268306587873e+24,0.0,1315078231954.312,113270131665.72934,1416026830658.7869,0.0,0.0,0.0,0.0,0.0,2348583248762.5195,0.0,0.0,0.0,644962043527.5471,113270131665.72916,1416026830658.7852,0.0,0.0,0.0,0.0,0.0,-1678467060335.754,0.0,0.0,0.0
0.02,-1,-1,1,-45561.94055375872,0.0,-0.00045561940553758717,0.0,8.614531901466279e+23,1.132701313763439e+23,1.4160268282353166e+24,0.0,1314455955698.1245,113270131376.34387,1416026828235.3162,0.0,790330961652.5219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962041665.9735,113270131376.3437,1416026828235.3137,0.0,-120837047620.37105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791803870527.2046,9880874.301672956,811282.9226708302,1.0334825067347171e-64,0.0,0.0,0.0,0.0,2368021903199.5903,116512.68699151246,36454259.94380872,4.643837830677955e-63,0.0,0.0,0.0,0.0,644963423710.2699,113277091343.03903,1416085399913.9993,62589821.10579344,0.0,0.0,0.0,0.0,-585515370854026.6,0.0,0.0,0.0,-893.4137979579273,0.0,0.0,0.0,-790330961652.5219,0.0,0.0,0.0,2348578404101.7725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120837047620.37105,0.0,0.0,0.0,-1679084490963.0388,0.0,0.0,0.0,-1.8932661725304287e-18,-45561.94055375712,-1.8932661725304283e-26,-0.0004556194055375712,8.614531895611134e+23,1.132701313763439e+23,1.4160268282353166e+24,0.0,1314455954804.712,113270131376.34387,1416026828235.3162,0.0,0.0,0.0,0.0,0.0,2348578404101.7725,0.0,0.0,0.0,644962041665.9735,113270131376.3437,1416026828235.3137,0.0,0.0,0.0,0.0,0.0,-1679084490963.0388,0.0,0.0,0.0
0.04,-1,-1,1,-45551.865347298946,0.0,-0.00045551865347298934,0.0,8.61041067065941e+23,1.1327013109436408e+23,1.4160268257871122e+24,0.0,1313827114056.9468,113270131094.36404,1416026825787.1118,0.0,790318440682.9026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962039782.2803,113270131094.36386,1416026825787.1091,0.0,-121453366408.23724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791798916257.2927,9881152.572974568,811282.1883414756,1.0334815714810816e-64,0.0,0.0,0.0,0.0,2368024123447.9746,116416.63898981868,36454266.06304509,4.643838610056031e-63,0.0,0.0,0.0,0.0,644963423710.2712,113277091343.0392,1416085399914.001,62589821.10579345,0.0,0.0,0.0,0.0,-2135502352945985.5,0.0,0.0,0.0,-3258.4751189550134,0.0,0.0,0.0,-790318440682.9026,0.0,0.0,0.0,2348573386891.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121453366408.23724,0.0,0.0,0.0,-1679708315875.726,0.0,0.0,0.0,-1.8932661725304287e-18,-45551.86534729721,-1.8932661725304283e-26,-0.000455518653472972,8.610410649304385e+23,1.1327013109436408e+23,1.4160268257871122e+24,0.0,1313827110798.4714,113270131094.36404,1416026825787.1118,0.0,0.0,0.0,0.0,0.0,2348573386891.918,0.0,0.0,0.0,644962039782.2803,113270131094.36386,1416026825787.1091,0.0,0.0,0.0,0.0,0.0,-1679708315875.726,0.0,0.0,0.0
0.06,-1,-1,1,-45541.68154732791,0.0,-0.00045541681547327906,0.0,8.606245013781449e+23,1.132701308195078e+23,1.4160268233133796e+24,0.0,1313191493624.4893,113270130819.50777,1416026823313.3794,0.0,790306046888.3346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962037875.7432,113270130819.50755,1416026823313.377,0.0,-122076591139.58968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791794173963.7136,9881418.673788102,811281.4463820383,1.033480626509724e-64,0.0,0.0,0.0,0.0,2368026248605.84,116324.82792923742,36454272.24586353,4.643839397532196e-63,0.0,0.0,0.0,0.0,644963423710.271,113277091343.03928,1416085399914.0007,62589821.10579347,0.0,0.0,0.0,0.0,-1315488606673180.2,0.0,0.0,0.0,-2007.2499045482327,0.0,0.0,0.0,-790306046888.3346,0.0,0.0,0.0,2348568197985.1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122076591139.58968,0.0,0.0,0.0,-1680338744243.69,0.0,0.0,0.0,-1.8932661725304287e-18,-45541.68154732621,-1.8932661725304283e-26,-0.000455416815473262,8.606245000626567e+23,1.132701308195078e+23,1.4160268233133796e+24,0.0,1313191491617.2397,113270130819.50777,1416026823313.3794,0.0,0.0,0.0,0.0,0.0,2348568197985.1885,0.0,0.0,0.0,644962037875.7432,113270130819.50755,1416026823313.377,0.0,0.0,0.0,0.0,0.0,-1680338744243.69,0.0,0.0,0.0
0.08,-1,-1,1,-45531.38532164229,0.0,-0.0004553138532164228,0.0,8.602033373683429e+23,1.1327013055149442e+23,1.4160268208131729e+24,0.0,1312548856801.8015,113270130551.4944,1416026820813.1726,0.0,790293770334.3389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962035945.5133,113270130551.49423,1416026820813.1685,0.0,-122706949478.05113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791789636506.7323,9881673.046249881,811280.6965115813,1.0334796714628499e-64,0.0,0.0,0.0,0.0,2368028281884.761,116237.09593235394,36454278.49460528,4.6438401934046306e-63,0.0,0.0,0.0,0.0,644963423710.2701,113277091343.03897,1416085399914.0,62589821.10579341,0.0,0.0,0.0,0.0,-4153523659503142.0,0.0,0.0,0.0,-6337.690746072566,0.0,0.0,0.0,-790293770334.3389,0.0,0.0,0.0,2348562837725.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122706949478.05113,0.0,0.0,0.0,-1680976023207.1716,0.0,0.0,0.0,-1.8932661725304287e-18,-45531.38532164068,-1.8932661725304283e-26,-0.0004553138532164067,8.602033332148192e+23,1.1327013055149442e+23,1.4160268208131729e+24,0.0,1312548850464.1106,113270130551.4944,1416026820813.1726,0.0,0.0,0.0,0.0,0.0,2348562837725.767,0.0,0.0,0.0,644962035945.5133,113270130551.49423,1416026820813.1685,0.0,0.0,0.0,0.0,0.0,-1680976023207.1716,0.0,0.0,0.0
0.1,-1,-1,1,-45520.97317561967,0.0,-0.00045520973175619664,0.0,8.597774317655772e+23,1.1327013029006072e+23,1.416026818285691e+24,0.0,1311898984977.6282,113270130290.0607,1416026818285.6904,0.0,790281601533.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962033990.8417,113270130290.06053,1416026818285.6885,0.0,-123344650546.89441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791785296966.2417,9881916.112957997,811279.938492514,1.0334787060378623e-64,0.0,0.0,0.0,0.0,2368030226396.824,116153.29269793328,36454284.81125019,4.643840997925489e-63,0.0,0.0,0.0,0.0,644963423710.2721,113277091343.03947,1416085399914.001,62589821.105793424,0.0,0.0,0.0,0.0,-3423416866623964.5,0.0,0.0,0.0,-5223.650850263088,0.0,0.0,0.0,-790281601533.68,0.0,0.0,0.0,2348557306809.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123344650546.89441,0.0,0.0,0.0,-1681620361046.0967,0.0,0.0,0.0,-1.262177448353619e-18,-45520.97317561827,-1.2621774483536189e-26,-0.00045520973175618254,8.597774283421602e+23,1.1327013029006072e+23,1.416026818285691e+24,0.0,1311898979753.977,113270130290.0607,1416026818285.6904,0.0,0.0,0.0,0.0,0.0,2348557306809.229,0.0,0.0,0.0,644962033990.8417,113270130290.06053,1416026818285.6885,0.0,0.0,0.0,0.0,0.0,-1681620361046.0967,0.0,0.0,0.0
0.12,-1,-1,1,-45510.4407280845,0.0,-0.0004551044072808449,0.0,8.59346604914425e+23,1.1327013003492716e+23,1.4160268157298745e+24,0.0,1311241604023.156,113270130034.92714,1416026815729.8743,0.0,790269530279.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962032010.7837,113270130034.92693,1416026815729.8733,0.0,-123989958266.63934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791781148374.8109,9882148.2985969,811279.1720056013,1.0334777298281771e-64,0.0,0.0,0.0,0.0,2368032085274.36,116073.26735014762,36454291.19845843,4.6438418114335957e-63,0.0,0.0,0.0,0.0,644963423710.2709,113277091343.03914,1416085399914.001,62589821.10579344,0.0,0.0,0.0,0.0,-3336690822341530.5,0.0,0.0,0.0,-5091.319149916397,0.0,0.0,0.0,-790269530279.0118,0.0,0.0,0.0,2348551605114.2783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123989958266.63934,0.0,0.0,0.0,-1682272038193.225,0.0,0.0,0.0,-1.8932661725304287e-18,-45510.44072808312,-1.8932661725304283e-26,-0.00045510440728083114,8.593466015777334e+23,1.1327013003492716e+23,1.4160268157298745e+24,0.0,1311241598931.8354,113270130034.92714,1416026815729.8743,0.0,0.0,0.0,0.0,0.0,2348551605114.2783,0.0,0.0,0.0,644962032010.7837,113270130034.92693,1416026815729.8733,0.0,0.0,0.0,0.0,0.0,-1682272038193.225,0.0,0.0,0.0
0.14,-1,-1,1,-45499.78374549358,0.0,-0.0004549978374549357,0.0,8.58910683985111e+23,1.1327012978583288e+23,1.4160268131447208e+24,0.0,1310576450224.5466,113270129785.83286,1416026813144.7205,0.0,790257546761.4515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962030004.4207,113270129785.83267,1416026813144.7183,0.0,-124643126541.32707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791777184040.509,9882370.009359166,811278.3967517281,1.0334767424528468e-64,0.0,0.0,0.0,0.0,2368033861525.3433,115996.87578436737,36454297.65872281,4.6438426342464115e-63,0.0,0.0,0.0,0.0,644963423710.2715,113277091343.03934,1416085399914.0012,62589821.105793424,0.0,0.0,0.0,0.0,-3250399917458223.0,0.0,0.0,0.0,-4959.651410863578,0.0,0.0,0.0,-790257546761.4515,0.0,0.0,0.0,2348545732601.1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124643126541.32707,0.0,0.0,0.0,-1682931317340.6309,0.0,0.0,0.0,-1.8932661725304287e-18,-45499.783745492125,-1.8932661725304283e-26,-0.00045499783745492117,8.589106807347101e+23,1.1327012978583288e+23,1.4160268131447208e+24,0.0,1310576445264.8936,113270129785.83286,1416026813144.7205,0.0,0.0,0.0,0.0,0.0,2348545732601.1064,0.0,0.0,0.0,644962030004.4207,113270129785.83267,1416026813144.7183,0.0,0.0,0.0,0.0,0.0,-1682931317340.6309,0.0,0.0,0.0
0.16,-1,-1,1,-45488.99764480229,0.0,-0.00045488997644802285,0.0,8.584694815095552e+23,1.1327012954251542e+23,1.4160268105291335e+24,0.0,1309903237531.9749,113270129542.5154,1416026810529.133,0.0,790245641001.2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644962027970.7568,113270129542.51527,1416026810529.1306,0.0,-125304431440.00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791773397372.6466,9882581.643020986,811277.6124055056,1.033475743497443e-64,0.0,0.0,0.0,0.0,2368035558111.5093,115923.97715567963,36454304.19475441,4.6438434667092897e-63,0.0,0.0,0.0,0.0,644963423710.2694,113277091343.0387,1416085399913.9998,62589821.10579341,0.0,0.0,0.0,0.0,-3164546142788679.0,0.0,0.0,0.0,-4828.650670806723,0.0,0.0,0.0,-790245641001.2168,0.0,0.0,0.0,2348539688916.7705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125304431440.00003,0.0,0.0,0.0,-1683598484184.2017,0.0,0.0,0.0,-1.8932661725304287e-18,-45488.99764480076,-1.8932661725304283e-26,-0.0004548899764480075,8.584694783450091e+23,1.1327012954251542e+23,1.4160268105291335e+24,0.0,1309903232703.3242,113270129542.5154,1416026810529.133,0.0,0.0,0.0,0.0,0.0,2348539688916.7705,0.0,0.0,0.0,644962027970.7568,113270129542.51527,1416026810529.1306,0.0,0.0,0.0,0.0,0.0,-1683598484184.2017,0.0,0.0,0.0
