sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,avg:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,avg:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,avg:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-54075.69341776392,0.0,-0.0005407569341776391,0.0,1.4160301610895202e+24,0.0,1.9181977428916793e+24,2.092206000851056e+23,1416030161089.5198,0.0,1749888550572.7473,209220600085.1056,0.0,0.0,1345160835514.5083,0.0,0.0,0.0,0.0,0.0,1416030161089.5183,0.0,493165743212.9926,209220600085.10522,0.0,0.0,-88438028154.75343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170769355074.16052,0.0,0.0,0.0,-0.155785471200943,0.0,0.0,0.0,-1345160835514.5083,0.0,0.0,0.0,2069644764660.9792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88438028154.75343,0.0,0.0,0.0,-812921957301.3811,0.0,1.2175420959625005e-17,-54075.69341776155,1.2175420959625003e-25,-0.0005407569341776155,1.4160301610895202e+24,0.0,1.9181977428915086e+24,2.092206000851056e+23,1416030161089.5198,0.0,1749888550572.5913,209220600085.1056,0.0,0.0,0.0,0.0,0.0,0.0,2069644764660.9792,0.0,1416030161089.5183,0.0,493165743212.9926,209220600085.10522,0.0,0.0,0.0,0.0,0.0,0.0,-812921957301.3811,0.0,0.0,0.0,0.0,0.0,2266309.4830283076,2.88700040042987e-64,1350575368763.5518,12278668.705639161,0.0,0.0,0.0,0.0,39437679.12887666,5.023907172822724e-63,2079036524298.807,518.5986982624344,0.0,0.0,0.0,0.0,1416085781024.5889,62589837.95057227,493166616307.20184,209231114269.35153
0.02,-1,-1,1,-54063.44913412369,0.0,-0.0005406344913412369,0.0,1.4160301525973608e+24,0.0,1.9173600495871942e+24,2.0922057617980553e+23,1416030152597.3604,0.0,1749124359327.1667,209220576179.80554,0.0,0.0,1344814253021.493,0.0,0.0,0.0,0.0,0.0,1416030152597.3586,0.0,493165738840.5018,209220576179.8051,0.0,0.0,-88855632534.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0613425214210812e+16,0.0,0.0,0.0,-9682.167197585106,0.0,0.0,0.0,-1344814253021.493,0.0,0.0,0.0,2070676172911.3083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88855632534.828,0.0,0.0,0.0,-814717562106.8104,0.0,1.2175420959625005e-17,-54063.44913412125,1.2175420959625003e-25,-0.0005406344913412124,1.4160301525973608e+24,0.0,1.9173600389737692e+24,2.0922057617980553e+23,1416030152597.3604,0.0,1749124349644.9998,209220576179.80554,0.0,0.0,0.0,0.0,0.0,0.0,2070676172911.3083,0.0,1416030152597.3586,0.0,493165738840.5018,209220576179.8051,0.0,0.0,0.0,0.0,0.0,0.0,-814717562106.8104,0.0,0.0,0.0,0.0,0.0,2266960.065704085,2.887829179943209e-64,1350254384544.0337,12315844.347601505,0.0,0.0,0.0,0.0,39436594.85599727,5.02376904290657e-63,2080088765530.4976,527.5501503253167,0.0,0.0,0.0,0.0,1416085781024.5886,62589837.95057226,493166616307.2022,209231114269.352
0.04,-1,-1,1,-54051.0671139474,0.0,-0.000540510671139474,0.0,1.4160301440383189e+24,0.0,1.9165129352177068e+24,2.092205520405688e+23,1416030144038.3186,0.0,1748351573652.8613,209220552040.56882,0.0,0.0,1344463791463.383,0.0,0.0,0.0,0.0,0.0,1416030144038.3157,0.0,493165734419.9504,209220552040.56836,0.0,0.0,-89277952230.47168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5752440279543268e+16,0.0,0.0,0.0,-23492.833604604006,0.0,0.0,0.0,-1344463791463.383,0.0,0.0,0.0,2071712749880.1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89277952230.47168,0.0,0.0,0.0,-816526934140.0846,0.0,1.2175420959625005e-17,-54051.06711394516,1.2175420959625003e-25,-0.0005405106711394515,1.4160301440383189e+24,0.0,1.9165129094652673e+24,2.092205520405688e+23,1416030144038.3186,0.0,1748351550160.0286,209220552040.56882,0.0,0.0,0.0,0.0,0.0,0.0,2071712749880.1619,0.0,1416030144038.3157,0.0,493165734419.9504,209220552040.56836,0.0,0.0,0.0,0.0,0.0,0.0,-816526934140.0846,0.0,0.0,0.0,0.0,0.0,2267612.3317159163,2.8886601034091636e-64,1349929810310.9497,12353435.670619987,0.0,0.0,0.0,0.0,39435507.777637236,5.023630555664998e-63,2081146335200.1077,536.8155383530618,0.0,0.0,0.0,0.0,1416085781024.5894,62589837.95057228,493166616307.2026,209231114269.35217
0.06,-1,-1,1,-54038.54417828723,0.0,-0.0005403854417828722,0.0,1.41603013541084e+24,0.0,1.9156561631872627e+24,2.092205276615737e+23,1416030135410.8398,0.0,1747569977713.61,209220527661.5737,0.0,0.0,1344109351882.0244,0.0,0.0,0.0,0.0,0.0,1416030135410.8376,0.0,493165729950.18604,209220527661.57306,0.0,0.0,-89705104118.60002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5314104181574767.0,0.0,0.0,0.0,-4847.826611384749,0.0,0.0,0.0,-1344109351882.0244,0.0,0.0,0.0,2072754633311.9878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89705104118.60002,0.0,0.0,0.0,-818350390396.3895,0.0,1.3437598407978624e-17,-54038.544178284974,1.3437598407978622e-25,-0.0005403854417828497,1.41603013541084e+24,0.0,1.9156561578731576e+24,2.092205276615737e+23,1416030135410.8398,0.0,1747569972865.7827,209220527661.5737,0.0,0.0,0.0,0.0,0.0,0.0,2072754633311.9878,0.0,1416030135410.8376,0.0,493165729950.18604,209220527661.57306,0.0,0.0,0.0,0.0,0.0,0.0,-818350390396.3895,0.0,0.0,0.0,0.0,0.0,2268266.3295174856,2.8894932327503215e-64,1349601554271.3196,12391453.293431196,0.0,0.0,0.0,0.0,39434417.813043244,5.023491700777558e-63,2082209374728.64,546.4116972002711,0.0,0.0,0.0,0.0,1416085781024.5886,62589837.95057226,493166616307.2016,209231114269.3515
0.08,-1,-1,1,-54025.8762899604,0.0,-0.0005402587628996039,0.0,1.4160301267128983e+24,0.0,1.9147894836744913e+24,2.0922050303676437e+23,1416030126712.898,0.0,1746779343608.2188,209220503036.76437,0.0,0.0,1343750831536.031,0.0,0.0,0.0,0.0,0.0,1416030126712.8958,0.0,493165725429.8797,209220503036.76385,0.0,0.0,-90137213357.69118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5248286479022515.0,0.0,0.0,0.0,-4787.783977851272,0.0,0.0,0.0,-1343750831536.031,0.0,0.0,0.0,2073801963798.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90137213357.69118,0.0,0.0,0.0,-820188350408.441,0.0,1.0913243511271386e-17,-54025.876289958236,1.0913243511271384e-25,-0.0005402587628995823,1.4160301267128983e+24,0.0,1.9147894784262053e+24,2.0922050303676437e+23,1416030126712.898,0.0,1746779338820.4353,209220503036.76437,0.0,0.0,0.0,0.0,0.0,0.0,2073801963798.9966,0.0,1416030126712.8958,0.0,493165725429.8797,209220503036.76385,0.0,0.0,0.0,0.0,0.0,0.0,-820188350408.441,0.0,0.0,0.0,0.0,0.0,2268922.1879924075,2.8903287323740993e-64,1349269521356.308,12429908.215578211,0.0,0.0,0.0,0.0,39433324.747415826,5.02335245084302e-63,2083278029575.5327,556.3566253595953,0.0,0.0,0.0,0.0,1416085781024.5889,62589837.95057227,493166616307.20233,209231114269.352
0.1,-1,-1,1,-54013.059819773334,0.0,-0.0005401305981977332,0.0,1.4160301179427083e+24,0.0,1.913912638791589e+24,2.092204781598192e+23,1416030117942.708,0.0,1745979436076.837,209220478159.8192,0.0,0.0,1343388122970.2834,0.0,0.0,0.0,0.0,0.0,1416030117942.7048,0.0,493165720857.7463,209220478159.8184,0.0,0.0,-90574407751.19319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5182278023891948.0,0.0,0.0,0.0,-4727.567329019308,0.0,0.0,0.0,-1343388122970.2834,0.0,0.0,0.0,2074854890338.6082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90574407751.19319,0.0,0.0,0.0,-822041179847.084,0.0,1.2175420959625005e-17,-54013.05981977081,1.2175420959625003e-25,-0.000540130598197708,1.4160301179427083e+24,0.0,1.9139126336093107e+24,2.092204781598192e+23,1416030117942.708,0.0,1745979431349.2693,209220478159.8192,0.0,0.0,0.0,0.0,0.0,0.0,2074854890338.6082,0.0,1416030117942.7048,0.0,493165720857.7463,209220478159.8184,0.0,0.0,0.0,0.0,0.0,0.0,-822041179847.084,0.0,0.0,0.0,0.0,0.0,2269579.978106782,2.8911666928945782e-64,1348933611944.6167,12468811.966428977,0.0,0.0,0.0,0.0,39432228.46248071,5.023212790759049e-63,2084352452981.4788,566.6697024826217,0.0,0.0,0.0,0.0,1416085781024.589,62589837.9505723,493166616307.2024,209231114269.3522
0.12,-1,-1,1,-54000.09082339034,0.0,-0.0005400009082339033,0.0,1.416030109098314e+24,0.0,1.9130253586830477e+24,2.092204530241459e+23,1416030109098.3137,0.0,1745170008941.9958,209220453024.1459,0.0,0.0,1343021114152.3257,0.0,0.0,0.0,0.0,0.0,1416030109098.3118,0.0,493165716232.4181,209220453024.14536,0.0,0.0,-91016821442.7467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5116120795435581.0,0.0,0.0,0.0,-4667.2149607390165,0.0,0.0,0.0,-1343021114152.3257,0.0,0.0,0.0,2075913567691.9216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91016821442.7467,0.0,0.0,0.0,-823909279649.5576,0.0,1.2175420959625005e-17,-54000.09082338788,1.2175420959625003e-25,-0.0005400009082338787,1.416030109098314e+24,0.0,1.9130253535669248e+24,2.092204530241459e+23,1416030109098.3137,0.0,1745170004274.7788,209220453024.1459,0.0,0.0,0.0,0.0,0.0,0.0,2075913567691.9216,0.0,1416030109098.3118,0.0,493165716232.4181,209220453024.14536,0.0,0.0,0.0,0.0,0.0,0.0,-823909279649.5576,0.0,0.0,0.0,0.0,0.0,2270239.7910696613,2.8920072306719274e-64,1348593722225.6597,12508176.564031206,0.0,0.0,0.0,0.0,39431128.806227736,5.023072701132278e-63,2085432804360.9905,577.3717599481064,0.0,0.0,0.0,0.0,1416085781024.5876,62589837.95057227,493166616307.2016,209231114269.35153
0.14,-1,-1,1,-53986.96518076223,0.0,-0.0005398696518076222,0.0,1.416030100177681e+24,0.0,1.9121273614717e+24,2.0922042762286804e+23,1416030100177.6807,0.0,1744350805059.3896,209220427622.86804,0.0,0.0,1342649688113.6426,0.0,0.0,0.0,0.0,0.0,1416030100177.679,0.0,493165711552.468,209220427622.86755,0.0,0.0,-91464594606.71928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5049786008232151.0,0.0,0.0,0.0,-4606.700613319874,0.0,0.0,0.0,-1342649688113.6426,0.0,0.0,0.0,2076978157354.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91464594606.71928,0.0,0.0,0.0,-825793068454.6495,0.0,1.2175420959625005e-17,-53986.96518075984,1.2175420959625003e-25,-0.0005398696518075984,1.416030100177681e+24,0.0,1.9121273564219151e+24,2.0922042762286804e+23,1416030100177.6807,0.0,1744350800452.69,209220427622.86804,0.0,0.0,0.0,0.0,0.0,0.0,2076978157354.871,0.0,1416030100177.679,0.0,493165711552.468,209220427622.86755,0.0,0.0,0.0,0.0,0.0,0.0,-825793068454.6495,0.0,0.0,0.0,0.0,0.0,2270901.7221692037,2.8928504671985012e-64,1348249743821.9521,12548014.559332807,0.0,0.0,0.0,0.0,39430025.619847834,5.022932161713959e-63,2086519250069.5247,588.4852351347272,0.0,0.0,0.0,0.0,1416085781024.5889,62589837.950572275,493166616307.2022,209231114269.35184
0.16,-1,-1,1,-53973.678584830595,0.0,-0.0005397367858483059,0.0,1.416030091178672e+24,0.0,1.9112183524858833e+24,2.092204019488007e+23,1416030091178.6716,0.0,1743521555612.8489,209220401948.80072,0.0,0.0,1342273722646.4685,0.0,0.0,0.0,0.0,0.0,1416030091178.6687,0.0,493165706816.3977,209220401948.8001,0.0,0.0,-91917873850.01755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4983299174894193.0,0.0,0.0,0.0,-4546.047560811043,0.0,0.0,0.0,-1342273722646.4685,0.0,0.0,0.0,2078048827956.7456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91917873850.01755,0.0,0.0,0.0,-827692983706.3424,0.0,1.2175420959625005e-17,-53973.67858482827,1.2175420959625003e-25,-0.0005397367858482826,1.416030091178672e+24,0.0,1.9112183475025858e+24,2.092204019488007e+23,1416030091178.6716,0.0,1743521551066.8027,209220401948.80072,0.0,0.0,0.0,0.0,0.0,0.0,2078048827956.7456,0.0,1416030091178.6687,0.0,493165706816.3977,209220401948.8001,0.0,0.0,0.0,0.0,0.0,0.0,-827692983706.3424,0.0,0.0,0.0,0.0,0.0,2271565.871023988,2.8936965294095557e-64,1347901563510.74,12588339.068408506,0.0,0.0,0.0,0.0,39428918.737314455,5.022791151348244e-63,2087611963814.406,600.0343305745644,0.0,0.0,0.0,0.0,1416085781024.5881,62589837.950572245,493166616307.2014,209231114269.35117
