E_g (eV),E_i (eV),u_cv (eV),u_ci (eV),Efficiency (%)
1.2000000000000002,0.1,,,
2.3000000000000003,0.1,,,
3.4000000000000004,0.1,,,
4.5,0.1,,,
2.3000000000000003,1.2000000000000002,,,
3.4000000000000004,1.2000000000000002,,,
4.5,1.2000000000000002,,,
3.4000000000000004,2.3000000000000003,,,
4.5,2.3000000000000003,,,
4.5,3.4000000000000004,,,
