sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-37754.37555375378,0.0,-0.00037754375553753774,0.0,1.416044955822047e+24,3.491988779112897e+23,0.0,1.4779978966600307e+24,1416044955822.0466,349198877911.2897,0.0,591199158664.0123,0.0,0.0,0.0,324885521934.84357,0.0,0.0,0.0,0.0,1416044955822.0386,349198877911.2887,0.0,271710726340.59317,0.0,0.0,0.0,-5397089611.424574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.1248897066079,5189190.058031755,7.109602234197577e-68,324936600277.3112,0.0,0.0,0.0,0.0,6345845.350027319,356.82407325227007,8.08378224968824e-64,321297091108.76184,0.0,0.0,0.0,0.0,1416085399913.959,349217794809.1815,62589821.1057933,271710726599.43256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024832073599.1,0.0,0.0,0.0,0.40993282943964005,0.0,0.0,0.0,-324885521934.84357,0.0,0.0,0.0,321297587865.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5397089611.424574,0.0,0.0,0.0,-1809155541.5516317,-5.048709793414476e-18,-37754.375553752696,-5.0487097934144756e-26,-0.0003775437555375269,1.416044955822047e+24,3.491988779112897e+23,0.0,1.477997896661055e+24,1416044955822.0466,349198877911.2897,0.0,591199158664.4221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321297587865.3802,1416044955822.0386,349198877911.2887,0.0,271710726340.59317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1809155541.5516317
0.02,-1,-1,1,-37753.41813165739,0.0,-0.0003775341813165738,0.0,1.416044827411783e+24,3.491988494121587e+23,0.0,1.4778488639063218e+24,1416044827411.7827,349198849412.1586,0.0,591139545562.5287,0.0,0.0,0.0,324912464504.3242,0.0,0.0,0.0,0.0,1416044827411.774,349198849412.15753,0.0,271710726332.96124,0.0,0.0,0.0,-5483645274.756961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.2047909241533,5189084.927148156,7.238038147232015e-68,324964445342.7518,0.0,0.0,0.0,0.0,6345835.270196752,362.8076953395207,8.083769406096377e-64,321269176087.69507,0.0,0.0,0.0,0.0,1416085399913.96,349217794809.182,62589821.10579325,271710726599.43277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.195004571377299e+16,0.0,0.0,0.0,16780.0182855092,0.0,0.0,0.0,-324912464504.3242,0.0,0.0,0.0,321269570739.72974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5483645274.756961,0.0,0.0,0.0,-1840734730.144005,-2.524354896707238e-18,-37753.418131656166,-2.5243548967072378e-26,-0.0003775341813165616,1.416044827411783e+24,3.491988494121587e+23,0.0,1.4778489058563663e+24,1416044827411.7827,349198849412.1586,0.0,591139562342.5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321269570739.72974,1416044827411.774,349198849412.15753,0.0,271710726332.96124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1840734730.144005
0.04,-1,-1,1,-37752.441395239606,0.0,-0.00037752441395239603,0.0,1.416044697898769e+24,3.49198820672303e+23,0.0,1.477696870460862e+24,1416044697898.7686,349198820672.3029,0.0,591078748184.3448,0.0,0.0,0.0,324939922423.6988,0.0,0.0,0.0,0.0,1416044697898.7588,349198820672.30194,0.0,271710726325.0769,0.0,0.0,0.0,-5571900564.4311495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.6662099340732,5188977.702611137,7.37133527261315e-68,324992823479.63947,0.0,0.0,0.0,0.0,6345824.808851087,368.9993315877795,8.083756076383266e-64,321240725546.449,0.0,0.0,0.0,0.0,1416085399913.9602,349217794809.18225,62589821.10579326,271710726599.43298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6768062856774774e+16,0.0,0.0,0.0,6707.225142709911,0.0,0.0,0.0,-324939922423.6988,0.0,0.0,0.0,321241015916.47595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5571900564.4311495,0.0,0.0,0.0,-1872987349.9833996,-2.524354896707238e-18,-37752.44139523839,-2.5243548967072378e-26,-0.0003775244139523839,1.416044697898769e+24,3.49198820672303e+23,0.0,1.477696887228924e+24,1416044697898.7686,349198820672.3029,0.0,591078754891.5697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321241015916.47595,1416044697898.7588,349198820672.30194,0.0,271710726325.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1872987349.9833996
0.06,-1,-1,1,-37751.444928321165,0.0,-0.0003775144492832116,0.0,1.416044567258864e+24,3.491987916857734e+23,0.0,1.4775417877740345e+24,1416044567258.8635,349198791685.7733,0.0,591016715109.6139,0.0,0.0,0.0,324967892090.04236,0.0,0.0,0.0,0.0,1416044567258.8555,349198791685.7722,0.0,271710726316.9287,0.0,0.0,0.0,-5661903297.357527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.5332135706669,5188868.383901229,7.509800090468928e-68,325021731583.3383,0.0,0.0,0.0,0.0,6345813.941923612,375.41100818363384,8.08374222990088e-64,321211742535.25323,0.0,0.0,0.0,0.0,1416085399913.96,349217794809.1818,62589821.1057933,271710726599.43283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044036436506547e+16,0.0,0.0,0.0,4176.145746026188,0.0,0.0,0.0,-324967892090.04236,0.0,0.0,0.0,321211926380.94904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5661903297.357527,0.0,0.0,0.0,-1905933412.1184022,-5.048709793414476e-18,-37751.44492832016,-5.0487097934144756e-26,-0.00037751444928320153,1.416044567258864e+24,3.491987916857734e+23,0.0,1.477541798214398e+24,1416044567258.8635,349198791685.7733,0.0,591016719285.7593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321211926380.94904,1416044567258.8555,349198791685.7722,0.0,271710726316.9287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1905933412.1184022
0.08,-1,-1,1,-37750.42813376368,0.0,-0.00037750428133763675,0.0,1.4160444354648662e+24,3.491987624468735e+23,0.0,1.4773835337676347e+24,1416044435464.8657,349198762446.8734,0.0,590953413507.054,0.0,0.0,0.0,324996390575.26746,0.0,0.0,0.0,0.0,1416044435464.8572,349198762446.8726,0.0,271710726308.50504,0.0,0.0,0.0,-5753703376.719052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.8325627007175,5188756.895846361,7.653773376478373e-68,325051187245.89246,0.0,0.0,0.0,0.0,6345802.642653703,382.05569789058273,8.083727832571647e-64,321182209351.9022,0.0,0.0,0.0,0.0,1416085399913.959,349217794809.1815,62589821.10579332,271710726599.4325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8105249743564054.0,0.0,0.0,0.0,3242.0998974256217,0.0,0.0,0.0,-324996390575.26746,0.0,0.0,0.0,321182284362.84454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5753703376.719052,0.0,0.0,0.0,-1939593922.1960287,-5.048709793414476e-18,-37750.42813376257,-5.0487097934144756e-26,-0.0003775042813376257,1.4160444354648662e+24,3.491987624468735e+23,0.0,1.4773835418728846e+24,1416044435464.8657,349198762446.8734,0.0,590953416749.1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321182284362.84454,1416044435464.8572,349198762446.8726,0.0,271710726308.50504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1939593922.1960287
0.1,-1,-1,1,-37749.39044409901,0.0,-0.00037749390444099,0.0,1.4160443024892382e+24,3.491987329495082e+23,0.0,1.477222004137394e+24,1416044302489.2378,349198732949.5081,0.0,590888801654.9576,0.0,0.0,0.0,325025428277.88513,0.0,0.0,0.0,0.0,1416044302489.2305,349198732949.5071,0.0,271710726299.79404,0.0,0.0,0.0,-5847352922.721634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5939052022827,5188643.185614983,7.803632657234093e-68,325081201409.0642,0.0,0.0,0.0,0.0,6345790.881393644,388.947679737955,8.083712846642926e-64,321152114958.065,0.0,0.0,0.0,0.0,1416085399913.9595,349217794809.1819,62589821.10579329,271710726599.4325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1447270193658764e+16,0.0,0.0,0.0,12578.908077463508,0.0,0.0,0.0,-325025428277.88513,0.0,0.0,0.0,321152078752.74493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5847352922.721634,0.0,0.0,0.0,-1973990818.673617,-5.048709793414476e-18,-37749.39044409787,-5.0487097934144756e-26,-0.0003774939044409787,1.4160443024892382e+24,3.491987329495082e+23,0.0,1.477222035584665e+24,1416044302489.2378,349198732949.5081,0.0,590888814233.8661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321152078752.74493,1416044302489.2305,349198732949.5071,0.0,271710726299.79404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1973990818.673617
0.12,-1,-1,1,-37748.33115925431,0.0,-0.00037748331159254307,0.0,1.4160441683018743e+24,3.491987031876679e+23,0.0,1.4770571252522344e+24,1416044168301.8738,349198703187.66785,0.0,590822850100.8938,0.0,0.0,0.0,325055030215.3233,0.0,0.0,0.0,0.0,1416044168301.8655,349198703187.66693,0.0,271710726290.78223,0.0,0.0,0.0,-5942906405.212326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.850476185536,5188527.146869123,7.959801128751706e-68,325111799658.12354,0.0,0.0,0.0,0.0,6345778.624908588,396.10256200114475,8.083697229795102e-64,321121433628.5934,0.0,0.0,0.0,0.0,1416085399913.9612,349217794809.1823,62589821.105793305,271710726599.43304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.201457242154516e+16,0.0,0.0,0.0,12805.828968618065,0.0,0.0,0.0,-325055030215.3233,0.0,0.0,0.0,321121283750.9128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942906405.212326,0.0,0.0,0.0,-2009147134.9729962,-5.048709793414476e-18,-37748.33115925327,-5.0487097934144756e-26,-0.00037748331159253266,1.4160441683018743e+24,3.491987031876679e+23,0.0,1.4770571572668065e+24,1416044168301.8738,349198703187.66785,0.0,590822862906.7227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321121283750.9128,1416044168301.8655,349198703187.66693,0.0,271710726290.78223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2009147134.9729962
0.14,-1,-1,1,-37747.24965739619,0.0,-0.00037747249657396186,0.0,1.41604403287291e+24,3.491986731547542e+23,0.0,1.4768887834480526e+24,1416044032872.9097,349198673154.75415,0.0,590755513379.2211,0.0,0.0,0.0,325085207890.6488,0.0,0.0,0.0,0.0,1416044032872.9011,349198673154.75305,0.0,271710726281.4543,0.0,0.0,0.0,-6040420792.882059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.6394690581035,5188408.719458748,8.122752381190149e-68,325142994090.02637,0.0,0.0,0.0,0.0,6345765.836005356,403.5377363432411,8.083680934669155e-64,321090153158.2547,0.0,0.0,0.0,0.0,1416085399913.9614,349217794809.18195,62589821.105793305,271710726599.43292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.259730306684039e+16,0.0,0.0,0.0,13038.921226736158,0.0,0.0,0.0,-325085207890.6488,0.0,0.0,0.0,321089887074.2255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040420792.882059,0.0,0.0,0.0,-2045086937.53748,-7.573064690121715e-18,-37747.24965739495,-7.573064690121713e-26,-0.0003774724965739494,1.41604403287291e+24,3.491986731547542e+23,0.0,1.4768888160453573e+24,1416044032872.9097,349198673154.75415,0.0,590755526418.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321089887074.2255,1416044032872.9011,349198673154.75305,0.0,271710726281.4543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2045086937.53748
0.16,-1,-1,1,-37746.14525124508,0.0,-0.00037746145251245074,0.0,1.4160438961707422e+24,3.491986428440075e+23,0.0,1.4767168715789487e+24,1416043896170.742,349198642844.0074,0.0,590686748631.5796,0.0,0.0,0.0,325115978068.79865,0.0,0.0,0.0,0.0,1416043896170.7344,349198642844.0064,0.0,271710726271.79504,0.0,0.0,0.0,-6139955709.014375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0029735855038,5188287.822425346,8.293022348239273e-68,325174802091.3381,0.0,0.0,0.0,0.0,6345752.472594503,411.27251069198746,8.083663907671704e-64,321058256033.66974,0.0,0.0,0.0,0.0,1416085399913.9612,349217794809.18243,62589821.105793305,271710726599.43323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3196195111908012e+16,0.0,0.0,0.0,13278.478044763207,0.0,0.0,0.0,-325115978068.79865,0.0,0.0,0.0,321057871127.58405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6139955709.014375,0.0,0.0,0.0,-2081835489.3216481,-7.573064690121715e-18,-37746.145251244,-7.573064690121713e-26,-0.0003774614525124399,1.4160438961707422e+24,3.491986428440075e+23,0.0,1.4767169047751445e+24,1416043896170.742,349198642844.0074,0.0,590686761910.0579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321057871127.58405,1416043896170.7344,349198642844.0064,0.0,271710726271.79504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2081835489.3216481
