sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-41544.87236783545,0.0,-0.00041544872367835445,0.0,0.0,1.4160327959742708e+24,7.0502311425783294e+22,5.532460546611786e+23,0.0,1416032795974.2705,70502311425.78328,1106492109322.3567,0.0,0.0,0.0,1154180891535.3586,0.0,0.0,0.0,0.0,0.0,1416032795974.2678,70502311425.78316,712624238476.4261,0.0,0.0,0.0,-760313020689.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6947519996828455e-65,133034.92141758703,2208985.139134338,1162105296778.9011,0.0,0.0,0.0,0.0,7.915018002637695e-64,6213369.462642889,0.3624344714943681,1089464955794.5623,0.0,0.0,0.0,0.0,62589821.10579346,1416085399914.0063,70505856809.93718,712626520470.7104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161533454433.0836,0.0,0.0,0.0,-0.32306690886616707,0.0,0.0,0.0,-1154180891535.3586,0.0,0.0,0.0,1087229362037.4613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760313020689.4286,0.0,0.0,0.0,-693361491191.8534,-9.466330862652144e-19,-41544.87236783388,-9.466330862652142e-27,-0.00041544872367833873,0.0,1.4160327959742708e+24,7.0502311425783294e+22,5.5324605466101634e+23,0.0,1416032795974.2705,70502311425.78328,1106492109322.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087229362037.4613,0.0,1416032795974.2678,70502311425.78316,712624238476.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-693361491191.8534
0.02,-1,-1,1,-41522.882075368565,0.0,-0.00041522882075368557,0.0,0.0,1.4160327864187857e+24,7.050230333252317e+22,5.5255980040725134e+23,0.0,1416032786418.7854,70502303332.52315,1105119600814.5022,0.0,0.0,0.0,1153795401196.0261,0.0,0.0,0.0,0.0,0.0,1416032786418.783,70502303332.523,712624230744.4573,0.0,0.0,0.0,-761300031125.9819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6982386643388077e-65,133308.6213870413,2210320.942678078,1161730095046.9812,0.0,0.0,0.0,0.0,7.914669336157012e-64,6213095.764511361,0.3686502401749477,1089883827519.6663,0.0,0.0,0.0,0.0,62589821.10579343,1416085399914.0063,70505856809.93715,712626520470.7106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57415448007173.86,0.0,0.0,0.0,-114.83089601434767,0.0,0.0,0.0,-1153795401196.0261,0.0,0.0,0.0,1087642460215.3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761300031125.9819,0.0,0.0,0.0,-695147090260.0979,-9.466330862652144e-19,-41522.882075366935,-9.466330862652142e-27,-0.0004152288207536693,0.0,1.4160327864187857e+24,7.050230333252317e+22,5.525598003498355e+23,0.0,1416032786418.7854,70502303332.52315,1105119600699.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087642460215.3114,0.0,1416032786418.783,70502303332.523,712624230744.4573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-695147090260.0979
0.04,-1,-1,1,-41500.70381905854,0.0,-0.00041500703819058536,0.0,0.0,1.4160327767912748e+24,7.050229515951378e+22,5.5186768050594545e+23,0.0,1416032776791.2744,70502295159.51376,1103735361011.8904,0.0,0.0,0.0,1153406523695.2383,0.0,0.0,0.0,0.0,0.0,1416032776791.2722,70502295159.51361,712624222940.8901,0.0,0.0,0.0,-762295385624.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.701748089861659e-65,133584.10807085218,2211668.4965034695,1161351593130.681,0.0,0.0,0.0,0.0,7.914318393589524e-64,6212820.279677305,0.37508324054188164,1090305870867.9393,0.0,0.0,0.0,0.0,62589821.10579343,1416085399914.006,70505856809.93709,712626520470.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361611504116095.75,0.0,0.0,0.0,-723.2230082321912,0.0,0.0,0.0,-1153406523695.2383,0.0,0.0,0.0,1088058681982.1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762295385624.2394,0.0,0.0,0.0,-696947544634.3594,-6.310887241768095e-19,-41500.70381905692,-6.3108872417680944e-27,-0.00041500703819056915,0.0,1.4160327767912748e+24,7.050229515951378e+22,5.5186768014433376e+23,0.0,1416032776791.2744,70502295159.51376,1103735360288.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088058681982.1366,0.0,1416032776791.2722,70502295159.51361,712624222940.8901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-696947544634.3594
0.06,-1,-1,1,-41478.332950372176,0.0,-0.00041478332950372173,0.0,0.0,1.4160327670899012e+24,7.050228690475965e+22,5.5116954940133656e+23,0.0,1416032767089.901,70502286904.75963,1102339098802.6726,0.0,0.0,0.0,1153014174953.5923,0.0,0.0,0.0,0.0,0.0,1416032767089.9001,70502286904.75943,712624215063.9572,0.0,0.0,0.0,-763299291214.8776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705280865034862e-65,133861.42768811065,2213028.0928383083,1160969709107.8872,0.0,0.0,0.0,0.0,7.913965116056904e-64,6212542.961921935,0.3817450597692349,1090731164500.4708,0.0,0.0,0.0,0.0,62589821.10579346,1416085399914.0066,70505856809.93735,712626520470.7117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-184692723297514.1,0.0,0.0,0.0,-369.38544659502804,0.0,0.0,0.0,-1153014174953.5923,0.0,0.0,0.0,1088478104811.2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763299291214.8776,0.0,0.0,0.0,-698763221441.8915,-3.1554436208840477e-19,-41478.33295037062,-3.1554436208840472e-27,-0.00041478332950370617,0.0,1.4160327670899012e+24,7.050228690475965e+22,5.511695492166436e+23,0.0,1416032767089.901,70502286904.75963,1102339098433.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088478104811.2214,0.0,1416032767089.9001,70502286904.75943,712624215063.9572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-698763221441.8915
0.08,-1,-1,1,-41455.76459843203,0.0,-0.00041455764598432026,0.0,0.0,1.4160327573127313e+24,7.0502278566180685e+22,5.504652556375458e+23,0.0,1416032757312.731,70502278566.18066,1100930511275.091,0.0,0.0,0.0,1152618267405.2212,0.0,0.0,0.0,0.0,0.0,1416032757312.7273,70502278566.18047,712624207111.8014,0.0,0.0,0.0,-764311963241.9318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7088376097072973e-65,134140.6288965231,2214400.0360122267,1160584357657.0024,0.0,0.0,0.0,0.0,7.91360944157427e-64,6212263.76258787,0.3886480892166371,1091159790334.6793,0.0,0.0,0.0,0.0,62589821.105793454,1416085399914.0063,70505856809.93727,712626520470.7103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-362776508643292.06,0.0,0.0,0.0,-725.5530172865838,0.0,0.0,0.0,-1152618267405.2212,0.0,0.0,0.0,1088900809373.8981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764311963241.9318,0.0,0.0,0.0,-700594505936.16,-1.262177448353619e-18,-41455.76459843056,-1.2621774483536189e-26,-0.0004145576459843056,0.0,1.4160327573127313e+24,7.0502278566180685e+22,5.5046525527477e+23,0.0,1416032757312.731,70502278566.18066,1100930510549.5396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088900809373.8981,0.0,1416032757312.7273,70502278566.18047,712624207111.8014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700594505936.16
0.1,-1,-1,1,-41432.99371817591,0.0,-0.00041432993718175897,0.0,0.0,1.4160327474577627e+24,7.0502270141607484e+22,5.497546412156851e+23,0.0,1416032747457.7625,70502270141.60747,1099509282431.3698,0.0,0.0,0.0,1152218709653.7026,0.0,0.0,0.0,0.0,0.0,1416032747457.7603,70502270141.60727,712624199082.5083,0.0,0.0,0.0,-765333626304.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7124189616170597e-65,134421.76175808735,2215784.6436077105,1160195449722.7866,0.0,0.0,0.0,0.0,7.913251306367805e-64,6211982.631613453,0.3958056186884385,1091591833884.9648,0.0,0.0,0.0,0.0,62589821.10579347,1416085399914.006,70505856809.9372,712626520470.7108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16969974206760.533,0.0,0.0,0.0,-33.93994841352105,0.0,0.0,0.0,-1152218709653.7026,0.0,0.0,0.0,1089326879896.1833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765333626304.842,0.0,0.0,0.0,-702441796581.2606,-6.310887241768095e-19,-41432.993718174424,-6.3108872417680944e-27,-0.00041432993718174417,0.0,1.4160327474577627e+24,7.0502270141607484e+22,5.497546411987151e+23,0.0,1416032747457.7625,70502270141.60747,1099509282397.4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089326879896.1833,0.0,1416032747457.7603,70502270141.60727,712624199082.5083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-702441796581.2606
0.12,-1,-1,1,-41410.015017081925,0.0,-0.0004141001501708192,0.0,0.0,1.4160327375229058e+24,7.050226162877645e+22,5.490375415166946e+23,0.0,1416032737522.9055,70502261628.77643,1098075083033.3888,0.0,0.0,0.0,1151815406384.8242,0.0,0.0,0.0,0.0,0.0,1416032737522.9028,70502261628.77625,712624190974.0651,0.0,0.0,0.0,-766364514325.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7160255934376787e-65,134704.87907720837,2217182.2467424073,1159802892429.8464,0.0,0.0,0.0,0.0,7.912890643170113e-64,6211699.516194628,0.40323194025193926,1092027384325.4038,0.0,0.0,0.0,0.0,62589821.10579345,1416085399914.0078,70505856809.9372,712626520470.7112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16819781122729.19,0.0,0.0,0.0,-33.639562245458364,0.0,0.0,0.0,-1151815406384.8242,0.0,0.0,0.0,1089756404198.4868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766364514325.5,0.0,0.0,0.0,-704305512172.8026,-9.466330862652144e-19,-41410.01501708038,-9.466330862652142e-27,-0.0004141001501708038,0.0,1.4160327375229058e+24,7.050226162877645e+22,5.490375414998751e+23,0.0,1416032737522.9055,70502261628.77643,1098075082999.7499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089756404198.4868,0.0,1416032737522.9028,70502261628.77625,712624190974.0651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-704305512172.8026
0.14,-1,-1,1,-41386.82299248951,0.0,-0.0004138682299248951,0.0,0.0,1.416032727505978e+24,7.050225302532306e+22,5.483137846006475e+23,0.0,1416032727505.9775,70502253025.32304,1096627569201.2946,0.0,0.0,0.0,1151408258021.8047,0.0,0.0,0.0,0.0,0.0,1416032727505.9756,70502253025.32281,712624182784.3795,0.0,0.0,0.0,-767404871604.8907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71965820160116e-65,134990.0355233101,2218593.1912512816,1159406588748.855,0.0,0.0,0.0,0.0,7.91252738233806e-64,6211414.361662315,0.410942491767709,1092466534824.8954,0.0,0.0,0.0,0.0,62589821.10579346,1416085399914.0066,70505856809.93715,712626520470.7106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16641203040257.104,0.0,0.0,0.0,-33.28240608051419,0.0,0.0,0.0,-1151408258021.8047,0.0,0.0,0.0,1090189474044.2186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767404871604.8907,0.0,0.0,0.0,-706186087660.5856,-6.310887241768095e-19,-41386.8229924879,-6.3108872417680944e-27,-0.00041386822992487896,0.0,1.416032727505978e+24,7.050225302532306e+22,5.483137845840059e+23,0.0,1416032727505.9775,70502253025.32304,1096627569168.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090189474044.2186,0.0,1416032727505.9756,70502253025.32281,712624182784.3795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-706186087660.5856
0.16,-1,-1,1,-41363.41188906792,0.0,-0.0004136341188906791,0.0,0.0,1.4160327174047048e+24,7.05022443287767e+22,5.475831908601559e+23,0.0,1416032717404.7046,70502244328.77669,1095166381720.3114,0.0,0.0,0.0,1150997160527.2095,0.0,0.0,0.0,0.0,0.0,1416032717404.7031,70502244328.77646,712624174511.2668,0.0,0.0,0.0,-768454953318.1654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7233175154024448e-65,135277.28834552979,2220017.8383911015,1159006437303.5212,0.0,0.0,0.0,0.0,7.912161450942075e-64,6211127.110767769,0.41895399846380593,1092909382722.9752,0.0,0.0,0.0,0.0,62589821.10579347,1416085399914.0068,70505856809.93723,712626520470.7115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16433182736858.732,0.0,0.0,0.0,-32.86636547371745,0.0,0.0,0.0,-1150997160527.2095,0.0,0.0,0.0,1090626185302.6455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768454953318.1654,0.0,0.0,0.0,-708083978126.4673,-1.262177448353619e-18,-41363.41188906633,-1.2621774483536189e-26,-0.00041363411889066323,0.0,1.4160327174047048e+24,7.05022443287767e+22,5.475831908437229e+23,0.0,1416032717404.7046,70502244328.77669,1095166381687.4454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090626185302.6455,0.0,1416032717404.7031,70502244328.77646,712624174511.2668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-708083978126.4673
