sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-55897.66023254582,0.0,-0.0005589766023254582,0.0,2.2350782568594862e+23,1.4160336378676823e+24,0.0,2.1854376578208007e+24,223507825685.94858,1416033637867.682,0.0,1849316072263.8625,0.0,0.0,0.0,1503015475260.8123,0.0,0.0,0.0,0.0,223507825685.94815,1416033637867.6804,0.0,470562960554.6475,0.0,0.0,0.0,-124262363551.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17891342340457.87,0.0,0.0,0.0,15.139643460512161,0.0,0.0,0.0,-1503015475260.8123,0.0,0.0,0.0,1695528651066.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124262363551.597,0.0,0.0,0.0,-316775539342.2987,1.4152195454544065e-17,-55897.660232543356,1.4152195454544062e-25,-0.0005589766023254334,2.2350782568594862e+23,1.4160336378676823e+24,0.0,2.1854376578386906e+24,223507825685.94858,1416033637867.682,0.0,1849316072279.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695528651066.652,223507825685.94815,1416033637867.6804,0.0,470562960554.6475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316775539342.2987,0.0,0.0,0.0,0.0,11749452.24158584,769154.626435464,9.79834890938401e-65,1509900072459.2625,0.0,0.0,0.0,0.0,4.571569674814821,35157784.41694037,4.478701675982634e-63,1700045446061.1833,0.0,0.0,0.0,0.0,223519047357.22925,1416085781024.5864,62589837.95057226,470563438971.35565
0.02,-1,-1,1,-55881.57511759628,0.0,-0.0005588157511759627,0.0,2.2350780022864126e+23,1.416033624986384e+24,0.0,2.1842513744562488e+24,223507800228.6412,1416033624986.3838,0.0,1848312239972.205,0.0,0.0,0.0,1502545066730.5876,0.0,0.0,0.0,0.0,223507800228.64075,1416033624986.3818,0.0,470562956440.87244,0.0,0.0,0.0,-124795783199.25264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8654400318049382e+17,0.0,0.0,0.0,-157853.42676401138,0.0,0.0,0.0,-1502545066730.5876,0.0,0.0,0.0,1696466049991.8047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124795783199.25264,0.0,0.0,0.0,-318716924313.8959,1.1627840557836826e-17,-55881.57511759366,1.1627840557836824e-25,-0.0005588157511759365,2.2350780022864126e+23,1.416033624986384e+24,0.0,2.184251187912246e+24,223507800228.6412,1416033624986.3838,0.0,1848312082118.7786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696466049991.8047,223507800228.64075,1416033624986.3818,0.0,470562956440.87244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-318716924313.8959,0.0,0.0,0.0,0.0,11784158.69699076,771723.3099436681,9.831071295534452e-65,1509459233818.347,0.0,0.0,0.0,0.0,4.649594400127291,35154645.01979049,4.47830173570207e-63,1701010745152.6624,0.0,0.0,0.0,0.0,223519047357.22922,1416085781024.586,62589837.95057226,470563438971.3558
0.04,-1,-1,1,-55865.31866392923,0.0,-0.0005586531866392922,0.0,2.2350777452232532e+23,1.416033612030177e+24,0.0,2.1830524858631485e+24,223507774522.32526,1416033612030.1765,0.0,1847297741143.4968,0.0,0.0,0.0,1502069388872.8345,0.0,0.0,0.0,0.0,223507774522.3248,1416033612030.174,0.0,470562952279.68835,0.0,0.0,0.0,-125334600009.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3409244380189664e+17,0.0,0.0,0.0,-367328.77293403447,0.0,0.0,0.0,-1502069388872.8345,0.0,0.0,0.0,1697408342493.6287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125334600009.0252,0.0,0.0,0.0,-320673920958.59326,1.5414372902897684e-17,-55865.31866392679,1.541437290289768e-25,-0.0005586531866392678,2.2350777452232532e+23,1.416033612030177e+24,0.0,2.1830520517707054e+24,223507774522.32526,1416033612030.1765,0.0,1847297373814.7244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697408342493.6287,223507774522.3248,1416033612030.174,0.0,470562952279.68835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-320673920958.59326,0.0,0.0,0.0,0.0,11819256.484186355,774299.8591407513,9.86389388118248e-65,1509013425012.468,0.0,0.0,0.0,0.0,4.730330195803514,35151496.00932265,4.477900570760955e-63,1701981162169.0588,0.0,0.0,0.0,0.0,223519047357.22943,1416085781024.5852,62589837.95057226,470563438971.3556
0.06,-1,-1,1,-55848.89046345253,0.0,-0.0005584889046345252,0.0,2.2350774856077904e+23,1.4160335990000646e+24,0.0,2.18184066387316e+24,223507748560.779,1416033599000.0642,0.0,1846272298081.88,0.0,0.0,0.0,1501588301161.4219,0.0,0.0,0.0,0.0,223507748560.77832,1416033599000.0625,0.0,470562948070.5959,0.0,0.0,0.0,-125878951150.13828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7814073964978112e+17,0.0,0.0,0.0,-150742.59006217122,0.0,0.0,0.0,-1501588301161.4219,0.0,0.0,0.0,1698355674530.7139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125878951150.13828,0.0,0.0,0.0,-322646475262.0204,1.1627532409045724e-17,-55848.89046345,1.1627532409045722e-25,-0.0005584889046344999,2.2350774856077904e+23,1.4160335990000646e+24,0.0,2.1818404857324193e+24,223507748560.779,1416033599000.0642,0.0,1846272147339.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698355674530.7139,223507748560.77832,1416033599000.0625,0.0,470562948070.5959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-322646475262.0204,0.0,0.0,0.0,0.0,11854756.071767204,776883.7554700803,9.89681006045296e-65,1508562513120.5369,0.0,0.0,0.0,0.0,4.8139217418734335,35148338.01930736,4.4774982618977776e-63,1702956842290.2751,0.0,0.0,0.0,0.0,223519047357.22943,1416085781024.5864,62589837.95057225,470563438971.35614
0.08,-1,-1,1,-55832.28093493711,0.0,-0.0005583228093493709,0.0,2.2350772233765257e+23,1.4160335858891057e+24,0.0,2.1806156010721227e+24,223507722337.65253,1416033585889.1055,0.0,1845235650653.671,0.0,0.0,0.0,1501101675216.38,0.0,0.0,0.0,0.0,223507722337.65195,1416033585889.103,0.0,470562943811.47046,0.0,0.0,0.0,-126428968374.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7480668206874934e+17,0.0,0.0,0.0,-147921.31248036027,0.0,0.0,0.0,-1501101675216.38,0.0,0.0,0.0,1699308145317.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126428968374.1807,0.0,0.0,0.0,-324635586396.2558,1.4151887305752963e-17,-55832.28093493447,1.415188730575296e-25,-0.0005583228093493446,2.2350772233765257e+23,1.4160335858891057e+24,0.0,2.1806154262654397e+24,223507722337.65253,1416033585889.1055,0.0,1845235502732.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699308145317.143,223507722337.65195,1416033585889.103,0.0,470562943811.47046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-324635586396.2558,0.0,0.0,0.0,0.0,11890666.99371165,779476.4652801428,9.929838513149412e-65,1508106377066.4407,0.0,0.0,0.0,0.0,4.900520624594872,35145169.25759995,4.477094580803823e-63,1703937899087.5881,0.0,0.0,0.0,0.0,223519047357.22916,1416085781024.5854,62589837.950572275,470563438971.35565
0.1,-1,-1,1,-55815.48718184733,0.0,-0.0005581548718184733,0.0,2.2350769584622826e+23,1.4160335726962745e+24,0.0,2.179376950420368e+24,223507695846.2282,1416033572696.2742,0.0,1844187505194.1047,0.0,0.0,0.0,1500609363219.599,0.0,0.0,0.0,0.0,223507695846.22757,1416033572696.2717,0.0,470562939501.34283,0.0,0.0,0.0,-126984797526.83665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.714965047961893e+17,0.0,0.0,0.0,-145120.2424016595,0.0,0.0,0.0,-1500609363219.599,0.0,0.0,0.0,1700265899374.7378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126984797526.83665,0.0,0.0,0.0,-326641478802.2182,1.4151887305752963e-17,-55815.487181844874,1.415188730575296e-25,-0.0005581548718184486,2.2350769584622826e+23,1.4160335726962745e+24,0.0,2.1793767789238615e+24,223507695846.2282,1416033572696.2742,0.0,1844187360073.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700265899374.7378,223507695846.22757,1416033572696.2717,0.0,470562939501.34283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-326641478802.2182,0.0,0.0,0.0,0.0,11927000.25152667,782077.9592112023,9.962978865308255e-65,1507644877118.5264,0.0,0.0,0.0,0.0,4.990292369780095,35141989.760083966,4.4766895320497473e-63,1704924480305.4468,0.0,0.0,0.0,0.0,223519047357.22943,1416085781024.5862,62589837.95057227,470563438971.356
0.12,-1,-1,1,-55798.5043867748,0.0,-0.000557985043867748,0.0,2.2350766907952402e+23,1.416033559418932e+24,0.0,2.1781243565976978e+24,223507669079.52396,1416033559418.9316,0.0,1843127561031.4365,0.0,0.0,0.0,1500111214488.7126,0.0,0.0,0.0,0.0,223507669079.5233,1416033559418.929,0.0,470562935138.88214,0.0,0.0,0.0,-127546588596.1581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6820495651132435e+17,0.0,0.0,0.0,-142334.9361614883,0.0,0.0,0.0,-1500111214488.7126,0.0,0.0,0.0,1701229077132.4734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127546588596.1581,0.0,0.0,0.0,-328664593574.8554,1.2889709857399343e-17,-55798.504386772336,1.288970985739934e-25,-0.0005579850438677232,2.2350766907952402e+23,1.416033559418932e+24,0.0,2.1781241883927398e+24,223507669079.52396,1416033559418.9316,0.0,1843127418696.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701229077132.4734,223507669079.5233,1416033559418.929,0.0,470562935138.88214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-328664593574.8554,0.0,0.0,0.0,0.0,11963767.054057542,784688.5994746671,9.996235731181753e-65,1507177870910.1375,0.0,0.0,0.0,0.0,5.083414654570932,35138799.084070295,4.4762830592391423e-63,1705916732709.4282,0.0,0.0,0.0,0.0,223519047357.2295,1416085781024.5867,62589837.95057226,470563438971.3562
0.14,-1,-1,1,-55781.327519581006,0.0,-0.0005578132751958099,0.0,2.2350764203025328e+23,1.4160335460543325e+24,0.0,2.176857448595987e+24,223507642030.25323,1416033546054.3323,0.0,1842055504218.8071,0.0,0.0,0.0,1499607071705.0083,0.0,0.0,0.0,0.0,223507642030.25262,1416033546054.3306,0.0,470562930722.702,0.0,0.0,0.0,-128114498208.90182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.649312284405003e+17,0.0,0.0,0.0,-139564.70937605202,0.0,0.0,0.0,-1499607071705.0083,0.0,0.0,0.0,1702197825233.6326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128114498208.90182,0.0,0.0,0.0,-330705391302.23566,1.4151887305752963e-17,-55781.327519578575,1.415188730575296e-25,-0.0005578132751957857,2.2350764203025328e+23,1.4160335460543325e+24,0.0,2.1768572836647602e+24,223507642030.25323,1416033546054.3323,0.0,1842055364654.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702197825233.6326,223507642030.25262,1416033546054.3306,0.0,470562930722.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330705391302.23566,0.0,0.0,0.0,0.0,12000979.105080413,787308.7634101612,1.002961391773238e-64,1506705209805.8086,0.0,0.0,0.0,0.0,5.180079427151705,35135596.76838182,4.4758751036202355e-63,1706914809560.1548,0.0,0.0,0.0,0.0,223519047357.22906,1416085781024.5842,62589837.95057226,470563438971.3552
0.16,-1,-1,1,-55763.95132358552,0.0,-0.0005576395132358551,0.0,2.235076146908065e+23,1.4160335325996144e+24,0.0,2.1755758386980423e+24,223507614690.80643,1416033532599.614,0.0,1840971006670.1538,0.0,0.0,0.0,1499096770494.9902,0.0,0.0,0.0,0.0,223507614690.80566,1416033532599.6113,0.0,470562926251.35626,0.0,0.0,0.0,-128688690076.19255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.616745202821944e+17,0.0,0.0,0.0,-136808.88483066857,0.0,0.0,0.0,-1499096770494.9902,0.0,0.0,0.0,1703172296924.1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128688690076.19255,0.0,0.0,0.0,-332764353314.27985,1.4151887305752963e-17,-55763.95132358317,1.415188730575296e-25,-0.0005576395132358316,2.235076146908065e+23,1.4160335325996144e+24,0.0,2.1755756770235233e+24,223507614690.80643,1416033532599.614,0.0,1840970869861.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703172296924.1938,223507614690.80566,1416033532599.6113,0.0,470562926251.35626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-332764353314.27985,0.0,0.0,0.0,0.0,12038648.635929633,789938.8448941964,1.0063118442572753e-64,1506226738507.2231,0.0,0.0,0.0,0.0,5.280494250303067,35132382.331629425,4.475465603866669e-63,1707918871019.9153,0.0,0.0,0.0,0.0,223519047357.2291,1416085781024.5862,62589837.95057225,470563438971.3559
