sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-48381.974190266345,0.0,-0.0004838197419026634,0.0,1.1442413875665298e+24,1.4160241894773773e+24,1.4567512750281162e+23,0.0,1458066269572.5203,1416024189477.377,145675127502.81158,0.0,1020090587432.2944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695586865.6036,1416024189477.3752,145675127502.811,0.0,-155719904725.37738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031643705236.3685,3449307.869203852,3540992.554427628,4.394021519354408e-64,0.0,0.0,0.0,0.0,3000428740880.466,46397631.56771306,2196388.7799533415,5.910503750207263e-63,0.0,0.0,0.0,0.0,593698451725.8885,1416085399913.9973,145682734079.84204,62589821.10579343,0.0,0.0,0.0,0.0,-4127850696.445593,0.0,0.0,0.0,-0.005259973928332329,0.0,0.0,0.0,-1020090587432.2944,0.0,0.0,0.0,2985845610394.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155719904725.37738,0.0,0.0,0.0,-2121474927687.414,0.0,0.0,0.0,-1.262177448353619e-18,-48381.97419026478,-1.2621774483536189e-26,-0.00048381974190264774,1.1442413875665262e+24,1.4160241894773773e+24,1.4567512750281162e+23,0.0,1458066269572.5154,1416024189477.377,145675127502.81158,0.0,0.0,0.0,0.0,0.0,2985845610394.327,0.0,0.0,0.0,593695586865.6036,1416024189477.3752,145675127502.811,0.0,0.0,0.0,0.0,0.0,-2121474927687.414,0.0,0.0,0.0
0.02,-1,-1,1,-48373.739982908475,0.0,-0.0004837373998290847,0.0,1.1438380834100986e+24,1.4160241846880956e+24,1.4567511164912055e+23,0.0,1457552353371.5679,1416024184688.0952,145675111649.1205,0.0,1019973436358.2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695582300.9623,1416024184688.0938,145675111649.11996,0.0,-156116665287.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031556001311.1746,3449302.283462778,3547983.572309674,4.394014405516987e-64,0.0,0.0,0.0,0.0,3000958195701.749,46397648.3245617,2208532.809739467,5.910505884358589e-63,0.0,0.0,0.0,0.0,593698451725.8888,1416085399913.996,145682734079.8423,62589821.10579341,0.0,0.0,0.0,0.0,-3519204964404478.0,0.0,0.0,0.0,-4484.3982310611755,0.0,0.0,0.0,-1019973436358.2075,0.0,0.0,0.0,2986367930498.1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156116665287.6036,0.0,0.0,0.0,-2122511163911.968,0.0,0.0,0.0,-1.8932661725304287e-18,-48373.73998290706,-1.8932661725304283e-26,-0.0004837373998290705,1.1438380798908929e+24,1.4160241846880956e+24,1.4567511164912055e+23,0.0,1457552348887.1685,1416024184688.0952,145675111649.1205,0.0,0.0,0.0,0.0,0.0,2986367930498.1733,0.0,0.0,0.0,593695582300.9623,1416024184688.0938,145675111649.11996,0.0,0.0,0.0,0.0,0.0,-2122511163911.968,0.0,0.0,0.0
0.04,-1,-1,1,-48365.423226219355,0.0,-0.00048365423226219345,0.0,1.1434307379050596e+24,1.4160241798639027e+24,1.4567509565454511e+23,0.0,1457033287423.2344,1416024179863.9023,145675095654.54507,0.0,1019855096703.6989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695577697.8838,1416024179863.9004,145675095654.54453,0.0,-156517386978.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031467402823.2092,3449296.657111235,3555017.4865993224,4.394007239958904e-64,0.0,0.0,0.0,0.0,3001490019678.635,46397665.203239284,2220796.463262778,5.91050803402614e-63,0.0,0.0,0.0,0.0,593698451725.8882,1416085399913.9968,145682734079.84207,62589821.10579345,0.0,0.0,0.0,0.0,-1.0538703111257068e+16,0.0,0.0,0.0,-13429.096079317853,0.0,0.0,0.0,-1019855096703.6989,0.0,0.0,0.0,2986892568343.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156517386978.347,0.0,0.0,0.0,-2123554872047.6528,0.0,0.0,0.0,-1.8932661725304287e-18,-48365.423226217914,-1.8932661725304283e-26,-0.0004836542322621791,1.1434307273663577e+24,1.4160241798639027e+24,1.4567509565454511e+23,0.0,1457033273994.14,1416024179863.9023,145675095654.54507,0.0,0.0,0.0,0.0,0.0,2986892568343.912,0.0,0.0,0.0,593695577697.8838,1416024179863.9004,145675095654.54453,0.0,0.0,0.0,0.0,0.0,-2123554872047.6528,0.0,0.0,0.0
0.06,-1,-1,1,-48357.02211494918,0.0,-0.0004835702211494917,0.0,1.1430192555619735e+24,1.4160241750040121e+24,1.4567507951571857e+23,0.0,1456508950048.7102,1416024175004.0117,145675079515.71854,0.0,1019735539772.4487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695573055.508,1416024175004.0098,145675079515.71808,0.0,-156922162779.24612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031377887976.4102,3449290.989244667,3562096.676274882,4.3940000215284e-64,0.0,0.0,0.0,0.0,3002024276592.602,46397682.20645906,2233173.026872097,5.910510199555405e-63,0.0,0.0,0.0,0.0,593698451725.8885,1416085399913.9963,145682734079.84222,62589821.105793424,0.0,0.0,0.0,0.0,-7174776841997326.0,0.0,0.0,0.0,-9142.563989294693,0.0,0.0,0.0,-1019735539772.4487,0.0,0.0,0.0,2987419586557.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156922162779.24612,0.0,0.0,0.0,-2124606218706.5405,0.0,0.0,0.0,-1.262177448353619e-18,-48357.02211494764,-1.2621774483536189e-26,-0.00048357022114947634,1.143019248387197e+24,1.4160241750040121e+24,1.4567507951571857e+23,0.0,1456508940906.1467,1416024175004.0117,145675079515.71854,0.0,0.0,0.0,0.0,0.0,2987419586557.178,0.0,0.0,0.0,593695573055.508,1416024175004.0098,145675079515.71808,0.0,0.0,0.0,0.0,0.0,-2124606218706.5405,0.0,0.0,0.0
0.08,-1,-1,1,-48348.53423648702,0.0,-0.00048348534236487015,0.0,1.1426035205895466e+24,1.416024170107381e+24,1.4567506322907657e+23,0.0,1455979193699.2512,1416024170107.3809,145675063229.07654,0.0,1019614733982.4004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695568372.7212,1416024170107.378,145675063229.07602,0.0,-157331108655.8698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031287433795.0205,3449285.2786356686,3569223.7254378507,4.393992748662477e-64,0.0,0.0,0.0,0.0,3002561034566.373,46397699.33790285,2245655.2465774897,5.910512381415301e-63,0.0,0.0,0.0,0.0,593698451725.8873,1416085399913.9956,145682734079.84183,62589821.10579343,0.0,0.0,0.0,0.0,-2125104540412882.2,0.0,0.0,0.0,-2707.94544172287,0.0,0.0,0.0,-1019614733982.4004,0.0,0.0,0.0,2987949051700.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157331108655.8698,0.0,0.0,0.0,-2125665429081.7332,0.0,0.0,0.0,-1.262177448353619e-18,-48348.534236485444,-1.2621774483536189e-26,-0.00048348534236485437,1.1426035184644429e+24,1.416024170107381e+24,1.4567506322907657e+23,0.0,1455979190991.307,1416024170107.3809,145675063229.07654,0.0,0.0,0.0,0.0,0.0,2987949051700.316,0.0,0.0,0.0,593695568372.7212,1416024170107.378,145675063229.07602,0.0,0.0,0.0,0.0,0.0,-2125665429081.7332,0.0,0.0,0.0
0.1,-1,-1,1,-48339.95701723658,0.0,-0.0004833995701723657,0.0,1.1421834154040152e+24,1.4160241651730073e+24,1.4567504679134278e+23,0.0,1455443868542.0317,1416024165173.0068,145675046791.34274,0.0,1019492648951.1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695563648.4374,1416024165173.0054,145675046791.34213,0.0,-157744344057.5117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031196018761.6361,3449279.5241267816,3576401.0932088043,4.3939854198872566e-64,0.0,0.0,0.0,0.0,3003100350345.061,46397716.60104385,2258235.699865481,5.910514580047979e-63,0.0,0.0,0.0,0.0,593698451725.8882,1416085399913.997,145682734079.84183,62589821.10579341,0.0,0.0,0.0,0.0,703085855707546.8,0.0,0.0,0.0,895.9174016602337,0.0,0.0,0.0,-1019492648951.1053,0.0,0.0,0.0,2988481019061.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157744344057.5117,0.0,0.0,0.0,-2126732713272.4524,0.0,0.0,0.0,-1.8932661725304287e-18,-48339.957017234876,-1.8932661725304283e-26,-0.0004833995701723487,1.1421834161071004e+24,1.4160241651730073e+24,1.4567504679134278e+23,0.0,1455443869437.9485,1416024165173.0068,145675046791.34274,0.0,0.0,0.0,0.0,0.0,2988481019061.966,0.0,0.0,0.0,593695563648.4374,1416024165173.0054,145675046791.34213,0.0,0.0,0.0,0.0,0.0,-2126732713272.4524,0.0,0.0,0.0
0.12,-1,-1,1,-48331.28811291141,0.0,-0.000483312881129114,0.0,1.1417588183974754e+24,1.4160241601998096e+24,1.4567503019842776e+23,0.0,1454902819616.4082,1416024160199.8093,145675030198.42773,0.0,1019369249595.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695558881.5029,1416024160199.807,145675030198.42725,0.0,-158161988860.48352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031103616688.0482,3449273.7244425127,3583633.019020276,4.393978033578429e-64,0.0,0.0,0.0,0.0,3003642305392.4624,46397733.9997074,2270899.309110193,5.910516795940737e-63,0.0,0.0,0.0,0.0,593698451725.889,1416085399913.9968,145682734079.84232,62589821.105793424,0.0,0.0,0.0,0.0,676745323996580.2,0.0,0.0,0.0,862.3525951188058,0.0,0.0,0.0,-1019369249595.388,0.0,0.0,0.0,2989015568465.9927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158161988860.48352,0.0,0.0,0.0,-2127808306868.7366,0.0,0.0,0.0,-1.8932661725304287e-18,-48331.28811290965,-1.8932661725304283e-26,-0.0004833128811290964,1.1417588190742205e+24,1.4160241601998096e+24,1.4567503019842776e+23,0.0,1454902820478.7605,1416024160199.8093,145675030198.42773,0.0,0.0,0.0,0.0,0.0,2989015568465.9927,0.0,0.0,0.0,593695558881.5029,1416024160199.807,145675030198.42725,0.0,0.0,0.0,0.0,0.0,-2127808306868.7366,0.0,0.0,0.0
0.14,-1,-1,1,-48322.5249374959,0.0,-0.00048322524937495894,0.0,1.1413296040291209e+24,1.4160241551867308e+24,1.4567501344656088e+23,0.0,1454355886950.177,1416024155186.7305,145675013446.56085,0.0,1019244502001.7843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695554070.772,1416024155186.7283,145675013446.56036,0.0,-158584169122.37875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031010203014.5261,3449267.8783587837,3590923.8506657407,4.393970588177082e-64,0.0,0.0,0.0,0.0,3004186968467.446,46397751.5375669,2283629.5489892475,5.910519029561263e-63,0.0,0.0,0.0,0.0,593698451725.8873,1416085399913.9954,145682734079.84186,62589821.10579342,0.0,0.0,0.0,0.0,650936957890677.9,0.0,0.0,0.0,829.4659083578736,0.0,0.0,0.0,-1019244502001.7843,0.0,0.0,0.0,2989552767113.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158584169122.37875,0.0,0.0,0.0,-2128892433404.1711,0.0,0.0,0.0,-2.524354896707238e-18,-48322.52493749432,-2.5243548967072378e-26,-0.00048322524937494316,1.141329604680058e+24,1.4160241551867308e+24,1.4567501344656088e+23,0.0,1454355887779.643,1416024155186.7305,145675013446.56085,0.0,0.0,0.0,0.0,0.0,2989552767113.0444,0.0,0.0,0.0,593695554070.772,1416024155186.7283,145675013446.56036,0.0,0.0,0.0,0.0,0.0,-2128892433404.1711,0.0,0.0,0.0
0.16,-1,-1,1,-48313.66474724206,0.0,-0.00048313664747242046,0.0,1.1408956379107232e+24,1.4160241501326323e+24,1.4567499653170834e+23,0.0,1453802899297.1797,1416024150132.6318,145674996531.7083,0.0,1019118369964.0856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593695549215.0157,1416024150132.6296,145674996531.7077,0.0,-159011019881.9235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030915751554.2183,3449261.9845388066,3598279.04229616,4.3939630819806716e-64,0.0,0.0,0.0,0.0,3004734414719.3613,46397769.218631394,2296404.6429129643,5.910521281420309e-63,0.0,0.0,0.0,0.0,593698451725.8884,1416085399913.9966,145682734079.84216,62589821.10579344,0.0,0.0,0.0,0.0,625615047421204.2,0.0,0.0,0.0,797.1990947835147,0.0,0.0,0.0,-1019118369964.0856,0.0,0.0,0.0,2990092688443.1157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159011019881.9235,0.0,0.0,0.0,-2129985337563.7532,0.0,0.0,0.0,-1.262177448353619e-18,-48313.66474724053,-1.2621774483536189e-26,-0.00048313664747240523,1.1408956385363374e+24,1.4160241501326323e+24,1.4567499653170834e+23,0.0,1453802900094.3777,1416024150132.6318,145674996531.7083,0.0,0.0,0.0,0.0,0.0,2990092688443.1157,0.0,0.0,0.0,593695549215.0157,1416024150132.6296,145674996531.7077,0.0,0.0,0.0,0.0,0.0,-2129985337563.7532,0.0,0.0,0.0
