sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-58233.27073232473,0.0,-0.0005823327073232472,0.0,0.0,1.9262519494261346e+23,1.4160322853683594e+24,2.0363799662179416e+24,0.0,192625194942.6134,1416032285368.3591,2025977396811.3645,0.0,0.0,0.0,1535149138076.1614,0.0,0.0,0.0,0.0,0.0,192625194942.61307,1416032285368.3567,519418987755.01215,0.0,0.0,0.0,-28590729019.810406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19174898104464.77,0.0,0.0,0.0,-19.07694575190544,0.0,0.0,0.0,-1535149138076.1614,0.0,0.0,0.0,1833160544885.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28590729019.810406,0.0,0.0,0.0,-326602135847.91156,1.1549339653303602e-17,-58233.27073232218,1.15493396533036e-25,-0.0005823327073232217,0.0,1.9262519494261346e+23,1.4160322853683594e+24,2.0363799661987656e+24,0.0,192625194942.6134,1416032285368.3591,2025977396792.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833160544885.186,0.0,192625194942.61307,1416032285368.3567,519418987755.01215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-326602135847.91156,0.0,0.0,0.0,0.0,5.418028535748631e-64,14744631.469382409,4253178.143019178,1536717053349.6091,0.0,0.0,0.0,0.0,3.936255778742545e-63,1654474.9461239902,30899658.048355047,1837821148196.7595,0.0,0.0,0.0,0.0,62589837.95057227,192636388457.9035,1416085781024.591,519419085999.5696
0.02,-1,-1,1,-58220.116530148145,0.0,-0.0005822011653014813,0.0,0.0,1.9262518187495454e+23,1.416032280714123e+24,2.0355547362033448e+24,0.0,192625181874.9545,1416032280714.1226,2025156382371.781,0.0,0.0,0.0,1534919116266.0156,0.0,0.0,0.0,0.0,0.0,192625181874.9542,1416032280714.1196,519418986340.68866,0.0,0.0,0.0,-29181720234.924397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2892994166182404e+16,0.0,0.0,0.0,22776.04842683673,0.0,0.0,0.0,-1534919116266.0156,0.0,0.0,0.0,1833450196165.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29181720234.924397,0.0,0.0,0.0,-327712777358.0395,1.0287162204949983e-17,-58220.116530145744,1.0287162204949982e-25,-0.0005822011653014574,0.0,1.9262518187495454e+23,1.416032280714123e+24,2.0355547590963384e+24,0.0,192625181874.9545,1416032280714.1226,2025156405147.8289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833450196165.179,0.0,192625181874.9542,1416032280714.1196,519418986340.68866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-327712777358.0395,0.0,0.0,0.0,0.0,5.417621892940381e-64,14769081.281532422,4252858.770879298,1536519810059.5122,0.0,0.0,0.0,0.0,3.936305479530886e-63,1650741.8305447444,30900048.382284746,1838126762346.1262,0.0,0.0,0.0,0.0,62589837.95057228,192636388457.90332,1416085781024.5908,519419085999.56915
0.04,-1,-1,1,-58206.63930707395,0.0,-0.0005820663930707394,0.0,0.0,1.9262516890516235e+23,1.4160322759930592e+24,2.0347092381193438e+24,0.0,192625168905.1623,1416032275993.0588,2024315203399.4624,0.0,0.0,0.0,1534689353800.3599,0.0,0.0,0.0,0.0,0.0,192625168905.16196,1416032275993.057,519418984887.785,0.0,0.0,0.0,-29793135288.6822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.210549875153058e+16,0.0,0.0,0.0,51839.324915498495,0.0,0.0,0.0,-1534689353800.3599,0.0,0.0,0.0,1833736476440.8416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29793135288.6822,0.0,0.0,0.0,-328840206089.84015,1.1549339653303602e-17,-58206.63930707145,1.15493396533036e-25,-0.0005820663930707144,0.0,1.9262516890516235e+23,1.4160322759930592e+24,2.0347092902248433e+24,0.0,192625168905.1623,1416032275993.0588,2024315255238.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833736476440.8416,0.0,192625168905.16196,1416032275993.057,519418984887.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-328840206089.84015,0.0,0.0,0.0,0.0,5.417216501786749e-64,14794448.2240956,4252540.381990935,1536323958810.0024,0.0,0.0,0.0,0.0,3.936355027339224e-63,1645369.9940021054,30900437.514492564,1838429248357.5337,0.0,0.0,0.0,0.0,62589837.950572275,192636388457.9034,1416085781024.5908,519419085999.5694
0.06,-1,-1,1,-58192.826653790806,0.0,-0.000581928266537908,0.0,0.0,1.9262515603438833e+23,1.4160322712015357e+24,2.0338427660490988e+24,0.0,192625156034.38828,1416032271201.5354,2023453157583.649,0.0,0.0,0.0,1534459835907.8704,0.0,0.0,0.0,0.0,0.0,192625156034.38785,1416032271201.5325,519418983394.43555,0.0,0.0,0.0,-30425661718.657257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.948221896609007e+16,0.0,0.0,0.0,-59178.36216062307,0.0,0.0,0.0,-1534459835907.8704,0.0,0.0,0.0,1834019363110.5007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30425661718.657257,0.0,0.0,0.0,-329985248099.6499,1.1549339653303602e-17,-58192.82665378839,1.15493396533036e-25,-0.0005819282665378839,0.0,1.9262515603438833e+23,1.4160322712015357e+24,2.0338427065668785e+24,0.0,192625156034.38828,1416032271201.5354,2023453098405.2854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834019363110.5007,0.0,192625156034.38785,1416032271201.5325,519418983394.43555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-329985248099.6499,0.0,0.0,0.0,0.0,5.416812081499129e-64,14820729.00502866,4252222.755818625,1536129522994.6748,0.0,0.0,0.0,0.0,3.9364044564861576e-63,1638375.9877133158,30900825.71451457,1838728595482.6323,0.0,0.0,0.0,0.0,62589837.95057227,192636388457.90378,1416085781024.5908,519419085999.5702
0.08,-1,-1,1,-58178.672506121795,0.0,-0.0005817867250612178,0.0,0.0,1.9262514326364187e+23,1.4160322663383485e+24,2.0329548131786082e+24,0.0,192625143263.6418,1416032266338.3481,2022569740699.3289,0.0,0.0,0.0,1534230553759.5552,0.0,0.0,0.0,0.0,0.0,192625143263.6415,1416032266338.3455,519418981859.5095,0.0,0.0,0.0,-31079794919.736855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.510717560460872e+16,0.0,0.0,0.0,-54825.668111637235,0.0,0.0,0.0,-1534230553759.5552,0.0,0.0,0.0,1834298849283.8801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31079794919.736855,0.0,0.0,0.0,-331148145269.73004,1.0287123686351095e-17,-58178.672506119154,1.0287123686351094e-25,-0.0005817867250611915,0.0,1.9262514326364187e+23,1.4160322663383485e+24,2.0329547580714336e+24,0.0,192625143263.6418,1416032266338.3481,2022569685873.6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834298849283.8801,0.0,192625143263.6415,1416032266338.3455,519418981859.5095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331148145269.73004,0.0,0.0,0.0,0.0,5.4164085201508316e-64,14847915.059375124,4251905.804470752,1535936521289.8174,0.0,0.0,0.0,0.0,3.936453780651612e-63,1629784.8586181852,30901213.089771826,1839024800281.7498,0.0,0.0,0.0,0.0,62589837.950572275,192636388457.90356,1416085781024.5916,519419085999.57
0.1,-1,-1,1,-58164.164477990475,0.0,-0.0005816416447799046,0.0,0.0,1.926251305931505e+23,1.4160322613998062e+24,2.0320446595022204e+24,0.0,192625130593.15045,1416032261399.806,2021664236418.9019,0.0,0.0,0.0,1534001478271.1826,0.0,0.0,0.0,0.0,0.0,192625130593.15012,1416032261399.8044,519418980281.0566,0.0,0.0,0.0,-31756222133.338512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.095996820450948e+16,0.0,0.0,0.0,-50699.64615508914,0.0,0.0,0.0,-1534001478271.1826,0.0,0.0,0.0,1834574934261.1687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31756222133.338512,0.0,0.0,0.0,-332329728822.9707,1.1549301134704714e-17,-58164.16447798791,1.1549301134704713e-25,-0.000581641644779879,0.0,1.926251305931505e+23,1.4160322613998062e+24,2.0320446085422522e+24,0.0,192625130593.15045,1416032261399.806,2021664185719.2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834574934261.1687,0.0,192625130593.15012,1416032261399.8044,519418980281.0566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-332329728822.9707,0.0,0.0,0.0,0.0,5.416005529876756e-64,14875991.087833036,4251589.301858833,1535744962771.6907,0.0,0.0,0.0,0.0,3.9365030350191056e-63,1619633.0841880254,30901599.916587677,1839317873962.7021,0.0,0.0,0.0,0.0,62589837.9505723,192636388457.90353,1416085781024.5913,519419085999.56964
0.12,-1,-1,1,-58149.2916190952,0.0,-0.000581492916190952,0.0,0.0,1.926251180229477e+23,1.4160322563828116e+24,2.0311116180470175e+24,0.0,192625118022.94766,1416032256382.8113,2020735961278.757,0.0,0.0,0.0,1533772578559.7786,0.0,0.0,0.0,0.0,0.0,192625118022.94736,1416032256382.8096,519418978657.25354,0.0,0.0,0.0,-32455595938.275387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.703515227977718e+16,0.0,0.0,0.0,-46794.879617378116,0.0,0.0,0.0,-1533772578559.7786,0.0,0.0,0.0,1834847624834.8408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32455595938.275387,0.0,0.0,0.0,-333530689008.21765,1.1549301134704714e-17,-58149.291619092524,1.1549301134704713e-25,-0.0005814929161909252,0.0,1.926251180229477e+23,1.4160322563828116e+24,2.0311115710118653e+24,0.0,192625118022.94766,1416032256382.8113,2020735914483.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834847624834.8408,0.0,192625118022.94736,1416032256382.8096,519418978657.25354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-333530689008.21765,0.0,0.0,0.0,0.0,5.415602874051835e-64,14904936.033283398,4251273.062142793,1535554852799.5981,0.0,0.0,0.0,0.0,3.936552248509487e-63,1607965.9100952763,30901986.422093924,1839607833191.1235,0.0,0.0,0.0,0.0,62589837.95057225,192636388457.90344,1416085781024.5906,519419085999.56915
0.14,-1,-1,1,-58134.04532588466,0.0,-0.0005813404532588465,0.0,0.0,1.9262510555270017e+23,1.4160322512851125e+24,2.0301550746122746e+24,0.0,192625105552.70013,1416032251285.1123,2019784304215.7305,0.0,0.0,0.0,1533543821301.2925,0.0,0.0,0.0,0.0,0.0,192625105552.69983,1416032251285.1108,519418976986.536,0.0,0.0,0.0,-33178494072.098507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0738850553122562e+17,0.0,0.0,0.0,106839.92599263787,0.0,0.0,0.0,-1533543821301.2925,0.0,0.0,0.0,1835116940551.4585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33178494072.098507,0.0,0.0,0.0,-334751506482.3375,1.0287123686351095e-17,-58134.045325882245,1.0287123686351094e-25,-0.0005813404532588224,0.0,1.9262510555270017e+23,1.4160322512851125e+24,2.0301551820007805e+24,0.0,192625105552.70013,1416032251285.1123,2019784411055.6567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835116940551.4585,0.0,192625105552.69983,1416032251285.1108,519418976986.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-334751506482.3375,0.0,0.0,0.0,0.0,5.4152003612677545e-64,14934724.178234711,4250956.935005573,1535366190142.3723,0.0,0.0,0.0,0.0,3.9366014445170897e-63,1594836.0457781116,30902372.790007055,1839894704367.5518,0.0,0.0,0.0,0.0,62589837.95057227,192636388457.90353,1416085781024.591,519419085999.5696
0.16,-1,-1,1,-58118.407925299674,0.0,-0.0005811840792529966,0.0,0.0,1.9262509318190396e+23,1.4160322461012092e+24,2.0291740748312308e+24,0.0,192625093181.9039,1416032246101.2087,2018808315738.3132,0.0,0.0,0.0,1533315155606.2117,0.0,0.0,0.0,0.0,0.0,192625093181.90353,1416032246101.207,519418975266.1372,0.0,0.0,0.0,-33925815134.036274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99333442711921e+16,0.0,0.0,0.0,99422.84840742499,0.0,0.0,0.0,-1533315155606.2117,0.0,0.0,0.0,1835382888888.3716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33925815134.036274,0.0,0.0,0.0,-335993448993.34766,1.0287123686351095e-17,-58118.40792529716,1.0287123686351094e-25,-0.0005811840792529715,0.0,1.9262509318190396e+23,1.4160322461012092e+24,2.029174174764575e+24,0.0,192625093181.9039,1416032246101.2087,2018808415161.1616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835382888888.3716,0.0,192625093181.90353,1416032246101.207,519418975266.1372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-335993448993.34766,0.0,0.0,0.0,0.0,5.414797635678949e-64,14965322.268432714,4250640.640952844,1535178973820.3032,0.0,0.0,0.0,0.0,3.936650666534165e-63,1580306.7555987416,30902759.36192251,1840178513122.826,0.0,0.0,0.0,0.0,62589837.9505723,192636388457.9035,1416085781024.592,519419085999.57
