sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-47596.939855035984,0.0,-0.0004759693985503598,0.0,1.416035119829808e+24,1.0517702605458909e+23,0.0,9.059721543134884e+23,1416035119829.8076,105177026054.58907,0.0,1449555446901.5813,0.0,0.0,0.0,1018017477255.8259,0.0,0.0,0.0,0.0,1416035119829.806,105177026054.5888,0.0,657768858845.0172,0.0,0.0,0.0,-226230889199.26117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81901.23551150187,2713535.1756954533,1.0433492359562248e-65,1020373282868.1027,0.0,0.0,0.0,0.0,6264502.802258279,60.29833667561152,7.980158281830199e-64,940856450993.9808,0.0,0.0,0.0,0.0,1416085399914.0007,105182378510.97025,62589821.105793424,657769070860.3256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123145665274.93298,0.0,0.0,0.0,0.19703306443989277,0.0,0.0,0.0,-1018017477255.8259,0.0,0.0,0.0,940382269413.8741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226230889199.26117,0.0,0.0,0.0,-148595681357.11215,-1.262177448353619e-18,-47596.9398550343,-1.2621774483536189e-26,-0.000475969398550343,1.416035119829808e+24,1.0517702605458909e+23,0.0,9.059721543136122e+23,1416035119829.8076,105177026054.58907,0.0,1449555446901.7793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940382269413.8741,1416035119829.806,105177026054.5888,0.0,657768858845.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148595681357.11215
0.02,-1,-1,1,-47568.077200638036,0.0,-0.00047568077200638024,0.0,1.4160350955740667e+24,1.0517701400416393e+23,0.0,9.048462608165126e+23,1416035095574.0664,105177014004.1639,0.0,1447754017306.42,0.0,0.0,0.0,1017584732979.7227,0.0,0.0,0.0,0.0,1416035095574.065,105177014004.16356,0.0,657768854450.107,0.0,0.0,0.0,-227599570123.41092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83030.7431066929,2715023.9996962654,1.0577380860250553e-65,1019954805339.3153,0.0,0.0,0.0,0.0,6263373.302375183,61.38037614592654,7.978719396761025e-64,941318329962.2002,0.0,0.0,0.0,0.0,1416085399914.0012,105182378510.97047,62589821.10579343,657769070860.3278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628616813449189.1,0.0,0.0,0.0,1005.7869015187025,0.0,0.0,0.0,-1017584732979.7227,0.0,0.0,0.0,940836853024.8744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227599570123.41092,0.0,0.0,0.0,-150851689162.7761,-1.262177448353619e-18,-47568.077200636224,-1.2621774483536189e-26,-0.00047568077200636213,1.4160350955740667e+24,1.0517701400416393e+23,0.0,9.048462614451296e+23,1416035095574.0664,105177014004.1639,0.0,1447754018312.2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940836853024.8744,1416035095574.065,105177014004.16356,0.0,657768854450.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150851689162.7761
0.04,-1,-1,1,-47538.881890667464,0.0,-0.00047538881890667455,0.0,1.4160350715054348e+24,1.0517700182604862e+23,0.0,9.037073898155202e+23,1416035071505.4343,105177001826.0486,0.0,1445931823704.8323,0.0,0.0,0.0,1017146812569.0413,0.0,0.0,0.0,0.0,1416035071505.4312,105177001826.04826,0.0,657768849973.0234,0.0,0.0,0.0,-228983838837.2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84155.474597599,2716530.637002602,1.0720660916301947e-65,1019531314173.0764,0.0,0.0,0.0,0.0,6262248.578560961,62.50250849810099,7.977286596138491e-64,941785226776.2732,0.0,0.0,0.0,0.0,1416085399914.0012,105182378510.97047,62589821.105793454,657769070860.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752049690586282.0,0.0,0.0,0.0,4403.279504938051,0.0,0.0,0.0,-1017146812569.0413,0.0,0.0,0.0,941296371401.8276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228983838837.2315,0.0,0.0,0.0,-153133393266.73883,-1.8932661725304287e-18,-47538.881890665805,-1.8932661725304283e-26,-0.00047538881890665796,1.4160350715054348e+24,1.0517700182604862e+23,0.0,9.037073925675704e+23,1416035071505.4343,105177001826.0486,0.0,1445931828108.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941296371401.8276,1416035071505.4312,105177001826.04826,0.0,657768849973.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153133393266.73883
0.06,-1,-1,1,-47509.34629213471,0.0,-0.00047509346292134703,0.0,1.4160350476108978e+24,1.0517698951722143e+23,0.0,9.025552461522203e+23,1416035047610.8975,105176989517.2214,0.0,1444088393843.5525,0.0,0.0,0.0,1016703637534.6063,0.0,0.0,0.0,0.0,1416035047610.8948,105176989517.2211,0.0,657768845411.7175,0.0,0.0,0.0,-230384089102.77032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85275.6582648233,2718055.350763243,1.0863361608990922e-65,1019102734985.8608,0.0,0.0,0.0,0.0,6261128.402536559,63.66697734361706,7.975859589149829e-64,942257205755.9647,0.0,0.0,0.0,0.0,1416085399914.0012,105182378510.97054,62589821.10579345,657769070860.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349262508784886.5,0.0,0.0,0.0,2158.8200140558183,0.0,0.0,0.0,-1016703637534.6063,0.0,0.0,0.0,941760887110.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230384089102.77032,0.0,0.0,0.0,-155441336519.35477,-1.262177448353619e-18,-47509.34629213299,-1.2621774483536189e-26,-0.0004750934629213298,1.4160350476108978e+24,1.0517698951722143e+23,0.0,9.025552475014833e+23,1416035047610.8975,105176989517.2214,0.0,1444088396002.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941760887110.0111,1416035047610.8948,105176989517.2211,0.0,657768845411.7175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155441336519.35477
0.08,-1,-1,1,-47479.46262103052,0.0,-0.00047479462621030514,0.0,1.4160350238780595e+24,1.0517697707450976e+23,0.0,9.013895237966149e+23,1416035023878.059,105176977074.50974,0.0,1442223238074.5837,0.0,0.0,0.0,1016255122467.3318,0.0,0.0,0.0,0.0,1416035023878.0552,105176977074.50943,0.0,657768840764.0803,0.0,0.0,0.0,-231800725156.82755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86391.51149021805,2719598.428187702,1.1005510631149683e-65,1018668986583.7062,0.0,0.0,0.0,0.0,6260012.556921691,64.87619883482176,7.974438098866712e-64,942734338179.9735,0.0,0.0,0.0,0.0,1416085399914.0017,105182378510.97041,62589821.10579345,657769070860.3275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073936797967180.6,0.0,0.0,0.0,1718.298876747489,0.0,0.0,0.0,-1016255122467.3318,0.0,0.0,0.0,942230469645.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231800725156.82755,0.0,0.0,0.0,-157776070616.5141,-1.262177448353619e-18,-47479.46262102903,-1.2621774483536189e-26,-0.0004747946262102902,1.4160350238780595e+24,1.0517697707450976e+23,0.0,9.01389524870553e+23,1416035023878.059,105176977074.50974,0.0,1442223239792.8848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942230469645.317,1416035023878.0552,105176977074.50943,0.0,657768840764.0803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157776070616.5141
0.1,-1,-1,1,-47449.22262741997,0.0,-0.00047449222627419965,0.0,1.4160350002947232e+24,1.0517696449458792e+23,0.0,9.002099017139961e+23,1416035000294.723,105176964494.58789,0.0,1440335842742.3938,0.0,0.0,0.0,1015801175800.3041,0.0,0.0,0.0,0.0,1416035000294.7202,105176964494.58759,0.0,657768836027.8906,0.0,0.0,0.0,-233234169085.8009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87503.2585597097,2721160.1775733707,1.1147136555084693e-65,1018229981801.0161,0.0,0.0,0.0,0.0,6258900.817431945,66.13277787821629,7.973021839566046e-64,943216701314.1923,0.0,0.0,0.0,0.0,1416085399914.001,105182378510.97037,62589821.10579343,657769070860.3263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278150870996760.22,0.0,0.0,0.0,445.0413935948163,0.0,0.0,0.0,-1015801175800.3041,0.0,0.0,0.0,942705194361.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233234169085.8009,0.0,0.0,0.0,-160138187202.21628,-1.262177448353619e-18,-47449.22262741816,-1.2621774483536189e-26,-0.00047449222627418154,1.4160350002947232e+24,1.0517696449458792e+23,0.0,9.002099019921479e+23,1416035000294.723,105176964494.58789,0.0,1440335843187.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942705194361.7604,1416035000294.7202,105176964494.58759,0.0,657768836027.8906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160138187202.21628
0.12,-1,-1,1,-47418.61773591229,0.0,-0.0004741861773591228,0.0,1.416034976849082e+24,1.0517695177396571e+23,0.0,8.990160447985561e+23,1416034976849.0815,105176951773.96568,0.0,1438425671677.6897,0.0,0.0,0.0,1015341699071.7206,0.0,0.0,0.0,0.0,1416034976849.0786,105176951773.96533,0.0,657768831200.841,0.0,0.0,0.0,-234684858594.87183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88611.12116742841,2722740.931042483,1.1288267622897695e-65,1017785626740.035,0.0,0.0,0.0,0.0,6257792.96237478,67.43952686923939,7.971610528826823e-64,943704379198.9868,0.0,0.0,0.0,0.0,1416085399914.0012,105182378510.97021,62589821.10579345,657769070860.3259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249805147139122.72,0.0,0.0,0.0,399.68823542259634,0.0,0.0,0.0,-1015341699071.7206,0.0,0.0,0.0,943185143308.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234684858594.87183,0.0,0.0,0.0,-162528302431.95248,-1.262177448353619e-18,-47418.61773591045,-1.2621774483536189e-26,-0.0004741861773591044,1.416034976849082e+24,1.0517695177396571e+23,0.0,8.990160450483614e+23,1416034976849.0815,105176951773.96568,0.0,1438425672077.3782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943185143308.4895,1416034976849.0786,105176951773.96533,0.0,657768831200.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-162528302431.95248
0.14,-1,-1,1,-47387.6389420701,0.0,-0.00047387638942070095,0.0,1.4160349535295514e+24,1.0517693890898049e+23,0.0,8.9780760217371e+23,1416034953529.551,105176938908.98047,0.0,1436492163477.9358,0.0,0.0,0.0,1014876586920.9529,0.0,0.0,0.0,0.0,1416034953529.5486,105176938908.9801,0.0,657768826280.5096,0.0,0.0,0.0,-236153249723.52768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89715.32402770751,2724341.0444952645,1.1428932461411911e-65,1017335820795.017,0.0,0.0,0.0,0.0,6256688.7670373805,68.79948735474821,7.970203880380789e-64,944197462569.5449,0.0,0.0,0.0,0.0,1416085399914.0012,105182378510.9704,62589821.105793454,657769070860.3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224897769809467.72,0.0,0.0,0.0,359.83643169514835,0.0,0.0,0.0,-1014876586920.9529,0.0,0.0,0.0,943670405115.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236153249723.52768,0.0,0.0,0.0,-164947067558.44156,-1.262177448353619e-18,-47387.6389420684,-1.2621774483536189e-26,-0.00047387638942068393,1.4160349535295514e+24,1.0517693890898049e+23,0.0,8.978076023986071e+23,1416034953529.551,105176938908.98047,0.0,1436492163837.7712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943670405115.704,1416034953529.5486,105176938908.9801,0.0,657768826280.5096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164947067558.44156
0.16,-1,-1,1,-47356.27683420458,0.0,-0.0004735627683420457,0.0,1.416034930324814e+24,1.05176925895785e+23,0.0,8.965842067044956e+23,1416034930324.8137,105176925895.78497,0.0,1434534730727.1929,0.0,0.0,0.0,1014405726666.6288,0.0,0.0,0.0,0.0,1416034930324.8115,105176925895.7846,0.0,657768821264.3684,0.0,0.0,0.0,-237639817203.8051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90816.09237755484,2725960.8991373503,1.1569159764021215e-65,1016880456233.8789,0.0,0.0,0.0,0.0,6255588.006184311,70.21595399696184,7.968801607293987e-64,944696049258.9346,0.0,0.0,0.0,0.0,1416085399914.0012,105182378510.97035,62589821.10579346,657769070860.3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202985432876739.7,0.0,0.0,0.0,324.77669260278344,0.0,0.0,0.0,-1014405726666.6288,0.0,0.0,0.0,944161075408.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237639817203.8051,0.0,0.0,0.0,-167395165620.66666,-1.262177448353619e-18,-47356.27683420271,-1.2621774483536189e-26,-0.00047356276834202706,1.416034930324814e+24,1.05176925895785e+23,0.0,8.965842069074806e+23,1416034930324.8137,105176925895.78497,0.0,1434534731051.9688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944161075408.268,1416034930324.8115,105176925895.7846,0.0,657768821264.3684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167395165620.66666
