sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-43994.344441751084,0.0,-0.00043994344441751075,8.788883518929183e+23,1.3354666126148586e+23,1.4160318179351775e+24,0.0,1196332773322.5427,133546661261.48582,1416031817935.177,0.0,740236673222.8022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884765178.1545,133546661261.4855,1416031817935.1738,0.0,-156788665078.41486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742157952242.1698,3421581.3646141444,303608.50976812834,3.867651014803528e-65,0.0,0.0,0.0,0.0,1158790165752.2854,2306417.11289353,8137058.138448949,1.036553805463101e-63,0.0,0.0,0.0,0.0,612885546051.4312,133554177293.33344,1416085399913.9976,62589821.10579345,0.0,0.0,0.0,0.0,515619184.2341972,0.0,0.0,0.0,0.0007018549367785454,0.0,0.0,0.0,-740236673222.8022,0.0,0.0,0.0,1157468697320.4912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156788665078.41486,0.0,0.0,0.0,-574020689176.1033,0.0,0.0,0.0,-43994.34444174928,-2.524354896707238e-18,-0.00043994344441749276,-2.5243548967072378e-26,8.788883518929189e+23,1.3354666126148586e+23,1.4160318179351775e+24,0.0,1196332773322.5435,133546661261.48582,1416031817935.177,0.0,0.0,0.0,0.0,0.0,1157468697320.4912,0.0,0.0,0.0,612884765178.1545,133546661261.4855,1416031817935.1738,0.0,0.0,0.0,0.0,0.0,-574020689176.1033,0.0,0.0,0.0
0.02,-1,-1,1,0.0,-43975.265089697576,0.0,-0.0004397526508969757,8.780135107457143e+23,1.3354665133305646e+23,1.4160318120509343e+24,0.0,1195141949557.9575,133546651333.05643,1416031812050.9338,0.0,739966980526.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884760443.8109,133546651333.05614,1416031812050.9312,0.0,-157709791412.67462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741899556706.3126,3433757.5071259704,303585.13019819837,3.867353234423941e-65,0.0,0.0,0.0,0.0,1159248918051.038,2286169.9394376962,8137097.1041580215,1.0365587684696633e-63,0.0,0.0,0.0,0.0,612885546051.4305,133554177293.33336,1416085399913.9976,62589821.10579341,0.0,0.0,0.0,0.0,-37518275121870.13,0.0,0.0,0.0,-51.069447023794055,0.0,0.0,0.0,-739966980526.82,0.0,0.0,0.0,1157923610784.2615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157709791412.67462,0.0,0.0,0.0,-575666421721.1855,0.0,0.0,0.0,-43975.26508969595,-1.8932661725304287e-18,-0.0004397526508969595,-1.8932661725304283e-26,8.780135107081961e+23,1.3354665133305646e+23,1.4160318120509343e+24,0.0,1195141949506.8882,133546651333.05643,1416031812050.9338,0.0,0.0,0.0,0.0,0.0,1157923610784.2615,0.0,0.0,0.0,612884760443.8109,133546651333.05614,1416031812050.9312,0.0,0.0,0.0,0.0,0.0,-575666421721.1855,0.0,0.0,0.0
0.04,-1,-1,1,0.0,-43955.9410268458,0.0,-0.0004395594102684579,8.771274488735883e+23,1.3354664135744801e+23,1.416031806103231e+24,0.0,1193935852270.9326,133546641357.44798,1416031806103.2307,0.0,739696076752.8336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884755648.2468,133546641357.44759,1416031806103.229,0.0,-158644980130.14886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741640121764.0242,3446916.0073476755,303561.5447030201,3.867052831149619e-65,0.0,0.0,0.0,0.0,1159709182091.634,2264214.8476023735,8137136.413073687,1.0365637751911386e-63,0.0,0.0,0.0,0.0,612885546051.4292,133554177293.33322,1416085399913.996,62589821.10579342,0.0,0.0,0.0,0.0,-56272697686161.016,0.0,0.0,0.0,-76.59775253618136,0.0,0.0,0.0,-739696076752.8336,0.0,0.0,0.0,1158379995429.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158644980130.14886,0.0,0.0,0.0,-577328898883.337,0.0,0.0,0.0,-43955.94102684448,-1.8932661725304287e-18,-0.00043955941026844466,-1.8932661725304283e-26,8.771274488173155e+23,1.3354664135744801e+23,1.416031806103231e+24,0.0,1193935852194.3347,133546641357.44798,1416031806103.2307,0.0,0.0,0.0,0.0,0.0,1158379995429.424,0.0,0.0,0.0,612884755648.2468,133546641357.44759,1416031806103.229,0.0,0.0,0.0,0.0,0.0,-577328898883.337,0.0,0.0,0.0
0.06,-1,-1,1,0.0,-43936.363632295586,0.0,-0.00043936363632295577,8.762297709298744e+23,1.3354663133553822e+23,1.4160318000901802e+24,0.0,1192713943320.1077,133546631335.5382,1416031800090.18,0.0,739423981905.8802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884750789.6663,133546631335.5379,1416031800090.1787,0.0,-159594789375.44022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741379674235.8745,3461094.068440189,303537.7471037729,3.866749726280505e-65,0.0,0.0,0.0,0.0,1160170906691.7334,2240489.6778303646,8137176.075493969,1.036568826939198e-63,0.0,0.0,0.0,0.0,612885546051.4308,133554177293.33357,1416085399913.9968,62589821.10579342,0.0,0.0,0.0,0.0,-57662023473843.12,0.0,0.0,0.0,-78.48888690955937,0.0,0.0,0.0,-739423981905.8802,0.0,0.0,0.0,1158837798884.3481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159594789375.44022,0.0,0.0,0.0,-579008606432.3961,0.0,0.0,0.0,-43936.36363229422,-1.8932661725304287e-18,-0.0004393636363229421,-1.8932661725304283e-26,8.762297708722123e+23,1.3354663133553822e+23,1.4160318000901802e+24,0.0,1192713943241.6187,133546631335.5382,1416031800090.18,0.0,0.0,0.0,0.0,0.0,1158837798884.3481,0.0,0.0,0.0,612884750789.6663,133546631335.5379,1416031800090.1787,0.0,0.0,0.0,0.0,0.0,-579008606432.3961,0.0,0.0,0.0
0.08,-1,-1,1,0.0,-43916.52395462913,0.0,-0.00043916523954629116,8.753200662273374e+23,1.3354662126824765e+23,1.416031794009812e+24,0.0,1191475663682.7148,133546621268.24762,1416031794009.8115,0.0,739150716892.9331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884745866.1926,133546621268.24725,1416031794009.8093,0.0,-160559799076.4113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741118242115.9058,3476324.8103261506,303513.73099939496,3.866443838285848e-65,0.0,0.0,0.0,0.0,1160634038722.0352,2214939.7020363277,8137216.1020872025,1.0365739250726845e-63,0.0,0.0,0.0,0.0,612885546051.4291,133554177293.33292,1416085399913.9958,62589821.1057934,0.0,0.0,0.0,0.0,455657574082094.56,0.0,0.0,0.0,620.2358787814155,0.0,0.0,0.0,-739150716892.9331,0.0,0.0,0.0,1159296966795.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160559799076.4113,0.0,0.0,0.0,-580706048358.8358,0.0,0.0,0.0,-43916.52395462759,-1.8932661725304287e-18,-0.00043916523954627587,-1.8932661725304283e-26,8.753200666829951e+23,1.3354662126824765e+23,1.416031794009812e+24,0.0,1191475664302.951,133546621268.24762,1416031794009.8115,0.0,0.0,0.0,0.0,0.0,1159296966795.592,0.0,0.0,0.0,612884745866.1926,133546621268.24725,1416031794009.8093,0.0,0.0,0.0,0.0,0.0,-580706048358.8358,0.0,0.0,0.0
0.1,-1,-1,1,0.0,-43896.41259112176,0.0,-0.00043896412591121756,8.743979044299031e+23,1.3354661115651508e+23,1.4160317878600528e+24,0.0,1190220427590.2117,133546611156.51505,1416031787860.0525,0.0,738876302744.3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884740875.8562,133546611156.51482,1416031787860.0488,0.0,-161540616029.96603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740855853856.6193,3492636.1375620407,303489.4896219748,3.866135080962271e-65,0.0,0.0,0.0,0.0,1161098524380.1606,2187519.603900118,8137256.5041331835,1.0365790710283201e-63,0.0,0.0,0.0,0.0,612885546051.431,133554177293.33376,1416085399913.9978,62589821.105793424,0.0,0.0,0.0,0.0,10774886199691.098,0.0,0.0,0.0,14.66665186965838,0.0,0.0,0.0,-738876302744.3213,0.0,0.0,0.0,1159757444079.4724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161540616029.96603,0.0,0.0,0.0,-582421757350.4504,0.0,0.0,0.0,-43896.41259112027,-1.8932661725304287e-18,-0.00043896412591120265,-1.8932661725304283e-26,8.74397904440679e+23,1.3354661115651508e+23,1.4160317878600528e+24,0.0,1190220427604.8796,133546611156.51505,1416031787860.0525,0.0,0.0,0.0,0.0,0.0,1159757444079.4724,0.0,0.0,0.0,612884740875.8562,133546611156.51482,1416031787860.0488,0.0,0.0,0.0,0.0,0.0,-582421757350.4504,0.0,0.0,0.0
0.12,-1,-1,1,0.0,-43876.01984623839,0.0,-0.0004387601984623838,8.734628401804567e+23,1.3354660100125503e+23,1.4160317816387514e+24,0.0,1188947628827.5864,133546601001.255,1416031781638.751,0.0,738600759707.6444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884735816.6045,133546601001.25473,1416031781638.7476,0.0,-162537866696.6644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740592537375.0105,3510050.156092815,303465.01599570207,3.865823365458307e-65,0.0,0.0,0.0,0.0,1161564310952.2485,2158194.4812627384,8137297.293258194,1.036584266286968e-63,0.0,0.0,0.0,0.0,612885546051.4303,133554177293.33334,1416085399913.9966,62589821.1057934,0.0,0.0,0.0,0.0,10738707637531.63,0.0,0.0,0.0,14.617406024597585,0.0,0.0,0.0,-738600759707.6444,0.0,0.0,0.0,1160219176710.4138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162537866696.6644,0.0,0.0,0.0,-584156283684.8162,0.0,0.0,0.0,-43876.01984623696,-1.262177448353619e-18,-0.00043876019846236954,-1.2621774483536189e-26,8.734628401911949e+23,1.3354660100125503e+23,1.4160317816387514e+24,0.0,1188947628842.2031,133546601001.255,1416031781638.751,0.0,0.0,0.0,0.0,0.0,1160219176710.4138,0.0,0.0,0.0,612884735816.6045,133546601001.25473,1416031781638.7476,0.0,0.0,0.0,0.0,0.0,-584156283684.8162,0.0,0.0,0.0
0.14,-1,-1,1,0.0,-43855.33558284139,0.0,-0.0004385533558284138,8.725144089073698e+23,1.3354659080337592e+23,1.4160317753436506e+24,0.0,1187656635025.2517,133546590803.37589,1416031775343.6501,0.0,738324107481.2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884730686.2836,133546590803.37555,1416031775343.6482,0.0,-163552203142.28366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740328320360.1909,3528581.976320983,303440.30277969607,3.865508598272647e-65,0.0,0.0,0.0,0.0,1162031346266.8936,2126941.9209718355,8137338.481696962,1.0365895124069777e-63,0.0,0.0,0.0,0.0,612885546051.4312,133554177293.33368,1416085399913.9968,62589821.10579341,0.0,0.0,0.0,0.0,10691293362300.252,0.0,0.0,0.0,14.55286625539884,0.0,0.0,0.0,-738324107481.2504,0.0,0.0,0.0,1160682111150.1367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163552203142.28366,0.0,0.0,0.0,-585910206796.6166,0.0,0.0,0.0,-43855.33558283988,-1.262177448353619e-18,-0.0004385533558283987,-1.2621774483536189e-26,8.725144089180609e+23,1.3354659080337592e+23,1.4160317753436506e+24,0.0,1187656635039.8044,133546590803.37589,1416031775343.6501,0.0,0.0,0.0,0.0,0.0,1160682111150.1367,0.0,0.0,0.0,612884730686.2836,133546590803.37555,1416031775343.6482,0.0,0.0,0.0,0.0,0.0,-585910206796.6166,0.0,0.0,0.0
0.16,-1,-1,1,0.0,-43834.34928386561,0.0,-0.000438343492838656,8.715521283687364e+23,1.3354658056373551e+23,1.41603176897239e+24,0.0,1186346789761.0403,133546580563.73547,1416031768972.3896,0.0,738046364270.0847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612884725482.637,133546580563.73512,1416031768972.3875,0.0,-164584299991.68176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740063229292.5356,3548239.019843554,303415.34232049744,3.865190681922672e-65,0.0,0.0,0.0,0.0,1162499580426.3818,2093753.182095432,8137380.082205167,1.0365948110130617e-63,0.0,0.0,0.0,0.0,612885546051.4298,133554177293.33328,1416085399913.9966,62589821.10579343,0.0,0.0,0.0,0.0,10634912851093.875,0.0,0.0,0.0,14.476121748331934,0.0,0.0,0.0,-738046364270.0847,0.0,0.0,0.0,1161146196088.1494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164584299991.68176,0.0,0.0,0.0,-587684131795.2697,0.0,0.0,0.0,-43834.34928386408,-1.8932661725304287e-18,-0.0004383434928386408,-1.8932661725304283e-26,8.715521283793714e+23,1.3354658056373551e+23,1.41603176897239e+24,0.0,1186346789775.5166,133546580563.73547,1416031768972.3896,0.0,0.0,0.0,0.0,0.0,1161146196088.1494,0.0,0.0,0.0,612884725482.637,133546580563.73512,1416031768972.3875,0.0,0.0,0.0,0.0,0.0,-587684131795.2697,0.0,0.0,0.0
