sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-43656.813810436346,0.0,-0.00043656813810436337,2.1179834511596386e+23,1.4160350142027395e+24,0.0,1.2189009847611475e+24,211798345115.9638,1416035014202.739,0.0,1097010886285.0327,0.0,0.0,0.0,645559258083.5652,0.0,0.0,0.0,0.0,211798345115.9634,1416035014202.7363,0.0,489084597581.3456,0.0,0.0,0.0,-37632969379.879364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3861604.512438436,425811.0442812156,5.424247483606743e-65,645947318333.2109,0.0,0.0,0.0,0.0,185064.023224794,5920595.210583404,7.542068438101126e-64,645943142206.3141,0.0,0.0,0.0,0.0,211811299483.3732,1416085399913.9836,62589821.10579338,489084601591.6602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2730123233.050108,0.0,0.0,0.0,-0.002457110909745097,0.0,0.0,0.0,-645559258083.5652,0.0,0.0,0.0,645826706555.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37632969379.879364,0.0,0.0,0.0,-37900417851.8349,-43656.81381043509,-2.524354896707238e-18,-0.0004365681381043508,-2.5243548967072378e-26,2.1179834511596386e+23,1.4160350142027395e+24,0.0,1.2189009847611445e+24,211798345115.9638,1416035014202.739,0.0,1097010886285.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645826706555.518,211798345115.9634,1416035014202.7363,0.0,489084597581.3456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37900417851.8349
0.02,-1,-1,1,0.0,-43650.0374345505,0.0,-0.0004365003743455049,2.1179834262895933e+23,1.416034993552039e+24,0.0,1.218431065757581e+24,211798342628.95926,1416034993552.0386,0.0,1096587959181.823,0.0,0.0,0.0,645567806897.6674,0.0,0.0,0.0,0.0,211798342628.95886,1416034993552.036,0.0,489084597496.88165,0.0,0.0,0.0,-38064445212.72674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3862512.7501366613,423295.63482451683,5.392202246969748e-65,645960367164.745,0.0,0.0,0.0,0.0,184113.5432565384,5923110.604778488,7.545272961903553e-64,645930093239.8943,0.0,0.0,0.0,0.0,211811299483.37253,1416085399913.982,62589821.105793364,489084601591.65906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4746019862098232.0,0.0,0.0,0.0,4271.417875888408,0.0,0.0,0.0,-645567806897.6674,0.0,0.0,0.0,645812338197.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38064445212.72674,0.0,0.0,0.0,-38308972241.5026,-43650.03743454935,-2.524354896707238e-18,-0.0004365003743454934,-2.5243548967072378e-26,2.1179834262895933e+23,1.416034993552039e+24,0.0,1.2184310705036004e+24,211798342628.95926,1416034993552.0386,0.0,1096587963453.2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645812338197.861,211798342628.95886,1416034993552.036,0.0,489084597496.88165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38308972241.5026
0.04,-1,-1,1,0.0,-43643.17145453228,0.0,-0.0004364317145453228,2.1179834018097957e+23,1.4160349730308678e+24,0.0,1.217954930079254e+24,211798340180.97952,1416034973030.8674,0.0,1096159437071.3285,0.0,0.0,0.0,645576779844.9058,0.0,0.0,0.0,0.0,211798340180.97916,1416034973030.8647,0.0,489084597410.42645,0.0,0.0,0.0,-38501940184.004036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3863397.042973413,420814.97194049845,5.360599743135764e-65,645973902871.965,0.0,0.0,0.0,0.0,183185.3882758938,5925591.252597949,7.548433212423748e-64,645916557076.3091,0.0,0.0,0.0,0.0,211811299483.37283,1416085399913.9822,62589821.10579337,489084601591.6595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4834561530312834e+16,0.0,0.0,0.0,13351.10537728155,0.0,0.0,0.0,-645576779844.9058,0.0,0.0,0.0,645797466184.5851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38501940184.004036,0.0,0.0,0.0,-38722613172.57823,-43643.171454531024,-3.7865323450608574e-18,-0.0004364317145453102,-3.7865323450608567e-26,2.1179834018097957e+23,1.4160349730308678e+24,0.0,1.2179549449138163e+24,211798340180.97952,1416034973030.8674,0.0,1096159450422.4346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645797466184.5851,211798340180.97916,1416034973030.8647,0.0,489084597410.42645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38722613172.57823
0.06,-1,-1,1,0.0,-43636.21258188588,0.0,-0.0004363621258188587,2.117983377724078e+23,1.4160349526386986e+24,0.0,1.2174723589793419e+24,211798337772.40775,1416034952638.6982,0.0,1095725123081.4075,0.0,0.0,0.0,645586184774.4583,0.0,0.0,0.0,0.0,211798337772.4074,1416034952638.695,0.0,489084597321.8956,0.0,0.0,0.0,-38945659014.94717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3864257.49792805,418368.7073873091,5.329435537712772e-65,645987935438.638,0.0,0.0,0.0,0.0,182279.41817415718,5928037.502282077,7.551549633100953e-64,645902523696.2881,0.0,0.0,0.0,0.0,211811299483.3726,1416085399913.9817,62589821.10579336,489084601591.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020618829744687e+16,0.0,0.0,0.0,9185.569467702182,0.0,0.0,0.0,-645586184774.4583,0.0,0.0,0.0,645782079836.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38945659014.94717,0.0,0.0,0.0,-39141544891.17196,-43636.212581884574,-2.524354896707238e-18,-0.0004363621258188457,-2.5243548967072378e-26,2.117983377724078e+23,1.4160349526386986e+24,0.0,1.2174723691855304e+24,211798337772.40775,1416034952638.6982,0.0,1095725132266.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645782079836.2521,211798337772.4074,1416034952638.695,0.0,489084597321.8956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39141544891.17196
0.08,-1,-1,1,0.0,-43629.15744268292,0.0,-0.00043629157442682913,2.1179833540364372e+23,1.4160349323759586e+24,0.0,1.2169831169217893e+24,211798335403.64368,1416034932375.9583,0.0,1095284805229.6104,0.0,0.0,0.0,645596026183.8286,0.0,0.0,0.0,0.0,211798335403.64337,1416034932375.9553,0.0,489084597231.20734,0.0,0.0,0.0,-39395818185.426414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3865094.241235022,415956.6096997714,5.29870668406743e-65,646002471619.313,0.0,0.0,0.0,0.0,181395.48409494237,5930449.585295203,7.554622518598503e-64,645887986307.8168,0.0,0.0,0.0,0.0,211811299483.37296,1416085399913.9824,62589821.10579337,489084601591.6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3606012913671503.5,0.0,0.0,0.0,-3245.411622304353,0.0,0.0,0.0,-645596026183.8286,0.0,0.0,0.0,645766171715.6865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39395818185.426414,0.0,0.0,0.0,-39565966962.69592,-43629.157442681455,-2.524354896707238e-18,-0.0004362915744268145,-2.5243548967072378e-26,2.1179833540364372e+23,1.4160349323759586e+24,0.0,1.216983113315776e+24,211798335403.64368,1416034932375.9583,0.0,1095284801984.1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645766171715.6865,211798335403.64337,1416034932375.9553,0.0,489084597231.20734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39565966962.69592
0.1,-1,-1,1,0.0,-43622.002073621465,0.0,-0.00043622002073621463,2.1179833307485477e+23,1.4160349122421387e+24,0.0,1.2164869127355064e+24,211798333074.8547,1416034912242.1382,0.0,1094838221461.9556,0.0,0.0,0.0,645606305696.4738,0.0,0.0,0.0,0.0,211798333074.85437,1416034912242.1355,0.0,489084597138.2641,0.0,0.0,0.0,-39852681372.78356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3865907.468521559,413578.33774945093,5.2684088385134565e-65,646017515786.5975,0.0,0.0,0.0,0.0,180533.3755688516,5932827.842764232,7.557652303285053e-64,645872940499.0972,0.0,0.0,0.0,0.0,211811299483.37256,1416085399913.9814,62589821.10579336,489084601591.6589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888370464196713.2,0.0,0.0,0.0,1699.533417777042,0.0,0.0,0.0,-645606305696.4738,0.0,0.0,0.0,645749736663.5216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39852681372.78356,0.0,0.0,0.0,-39996110640.29787,-43622.00207362034,-2.524354896707238e-18,-0.0004362200207362033,-2.5243548967072378e-26,2.1179833307485477e+23,1.4160349122421387e+24,0.0,1.2164869146238763e+24,211798333074.8547,1416034912242.1382,0.0,1094838223161.4885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645749736663.5216,211798333074.85437,1416034912242.1355,0.0,489084597138.2641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39996110640.29787
0.12,-1,-1,1,0.0,-43614.742714488784,0.0,-0.0004361474271448878,2.117983307865713e+23,1.4160348922374818e+24,0.0,1.215983500201167e+24,211798330786.57123,1416034892237.4814,0.0,1094385150181.05,0.0,0.0,0.0,645617031328.487,0.0,0.0,0.0,0.0,211798330786.57077,1416034892237.4783,0.0,489084597042.97076,0.0,0.0,0.0,-40316478190.408516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3866697.2465234483,411233.64229448297,5.238538828179301e-65,646033078350.6338,0.0,0.0,0.0,0.0,179692.9915194513,5935172.52393005,7.560639304447774e-64,645857375818.0652,0.0,0.0,0.0,0.0,211811299483.37305,1416085399913.982,62589821.10579337,489084601591.65967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830091855028230.5,0.0,0.0,0.0,1647.0826695254073,0.0,0.0,0.0,-645617031328.487,0.0,0.0,0.0,645732763475.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40316478190.408516,0.0,0.0,0.0,-40432208690.09111,-43614.742714487315,-2.524354896707238e-18,-0.00043614742714487303,-2.5243548967072378e-26,2.117983307865713e+23,1.4160348922374818e+24,0.0,1.2159835020312592e+24,211798330786.57123,1416034892237.4814,0.0,1094385151828.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645732763475.252,211798330786.57077,1416034892237.4783,0.0,489084597042.97076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40432208690.09111
0.14,-1,-1,1,0.0,-43607.374975044164,0.0,-0.00043607374975044156,2.117983285390778e+23,1.4160348723614762e+24,0.0,1.2154725712925015e+24,211798328539.07773,1416034872361.4758,0.0,1093925314163.2512,0.0,0.0,0.0,645628207170.2102,0.0,0.0,0.0,0.0,211798328539.07745,1416034872361.474,0.0,489084596945.2162,0.0,0.0,0.0,-40787489952.17581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3867463.722310931,408922.1893234087,5.209092400280127e-65,646049166334.8243,0.0,0.0,0.0,0.0,178874.16156524332,5937483.962802605,7.56358394736515e-64,645841285197.4578,0.0,0.0,0.0,0.0,211811299483.37305,1416085399913.9822,62589821.10579335,489084601591.66003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771643410528906.8,0.0,0.0,0.0,1594.4790694760159,0.0,0.0,0.0,-645628207170.2102,0.0,0.0,0.0,645715244229.2179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40787489952.17581,0.0,0.0,0.0,-40874525416.70452,-43607.374975042956,-2.524354896707238e-18,-0.0004360737497504295,-2.5243548967072378e-26,2.117983285390778e+23,1.4160348723614762e+24,0.0,1.215472573064145e+24,211798328539.07773,1416034872361.4758,0.0,1093925315757.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645715244229.2179,211798328539.07745,1416034872361.474,0.0,489084596945.2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40874525416.70452
0.16,-1,-1,1,0.0,-43599.894216618006,0.0,-0.00043599894216618,2.1179832633271084e+23,1.4160348526137494e+24,0.0,1.2149538043172687e+24,211798326332.7108,1416034852613.749,0.0,1093458423885.5417,0.0,0.0,0.0,645639837799.7383,0.0,0.0,0.0,0.0,211798326332.71054,1416034852613.7456,0.0,489084596844.8812,0.0,0.0,0.0,-41266010759.077866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3868207.024979702,406643.66511172114,5.180065560597864e-65,646065787383.6414,0.0,0.0,0.0,0.0,178076.73134969472,5939762.473105007,7.566486631459037e-64,645824660946.5693,0.0,0.0,0.0,0.0,211811299483.37265,1416085399913.982,62589821.10579337,489084601591.6592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713088761324891.0,0.0,0.0,0.0,1541.7798851924017,0.0,0.0,0.0,-645639837799.7383,0.0,0.0,0.0,645697170326.5776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41266010759.077866,0.0,0.0,0.0,-41323341744.1374,-43599.89421661677,-3.7865323450608574e-18,-0.00043599894216616767,-3.7865323450608567e-26,2.1179832633271084e+23,1.4160348526137494e+24,0.0,1.2149538060303583e+24,211798326332.7108,1416034852613.749,0.0,1093458425427.3223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645697170326.5776,211798326332.71054,1416034852613.7456,0.0,489084596844.8812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41323341744.1374
