sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-43513.243761778365,0.0,-0.0004351324376177836,9.545669954830115e+23,1.416034604302263e+24,1.574059599741845e+23,0.0,1142442493707.2402,1416034604302.2627,157405959974.18445,0.0,793464728523.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139774301.502,1416034604302.259,157405959974.18414,0.0,-226162009118.0237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-390631338529.5506,0.0,0.0,0.0,-0.46751442551612854,0.0,0.0,0.0,-793464728523.7614,0.0,0.0,0.0,849286977157.3647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226162009118.0237,0.0,0.0,0.0,-281984257752.09406,0.0,0.0,0.0,-43513.243761776284,9.112691606263759e-18,-0.0004351324376177628,9.112691606263757e-26,9.545669954826204e+23,1.416034604302263e+24,1.574059599741845e+23,0.0,1142442493706.7722,1416034604302.2627,157405959974.18445,0.0,0.0,0.0,0.0,0.0,849286977157.3647,0.0,0.0,0.0,575139774301.502,1416034604302.259,157405959974.18414,0.0,0.0,0.0,0.0,0.0,-281984257752.09406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795951498789.8624,98534.2711643897,23731333.768731058,1.2552458708157206e-65,0.0,0.0,0.0,0.0,850090280840.955,7099237.92049223,22.338023713480244,9.043499608924063e-64,0.0,0.0,0.0,0.0,575140267310.4843,1416085781024.5977,157413884191.47296,62589837.95057232
0.02,-1,-1,1,0.0,-43494.91355809023,0.0,-0.00043494913558090226,9.536110847612246e+23,1.4160345918438262e+24,1.574059419249037e+23,0.0,1141298443018.3652,1416034591843.826,157405941924.9037,0.0,792949351269.9297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139770179.0851,1416034591843.823,157405941924.90326,0.0,-226790678430.64984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192397654885892.94,0.0,0.0,0.0,-230.2648820579052,0.0,0.0,0.0,-792949351269.9297,0.0,0.0,0.0,849974984834.4814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226790678430.64984,0.0,0.0,0.0,-283816312225.4672,0.0,0.0,0.0,-43494.913558088054,9.112691606263759e-18,-0.00043494913558088047,9.112691606263757e-26,9.536110845688268e+23,1.4160345918438262e+24,1.574059419249037e+23,0.0,1141298442788.1003,1416034591843.826,157405941924.9037,0.0,0.0,0.0,0.0,0.0,849974984834.4814,0.0,0.0,0.0,575139770179.0851,1416034591843.823,157405941924.90326,0.0,0.0,0.0,0.0,0.0,-283816312225.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795443085874.5636,99016.23067014982,23745311.09044554,1.2613855711516428e-65,0.0,0.0,0.0,0.0,850783554293.3804,7098648.8628826635,22.722008145899608,9.042749201095091e-64,0.0,0.0,0.0,0.0,575140267310.4847,1416085781024.5974,157413884191.47305,62589837.9505723
0.04,-1,-1,1,0.0,-43476.41377847489,0.0,-0.00043476413778474886,9.526463308177474e+23,1.416034579327661e+24,1.5740592369710572e+23,0.0,1140143808606.9353,1416034579327.6606,157405923697.10568,0.0,792429308799.0454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139766010.9897,1416034579327.6575,157405923697.1053,0.0,-227425266203.09985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-557633614295100.7,0.0,0.0,0.0,-667.3856731951237,0.0,0.0,0.0,-792429308799.0454,0.0,0.0,0.0,850668391875.7523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227425266203.09985,0.0,0.0,0.0,-285664349947.1928,0.0,0.0,0.0,-43476.41377847287,7.85051415791014e-18,-0.0004347641377847286,7.850514157910139e-26,9.526463302601135e+23,1.416034579327661e+24,1.5740592369710572e+23,0.0,1140143807939.5493,1416034579327.6606,157405923697.10568,0.0,0.0,0.0,0.0,0.0,850668391875.7523,0.0,0.0,0.0,575139766010.9897,1416034579327.6575,157405923697.1053,0.0,0.0,0.0,0.0,0.0,-285664349947.1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794930073314.4851,99500.19049259028,23759414.859843418,1.2675507532261561e-65,0.0,0.0,0.0,0.0,851482273046.6571,7098057.360457547,23.11945970567003,9.041995678831367e-64,0.0,0.0,0.0,0.0,575140267310.4852,1416085781024.5974,157413884191.47345,62589837.950572304
0.06,-1,-1,1,0.0,-43457.74022962556,0.0,-0.0004345774022962555,9.516725143314257e+23,1.416034566751582e+24,1.5740590528632414e+23,0.0,1138978327985.553,1416034566751.5815,157405905286.3241,0.0,791904487193.8136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139761796.0774,1416034566751.5789,157405905286.32367,0.0,-228065921004.3383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54629817897217.37,0.0,0.0,0.0,-65.38192257285118,0.0,0.0,0.0,-791904487193.8136,0.0,0.0,0.0,851367328954.1799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228065921004.3383,0.0,0.0,0.0,-287528762830.0862,0.0,0.0,0.0,-43457.74022962364,7.85051415791014e-18,-0.0004345774022962363,7.850514157910139e-26,9.516725142767956e+23,1.416034566751582e+24,1.5740590528632414e+23,0.0,1138978327920.1707,1416034566751.5815,157405905286.3241,0.0,0.0,0.0,0.0,0.0,851367328954.1799,0.0,0.0,0.0,575139761796.0774,1416034566751.5789,157405905286.32367,0.0,0.0,0.0,0.0,0.0,-287528762830.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794412348837.0217,99986.21813316703,23773648.16625266,1.2737422769452602e-65,0.0,0.0,0.0,0.0,852186568901.857,7097463.330715671,23.5310992887224,9.041238937033274e-64,0.0,0.0,0.0,0.0,575140267310.4834,1416085781024.5972,157413884191.4729,62589837.95057231
0.08,-1,-1,1,0.0,-43438.888514495084,0.0,-0.0004343888851449508,9.506894068271768e+23,1.4160345541132993e+24,1.5740588668790665e+23,0.0,1137801727711.239,1416034554113.2988,157405886687.90662,0.0,791374767781.3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139757533.162,1416034554113.2966,157405886687.90613,0.0,-228712797603.2456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53948108237376.68,0.0,0.0,0.0,-64.56604051589966,0.0,0.0,0.0,-791374767781.3229,0.0,0.0,0.0,852071932189.5349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228712797603.2456,0.0,0.0,0.0,-289409962076.0236,0.0,0.0,0.0,-43438.888514493025,7.85051415791014e-18,-0.0004343888851449302,7.850514157910139e-26,9.50689406773228e+23,1.4160345541132993e+24,1.5740588668790665e+23,0.0,1137801727646.672,1416034554113.2988,157405886687.90662,0.0,0.0,0.0,0.0,0.0,852071932189.5349,0.0,0.0,0.0,575139757533.162,1416034554113.2966,157405886687.90613,0.0,0.0,0.0,0.0,0.0,-289409962076.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793889795482.6637,100474.3847954958,23788014.228498355,1.2799610493744907e-65,0.0,0.0,0.0,0.0,852896579162.2087,7096866.686630964,23.957701324342526,9.040478864837221e-64,0.0,0.0,0.0,0.0,575140267310.4832,1416085781024.5957,157413884191.4725,62589837.9505723
0.1,-1,-1,1,0.0,-43419.854068612156,0.0,-0.0004341985406861215,9.496967699675447e+23,1.416034541410455e+24,1.5740586789699967e+23,0.0,1136613722537.553,1416034541410.4548,157405867896.99963,0.0,790840026698.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139753221.0063,1416034541410.453,157405867896.9992,0.0,-229366057382.27066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53319042459404.67,0.0,0.0,0.0,-63.813163578510284,0.0,0.0,0.0,-790840026698.817,0.0,0.0,0.0,852782343690.9559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229366057382.27066,0.0,0.0,0.0,-291308374438.22235,0.0,0.0,0.0,-43419.85406861,9.112691606263759e-18,-0.00043419854068609996,9.112691606263757e-26,9.496967699142249e+23,1.416034541410455e+24,1.5740586789699967e+23,0.0,1136613722473.7388,1416034541410.4548,157405867896.99963,0.0,0.0,0.0,0.0,0.0,852782343690.9559,0.0,0.0,0.0,575139753221.0063,1416034541410.453,157405867896.9992,0.0,0.0,0.0,0.0,0.0,-291308374438.22235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793362291175.5823,100964.76395247535,23802516.406462725,1.2862080064852219e-65,0.0,0.0,0.0,0.0,853612447164.6798,7096267.33840384,24.40009932202683,9.039715347846715e-64,0.0,0.0,0.0,0.0,575140267310.4846,1416085781024.598,157413884191.47305,62589837.95057232
0.12,-1,-1,1,0.0,-43400.63212350291,0.0,-0.00043400632123502905,9.486943550786285e+23,1.416034528640589e+24,1.574058489085361e+23,0.0,1135414014847.216,1416034528640.5889,157405848908.53604,0.0,790300134665.6981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139748858.3176,1416034528640.5862,157405848908.5356,0.0,-230025868676.80078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52700365382964.05,0.0,0.0,0.0,-63.072720021009445,0.0,0.0,0.0,-790300134665.6981,0.0,0.0,0.0,853498711794.9597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230025868676.80078,0.0,0.0,0.0,-293224445869.13495,0.0,0.0,0.0,-43400.63212350072,9.112691606263759e-18,-0.00043400632123500715,9.112691606263757e-26,9.486943550259268e+23,1.416034528640589e+24,1.574058489085361e+23,0.0,1135414014784.1418,1416034528640.5889,157405848908.53604,0.0,0.0,0.0,0.0,0.0,853498711794.9597,0.0,0.0,0.0,575139748858.3176,1416034528640.5862,157405848908.5356,0.0,0.0,0.0,0.0,0.0,-293224445869.13495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792829708499.6003,101457.4323493426,23817158.206970222,1.2924841259328235e-65,0.0,0.0,0.0,0.0,854334322528.2424,7095665.1922351485,24.85919116402525,9.038948266570555e-64,0.0,0.0,0.0,0.0,575140267310.4841,1416085781024.5974,157413884191.47302,62589837.950572304
0.14,-1,-1,1,0.0,-43381.21770019481,0.0,-0.00043381217700194804,9.476819025091617e+23,1.416034515801149e+24,1.574058297172251e+23,0.0,1134202293885.0466,1416034515801.1487,157405829717.22507,0.0,789754956633.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139744443.7476,1416034515801.146,157405829717.22455,0.0,-230692407191.75467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52040218911887.125,0.0,0.0,0.0,-62.28264516592026,0.0,0.0,0.0,-789754956633.0542,0.0,0.0,0.0,854221191473.6558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230692407191.75467,0.0,0.0,0.0,-295158642094.6387,0.0,0.0,0.0,-43381.21770019276,9.112691606263759e-18,-0.00043381217700192755,9.112691606263757e-26,9.476819024571229e+23,1.416034515801149e+24,1.574058297172251e+23,0.0,1134202293822.7656,1416034515801.1487,157405829717.22507,0.0,0.0,0.0,0.0,0.0,854221191473.6558,0.0,0.0,0.0,575139744443.7476,1416034515801.146,157405829717.22455,0.0,0.0,0.0,0.0,0.0,-295158642094.6387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792291914352.4882,101952.46996541179,23831943.293038733,1.2987904265698475e-65,0.0,0.0,0.0,0.0,855062361563.5475,7095060.1503730705,25.335944578699987,9.038177496482295e-64,0.0,0.0,0.0,0.0,575140267310.4844,1416085781024.5977,157413884191.47302,62589837.95057231
0.16,-1,-1,1,0.0,-43361.605596198744,0.0,-0.0004336160559619874,9.466591409515421e+23,1.4160345028894762e+24,1.5740581031753654e+23,0.0,1132978234945.3557,1416034502889.4758,157405810317.5365,0.0,789204351423.6866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575139739975.8861,1416034502889.473,157405810317.53604,0.0,-231365856454.21643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51292652760621.42,0.0,0.0,0.0,-61.38794490695,0.0,0.0,0.0,-789204351423.6866,0.0,0.0,0.0,854949944748.7229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231365856454.21643,0.0,0.0,0.0,-297111449840.6411,0.0,0.0,0.0,-43361.60559619686,7.85051415791014e-18,-0.0004336160559619685,7.850514157910139e-26,9.466591409002492e+23,1.4160345028894762e+24,1.5740581031753654e+23,0.0,1132978234883.9675,1416034502889.4758,157405810317.5365,0.0,0.0,0.0,0.0,0.0,854949944748.7229,0.0,0.0,0.0,575139739975.8861,1416034502889.473,157405810317.53604,0.0,0.0,0.0,0.0,0.0,-297111449840.6411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791748769591.0823,102449.96018098567,23846875.493459884,1.305127970573289e-65,0.0,0.0,0.0,0.0,855796727690.3699,7094452.110909046,25.831402785810116,9.03740290776031e-64,0.0,0.0,0.0,0.0,575140267310.4845,1416085781024.5972,157413884191.47314,62589837.950572304
