sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-43657.415826542994,0.0,-0.0004365741582654299,0.0,1.416029496448377e+24,9.51681798278885e+22,7.139318495417626e+23,0.0,1416029496448.3765,95168179827.88849,1213684144220.9958,0.0,0.0,0.0,1063287303384.4915,0.0,0.0,0.0,0.0,0.0,1416029496448.3735,95168179827.88834,673600307546.563,0.0,0.0,0.0,-523203466710.0583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.420835039237775e-65,268531.61052672676,2541391.5853794115,1068739222652.9106,0.0,0.0,0.0,0.0,3.871204845604846e-63,30388957.70175979,0.10381229764006746,1747309499261.106,0.0,0.0,0.0,0.0,62589821.105793454,1416085399914.002,95172951796.17706,673603750773.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64242688172.00382,0.0,0.0,0.0,-0.10921256989240646,0.0,0.0,0.0,-1063287303384.4915,0.0,0.0,0.0,1728133612374.3538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523203466710.0583,0.0,0.0,0.0,-1188049775700.0288,-43657.41582654153,-6.310887241768095e-19,-0.00043657415826541527,-6.3108872417680944e-27,0.0,1.416029496448377e+24,9.51681798278885e+22,7.139318495416971e+23,0.0,1416029496448.3765,95168179827.88849,1213684144220.8848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728133612374.3538,0.0,1416029496448.3735,95168179827.88834,673600307546.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1188049775700.0288
0.02,-1,-1,1,0.0,-43636.86886162105,0.0,-0.0004363686886162104,0.0,1.4160294899095676e+24,9.516816899873136e+22,7.131774829058978e+23,0.0,1416029489909.5671,95168168998.73134,1212401720940.026,0.0,0.0,0.0,1062843425822.8228,0.0,0.0,0.0,0.0,0.0,1416029489909.565,95168168998.73119,673600300634.3154,0.0,0.0,0.0,-524042005517.11224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4223292382441677e-65,268648.90476452035,2542940.771748449,1068304085731.7079,0.0,0.0,0.0,0.0,3.871130135651296e-63,30388371.250180576,0.10530445840385069,1747416659719.99,0.0,0.0,0.0,0.0,62589821.10579345,1416085399914.0032,95172951796.17732,673603750773.4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-471179414342212.44,0.0,0.0,0.0,-801.005004381761,0.0,0.0,0.0,-1062843425822.8228,0.0,0.0,0.0,1728218665421.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524042005517.11224,0.0,0.0,0.0,-1189417245916.9175,-43636.8688616196,-6.310887241768095e-19,-0.00043636868861619593,-6.3108872417680944e-27,0.0,1.4160294899095676e+24,9.516816899873136e+22,7.131774824347174e+23,0.0,1416029489909.5671,95168168998.73134,1212401720139.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728218665421.625,0.0,1416029489909.565,95168168998.73119,673600300634.3154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1189417245916.9175
0.04,-1,-1,1,0.0,-43616.14480934088,0.0,-0.00043616144809340875,0.0,1.416029483314723e+24,9.51681580643028e+22,7.124166149106951e+23,0.0,1416029483314.7227,95168158064.30278,1211108245348.1814,0.0,0.0,0.0,1062395716935.8683,0.0,0.0,0.0,0.0,0.0,1416029483314.7212,95168158064.30258,673600293659.2522,0.0,0.0,0.0,-524887765246.9393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4238355454974596e-65,268767.14949708426,2544503.3307610843,1067865192753.2778,0.0,0.0,0.0,0.0,3.8710548202853683e-63,30387780.04628608,0.10684640816986549,1747524349124.1992,0.0,0.0,0.0,0.0,62589821.10579345,1416085399914.0027,95172951796.17749,673603750773.4058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2007102402894593.8,0.0,0.0,0.0,-3412.0740849208087,0.0,0.0,0.0,-1062395716935.8683,0.0,0.0,0.0,1728304063135.0654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524887765246.9393,0.0,0.0,0.0,-1190796114858.2087,-43616.14480933954,-1.262177448353619e-18,-0.0004361614480933953,-1.2621774483536189e-26,0.0,1.416029483314723e+24,9.51681580643028e+22,7.124166129035925e+23,0.0,1416029483314.7227,95168158064.30278,1211108241936.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728304063135.0654,0.0,1416029483314.7212,95168158064.30258,673600293659.2522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1190796114858.2087
0.06,-1,-1,1,0.0,-43595.23936107758,0.0,-0.0004359523936107758,0.0,1.416029476662493e+24,9.516814702200681e+22,7.116490865521647e+23,0.0,1416029476662.4927,95168147022.00679,1209803447138.6797,0.0,0.0,0.0,1061944082918.9126,0.0,0.0,0.0,0.0,0.0,1416029476662.4905,95168147022.00652,673600286619.8446,0.0,0.0,0.0,-525740922400.0766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425354248569401e-65,268886.3672987613,2546079.590421357,1067422451751.5275,0.0,0.0,0.0,0.0,3.870978885128484e-63,30387183.9772081,0.10844073017415955,1747632581430.483,0.0,0.0,0.0,0.0,62589821.10579347,1416085399914.0027,95172951796.17696,673603750773.4044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1195292367407066.2,0.0,0.0,0.0,-2031.9970245920122,0.0,0.0,0.0,-1061944082918.9126,0.0,0.0,0.0,1728389815041.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525740922400.0766,0.0,0.0,0.0,-1192186656554.211,-43595.239361076165,-1.8932661725304287e-18,-0.00043595239361076164,-1.8932661725304283e-26,0.0,1.416029476662493e+24,9.516814702200681e+22,7.116490853568718e+23,0.0,1416029476662.4927,95168147022.00679,1209803445106.6816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728389815041.051,0.0,1416029476662.4905,95168147022.00652,673600286619.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1192186656554.211
0.08,-1,-1,1,0.0,-43574.14799034174,0.0,-0.00043574147990341737,0.0,1.4160294699514156e+24,9.516813586914279e+22,7.108747325348262e+23,0.0,1416029469951.4153,95168135869.14276,1208487045309.2043,0.0,0.0,0.0,1061488426206.222,0.0,0.0,0.0,0.0,0.0,1416029469951.413,95168135869.14249,673600279514.4768,0.0,0.0,0.0,-526601660411.4941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426885671485782e-65,269006.5836055346,2547669.8919305196,1066975767071.7915,0.0,0.0,0.0,0.0,3.8709023139793514e-63,30386582.91577106,0.11009018282452379,1747741371148.556,0.0,0.0,0.0,0.0,62589821.10579342,1416085399914.002,95172951796.17743,673603750773.4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1850328967004795.8,0.0,0.0,0.0,-3145.559243908152,0.0,0.0,0.0,-1061488426206.222,0.0,0.0,0.0,1728475930844.5159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526601660411.4941,0.0,0.0,0.0,-1193589168195.3496,-43574.14799034026,-1.262177448353619e-18,-0.00043574147990340257,-1.2621774483536189e-26,0.0,1.4160294699514156e+24,9.516813586914279e+22,7.10874730684496e+23,0.0,1416029469951.4153,95168135869.14276,1208487042163.6428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728475930844.5159,0.0,1416029469951.413,95168135869.14249,673600279514.4768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1193589168195.3496
0.1,-1,-1,1,0.0,-43552.86602281845,0.0,-0.0004355286602281845,0.0,1.4160294631800306e+24,9.516812460289165e+22,7.100933803971398e+23,0.0,1416029463180.0303,95168124602.89163,1207158746675.1375,0.0,0.0,0.0,1061028644949.4211,0.0,0.0,0.0,0.0,0.0,1416029463180.0276,95168124602.89133,673600272341.4943,0.0,0.0,0.0,-527470170615.77704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.428430124278767e-65,269127.8227548827,2549274.591455702,1066525038859.4491,0.0,0.0,0.0,0.0,3.8708250913363543e-63,30385976.740292028,0.11179771571624486,1747850733445.6548,0.0,0.0,0.0,0.0,62589821.10579347,1416085399914.0046,95172951796.17778,673603750773.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151525250366505.47,0.0,0.0,0.0,-257.5929256230593,0.0,0.0,0.0,-1061028644949.4211,0.0,0.0,0.0,1728562420910.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527470170615.77704,0.0,0.0,0.0,-1195003946834.1897,-43552.86602281686,-6.310887241768095e-19,-0.00043552866022816855,-6.3108872417680944e-27,0.0,1.4160294631800306e+24,9.516812460289165e+22,7.100933802456146e+23,0.0,1416029463180.0303,95168124602.89163,1207158746417.5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728562420910.242,0.0,1416029463180.0276,95168124602.89133,673600272341.4943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1195003946834.1897
0.12,-1,-1,1,0.0,-43531.388546119815,0.0,-0.00043531388546119807,0.0,1.4160294563467491e+24,9.516811322031453e+22,7.093048506532707e+23,0.0,1416029456346.7488,95168113220.31451,1205818246110.5598,0.0,0.0,0.0,1060564633066.1547,0.0,0.0,0.0,0.0,0.0,1416029456346.7466,95168113220.31424,673600265099.1368,0.0,0.0,0.0,-528346652054.7303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4299879570551336e-65,269250.1122301324,2550894.059914866,1066070163106.6987,0.0,0.0,0.0,0.0,3.870747199694171e-63,30385365.313358348,0.11356648450293991,1747960684113.5269,0.0,0.0,0.0,0.0,62589821.105793424,1416085399914.0027,95172951796.1775,673603750773.4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149823457106728.8,0.0,0.0,0.0,-254.6998770814389,0.0,0.0,0.0,-1060564633066.1547,0.0,0.0,0.0,1728649295814.7908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528346652054.7303,0.0,0.0,0.0,-1196431315058.0652,-43531.388546118185,-6.310887241768095e-19,-0.00043531388546118175,-6.3108872417680944e-27,0.0,1.4160294563467491e+24,9.516811322031453e+22,7.093048505034482e+23,0.0,1416029456346.7488,95168113220.31451,1205818245855.8616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728649295814.7908,0.0,1416029456346.7466,95168113220.31424,673600265099.1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1196431315058.0652
0.14,-1,-1,1,0.0,-43509.71046553796,0.0,-0.00043509710465537954,0.0,1.4160294494499693e+24,9.516810171834512e+22,7.085089558930021e+23,0.0,1416029449449.969,95168101718.3451,1204465225018.1033,0.0,0.0,0.0,1060096279732.7753,0.0,0.0,0.0,0.0,0.0,1416029449449.967,95168101718.3448,673600257785.6047,0.0,0.0,0.0,-529231312500.2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4315595142720707e-65,269373.47907109506,2552528.684709431,1065611031155.9924,0.0,0.0,0.0,0.0,3.870668621829919e-63,30384748.499775536,0.11539987701031489,1748071239666.051,0.0,0.0,0.0,0.0,62589821.105793454,1416085399914.002,95172951796.17749,673603750773.4052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148120964664746.78,0.0,0.0,0.0,-251.80563993006945,0.0,0.0,0.0,-1060096279732.7753,0.0,0.0,0.0,1728736566786.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529231312500.2762,0.0,0.0,0.0,-1197871599805.9382,-43509.71046553622,-6.310887241768095e-19,-0.00043509710465536213,-6.3108872417680944e-27,0.0,1.4160294494499693e+24,9.516810171834512e+22,7.085089557448807e+23,0.0,1416029449449.969,95168101718.3451,1204465224766.2969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728736566786.633,0.0,1416029449449.967,95168101718.3448,673600257785.6047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1197871599805.9382
0.16,-1,-1,1,0.0,-43487.826454155016,0.0,-0.0004348782645415501,0.0,1.4160294424880034e+24,9.516809009377937e+22,7.077055005426775e+23,0.0,1416029442488.0032,95168090093.77934,1203099350922.5515,0.0,0.0,0.0,1059623469243.6041,0.0,0.0,0.0,0.0,0.0,1416029442488.0002,95168090093.779,673600250399.0051,0.0,0.0,0.0,-530124368720.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4331451614892178e-65,269497.9519741233,2554178.8702017,1065147529562.0343,0.0,0.0,0.0,0.0,3.870589339465628e-63,30384126.156066835,0.11730154452751909,1748182417348.0305,0.0,0.0,0.0,0.0,62589821.10579344,1416085399914.0027,95172951796.17755,673603750773.4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146393189730451.4,0.0,0.0,0.0,-248.86842254176736,0.0,0.0,0.0,-1059623469243.6041,0.0,0.0,0.0,1728824245506.9329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530124368720.0565,0.0,0.0,0.0,-1199325145232.2542,-43487.82645415355,-1.262177448353619e-18,-0.00043487826454153536,-1.2621774483536189e-26,0.0,1.4160294424880034e+24,9.516809009377937e+22,7.077055003962845e+23,0.0,1416029442488.0032,95168090093.77934,1203099350673.6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728824245506.9329,0.0,1416029442488.0002,95168090093.779,673600250399.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1199325145232.2542
