sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-44822.995515138755,0.0,-0.0004482299551513875,1.0096477487810628e+24,1.4160304356354469e+24,1.5451396793148866e+23,0.0,1227086928956.2117,1416030435635.4465,154513967931.48862,0.0,872228480878.7203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713767965.154,1416030435635.4443,154513967931.48837,0.0,-224855319887.66193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127054539922.05344,0.0,0.0,0.0,-0.15441718697547913,0.0,0.0,0.0,-872228480878.7203,0.0,0.0,0.0,1647073962407.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224855319887.66193,0.0,0.0,0.0,-999700801416.7363,0.0,0.0,0.0,-44822.995515136776,7.961409204107957e-18,-0.0004482299551513677,7.961409204107956e-26,1.0096477487809351e+24,1.4160304356354469e+24,1.5451396793148866e+23,0.0,1227086928956.0566,1416030435635.4465,154513967931.48862,0.0,0.0,0.0,0.0,0.0,1647073962407.639,0.0,0.0,0.0,579713767965.154,1416030435635.4443,154513967931.48837,0.0,0.0,0.0,0.0,0.0,-999700801416.7363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874548582601.7845,318487.16262758453,23839730.674308002,4.057210107561557e-65,0.0,0.0,0.0,0.0,1663205208986.6462,30139192.127351712,11.01300850941404,3.839386584545111e-63,0.0,0.0,0.0,0.0,579715614819.3712,1416085781024.5981,154521712967.52115,62589837.95057229
0.02,-1,-1,1,0.0,-44804.973482607034,0.0,-0.0004480497348260703,1.0087222441717934e+24,1.4160304292250573e+24,1.5451395037221116e+23,0.0,1225962106353.384,1416030429225.057,154513950372.21112,0.0,871672087952.3153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713762736.4073,1416030429225.055,154513950372.21085,0.0,-225423744335.33844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1211408174702898.2,0.0,0.0,0.0,-1472.2987681627274,0.0,0.0,0.0,-871672087952.3153,0.0,0.0,0.0,1647411376115.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225423744335.33844,0.0,0.0,0.0,-1001163033971.1025,0.0,0.0,0.0,-44804.97348260499,9.223625171060464e-18,-0.0004480497348260498,9.223625171060462e-26,1.0087222429603837e+24,1.4160304292250573e+24,1.5451395037221116e+23,0.0,1225962104881.0833,1416030429225.057,154513950372.21112,0.0,0.0,0.0,0.0,0.0,1647411376115.781,0.0,0.0,0.0,579713762736.4073,1416030429225.055,154513950372.21085,0.0,0.0,0.0,0.0,0.0,-1001163033971.1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873998101288.8208,318607.76122505835,23854183.24346539,4.058746397637342e-65,0.0,0.0,0.0,0.0,1663566262074.652,30138589.154351637,11.171002940909794,3.8393097700413156e-63,0.0,0.0,0.0,0.0,579715614819.3707,1416085781024.5977,154521712967.52094,62589837.950572304
0.04,-1,-1,1,0.0,-44786.789983603965,0.0,-0.00044786789983603957,1.0077884477489595e+24,1.4160304227620198e+24,1.5451393264253965e+23,0.0,1224827206200.188,1416030422762.0195,154513932642.5396,0.0,871110891970.0983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713757458.2057,1416030422762.018,154513932642.53925,0.0,-225997443228.11636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3075715582565392.0,0.0,0.0,0.0,-3738.106080174446,0.0,0.0,0.0,-871110891970.0983,0.0,0.0,0.0,1647750388193.8225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225997443228.11636,0.0,0.0,0.0,-1002636943189.9475,0.0,0.0,0.0,-44786.78998360191,9.223625171060464e-18,-0.0004478678998360191,9.223625171060462e-26,1.0077884446732446e+24,1.4160304227620198e+24,1.5451393264253965e+23,0.0,1224827202462.0828,1416030422762.0195,154513932642.5396,0.0,0.0,0.0,0.0,0.0,1647750388193.8225,0.0,0.0,0.0,579713757458.2057,1416030422762.018,154513932642.53925,0.0,0.0,0.0,0.0,0.0,-1002636943189.9475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873442871787.2693,318729.19691322395,23868760.46314749,4.060293351346017e-65,0.0,0.0,0.0,0.0,1663929102302.5217,30137981.996036526,11.334261228314686,3.8392324223558795e-63,0.0,0.0,0.0,0.0,579715614819.3698,1416085781024.597,154521712967.5206,62589837.95057231
0.06,-1,-1,1,0.0,-44768.441092481706,0.0,-0.000447684410924817,1.0068461570034712e+24,1.4160304162450533e+24,1.5451391473828474e+23,0.0,1223681982374.8875,1416030416245.053,154513914738.2847,0.0,870544775654.0513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713752129.3483,1416030416245.0518,154513914738.28442,0.0,-226576545408.51068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-432625373330218.3,0.0,0.0,0.0,-525.7961911857128,0.0,0.0,0.0,-870544775654.0513,0.0,0.0,0.0,1648091041000.2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226576545408.51068,0.0,0.0,0.0,-1004122811280.4957,0.0,0.0,0.0,-44768.44109247972,7.961447722706845e-18,-0.0004476844109247971,7.961447722706843e-26,1.0068461565708455e+24,1.4160304162450533e+24,1.5451391473828474e+23,0.0,1223681981849.0908,1416030416245.053,154513914738.2847,0.0,0.0,0.0,0.0,0.0,1648091041000.2402,0.0,0.0,0.0,579713752129.3483,1416030416245.0518,154513914738.28442,0.0,0.0,0.0,0.0,0.0,-1004122811280.4957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872882778158.8906,318851.49017348344,23883465.377382156,4.061851229603585e-65,0.0,0.0,0.0,0.0,1664293776591.3254,30137370.55000251,11.503054394752954,3.839154528442996e-63,0.0,0.0,0.0,0.0,579715614819.3705,1416085781024.5964,154521712967.52112,62589837.95057228
0.08,-1,-1,1,0.0,-44749.92268258719,0.0,-0.00044749922682587185,1.005895161231128e+24,1.4160304096727585e+24,1.5451389665508196e+23,0.0,1222526178795.7246,1416030409672.7583,154513896655.08194,0.0,869973617050.6858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713746748.5499,1416030409672.756,154513896655.08157,0.0,-227161185003.5095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-429588226724414.8,0.0,0.0,0.0,-522.1049603521824,0.0,0.0,0.0,-869973617050.6858,0.0,0.0,0.0,1648433378312.6726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227161185003.5095,0.0,0.0,0.0,-1005620946787.602,0.0,0.0,0.0,-44749.922682585086,9.223625171060464e-18,-0.00044749922682585076,9.223625171060462e-26,1.0058951608015396e+24,1.4160304096727585e+24,1.5451389665508196e+23,0.0,1222526178273.6194,1416030409672.7583,154513896655.08194,0.0,0.0,0.0,0.0,0.0,1648433378312.6726,0.0,0.0,0.0,579713746748.5499,1416030409672.756,154513896655.08157,0.0,0.0,0.0,0.0,0.0,-1005620946787.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872317699844.4426,318974.66569285525,23898301.15247382,4.06342034689638e-65,0.0,0.0,0.0,0.0,1664660333707.3699,30136754.692818873,11.677672320771,3.839076072578355e-63,0.0,0.0,0.0,0.0,579715614819.3711,1416085781024.5974,154521712967.5214,62589837.95057232
0.1,-1,-1,1,0.0,-44731.23048261847,0.0,-0.0004473123048261846,1.004935240637992e+24,1.41603040304372e+24,1.5451387838838204e+23,0.0,1221359528333.625,1416030403043.7197,154513878388.38202,0.0,869397288909.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713741314.495,1416030403043.7175,154513878388.38168,0.0,-227751501889.92123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426524562492719.1,0.0,0.0,0.0,-518.381501019001,0.0,0.0,0.0,-869397288909.0527,0.0,0.0,0.0,1648777446065.3323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227751501889.92123,0.0,0.0,0.0,-1007131659564.5817,0.0,0.0,0.0,-44731.23048261648,9.223625171060464e-18,-0.0004473123048261647,9.223625171060462e-26,1.0049352402114676e+24,1.41603040304372e+24,1.5451387838838204e+23,0.0,1221359527815.244,1416030403043.7197,154513878388.38202,0.0,0.0,0.0,0.0,0.0,1648777446065.3323,0.0,0.0,0.0,579713741314.495,1416030403043.7175,154513878388.38168,0.0,0.0,0.0,0.0,0.0,-1007131659564.5817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871747511046.6324,319098.746632825,23913271.093246263,4.065000998272166e-65,0.0,0.0,0.0,0.0,1665028824594.874,30136134.30868139,11.85842587778482,3.8389970400095577e-63,0.0,0.0,0.0,0.0,579715614819.3698,1416085781024.5962,154521712967.5207,62589837.95057229
0.12,-1,-1,1,0.0,-44712.36003005446,0.0,-0.0004471236003005445,1.0039661660556697e+24,1.4160303963564575e+24,1.5451385993344263e+23,0.0,1220181752466.1636,1416030396356.457,154513859933.4426,0.0,868815658555.6857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713735825.8071,1416030396356.4556,154513859933.44217,0.0,-228347641915.32846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-423397975209781.56,0.0,0.0,0.0,-514.5815674364567,0.0,0.0,0.0,-868815658555.6857,0.0,0.0,0.0,1649123292108.5764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228347641915.32846,0.0,0.0,0.0,-1008655275982.8005,0.0,0.0,0.0,-44712.36003005245,9.223625171060464e-18,-0.0004471236003005244,9.223625171060462e-26,1.0039661656322721e+24,1.4160303963564575e+24,1.5451385993344263e+23,0.0,1220181751951.5823,1416030396356.457,154513859933.4426,0.0,0.0,0.0,0.0,0.0,1649123292108.5764,0.0,0.0,0.0,579713735825.8071,1416030396356.4556,154513859933.44217,0.0,0.0,0.0,0.0,0.0,-1008655275982.8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871172080607.5476,319223.75786530157,23928378.64618675,4.06659350056316e-65,0.0,0.0,0.0,0.0,1665399302381.3606,30135509.273235314,12.04564909442215,3.8389174148949996e-63,0.0,0.0,0.0,0.0,579715614819.3694,1416085781024.597,154521712967.52063,62589837.95057231
0.14,-1,-1,1,0.0,-44693.30666818167,0.0,-0.00044693306668181664,1.002987698343179e+24,1.4160303896094233e+24,1.5451384128531287e+23,0.0,1218992560550.614,1416030389609.4229,154513841285.31284,0.0,868228587524.2583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713730281.0502,1416030389609.4207,154513841285.3124,0.0,-228949757254.6938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420226930052718.0,0.0,0.0,0.0,-510.7276014685631,0.0,0.0,0.0,-868228587524.2583,0.0,0.0,0.0,1649470966404.8054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228949757254.6938,0.0,0.0,0.0,-1010192136645.969,0.0,0.0,0.0,-44693.306668179546,9.223625171060464e-18,-0.0004469330666817954,9.223625171060462e-26,1.0029876979229525e+24,1.4160303896094233e+24,1.5451384128531287e+23,0.0,1218992560039.887,1416030389609.4229,154513841285.31284,0.0,0.0,0.0,0.0,0.0,1649470966404.8054,0.0,0.0,0.0,579713730281.0502,1416030389609.4207,154513841285.3124,0.0,0.0,0.0,0.0,0.0,-1010192136645.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870591271642.2457,319349.7252954787,23943627.408883084,4.0681981837617635e-65,0.0,0.0,0.0,0.0,1665771822536.4304,30134879.456958372,12.239701658823265,3.838837180735066e-63,0.0,0.0,0.0,0.0,579715614819.3706,1416085781024.5974,154521712967.521,62589837.950572334
0.16,-1,-1,1,0.0,-44674.06553459263,0.0,-0.00044674065534592623,1.0019995877963445e+24,1.4160303828009987e+24,1.5451382243882048e+23,0.0,1217791649106.154,1416030382800.9983,154513822438.82043,0.0,867635931200.3833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579713724678.7224,1416030382800.9956,154513822438.82,0.0,-229558006772.95074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-416992771362441.4,0.0,0.0,0.0,-506.7969297468662,0.0,0.0,0.0,-867635931200.3833,0.0,0.0,0.0,1649820521158.0896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229558006772.95074,0.0,0.0,0.0,-1011742597237.4545,0.0,0.0,0.0,-44674.06553459046,9.223625171060464e-18,-0.00044674065534590455,9.223625171060462e-26,1.0019995873793527e+24,1.4160303828009987e+24,1.5451382243882048e+23,0.0,1217791648599.3584,1416030382800.9983,154513822438.82043,0.0,0.0,0.0,0.0,0.0,1649820521158.0896,0.0,0.0,0.0,579713724678.7224,1416030382800.9956,154513822438.82,0.0,0.0,0.0,0.0,0.0,-1011742597237.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870004941187.5951,319476.6758856904,23959021.13897885,4.069815391326205e-65,0.0,0.0,0.0,0.0,1666146443014.9858,30134244.72504375,12.440971510168938,3.83875632035684e-63,0.0,0.0,0.0,0.0,579715614819.3693,1416085781024.5962,154521712967.52075,62589837.950572304
