sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,tot:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gabs_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gother_forward_iv:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gabs_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gother_forward_cv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gabs_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,tot:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,tot:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-54539.06568589832,0.0,-0.0005453906568589831,0.0,1.8660819073712866e+24,0.0,1.9980953362568093e+23,1.4160293770066239e+24,1788222135602.4414,0.0,199809533625.68088,1416029377006.6235,1346828804761.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053058382.79114,0.0,199809533625.6803,1416029377006.6206,-66659727542.34734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350905054754.4683,5.217498153749166e-64,11794974.54815474,4095751.245072643,0.0,0.0,0.0,0.0,2149808681888.4153,4.635490226935612e-63,8752738.901272614,36388685.54997797,0.0,0.0,0.0,0.0,508053773231.7875,62589821.10579338,199820496106.51242,1416085399913.9863,0.0,0.0,0.0,0.0,-212030780094.89838,0.0,0.0,0.0,-0.2031840793788433,0.0,0.0,0.0,-1346828804761.997,0.0,0.0,0.0,2139879801712.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66659727542.34734,0.0,0.0,0.0,-859710724493.1742,0.0,0.0,0.0,-2.524354896707238e-18,-54539.0656858966,-2.5243548967072378e-26,-0.000545390656858966,1.8660819073710742e+24,0.0,1.9980953362568093e+23,1.4160293770066239e+24,1788222135602.238,0.0,199809533625.68088,1416029377006.6235,0.0,0.0,0.0,0.0,2139879801712.62,0.0,0.0,0.0,508053058382.79114,0.0,199809533625.6803,1416029377006.6206,0.0,0.0,0.0,0.0,-859710724493.1742,0.0,0.0,0.0
0.02,-1,-1,1,-54527.039767117734,0.0,-0.0005452703976711773,0.0,1.865298656844754e+24,0.0,1.998095140929363e+23,1.4160293704225517e+24,1787471565156.5598,0.0,199809514092.93628,1416029370422.5515,1346542807958.2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053054549.92596,0.0,199809514092.9356,1416029370422.5496,-67124297351.572014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350647557936.6978,5.217439261922649e-64,11814278.740330491,4095705.0021114373,0.0,0.0,0.0,0.0,2150483931090.3398,4.6355000422404997e-63,8756148.775719391,36388762.619724035,0.0,0.0,0.0,0.0,508053773231.78723,62589821.10579336,199820496106.5122,1416085399913.9856,0.0,0.0,0.0,0.0,-2464926436133018.0,0.0,0.0,0.0,-2362.080677334219,0.0,0.0,0.0,-1346542807958.2053,0.0,0.0,0.0,2140538702296.7327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67124297351.572014,0.0,0.0,0.0,-861120194052.1798,0.0,0.0,0.0,-2.524354896707238e-18,-54527.03976711612,-2.5243548967072378e-26,-0.0005452703976711611,1.8652986543798277e+24,0.0,1.998095140929363e+23,1.4160293704225517e+24,1787471562794.479,0.0,199809514092.93628,1416029370422.5515,0.0,0.0,0.0,0.0,2140538702296.7327,0.0,0.0,0.0,508053054549.92596,0.0,199809514092.9356,1416029370422.5496,0.0,0.0,0.0,0.0,-861120194052.1798,0.0,0.0,0.0
0.04,-1,-1,1,-54514.86056898677,0.0,-0.0005451486056898676,0.0,1.864505427302053e+24,0.0,1.9980949443469645e+23,1.4160293637831628e+24,1786711432055.6125,0.0,199809494434.6964,1416029363783.1626,1346254431400.9683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053050673.037,0.0,199809494434.69595,1416029363783.1611,-67596050018.392914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350388120845.7722,5.217379913391467e-64,11835047.857093116,4095658.4005105617,0.0,0.0,0.0,0.0,2151160956629.8105,4.6355099336628314e-63,8756011.904106678,36388840.287188604,0.0,0.0,0.0,0.0,508053773231.7867,62589821.10579339,199820496106.51212,1416085399913.9858,0.0,0.0,0.0,0.0,-9640934112332210.0,0.0,0.0,0.0,-9238.679030891508,0.0,0.0,0.0,-1346254431400.9683,0.0,0.0,0.0,2141199245619.8562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67596050018.392914,0.0,0.0,0.0,-862540873475.9601,0.0,0.0,0.0,-1.262177448353619e-18,-54514.860568985096,-1.2621774483536189e-26,-0.0005451486056898509,1.8645054176611193e+24,0.0,1.9980949443469645e+23,1.4160293637831628e+24,1786711422816.9338,0.0,199809494434.6964,1416029363783.1626,0.0,0.0,0.0,0.0,2141199245619.8562,0.0,0.0,0.0,508053050673.037,0.0,199809494434.69595,1416029363783.1611,0.0,0.0,0.0,0.0,-862540873475.9601,0.0,0.0,0.0
0.06,-1,-1,1,-54502.52238254487,0.0,-0.0005450252238254486,0.0,1.8637018323613436e+24,0.0,1.998094746500331e+23,1.4160293570867848e+24,1785941366039.0254,0.0,199809474650.03302,1416029357086.7844,1345963637585.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053046750.87396,0.0,199809474650.0324,1416029357086.7825,-68075318297.02767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350126726189.4314,5.2173200929923765e-64,11857496.349211195,4095611.4283639356,0.0,0.0,0.0,0.0,2151839753295.8284,4.6355199037298194e-63,8751825.674332015,36388918.57221447,0.0,0.0,0.0,0.0,508053773231.7875,62589821.10579337,199820496106.5123,1416085399913.9868,0.0,0.0,0.0,0.0,-5870742766933169.0,0.0,0.0,0.0,-5625.793876886368,0.0,0.0,0.0,-1345963637585.1785,0.0,0.0,0.0,2141861421959.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68075318297.02767,0.0,0.0,0.0,-863973108297.3052,0.0,0.0,0.0,-2.524354896707238e-18,-54502.52238254322,-2.5243548967072378e-26,-0.0005450252238254321,1.8637018264906e+24,0.0,1.998094746500331e+23,1.4160293570867848e+24,1785941360413.2307,0.0,199809474650.03302,1416029357086.7844,0.0,0.0,0.0,0.0,2141861421959.662,0.0,0.0,0.0,508053046750.87396,0.0,199809474650.0324,1416029357086.7825,0.0,0.0,0.0,0.0,-863973108297.3052,0.0,0.0,0.0
0.08,-1,-1,1,-54490.01832281093,0.0,-0.0005449001832281093,0.0,1.862887442901587e+24,0.0,1.998094547392422e+23,1.4160293503314944e+24,1785160955890.261,0.0,199809454739.24216,1416029350331.4941,1345670402176.4746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053042781.9989,0.0,199809454739.24146,1416029350331.4915,-68562489068.213486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349863373150.321,5.217259784826719e-64,11881857.246499097,4095564.0731874313,0.0,0.0,0.0,0.0,2152520272827.0137,4.635529955091241e-63,8743047.103660183,36388997.49560825,0.0,0.0,0.0,0.0,508053773231.7876,62589821.10579338,199820496106.5125,1416085399913.986,0.0,0.0,0.0,0.0,-2.443571530250474e+16,0.0,0.0,0.0,-23416.167763382196,0.0,0.0,0.0,-1345670402176.4746,0.0,0.0,0.0,2142525177989.7212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68562489068.213486,0.0,0.0,0.0,-865417288297.6271,0.0,0.0,0.0,-3.7865323450608574e-18,-54490.018322809294,-3.7865323450608567e-26,-0.0005449001832280928,1.8628874184658728e+24,0.0,1.998094547392422e+23,1.4160293503314944e+24,1785160932474.0942,0.0,199809454739.24216,1416029350331.4941,0.0,0.0,0.0,0.0,2142525177989.7212,0.0,0.0,0.0,508053042781.9989,0.0,199809454739.24146,1416029350331.4915,0.0,0.0,0.0,0.0,-865417288297.6271,0.0,0.0,0.0
0.1,-1,-1,1,-54477.342728134514,0.0,-0.0005447734272813451,0.0,1.862061858448177e+24,0.0,1.9980943470342636e+23,1.4160293435160916e+24,1784369817843.9805,0.0,199809434703.4263,1416029343516.0913,1345374712166.0828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053038765.377,0.0,199809434703.42575,1416029343516.0896,-69057933087.4818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349598071218.966,5.217198979829626e-64,11908391.385362113,4095516.3278623256,0.0,0.0,0.0,0.0,2153202440786.5222,4.635540089257909e-63,8729071.708413169,36389077.0692342,0.0,0.0,0.0,0.0,508053773231.7872,62589821.10579339,199820496106.51193,1416085399913.9873,0.0,0.0,0.0,0.0,1.3083544240715472e+16,0.0,0.0,0.0,12537.650856032968,0.0,0.0,0.0,-1345374712166.0828,0.0,0.0,0.0,2143190435989.9465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69057933087.4818,0.0,0.0,0.0,-866873644373.6938,0.0,0.0,0.0,-1.262177448353619e-18,-54477.34272813278,-1.2621774483536189e-26,-0.0005447734272813277,1.8620618715317212e+24,0.0,1.9980943470342636e+23,1.4160293435160916e+24,1784369830381.631,0.0,199809434703.4263,1416029343516.0913,0.0,0.0,0.0,0.0,2143190435989.9465,0.0,0.0,0.0,508053038765.377,0.0,199809434703.42575,1416029343516.0896,0.0,0.0,0.0,0.0,-866873644373.6938,0.0,0.0,0.0
0.12,-1,-1,1,-54464.486204182016,0.0,-0.00054464486204182,0.0,1.861224528022762e+24,0.0,1.9980941454318068e+23,1.4160293366377586e+24,1783567423910.667,0.0,199809414543.18063,1416029336637.7583,1345076540824.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053034699.02386,0.0,199809414543.18005,1416029336637.7554,-69562151612.50583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349330824155.3052,5.217137653935421e-64,11937380.446824694,4095468.173491517,0.0,0.0,0.0,0.0,2153886198158.0955,4.635550310240758e-63,8709256.335888056,36389157.32458607,0.0,0.0,0.0,0.0,508053773231.7868,62589821.10579338,199820496106.51212,1416085399913.986,0.0,0.0,0.0,0.0,-1.7277452692338288e+16,0.0,0.0,0.0,-16556.57408671081,0.0,0.0,0.0,-1345076540824.15,0.0,0.0,0.0,2143857129567.5383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69562151612.50583,0.0,0.0,0.0,-868342756912.4689,0.0,0.0,0.0,-2.524354896707238e-18,-54464.48620418032,-2.5243548967072378e-26,-0.0005446448620418031,1.8612245107453084e+24,0.0,1.9980941454318068e+23,1.4160293366377586e+24,1783567407354.092,0.0,199809414543.18063,1416029336637.7583,0.0,0.0,0.0,0.0,2143857129567.5383,0.0,0.0,0.0,508053034699.02386,0.0,199809414543.18005,1416029336637.7554,0.0,0.0,0.0,0.0,-868342756912.4689,0.0,0.0,0.0
0.14,-1,-1,1,-54451.44214219694,0.0,-0.0005445144214219693,0.0,1.8603749615326853e+24,0.0,1.9980939425860282e+23,1.416029329694875e+24,1782753304446.1248,0.0,199809394258.60278,1416029329694.8748,1344775857797.4995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053030581.6729,0.0,199809394258.60223,1416029329694.8733,-70075583933.04926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349061628252.3308,5.217075791791117e-64,11969145.618637072,4095419.5980196213,0.0,0.0,0.0,0.0,2154571505394.5454,4.6355606205986297e-63,8682873.388599245,36389238.28175677,0.0,0.0,0.0,0.0,508053773231.78644,62589821.10579338,199820496106.51166,1416085399913.9854,0.0,0.0,0.0,0.0,-1.7084488204234328e+16,0.0,0.0,0.0,-16371.660783790052,0.0,0.0,0.0,-1344775857797.4995,0.0,0.0,0.0,2144525214605.2947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70075583933.04926,0.0,0.0,0.0,-869824957112.5057,0.0,0.0,0.0,-1.262177448353619e-18,-54451.44214219501,-1.2621774483536189e-26,-0.00054451442142195,1.860374944448197e+24,0.0,1.9980939425860282e+23,1.416029329694875e+24,1782753288074.464,0.0,199809394258.60278,1416029329694.8748,0.0,0.0,0.0,0.0,2144525214605.2947,0.0,0.0,0.0,508053030581.6729,0.0,199809394258.60223,1416029329694.8733,0.0,0.0,0.0,0.0,-869824957112.5057,0.0,0.0,0.0
0.16,-1,-1,1,-54438.20136925312,0.0,-0.0005443820136925311,0.0,1.8595125829235875e+24,0.0,1.998093738518544e+23,1.4160293226851254e+24,1781926907431.0918,0.0,199809373851.85437,1416029322685.125,1344472654544.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508053026411.5874,0.0,199809373851.8539,1416029322685.1218,-70598773524.49905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348790507997.1086,5.217013374615782e-64,12004020.857959243,4095370.5866983873,0.0,0.0,0.0,0.0,2155258251844.1196,4.6355710234616734e-63,8649173.659225307,36389319.965324804,0.0,0.0,0.0,0.0,508053773231.7875,62589821.10579339,199820496106.51227,1416085399913.9868,0.0,0.0,0.0,0.0,-1.6875386697627026e+16,0.0,0.0,0.0,-16171.28375788033,0.0,0.0,0.0,-1344472654544.0034,0.0,0.0,0.0,2145194574313.4446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70598773524.49905,0.0,0.0,0.0,-871320709465.2229,0.0,0.0,0.0,-2.524354896707238e-18,-54438.20136925147,-2.5243548967072378e-26,-0.0005443820136925145,1.8595125660482022e+24,0.0,1.998093738518544e+23,1.4160293226851254e+24,1781926891259.8093,0.0,199809373851.85437,1416029322685.125,0.0,0.0,0.0,0.0,2145194574313.4446,0.0,0.0,0.0,508053026411.5874,0.0,199809373851.8539,1416029322685.1218,0.0,0.0,0.0,0.0,-871320709465.2229,0.0,0.0,0.0
