sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-32888.03802295618,0.0,-0.00032888038022956174,4.713698282317304e+23,1.416047393332929e+24,0.0,1.6529284438675064e+24,471369828231.7304,1416047393332.9285,0.0,165292844386.75076,0.0,0.0,0.0,86969663283.05405,0.0,0.0,0.0,0.0,471369828231.7287,1416047393332.9185,0.0,78429683034.32687,0.0,0.0,0.0,-106501930.63024595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25647699.284639213,560619.6305640267,7.140917706441025e-65,86944565314.57149,0.0,0.0,0.0,0.0,2374074.803848477,5785787.421318241,7.37040140838669e-64,86894252706.7888,0.0,0.0,0.0,0.0,471394716070.42017,1416085399913.9526,62589821.10579327,78429683034.6905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735555171.966551,0.0,0.0,0.0,0.0002735555171966553,0.0,0.0,0.0,-86969663283.05405,0.0,0.0,0.0,86902286069.24606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106501930.63024595,0.0,0.0,0.0,-39124716.82197906,-32888.038022955334,-7.573064690121715e-18,-0.00032888038022955323,-7.573064690121713e-26,4.713698282317304e+23,1.416047393332929e+24,0.0,1.652928443867509e+24,471369828231.7304,1416047393332.9285,0.0,165292844386.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86902286069.24606,471369828231.7287,1416047393332.9185,0.0,78429683034.32687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39124716.82197906
0.02,-1,-1,1,0.0,-32888.018818166514,0.0,-0.0003288801881816651,4.713697697958615e+23,1.4160472060433358e+24,0.0,1.652918914350658e+24,471369769795.86145,1416047206043.3354,0.0,165291891435.06592,0.0,0.0,0.0,86969996169.99307,0.0,0.0,0.0,0.0,471369769795.8598,1416047206043.326,0.0,78429683034.31343,0.0,0.0,0.0,-107787769.24074847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25599011.804294586,571911.7863075066,7.2847568364599405e-65,86944949002.5213,0.0,0.0,0.0,0.0,2422758.2574632973,5774495.330532047,7.356017494762154e-64,86893869008.91124,0.0,0.0,0.0,0.0,471394716070.4188,1416085399913.9512,62589821.105793245,78429683034.6903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142599966228008.2,0.0,0.0,0.0,14.259996622800827,0.0,0.0,0.0,-86969996169.99307,0.0,0.0,0.0,86901937807.66661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107787769.24074847,0.0,0.0,0.0,-39729392.65427232,-32888.01881816568,-7.573064690121715e-18,-0.00032888018818165676,-7.573064690121713e-26,4.713697697958615e+23,1.4160472060433358e+24,0.0,1.6529189144932572e+24,471369769795.86145,1416047206043.3354,0.0,165291891449.32584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86901937807.66661,471369769795.8598,1416047206043.326,0.0,78429683034.31343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39729392.65427232
0.04,-1,-1,1,0.0,-32887.998397634656,0.0,-0.0003288799839763465,4.713697109126579e+23,1.4160470174412934e+24,0.0,1.652908643135167e+24,471369710912.6579,1416047017441.293,0.0,165290864313.5168,0.0,0.0,0.0,86970336732.65443,0.0,0.0,0.0,0.0,471369710912.6563,1416047017441.284,0.0,78429683034.29832,0.0,0.0,0.0,-109155453.43605636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25548931.70619229,583519.9874988989,7.432621971995545e-65,86945342296.058,0.0,0.0,0.0,0.0,2472834.279192539,5762887.195820495,7.341230980568509e-64,86893475705.00305,0.0,0.0,0.0,0.0,471394716070.41846,1416085399913.9514,62589821.10579327,78429683034.6903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150345055162906.0,0.0,0.0,0.0,115.03450551629066,0.0,0.0,0.0,-86970336732.65443,0.0,0.0,0.0,86901580805.31221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109155453.43605636,0.0,0.0,0.0,-40399411.05934828,-32887.99839763375,-7.573064690121715e-18,-0.0003288799839763375,-7.573064690121713e-26,4.713697109126579e+23,1.4160470174412934e+24,0.0,1.6529086442855118e+24,471369710912.6579,1416047017441.293,0.0,165290864428.5513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86901580805.31221,471369710912.6563,1416047017441.284,0.0,78429683034.29832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40399411.05934828
0.06,-1,-1,1,0.0,-32887.97651103171,0.0,-0.00032887976511031703,4.71369651574126e+23,1.4160468275036441e+24,0.0,1.6528974756947845e+24,471369651574.126,1416046827503.6438,0.0,165289747569.47858,0.0,0.0,0.0,86970685141.73872,0.0,0.0,0.0,0.0,471369651574.12445,1416046827503.6345,0.0,78429683034.28078,0.0,0.0,0.0,-110620606.54095754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25497417.985198695,595453.2889103304,7.584628470890291e-65,86945745560.71577,0.0,0.0,0.0,0.0,2524343.8740310464,5750953.962438535,7.326030330021028e-64,86893072429.50615,0.0,0.0,0.0,0.0,471394716070.4183,1416085399913.952,62589821.10579326,78429683034.69025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547931965589523.0,0.0,0.0,0.0,54.79319655895233,0.0,0.0,0.0,-86970685141.73872,0.0,0.0,0.0,86901214679.05139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110620606.54095754,0.0,0.0,0.0,-41150089.06043852,-32887.97651103077,-7.573064690121715e-18,-0.00032887976511030765,-7.573064690121713e-26,4.71369651574126e+23,1.4160468275036441e+24,0.0,1.6528974762427173e+24,471369651574.126,1416046827503.6438,0.0,165289747624.27185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86901214679.05139,471369651574.12445,1416046827503.6345,0.0,78429683034.28078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41150089.06043852
0.08,-1,-1,1,0.0,-32887.952844587206,0.0,-0.000328879528445872,4.7136959177206463e+23,1.416046636206691e+24,0.0,1.6528852149918677e+24,471369591772.06464,1416046636206.6904,0.0,165288521499.1869,0.0,0.0,0.0,86971041248.0959,0.0,0.0,0.0,0.0,471369591772.0629,1416046636206.682,0.0,78429683034.26042,0.0,0.0,0.0,-112202783.16960858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25444429.39531599,607720.7716707633,7.740892028162786e-65,86946158883.37877,0.0,0.0,0.0,0.0,2577328.291876406,5738686.549282688,7.31040397361735e-64,86892659095.51785,0.0,0.0,0.0,0.0,471394716070.4191,1416085399913.9524,62589821.10579329,78429683034.69032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988740612864493.6,0.0,0.0,0.0,98.87406128644943,0.0,0.0,0.0,-86971041248.0959,0.0,0.0,0.0,86900839311.68004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112202783.16960858,0.0,0.0,0.0,-42000747.8796939,-32887.95284458639,-7.573064690121715e-18,-0.00032887952844586386,-7.573064690121713e-26,4.7136959177206463e+23,1.416046636206691e+24,0.0,1.6528852159806084e+24,471369591772.06464,1416046636206.6904,0.0,165288521598.06094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86900839311.68004,471369591772.0629,1416046636206.682,0.0,78429683034.26042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42000747.8796939
0.1,-1,-1,1,0.0,-32887.92700329107,0.0,-0.00032887927003291066,4.7136953149806576e+23,1.416046443526116e+24,0.0,1.6528716162105175e+24,471369531498.0658,1416046443526.1157,0.0,165287161621.05185,0.0,0.0,0.0,86971405072.77684,0.0,0.0,0.0,0.0,471369531498.0641,1416046443526.1057,0.0,78429683034.23636,0.0,0.0,0.0,-113926485.96146233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25389924.801319607,620331.4768801066,7.901527830590753e-65,86946582572.64752,0.0,0.0,0.0,0.0,2631828.6690889453,5726075.915276656,7.29434039267919e-64,86892235394.41342,0.0,0.0,0.0,0.0,471394716070.4189,1416085399913.9514,62589821.10579327,78429683034.69037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51977943480014.77,0.0,0.0,0.0,5.19779434800148,0.0,0.0,0.0,-86971405072.77684,0.0,0.0,0.0,86900454347.87982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113926485.96146233,0.0,0.0,0.0,-42975755.86660422,-32887.92700329018,-5.048709793414476e-18,-0.0003288792700329017,-5.0487097934144756e-26,4.7136953149806576e+23,1.416046443526116e+24,0.0,1.6528716162624957e+24,471369531498.0658,1416046443526.1157,0.0,165287161626.2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86900454347.87982,471369531498.0641,1416046443526.1057,0.0,78429683034.23636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42975755.86660422
0.12,-1,-1,1,0.0,-32887.89849128818,0.0,-0.0003288789849128817,4.713694707435147e+23,1.416046249437068e+24,0.0,1.652856368852213e+24,471369470743.5147,1416046249437.0676,0.0,165285636885.2214,0.0,0.0,0.0,86971776292.46307,0.0,0.0,0.0,0.0,471369470743.51306,1416046249437.0576,0.0,78429683034.20775,0.0,0.0,0.0,-115822441.4495364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25333863.52869272,633294.3077938403,8.06664931101043e-65,86947016657.31847,0.0,0.0,0.0,0.0,2687885.6853260053,5713113.157185956,7.277828243922442e-64,86891801297.37874,0.0,0.0,0.0,0.0,471394716070.41956,1416085399913.9521,62589821.10579328,78429683034.69038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52315017879009.21,0.0,0.0,0.0,5.231501787900925,0.0,0.0,0.0,-86971776292.46307,0.0,0.0,0.0,86900059691.28128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115822441.4495364,0.0,0.0,0.0,-44105835.03626698,-32887.89849128718,-7.573064690121715e-18,-0.0003288789849128718,-7.573064690121713e-26,4.713694707435147e+23,1.416046249437068e+24,0.0,1.652856368904527e+24,471369470743.5147,1416046249437.0676,0.0,165285636890.45282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86900059691.28128,471369470743.51306,1416046249437.0576,0.0,78429683034.20775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44105835.03626698
0.14,-1,-1,1,0.0,-32887.86668477563,0.0,-0.00032887866684775627,4.7136940949959844e+23,1.4160460539141287e+24,0.0,1.652839084455166e+24,471369409499.59845,1416046053914.1284,0.0,165283908445.5167,0.0,0.0,0.0,86972154607.85097,0.0,0.0,0.0,0.0,471369409499.59686,1416046053914.1194,0.0,78429683034.17343,0.0,0.0,0.0,-117929196.50788428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25276205.925527517,646617.9131116499,8.23636666200132e-65,86947461270.96703,0.0,0.0,0.0,0.0,2745538.9964292995,5699789.626328707,7.260856508088675e-64,86891356670.81734,0.0,0.0,0.0,0.0,471394716070.41925,1416085399913.952,62589821.10579324,78429683034.69035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52638599276542.625,0.0,0.0,0.0,5.263859927654266,0.0,0.0,0.0,-86972154607.85097,0.0,0.0,0.0,86899655114.12926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117929196.50788428,0.0,0.0,0.0,-45429697.52228743,-32887.866684774744,-5.048709793414476e-18,-0.0003288786668477474,-5.0487097934144756e-26,4.7136940949959844e+23,1.4160460539141287e+24,0.0,1.6528390845078043e+24,471369409499.59845,1416046053914.1284,0.0,165283908450.78055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86899655114.12926,471369409499.59686,1416046053914.1194,0.0,78429683034.17343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45429697.52228743
0.16,-1,-1,1,0.0,-32887.83079995403,0.0,-0.0003288783079995402,4.7136934775731225e+23,1.416045856931377e+24,0.0,1.6528192741593424e+24,471369347757.31226,1416045856931.3765,0.0,165281927415.93436,0.0,0.0,0.0,86972539496.44157,0.0,0.0,0.0,0.0,471369347757.31067,1416045856931.367,0.0,78429683034.13208,0.0,0.0,0.0,-120295114.63942833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25216914.009144373,660310.5299493211,8.41078483612191e-65,86947916425.06003,0.0,0.0,0.0,0.0,2804826.5908264113,5686097.085602699,7.243414689921594e-64,86890901503.24423,0.0,0.0,0.0,0.0,471394716070.4195,1416085399913.9524,62589821.10579327,78429683034.69043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52932817637920.34,0.0,0.0,0.0,5.293281763792038,0.0,0.0,0.0,-86972539496.44157,0.0,0.0,0.0,86899240477.08035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120295114.63942833,0.0,0.0,0.0,-46996089.984885424,-32887.83079995308,-7.573064690121715e-18,-0.0003288783079995308,-7.573064690121713e-26,4.7136934775731225e+23,1.416045856931377e+24,0.0,1.6528192742122747e+24,471369347757.31226,1416045856931.3765,0.0,165281927421.2276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86899240477.08035,471369347757.31067,1416045856931.367,0.0,78429683034.13208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46996089.984885424
