sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-39096.8100531591,0.0,-0.00039096810053159087,0.0,0.0,1.4160447231341612e+24,3.159683134422923e+23,1.416436269215194e+24,0.0,1416044723134.161,315968313442.2922,708218134607.5968,0.0,0.0,0.0,399195699372.69257,0.0,0.0,0.0,0.0,0.0,1416044723134.1523,315968313442.29083,324283713849.49524,0.0,0.0,0.0,-15261278614.591358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.341131680168346e-70,5.762144954700768,4924608.441117443,399349883264.6906,0.0,0.0,0.0,0.0,8.08448586881042e-64,6346397.7088998305,2.967474298560513,389223205822.91736,0.0,0.0,0.0,0.0,62589821.1057933,1416085399913.9653,315985327791.5732,324283715336.4872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631077863276.005,0.0,0.0,0.0,0.3155389316380024,0.0,0.0,0.0,-399195699372.69257,0.0,0.0,0.0,389212486910.6961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15261278614.591358,0.0,0.0,0.0,-5278066152.27922,-5.048709793414476e-18,-39096.81005315787,-5.0487097934144756e-26,-0.0003909681005315786,0.0,1.4160447231341612e+24,3.159683134422923e+23,1.4164362692158256e+24,0.0,1416044723134.161,315968313442.2922,708218134607.9126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389212486910.6961,0.0,1416044723134.1523,315968313442.29083,324283713849.49524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5278066152.27922
0.02,-1,-1,1,-39094.73230240641,0.0,-0.0003909473230240641,0.0,0.0,1.4160445918002362e+24,3.1596828862070155e+23,1.4161772067978856e+24,0.0,1416044591800.2358,315968288620.7014,708088603398.9426,0.0,0.0,0.0,399251545973.3862,0.0,0.0,0.0,0.0,0.0,1416044591800.2268,315968288620.7003,324283713817.672,0.0,0.0,0.0,-15446656392.116007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.530914997534678e-70,5.911115208453744,4924402.6045344295,399407662755.63983,0.0,0.0,0.0,0.0,8.08448567902709e-64,6346397.559930616,3.0165954091858587,389165001175.9195,0.0,0.0,0.0,0.0,62589821.10579331,1416085399913.9653,315985327791.5727,324283715336.4869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2477407272823158e+16,0.0,0.0,0.0,6238.7036364115775,0.0,0.0,0.0,-399251545973.3862,0.0,0.0,0.0,389154052413.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15446656392.116007,0.0,0.0,0.0,-5349156593.911746,-5.048709793414476e-18,-39094.73230240526,-5.0487097934144756e-26,-0.00039094732302405254,0.0,1.4160445918002362e+24,3.1596828862070155e+23,1.4161772192752923e+24,0.0,1416044591800.2358,315968288620.7014,708088609637.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389154052413.8855,0.0,1416044591800.2268,315968288620.7003,324283713817.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5349156593.911746
0.04,-1,-1,1,-39092.62273265884,0.0,-0.00039092622732658837,0.0,0.0,1.4160444593238186e+24,3.159682635899627e+23,1.4159141578435905e+24,0.0,1416044459323.8184,315968263589.9626,707957078921.795,0.0,0.0,0.0,399308152786.44794,0.0,0.0,0.0,0.0,0.0,1416044459323.8098,315968263589.9616,324283713785.0764,0.0,0.0,0.0,-15634787649.729801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.742792597879902e-70,6.0774335408297215,4924193.967835496,399466231169.5313,0.0,0.0,0.0,0.0,8.084485467149484e-64,6346397.393613448,3.0681863558328586,389105996818.55316,0.0,0.0,0.0,0.0,62589821.10579333,1416085399913.9656,315985327791.5733,324283715336.4873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.984490119586141e+16,0.0,0.0,0.0,24922.4505979307,0.0,0.0,0.0,-399308152786.44794,0.0,0.0,0.0,389094814401.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15634787649.729801,0.0,0.0,0.0,-5421424341.895408,-5.048709793414476e-18,-39092.62273265775,-5.0487097934144756e-26,-0.0003909262273265775,0.0,1.4160444593238186e+24,3.159682635899627e+23,1.415914207688493e+24,0.0,1416044459323.8184,315968263589.9626,707957103844.2463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389094814401.064,0.0,1416044459323.8098,315968263589.9616,324283713785.0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5421424341.895408
0.06,-1,-1,1,-39090.480443190194,0.0,-0.00039090480443190187,0.0,0.0,1.4160443256759727e+24,3.159682383456159e+23,1.4156470661557468e+24,0.0,1416044325675.9724,315968238345.6158,707823533077.8733,0.0,0.0,0.0,399365556972.61395,0.0,0.0,0.0,0.0,0.0,1416044325675.9646,315968238345.6148,324283713751.6829,0.0,0.0,0.0,-15825737646.423843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.982143776322091e-70,6.265322664493275,4923982.396243236,399525626347.37573,0.0,0.0,0.0,0.0,8.084485227798287e-64,6346397.205725642,3.1226097959147547,389046154421.8553,0.0,0.0,0.0,0.0,62589821.10579327,1416085399913.9658,315985327791.574,324283715336.4876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1328828990392396e+16,0.0,0.0,0.0,15664.414495196193,0.0,0.0,0.0,-399365556972.61395,0.0,0.0,0.0,389034734445.8699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15825737646.423843,0.0,0.0,0.0,-5494899455.265393,-2.524354896707238e-18,-39090.48044318917,-2.5243548967072378e-26,-0.0003909048044318916,0.0,1.4160443256759727e+24,3.159682383456159e+23,1.4156470974845761e+24,0.0,1416044325675.9724,315968238345.6158,707823548742.2878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389034734445.8699,0.0,1416044325675.9646,315968238345.6148,324283713751.6829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5494899455.265393
0.08,-1,-1,1,-39088.30473206778,0.0,-0.0003908830473206777,0.0,0.0,1.41604419083061e+24,3.1596821288224384e+23,1.4153758005356781e+24,0.0,1416044190830.6096,315968212882.2437,707687900267.8389,0.0,0.0,0.0,399423760884.1069,0.0,0.0,0.0,0.0,0.0,1416044190830.6006,315968212882.24286,324283713717.4626,0.0,0.0,0.0,-16019574333.731295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.255875211768247e-70,6.480204160373531,4923767.878757281,399585851349.5825,0.0,0.0,0.0,0.0,8.084484954066836e-64,6346396.9908456495,3.1803197125696214,388985470687.7154,0.0,0.0,0.0,0.0,62589821.10579332,1416085399913.965,315985327791.573,324283715336.48694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.955934150497616e+16,0.0,0.0,0.0,9779.670752488077,0.0,0.0,0.0,-399423760884.1069,0.0,0.0,0.0,388973809150.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16019574333.731295,0.0,0.0,0.0,-5569612820.045104,-2.524354896707238e-18,-39088.304732066565,-2.5243548967072378e-26,-0.0003908830473206656,0.0,1.41604419083061e+24,3.1596821288224384e+23,1.415375820095019e+24,0.0,1416044190830.6096,315968212882.2437,707687910047.5094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388973809150.0914,0.0,1416044190830.6006,315968212882.24286,324283713717.4626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5569612820.045104
0.1,-1,-1,1,-39086.09475907486,0.0,-0.0003908609475907486,0.0,0.0,1.416044054758736e+24,3.159681871945781e+23,1.4151002584192082e+24,0.0,1416044054758.7358,315968187194.57794,707550129209.604,0.0,0.0,0.0,399482783855.4319,0.0,0.0,0.0,0.0,0.0,1416044054758.7268,315968187194.57697,324283713682.3907,0.0,0.0,0.0,-16216368328.219328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.572880254239784e-70,6.72905900576464,4923550.343707322,399646926246.67163,0.0,0.0,0.0,0.0,8.084484637061791e-64,6346396.741992564,3.241883178805163,388923925171.7865,0.0,0.0,0.0,0.0,62589821.10579333,1416085399913.9656,315985327791.57324,324283715336.48737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1322722197100522e+16,0.0,0.0,0.0,5661.36109855026,0.0,0.0,0.0,-399482783855.4319,0.0,0.0,0.0,388912017964.56506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16216368328.219328,0.0,0.0,0.0,-5645596775.99158,-2.524354896707238e-18,-39086.09475907376,-2.5243548967072378e-26,-0.0003908609475907376,0.0,1.416044054758736e+24,3.159681871945781e+23,1.4151002697419296e+24,0.0,1416044054758.7358,315968187194.57794,707550134870.9646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388912017964.56506,0.0,1416044054758.7268,315968187194.57697,324283713682.3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5645596775.99158
0.12,-1,-1,1,-39083.84966229332,0.0,-0.00039083849662293317,0.0,0.0,1.4160439174303917e+24,3.159681612770854e+23,1.4148203289339755e+24,0.0,1416043917430.3914,315968161277.08527,707410164466.9875,0.0,0.0,0.0,399542643947.0449,0.0,0.0,0.0,0.0,0.0,1416043917430.3838,315968161277.0844,324283713646.4336,0.0,0.0,0.0,-16416193126.491426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944618469647469e-70,7.0208825083201045,4923329.7237121,399708869865.13513,0.0,0.0,0.0,0.0,8.084484265323558e-64,6346396.450171106,3.30801348808478,388861498672.94696,0.0,0.0,0.0,0.0,62589821.1057933,1416085399913.9648,315985327791.57227,324283715336.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1516291412152352e+16,0.0,0.0,0.0,5758.145706076175,0.0,0.0,0.0,-399542643947.0449,0.0,0.0,0.0,388849341579.02985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16416193126.491426,0.0,0.0,0.0,-5722885000.330606,-5.048709793414476e-18,-39083.84966229216,-5.0487097934144756e-26,-0.0003908384966229215,0.0,1.4160439174303917e+24,3.159681612770854e+23,1.414820340450267e+24,0.0,1416043917430.3914,315968161277.08527,707410170225.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388849341579.02985,0.0,1416043917430.3838,315968161277.0844,324283713646.4336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5722885000.330606
0.14,-1,-1,1,-39081.56852280235,0.0,-0.00039081568522802344,0.0,0.0,1.4160437788140116e+24,3.159681351240791e+23,1.4145359032742216e+24,0.0,1416043778814.0112,315968135124.079,707267951637.1106,0.0,0.0,0.0,399603363281.9279,0.0,0.0,0.0,0.0,0.0,1416043778814.0037,315968135124.07825,324283713609.5624,0.0,0.0,0.0,-16619125254.380203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.385871799421771e-70,7.367277885825945,4923105.936619827,399771705125.6023,0.0,0.0,0.0,0.0,8.084483824070211e-64,6346396.103778145,3.3796110655247262,388798167853.08154,0.0,0.0,0.0,0.0,62589821.105793305,1416085399913.9648,315985327791.57324,324283715336.4872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1715886686213318e+16,0.0,0.0,0.0,5857.943343106657,0.0,0.0,0.0,-399603363281.9279,0.0,0.0,0.0,388785756541.44165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16619125254.380203,0.0,0.0,0.0,-5801512655.950599,-2.524354896707238e-18,-39081.56852280113,-2.5243548967072378e-26,-0.00039081568522801125,0.0,1.4160437788140116e+24,3.159681351240791e+23,1.4145359149901082e+24,0.0,1416043778814.0112,315968135124.079,707267957495.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388785756541.44165,0.0,1416043778814.0037,315968135124.07825,324283713609.5624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5801512655.950599
0.16,-1,-1,1,-39079.250396250405,0.0,-0.00039079250396250405,0.0,0.0,1.4160436388769275e+24,3.1596810872957756e+23,1.4142468636334895e+24,0.0,1416043638876.927,315968108729.57745,707123431816.7446,0.0,0.0,0.0,399664962707.9977,0.0,0.0,0.0,0.0,0.0,1416043638876.92,315968108729.5766,324283713571.7411,0.0,0.0,0.0,-16825244462.994595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.915720111733677e-70,7.783222069706968,4922878.904442365,399835453707.28894,0.0,0.0,0.0,0.0,8.084483294221885e-64,6346395.687836887,3.4578170907105696,388733910613.2762,0.0,0.0,0.0,0.0,62589821.10579331,1416085399913.9656,315985327791.5727,324283715336.4867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1921822609916332e+16,0.0,0.0,0.0,5960.911304958165,0.0,0.0,0.0,-399664962707.9977,0.0,0.0,0.0,388721240634.0644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16825244462.994595,0.0,0.0,0.0,-5881516428.149941,-2.524354896707238e-18,-39079.25039624921,-2.5243548967072378e-26,-0.00039079250396249207,0.0,1.4160436388769275e+24,3.1596810872957756e+23,1.4142468755553126e+24,0.0,1416043638876.927,315968108729.57745,707123437777.6561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388721240634.0644,0.0,1416043638876.92,315968108729.5766,324283713571.7411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5881516428.149941
