sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:I,avg:g_CB:p,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:I,tot:g_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:I,avg:g_IB:p,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:I,tot:g_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:I,avg:g_VB:p,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:I,tot:g_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-45688.22190850588,0.0,-0.0004568822190850588,0.0,0.0,1.6391738996197418e+23,1.0998037673852903e+24,1.4160485682119236e+24,0.0,163917389961.97415,1271668819843.0981,1416048568211.9233,0.0,0.0,1606902106589.5254,0.0,0.0,0.0,0.0,0.0,0.0,163917389961.97388,564834362579.3239,1416048568211.915,0.0,0.0,-900067649325.7518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95406698242249e-64,17002786.97220955,1653799321271.9836,4673938.100322248,0.0,0.0,0.0,0.0,6.893679761909673e-64,597364.5301742242,833812709299.724,5411619.490576143,0.0,0.0,0.0,0.0,62589821.105793394,163927941057.2245,564834959273.6582,1416085399913.994,0.0,0.0,0.0,0.0,0.0,0.0,99673555076.80246,0.0,0.0,0.0,0.11524942531832494,0.0,0.0,0.0,-1606902106589.5254,0.0,0.0,0.0,833409470344.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900067649325.7518,0.0,0.0,0.0,-126575013080.15926,0.0,-1.262177448353619e-18,-45688.22190850428,-1.2621774483536189e-26,-0.00045688221908504273,0.0,1.6391738996197418e+23,1.0998037673853907e+24,1.4160485682119236e+24,0.0,163917389961.97415,1271668819843.214,1416048568211.9233,0.0,0.0,0.0,0.0,0.0,0.0,833409470344.0487,0.0,0.0,163917389961.97388,564834362579.3239,1416048568211.915,0.0,0.0,0.0,0.0,0.0,0.0,-126575013080.15926,0.0
0.02,-1,-1,1,-45668.29143655766,0.0,-0.0004566829143655765,0.0,0.0,1.639173896175086e+23,1.0987280431261043e+24,1.4160484152451003e+24,0.0,163917389617.50858,1270424993408.126,1416048415245.0999,0.0,0.0,1607165687463.7856,0.0,0.0,0.0,0.0,0.0,0.0,163917389617.5084,564834359617.1271,1416048415245.092,0.0,0.0,-901575053672.7864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9599394707713675e-64,16958310.139088564,1654141520262.2285,4678549.059778293,0.0,0.0,0.0,0.0,6.892505264189053e-64,596630.7139388066,833307605204.362,5410697.299403556,0.0,0.0,0.0,0.0,62589821.10579338,163927941057.224,564834959273.6572,1416085399913.9924,0.0,0.0,0.0,0.0,0.0,0.0,1.6605541237521488e+16,0.0,0.0,0.0,19200.46980615324,0.0,0.0,0.0,-1607165687463.7856,0.0,0.0,0.0,832901983897.2665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901575053672.7864,0.0,0.0,0.0,-127311330905.79718,0.0,-1.262177448353619e-18,-45668.291436556196,-1.2621774483536189e-26,-0.0004566829143655619,0.0,1.639173896175086e+23,1.0987280597316463e+24,1.4160484152451003e+24,0.0,163917389617.50858,1270425012608.5967,1416048415245.0999,0.0,0.0,0.0,0.0,0.0,0.0,832901983897.2665,0.0,0.0,163917389617.5084,564834359617.1271,1416048415245.092,0.0,0.0,0.0,0.0,0.0,0.0,-127311330905.79718,0.0
0.04,-1,-1,1,-45648.15129017961,0.0,-0.000456481512901796,0.0,0.0,1.6391738926934658e+23,1.0976409289271669e+24,1.4160482609222135e+24,0.0,163917389269.34656,1269167997140.7974,1416048260922.2131,0.0,0.0,1607430318213.6804,0.0,0.0,0.0,0.0,0.0,0.0,163917389269.34634,564834356619.7737,1416048260922.2056,0.0,0.0,-903096677692.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.965856555818004e-64,16913597.76200598,1654485510574.3545,4683195.0316073205,0.0,0.0,0.0,0.0,6.891321847128492e-64,595891.3259115175,832798226470.8754,5409768.105756077,0.0,0.0,0.0,0.0,62589821.10579341,163927941057.2238,564834959273.6567,1416085399913.9924,0.0,0.0,0.0,0.0,0.0,0.0,1.133632384645253e+17,0.0,0.0,0.0,131078.3795681174,0.0,0.0,0.0,-1607430318213.6804,0.0,0.0,0.0,832390194430.9752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903096677692.657,0.0,0.0,0.0,-128056422831.5719,0.0,-2.524354896707238e-18,-45648.151290178175,-2.5243548967072378e-26,-0.0004564815129017817,0.0,1.6391738926934658e+23,1.0976410422904055e+24,1.4160482609222135e+24,0.0,163917389269.34656,1269168128219.177,1416048260922.2131,0.0,0.0,0.0,0.0,0.0,0.0,832390194430.9752,0.0,0.0,163917389269.34634,564834356619.7737,1416048260922.2056,0.0,0.0,0.0,0.0,0.0,0.0,-128056422831.5719,0.0
0.06,-1,-1,1,-45627.796314185136,0.0,-0.00045627796314185126,0.0,0.0,1.639173889177327e+23,1.0965423581657476e+24,1.4160481052102851e+24,0.0,163917388917.73267,1267897754007.325,1416048105210.285,0.0,0.0,1607696041201.725,0.0,0.0,0.0,0.0,0.0,0.0,163917388917.73236,564834353586.5306,1416048105210.276,0.0,0.0,-904632640780.9307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.971817847245195e-64,16868643.61840989,1654831340801.275,4687875.709108028,0.0,0.0,0.0,0.0,6.890129588791453e-64,595146.0053783082,832284465503.225,5408831.970973763,0.0,0.0,0.0,0.0,62589821.10579341,163927941057.22424,564834959273.6578,1416085399913.9937,0.0,0.0,0.0,0.0,0.0,0.0,5.7681947713376104e+16,0.0,0.0,0.0,66695.83843062344,0.0,0.0,0.0,-1607696041201.725,0.0,0.0,0.0,831873993580.5981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904632640780.9307,0.0,0.0,0.0,-128810526463.96492,0.0,-2.524354896707238e-18,-45627.79631418341,-2.5243548967072378e-26,-0.0004562779631418341,0.0,1.639173889177327e+23,1.0965424158476963e+24,1.4160481052102851e+24,0.0,163917388917.73267,1267897820703.1646,1416048105210.285,0.0,0.0,0.0,0.0,0.0,0.0,831873993580.5981,0.0,0.0,163917388917.73236,564834353586.5306,1416048105210.276,0.0,0.0,0.0,0.0,0.0,0.0,-128810526463.96492,0.0
0.08,-1,-1,1,-45607.22110526896,0.0,-0.0004560722110526895,0.0,0.0,1.6391738856214092e+23,1.0954318125564564e+24,1.4160479480752057e+24,0.0,163917388562.14087,1266613664730.4653,1416047948075.2053,0.0,0.0,1607962869256.0352,0.0,0.0,0.0,0.0,0.0,0.0,163917388562.14066,564834350516.2969,1416047948075.197,0.0,0.0,-906183555041.8684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9778226358388516e-64,16823441.67405931,1655179055685.5798,4692590.535120241,0.0,0.0,0.0,0.0,6.888928631020731e-64,594394.8554407344,831766218982.9546,5407889.006488439,0.0,0.0,0.0,0.0,62589821.10579339,163927941057.22433,564834959273.6578,1416085399913.9937,0.0,0.0,0.0,0.0,0.0,0.0,9.897557358300754e+16,0.0,0.0,0.0,114442.37107027782,0.0,0.0,0.0,-1607962869256.0352,0.0,0.0,0.0,831353277358.9354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906183555041.8684,0.0,0.0,0.0,-129573848702.39606,0.0,-2.524354896707238e-18,-45607.22110526755,-2.5243548967072378e-26,-0.00045607221105267547,0.0,1.6391738856214092e+23,1.0954319115320286e+24,1.4160479480752057e+24,0.0,163917388562.14087,1266613779172.8347,1416047948075.2053,0.0,0.0,0.0,0.0,0.0,0.0,831353277358.9354,0.0,0.0,163917388562.14066,564834350516.2969,1416047948075.197,0.0,0.0,0.0,0.0,0.0,0.0,-129573848702.39606,0.0
0.1,-1,-1,1,-45586.4199920246,0.0,-0.000455864199920246,0.0,0.0,1.6391738820281997e+23,1.0943091943159655e+24,1.4160477894812407e+24,0.0,163917388202.81992,1265315616246.404,1416047789481.2405,0.0,0.0,1608230846721.1016,0.0,0.0,0.0,0.0,0.0,0.0,163917388202.81964,564834347408.2556,1416047789481.232,0.0,0.0,-907749577882.9528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983869834069521e-64,16777985.19931203,1655528707784.7102,4697338.655466286,0.0,0.0,0.0,0.0,6.887719191322243e-64,593637.480083256,831243370455.6798,5406939.383135406,0.0,0.0,0.0,0.0,62589821.10579343,163927941057.22437,564834959273.658,1416085399913.9937,0.0,0.0,0.0,0.0,0.0,0.0,7302297949731284.0,0.0,0.0,0.0,8443.419536518362,0.0,0.0,0.0,-1608230846721.1016,0.0,0.0,0.0,830827928465.4427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907749577882.9528,0.0,0.0,0.0,-130346651183.87419,0.0,-2.524354896707238e-18,-45586.41999202318,-2.5243548967072378e-26,-0.0004558641999202317,0.0,1.6391738820281997e+23,1.0943092016182634e+24,1.4160477894812407e+24,0.0,163917388202.81992,1265315624689.8235,1416047789481.2405,0.0,0.0,0.0,0.0,0.0,0.0,830827928465.4427,0.0,0.0,163917388202.81964,564834347408.2556,1416047789481.232,0.0,0.0,0.0,0.0,0.0,0.0,-130346651183.87419,0.0
0.12,-1,-1,1,-45565.38714435635,0.0,-0.0004556538714435634,0.0,0.0,1.639173878392533e+23,1.0931739851810702e+24,1.4160476293913744e+24,0.0,163917387839.25327,1264003009303.5496,1416047629391.374,0.0,0.0,1608499990436.8896,0.0,0.0,0.0,0.0,0.0,0.0,163917387839.25302,564834344261.2448,1416047629391.364,0.0,0.0,-909331325394.5842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98995786634757e-64,16732267.607514067,1655880346062.1306,4702118.832881305,0.0,0.0,0.0,0.0,6.886501584813933e-64,592873.9722153974,830715807245.5454,5405983.348367264,0.0,0.0,0.0,0.0,62589821.10579338,163927941057.2242,564834959273.6576,1416085399913.9924,0.0,0.0,0.0,0.0,0.0,0.0,7474895841287938.0,0.0,0.0,0.0,8642.98909935508,0.0,0.0,0.0,-1608499990436.8896,0.0,0.0,0.0,830297833494.2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909331325394.5842,0.0,0.0,0.0,-131129159808.91785,0.0,-1.262177448353619e-18,-45565.38714435493,-1.2621774483536189e-26,-0.0004556538714435492,0.0,1.639173878392533e+23,1.0931739926559662e+24,1.4160476293913744e+24,0.0,163917387839.25327,1264003017946.5388,1416047629391.374,0.0,0.0,0.0,0.0,0.0,0.0,830297833494.2124,0.0,0.0,163917387839.25302,564834344261.2448,1416047629391.364,0.0,0.0,0.0,0.0,0.0,0.0,-131129159808.91785,0.0
0.14,-1,-1,1,-45544.11640249941,0.0,-0.000455441164024994,0.0,0.0,1.639173874714448e+23,1.0920259359030646e+24,1.416047467766873e+24,0.0,163917387471.44473,1262675555703.3914,1416047467766.8726,0.0,0.0,1608770338482.5789,0.0,0.0,0.0,0.0,0.0,0.0,163917387471.44443,564834341074.2673,1416047467766.8628,0.0,0.0,-910929123853.4548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.996084569359857e-64,16686281.745002355,1656234025614.0874,4706929.368832803,0.0,0.0,0.0,0.0,6.885276244158432e-64,592104.0665768054,830183405838.3143,5405021.241890225,0.0,0.0,0.0,0.0,62589821.10579341,163927941057.22427,564834959273.6576,1416085399913.994,0.0,0.0,0.0,0.0,0.0,0.0,7654656260915390.0,0.0,0.0,0.0,8850.84047017336,0.0,0.0,0.0,-1608770338482.5789,0.0,0.0,0.0,829762868058.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910929123853.4548,0.0,0.0,0.0,-131921644578.13948,0.0,-1.262177448353619e-18,-45544.11640249811,-1.2621774483536189e-26,-0.00045544116402498105,0.0,1.639173874714448e+23,1.0920259435577208e+24,1.416047467766873e+24,0.0,163917387471.44473,1262675564554.2317,1416047467766.8726,0.0,0.0,0.0,0.0,0.0,0.0,829762868058.104,0.0,0.0,163917387471.44443,564834341074.2673,1416047467766.8628,0.0,0.0,0.0,0.0,0.0,0.0,-131921644578.13948,0.0
0.16,-1,-1,1,-45522.60133791964,0.0,-0.0004552260133791963,0.0,0.0,1.639173870992355e+23,1.0908646995059649e+24,1.4160473045673784e+24,0.0,163917387099.23547,1261332854248.4133,1416047304567.3782,0.0,0.0,1609041924444.6982,0.0,0.0,0.0,0.0,0.0,0.0,163917387099.2351,564834337846.2135,1416047304567.3672,0.0,0.0,-912543408042.4984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0022470463574396e-64,16640020.241575338,1656589802701.1938,4711767.989133785,0.0,0.0,0.0,0.0,6.884043748705551e-64,591327.5924444172,829646039200.9563,5404053.518541178,0.0,0.0,0.0,0.0,62589821.10579343,163927941057.22446,564834959273.6578,1416085399913.9934,0.0,0.0,0.0,0.0,0.0,0.0,7841976006036788.0,0.0,0.0,0.0,9067.432453467038,0.0,0.0,0.0,-1609041924444.6982,0.0,0.0,0.0,829222904240.7937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912543408042.4984,0.0,0.0,0.0,-132724378771.16116,0.0,-1.262177448353619e-18,-45522.60133791826,-1.2621774483536189e-26,-0.00045522601337918256,0.0,1.639173870992355e+23,1.0908647073479415e+24,1.4160473045673784e+24,0.0,163917387099.23547,1261332863315.8464,1416047304567.3782,0.0,0.0,0.0,0.0,0.0,0.0,829222904240.7937,0.0,0.0,163917387099.2351,564834337846.2135,1416047304567.3672,0.0,0.0,0.0,0.0,0.0,0.0,-132724378771.16116,0.0
