sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,avg:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,avg:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,avg:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-59324.58800182635,0.0,-0.0005932458800182634,0.0,1.416038297312359e+24,0.0,2.1210110293234453e+24,1.9424119110667037e+23,1416038297312.3584,0.0,2092470266932.7507,194241191106.67032,0.0,0.0,1653157542451.7566,0.0,0.0,0.0,0.0,0.0,1416038297312.3552,0.0,516864444337.64954,194241191106.66962,0.0,0.0,-77551719856.65585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7065520575763565e+17,0.0,0.0,0.0,-365667.59277017415,0.0,0.0,0.0,-1653157542451.7566,0.0,0.0,0.0,1599505458525.0598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77551719856.65585,0.0,0.0,0.0,-23900001597.552288,0.0,1.1487324709094333e-17,-59324.588001823584,1.1487324709094331e-25,-0.0005932458800182357,1.416038297312359e+24,0.0,2.1210106586682387e+24,1.9424119110667037e+23,1416038297312.3584,0.0,2092469901265.1572,194241191106.67032,0.0,0.0,0.0,0.0,0.0,0.0,1599505458525.0598,0.0,1416038297312.3552,0.0,516864444337.64954,194241191106.66962,0.0,0.0,0.0,0.0,0.0,0.0,-23900001597.552288,0.0,0.0,0.0,0.0,0.0,98879.55027433434,1.2595577715423915e-65,1657189901159.9016,10172922.472478202,0.0,0.0,0.0,0.0,31632697.390449952,4.0296515122168336e-63,1599860198316.1052,279.36892617747236,0.0,0.0,0.0,0.0,1416085781024.5903,62589837.95057228,516864463996.26587,194251217546.11597
0.02,-1,-1,1,-59310.07548598074,0.0,-0.0005931007548598073,0.0,1.4160381166520626e+24,0.0,2.120092346985116e+24,1.942411774631329e+23,1416038116652.0623,0.0,2091563946573.6702,194241177463.13287,0.0,0.0,1653239353008.3823,0.0,0.0,0.0,0.0,0.0,1416038116652.0596,0.0,516864443602.7018,194241177463.13226,0.0,0.0,-78539850037.41463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.822680778860079e+17,0.0,0.0,0.0,870396.0964452177,0.0,0.0,0.0,-1653239353008.3823,0.0,0.0,0.0,1599299680542.2917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78539850037.41463,0.0,0.0,0.0,-24599307175.22744,0.0,1.0225147260740714e-17,-59310.07548597821,1.0225147260740713e-25,-0.000593100754859782,1.4160381166520626e+24,0.0,2.1200932292531942e+24,1.942411774631329e+23,1416038116652.0623,0.0,2091564816969.7668,194241177463.13287,0.0,0.0,0.0,0.0,0.0,0.0,1599299680542.2917,0.0,1416038116652.0596,0.0,516864443602.7018,194241177463.13226,0.0,0.0,0.0,0.0,0.0,0.0,-24599307175.22744,0.0,0.0,0.0,0.0,0.0,110301.08661936362,1.405051007979186e-65,1657323220559.702,10162099.395292196,0.0,0.0,0.0,0.0,31621276.25430278,4.028196579852393e-63,1599665736875.9338,282.6138230172139,0.0,0.0,0.0,0.0,1416085781024.59,62589837.95057227,516864463996.2663,194251217546.11597
0.04,-1,-1,1,-59295.02676095036,0.0,-0.0005929502676095035,0.0,1.4160379432980568e+24,0.0,2.1191403956628532e+24,1.9424116309879514e+23,1416037943298.0564,0.0,2090624804904.9739,194241163098.7951,0.0,0.0,1653293253234.8384,0.0,0.0,0.0,0.0,0.0,1416037943298.0527,0.0,516864442810.36804,194241163098.7944,0.0,0.0,-79532891140.23376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.933992091320337e+17,0.0,0.0,0.0,980031.8242410719,0.0,0.0,0.0,-1653293253234.8384,0.0,0.0,0.0,1599132770179.5554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79532891140.23376,0.0,0.0,0.0,-25371428053.126606,0.0,1.2749502157447952e-17,-59295.02676094765,1.274950215744795e-25,-0.0005929502676094764,1.4160379432980568e+24,0.0,2.119141389062061e+24,1.9424116309879514e+23,1416037943298.0564,0.0,2090625784936.7964,194241163098.7951,0.0,0.0,0.0,0.0,0.0,0.0,1599132770179.5554,0.0,1416037943298.0527,0.0,516864442810.36804,194241163098.7944,0.0,0.0,0.0,0.0,0.0,0.0,-25371428053.126606,0.0,0.0,0.0,0.0,0.0,122850.59041372889,1.5649131723017404e-65,1657428882254.4631,10153520.578080978,0.0,0.0,0.0,0.0,31608727.189894933,4.026597958209094e-63,1599511321332.0623,286.0899405639327,0.0,0.0,0.0,0.0,1416085781024.589,62589837.95057227,516864463996.2651,194251217546.1153
0.06,-1,-1,1,-59279.467986273885,0.0,-0.0005927946798627388,0.0,1.4160377785109914e+24,0.0,2.1181563188336483e+24,1.94241147945369e+23,1416037778510.9912,0.0,2089653970016.7905,194241147945.36896,0.0,0.0,1653315887681.145,0.0,0.0,0.0,0.0,0.0,1416037778510.9883,0.0,516864441958.23035,194241147945.3684,0.0,0.0,-80526359622.58687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.415638111046405e+17,0.0,0.0,0.0,830239.5546829253,0.0,0.0,0.0,-1653315887681.145,0.0,0.0,0.0,1599010132603.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80526359622.58687,0.0,0.0,0.0,-26219774304.9657,0.0,8.962969812387095e-18,-59279.46798627111,8.962969812387094e-26,-0.000592794679862711,1.4160377785109914e+24,0.0,2.1181571603974584e+24,1.94241147945369e+23,1416037778510.9912,0.0,2089654800256.344,194241147945.36896,0.0,0.0,0.0,0.0,0.0,0.0,1599010132603.08,0.0,1416037778510.9883,0.0,516864441958.23035,194241147945.3684,0.0,0.0,0.0,0.0,0.0,0.0,-26219774304.9657,0.0,0.0,0.0,0.0,0.0,136403.87548343695,1.7375623187435115e-65,1657503296907.7854,10147477.253669795,0.0,0.0,0.0,0.0,31595174.37896316,4.0248714667445956e-63,1599402411854.8674,289.82528856759046,0.0,0.0,0.0,0.0,1416085781024.5906,62589837.95057229,516864463996.26685,194251217546.11627
0.08,-1,-1,1,-59263.42924503456,0.0,-0.0005926342924503455,0.0,1.4160376230818695e+24,0.0,2.117141731976209e+24,1.9424113196370607e+23,1416037623081.8691,0.0,2088653035649.613,194241131963.70602,0.0,0.0,1653305307851.5962,0.0,0.0,0.0,0.0,0.0,1416037623081.8652,0.0,516864441044.7883,194241131963.70544,0.0,0.0,-81516713246.77382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.253784905288648e+17,0.0,0.0,0.0,912926.406473428,0.0,0.0,0.0,-1653305307851.5962,0.0,0.0,0.0,1598935037609.4966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81516713246.77382,0.0,0.0,0.0,-27145530078.26795,0.0,8.962969812387095e-18,-59263.429245031904,8.962969812387094e-26,-0.0005926342924503189,1.4160376230818695e+24,0.0,2.117142657354699e+24,1.9424113196370607e+23,1416037623081.8691,0.0,2088653948576.0186,194241131963.70602,0.0,0.0,0.0,0.0,0.0,0.0,1598935037609.4966,0.0,1416037623081.8652,0.0,516864441044.7883,194241131963.70544,0.0,0.0,0.0,0.0,0.0,0.0,-27145530078.26795,0.0,0.0,0.0,0.0,0.0,150801.63751936462,1.9209691350678065e-65,1657544331359.2483,10144142.498125875,0.0,0.0,0.0,0.0,31580777.120160453,4.023037398581267e-63,1599342297225.2485,293.8427768757603,0.0,0.0,0.0,0.0,1416085781024.591,62589837.950572275,516864463996.26697,194251217546.1164
0.1,-1,-1,1,-59246.93580689645,0.0,-0.0005924693580689644,0.0,1.4160374772745027e+24,0.0,2.1160984364260705e+24,1.9424111514548387e+23,1416037477274.5024,0.0,2087623778899.8335,194241115145.48383,0.0,0.0,1653261079176.9446,0.0,0.0,0.0,0.0,0.0,1416037477274.4993,0.0,516864440069.0876,194241115145.48303,0.0,0.0,-82501740346.1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.918838758581896e+17,0.0,0.0,0.0,879882.5022542626,0.0,0.0,0.0,-1653261079176.9446,0.0,0.0,0.0,1598908395670.9253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82501740346.1996,0.0,0.0,0.0,-28148176957.67706,0.0,1.1487324709094333e-17,-59246.93580689379,1.1487324709094331e-25,-0.0005924693580689378,1.4160374772745027e+24,0.0,2.1160993283099466e+24,1.9424111514548387e+23,1416037477274.5024,0.0,2087624658782.3357,194241115145.48383,0.0,0.0,0.0,0.0,0.0,0.0,1598908395670.9253,0.0,1416037477274.4993,0.0,516864440069.0876,194241115145.48303,0.0,0.0,0.0,0.0,0.0,0.0,-28148176957.67706,0.0,0.0,0.0,0.0,0.0,165875.73074961847,2.11299167236643e-65,1657551435872.4436,10143560.906469375,0.0,0.0,0.0,0.0,31565703.553309314,4.02111717320819e-63,1599331879366.746,298.15927242319475,0.0,0.0,0.0,0.0,1416085781024.5903,62589837.9505723,516864463996.2659,194251217546.11566
0.12,-1,-1,1,-59230.01758542692,0.0,-0.0005923001758542691,0.0,1.4160373410213537e+24,0.0,2.1150282344481895e+24,1.942410975001534e+23,1416037341021.3533,0.0,2086567977780.759,194241097500.15335,0.0,0.0,1653183672710.8408,0.0,0.0,0.0,0.0,0.0,1416037341021.3506,0.0,516864439031.1438,194241097500.1527,0.0,0.0,-83480133961.22491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.985058059099914e+17,0.0,0.0,0.0,886415.3262478858,0.0,0.0,0.0,-1653183672710.8408,0.0,0.0,0.0,1598929673367.4744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83480133961.22491,0.0,0.0,0.0,-29225248202.53434,0.0,1.2749502157447952e-17,-59230.01758542431,1.274950215744795e-25,-0.000592300175854243,1.4160373410213537e+24,0.0,2.1150291329539946e+24,1.942410975001534e+23,1416037341021.3533,0.0,2086568864196.0845,194241097500.15335,0.0,0.0,0.0,0.0,0.0,0.0,1598929673367.4744,0.0,1416037341021.3506,0.0,516864439031.1438,194241097500.1527,0.0,0.0,0.0,0.0,0.0,0.0,-29225248202.53434,0.0,0.0,0.0,0.0,0.0,181455.17430018136,2.3114518607023775e-65,1657525013574.803,10145699.758709108,0.0,0.0,0.0,0.0,31550124.653253213,4.01913257132473e-63,1599370584810.936,302.7886714638804,0.0,0.0,0.0,0.0,1416085781024.59,62589837.950572275,516864463996.26544,194251217546.11578
0.14,-1,-1,1,-59212.69955331453,0.0,-0.0005921269955331452,0.0,1.416037213939015e+24,0.0,2.1139327404607016e+24,1.9424107905340984e+23,1416037213939.0146,0.0,2085487224986.5818,194241079053.4098,0.0,0.0,1653074396072.526,0.0,0.0,0.0,0.0,0.0,1416037213939.0115,0.0,516864437931.3314,194241079053.40897,0.0,0.0,-84451609017.2763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.856171908418619e+17,0.0,0.0,0.0,873700.1430455595,0.0,0.0,0.0,-1653074396072.526,0.0,0.0,0.0,1598996971912.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84451609017.2763,0.0,0.0,0.0,-30373311156.61789,0.0,1.0225147260740714e-17,-59212.69955331228,1.0225147260740713e-25,-0.0005921269955331227,1.416037213939015e+24,0.0,2.1139336260778935e+24,1.9424107905340984e+23,1416037213939.0146,0.0,2085488098686.726,194241079053.4098,0.0,0.0,0.0,0.0,0.0,0.0,1598996971912.0115,0.0,1416037213939.0115,0.0,516864437931.3314,194241079053.40897,0.0,0.0,0.0,0.0,0.0,0.0,-30373311156.61789,0.0,0.0,0.0,0.0,0.0,197386.64279431052,2.5143965331088892e-65,1657466357483.074,10150454.12939127,0.0,0.0,0.0,0.0,31534193.739976317,4.0171031246005707e-63,1599456459124.452,307.7418236304205,0.0,0.0,0.0,0.0,1416085781024.5906,62589837.95057228,516864463996.26654,194251217546.11615
0.16,-1,-1,1,-59195.00509599852,0.0,-0.0005919500509599851,0.0,1.4160370954734612e+24,0.0,2.1128133115690032e+24,1.9424105983834862e+23,1416037095473.4607,0.0,2084382859361.2075,194241059838.34857,0.0,0.0,1652934967260.5015,0.0,0.0,0.0,0.0,0.0,1416037095473.4573,0.0,516864436770.4068,194241059838.3478,0.0,0.0,-85416544669.70105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.069242516002782e+18,0.0,0.0,0.0,1054854.5679132342,0.0,0.0,0.0,-1652934967260.5015,0.0,0.0,0.0,1599107686168.6123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85416544669.70105,0.0,0.0,0.0,-31588208723.24336,0.0,1.0225147260740714e-17,-59195.00509599587,1.0225147260740713e-25,-0.0005919500509599586,1.4160370954734612e+24,0.0,2.112814380811519e+24,1.9424105983834862e+23,1416037095473.4607,0.0,2084383914215.7754,194241059838.34857,0.0,0.0,0.0,0.0,0.0,0.0,1599107686168.6123,0.0,1416037095473.4573,0.0,516864436770.4068,194241059838.3478,0.0,0.0,0.0,0.0,0.0,0.0,-31588208723.24336,0.0,0.0,0.0,0.0,0.0,213536.76899903492,2.720126760297696e-65,1657377205634.7588,10157682.984955179,0.0,0.0,0.0,0.0,31518044.176033095,4.0150458223285863e-63,1599586829833.4175,313.0286514321446,0.0,0.0,0.0,0.0,1416085781024.5906,62589837.950572304,516864463996.2659,194251217546.11615
