sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-48085.75544521813,0.0,-0.0004808575544521812,1.0136985253526745e+24,1.4160516242610916e+24,1.2313756790263284e+23,0.0,1462087597471.5698,1416051624261.0913,123137567902.63281,0.0,1672993568695.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351503549.2714,1416051624261.1016,123137567902.63263,0.0,-840257474773.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549958810202.6697,0.0,0.0,0.0,0.7932219840586185,0.0,0.0,0.0,-1672993568695.358,0.0,0.0,0.0,966945894438.3116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840257474773.0615,0.0,0.0,0.0,-134209800515.22049,0.0,0.0,0.0,-48085.75544521584,6.6397879280208254e-18,-0.00048085755445215824,6.639787928020825e-26,1.0136985253532237e+24,1.4160516242610916e+24,1.2313756790263284e+23,0.0,1462087597472.3618,1416051624261.0913,123137567902.63281,0.0,0.0,0.0,0.0,0.0,966945894438.3116,0.0,0.0,0.0,629351503549.2714,1416051624261.1016,123137567902.63263,0.0,0.0,0.0,0.0,0.0,-134209800515.22049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716791722581.6555,44.6411434224667,2944982.2371878084,5.686014546357345e-69,0.0,0.0,0.0,0.0,967373337049.26,6346395.304235526,144049.10059345848,8.084482807837317e-64,0.0,0.0,0.0,0.0,629352118816.0603,1416085781024.6025,123145458325.04008,62589837.95057232
0.02,-1,-1,1,0.0,-48069.972513809254,0.0,-0.0004806997251380925,1.013015622867184e+24,1.4160514479698553e+24,1.2313756745191335e+23,0.0,1461102626862.1167,1416051447969.855,123137567451.91333,0.0,1673138087889.7556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351501280.3872,1416051447969.864,123137567451.91315,0.0,-841386962308.0253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.172037947286082e+16,0.0,0.0,0.0,60174.546833690256,0.0,0.0,0.0,-1673138087889.7556,0.0,0.0,0.0,966439195433.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841386962308.0253,0.0,0.0,0.0,-134688009676.93527,0.0,0.0,0.0,-48069.97251380684,7.901965376374445e-18,-0.00048069972513806837,7.901965376374444e-26,1.0130156645875643e+24,1.4160514479698553e+24,1.2313756745191335e+23,0.0,1461102687036.6646,1416051447969.855,123137567451.91333,0.0,0.0,0.0,0.0,0.0,966439195433.2126,0.0,0.0,0.0,629351501280.3872,1416051447969.864,123137567451.91315,0.0,0.0,0.0,0.0,0.0,-134688009676.93527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716995128987.886,45.40794275702791,2935909.717369202,5.783686572974488e-69,0.0,0.0,0.0,0.0,966868184211.7416,6346395.150876748,144047.94954285186,8.084482612493259e-64,0.0,0.0,0.0,0.0,629352118816.0603,1416085781024.601,123145458325.0403,62589837.9505723
0.04,-1,-1,1,0.0,-48054.03223419552,0.0,-0.0004805403223419551,1.0123258828154702e+24,1.4160512700447462e+24,1.2313756699667147e+23,0.0,1460107794227.099,1416051270044.7458,123137566996.67143,0.0,1673283094281.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351498985.5482,1416051270044.753,123137566996.67122,0.0,-842526799039.5945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1628532398574338e+17,0.0,0.0,0.0,167721.7887915615,0.0,0.0,0.0,-1673283094281.146,0.0,0.0,0.0,965928030893.6292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842526799039.5945,0.0,0.0,0.0,-135171567930.28937,0.0,0.0,0.0,-48054.03223419329,6.6397879280208254e-18,-0.0004805403223419328,6.639787928020825e-26,1.0123259991007947e+24,1.4160512700447462e+24,1.2313756699667147e+23,0.0,1460107961948.8887,1416051270044.7458,123137566996.67143,0.0,0.0,0.0,0.0,0.0,965928030893.6292,0.0,0.0,0.0,629351498985.5482,1416051270044.753,123137566996.67122,0.0,0.0,0.0,0.0,0.0,-135171567930.28937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717199562151.957,46.201617884285824,2926790.990485638,5.884782954047291e-69,0.0,0.0,0.0,0.0,966358583129.6217,6346394.992142833,144046.86464989182,8.084482410300497e-64,0.0,0.0,0.0,0.0,629352118816.0591,1416085781024.6016,123145458325.04004,62589837.95057233
0.06,-1,-1,1,0.0,-48037.93099389849,0.0,-0.0004803793099389848,1.0116293364385354e+24,1.4160510904447174e+24,1.2313756653710253e+23,0.0,1459103144626.3455,1416051090444.717,123137566537.10251,0.0,1673428617944.5957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351496664.3063,1416051090444.7214,123137566537.10236,0.0,-843676969982.5566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817659920477822e+16,0.0,0.0,0.0,22814.28236536868,0.0,0.0,0.0,-1673428617944.5957,0.0,0.0,0.0,965412285064.5554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843676969982.5566,0.0,0.0,0.0,-135660614288.23413,0.0,0.0,0.0,-48037.93099389629,7.270876652197636e-18,-0.0004803793099389628,7.270876652197634e-26,1.0116293522561955e+24,1.4160510904447174e+24,1.2313756653710253e+23,0.0,1459103167440.6282,1416051090444.717,123137566537.10251,0.0,0.0,0.0,0.0,0.0,965412285064.5554,0.0,0.0,0.0,629351496664.3063,1416051090444.7214,123137566537.10236,0.0,0.0,0.0,0.0,0.0,-135660614288.23413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717405051362.3308,47.023610986564925,2917624.758549294,5.989487520214994e-69,0.0,0.0,0.0,0.0,965844418498.6111,6346394.827745377,144045.77554972138,8.084482200891365e-64,0.0,0.0,0.0,0.0,629352118816.0599,1416085781024.6025,123145458325.04013,62589837.95057234
0.08,-1,-1,1,0.0,-48021.664141546156,0.0,-0.0004802166414154615,1.0109255336954714e+24,1.4160509091274344e+24,1.2313756607265732e+23,0.0,1458088028952.44,1416050909127.434,123137566072.65729,0.0,1673574652000.8123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351494315.6616,1416050909127.4377,123137566072.65715,0.0,-844838117364.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6119928826761842e+16,0.0,0.0,0.0,23250.253818346187,0.0,0.0,0.0,-1673574652000.8123,0.0,0.0,0.0,964891847176.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844838117364.0352,0.0,0.0,0.0,-136155289289.28044,0.0,0.0,0.0,-48021.6641415439,6.6397879280208254e-18,-0.00048021664141543894,6.639787928020825e-26,1.010925549815399e+24,1.4160509091274344e+24,1.2313756607265732e+23,0.0,1458088052202.6921,1416050909127.434,123137566072.65729,0.0,0.0,0.0,0.0,0.0,964891847176.312,0.0,0.0,0.0,629351494315.6616,1416050909127.4377,123137566072.65715,0.0,0.0,0.0,0.0,0.0,-136155289289.28044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717611623208.7979,47.87546706932173,2908409.7787074023,6.097997277062922e-69,0.0,0.0,0.0,0.0,965325580005.0955,6346394.657375382,144044.78421212485,8.084481983871869e-64,0.0,0.0,0.0,0.0,629352118816.0614,1416085781024.6025,123145458325.04034,62589837.9505723
0.1,-1,-1,1,0.0,-48005.22752507491,0.0,-0.000480052275250749,1.0102143858283325e+24,1.416050726048397e+24,1.2313756560335552e+23,0.0,1457062319187.152,1416050726048.3967,123137565603.35548,0.0,1673721219436.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351491938.9897,1416050726048.3982,123137565603.35532,0.0,-846010392188.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6433866528615512e+16,0.0,0.0,0.0,23703.05552297458,0.0,0.0,0.0,-1673721219436.908,0.0,0.0,0.0,964366593926.8094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846010392188.7461,0.0,0.0,0.0,-136655742975.59268,0.0,0.0,0.0,-48005.22752507235,7.901965376374445e-18,-0.0004800522752507234,7.901965376374444e-26,1.0102144022621985e+24,1.416050726048397e+24,1.2313756560335552e+23,0.0,1457062342890.2068,1416050726048.3967,123137565603.35548,0.0,0.0,0.0,0.0,0.0,964366593926.8094,0.0,0.0,0.0,629351491938.9897,1416050726048.3982,123137565603.35532,0.0,0.0,0.0,0.0,0.0,-136655742975.59268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717819308539.0447,48.758847119076194,2899144.674941644,6.210524119144029e-69,0.0,0.0,0.0,0.0,964801944834.2632,6346394.480700611,144043.85868330917,8.084481758818183e-64,0.0,0.0,0.0,0.0,629352118816.0603,1416085781024.6023,123145458325.0401,62589837.95057233
0.12,-1,-1,1,0.0,-47988.61662115824,0.0,-0.0004798861662115823,1.0094956971271657e+24,1.41605054116126e+24,1.2313756512905888e+23,0.0,1456025733052.183,1416050541161.2595,123137565129.05885,0.0,1673868336083.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351489533.5269,1416050541161.2598,123137565129.05869,0.0,-847194092564.5505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6760228748294006e+16,0.0,0.0,0.0,24173.77747998759,0.0,0.0,0.0,-1673868336083.207,0.0,0.0,0.0,963836398739.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847194092564.5505,0.0,0.0,0.0,-137162131047.2383,0.0,0.0,0.0,-47988.616621156056,7.901965376374445e-18,-0.0004798861662115605,7.901965376374444e-26,1.009495713887394e+24,1.41605054116126e+24,1.2313756512905888e+23,0.0,1456025757225.9602,1416050541161.2595,123137565129.05885,0.0,0.0,0.0,0.0,0.0,963836398739.6719,0.0,0.0,0.0,629351489533.5269,1416050541161.2598,123137565129.05869,0.0,0.0,0.0,0.0,0.0,-137162131047.2383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718028138711.9172,49.675537031660056,2889828.03592714,6.327295977879648e-69,0.0,0.0,0.0,0.0,964273386915.3011,6346394.29736392,144043.00299380638,8.084481525274446e-64,0.0,0.0,0.0,0.0,629352118816.0608,1416085781024.6023,123145458325.04024,62589837.95057233
0.14,-1,-1,1,0.0,-47971.82670441985,0.0,-0.0004797182670441984,1.0087692631398343e+24,1.4160503544176152e+24,1.2313756464962126e+23,0.0,1454977975660.1228,1416050354417.615,123137564649.62123,0.0,1674016018474.6294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351487098.4739,1416050354417.6135,123137564649.62108,0.0,-848389529912.9822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7099889371312592e+16,0.0,0.0,0.0,24663.68012051098,0.0,0.0,0.0,-1674016018474.6294,0.0,0.0,0.0,963301129417.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848389529912.9822,0.0,0.0,0.0,-137674616192.1309,0.0,0.0,0.0,-47971.82670441756,6.6397879280208254e-18,-0.0004797182670441755,6.639787928020825e-26,1.0087692802397236e+24,1.4160503544176152e+24,1.2313756464962126e+23,0.0,1454978000323.8027,1416050354417.615,123137564649.62123,0.0,0.0,0.0,0.0,0.0,963301129417.46,0.0,0.0,0.0,629351487098.4739,1416050354417.6135,123137564649.62108,0.0,0.0,0.0,0.0,0.0,-137674616192.1309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718238146486.5425,50.62746048298719,2880458.3881070176,6.448558428840867e-69,0.0,0.0,0.0,0.0,963739774578.6444,6346394.106980582,144042.2212722673,8.084481282749558e-64,0.0,0.0,0.0,0.0,629352118816.0593,1416085781024.6016,123145458325.03984,62589837.95057232
0.16,-1,-1,1,0.0,-47954.85283416345,0.0,-0.00047954852834163444,1.0080348700979618e+24,1.4160501657668727e+24,1.23137564164893e+23,0.0,1453918738686.4697,1416050165766.8723,123137564164.89296,0.0,1674164283893.1616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629351484632.9984,1416050165766.8704,123137564164.89279,0.0,-849597029839.6906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7453845215737322e+16,0.0,0.0,0.0,25174.20118495263,0.0,0.0,0.0,-1674164283893.1616,0.0,0.0,0.0,962760647785.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849597029839.6906,0.0,0.0,0.0,-138193368557.5017,0.0,0.0,0.0,-47954.85283416106,8.533054100551255e-18,-0.0004795485283416105,8.533054100551253e-26,1.0080348875518068e+24,1.4160501657668727e+24,1.23137564164893e+23,0.0,1453918763860.6707,1416050165766.8723,123137564164.89296,0.0,0.0,0.0,0.0,0.0,962760647785.1744,0.0,0.0,0.0,629351484632.9984,1416050165766.8704,123137564164.89279,0.0,0.0,0.0,0.0,0.0,-138193368557.5017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718449366111.8713,51.61669310960561,2871034.1898693615,6.574576426455293e-69,0.0,0.0,0.0,0.0,963200970200.7075,6346393.909135465,144041.51776104988,8.084481030713558e-64,0.0,0.0,0.0,0.0,629352118816.0602,1416085781024.6016,123145458325.0404,62589837.9505723
