sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:fsf,avg:g_CB:p,tot:g_CB:I,tot:g_CB:n,tot:g_CB:fsf,tot:g_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:fsf,avg:g_IB:p,tot:g_IB:I,tot:g_IB:n,tot:g_IB:fsf,tot:g_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:fsf,avg:g_VB:p,tot:g_VB:I,tot:g_VB:n,tot:g_VB:fsf,tot:g_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-50042.31731317656,0.0,-0.0005004231731317655,0.0,9.779698367110774e+23,1.0077132132424556e+23,0.0,1.4160345820386073e+24,1606590159381.592,100771321324.24553,0.0,1416034582038.607,999212094966.1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737514754.7218,100771321324.24532,0.0,1416034582038.6045,-57359450339.316666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999802135326.1262,7594421.3435275955,4.764315149044907e-65,374006.9867591696,0.0,0.0,0.0,0.0,997294372353.2747,265378.7379425085,7.608061674413941e-64,5972398.950959404,0.0,0.0,0.0,0.0,664737522005.5546,100777477279.20218,62589821.105793454,1416085399914.003,0.0,0.0,0.0,0.0,4404746257.242736,0.0,0.0,0.0,0.007236032979562879,0.0,0.0,0.0,-999212094966.1857,0.0,0.0,0.0,997121911090.1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57359450339.316666,0.0,0.0,0.0,-55269266463.268814,0.0,0.0,0.0,-1.262177448353619e-18,-50042.31731317476,-1.2621774483536189e-26,-0.0005004231731317475,9.779698367110809e+23,1.0077132132424556e+23,0.0,1.4160345820386073e+24,1606590159381.598,100771321324.24553,0.0,1416034582038.607,0.0,0.0,0.0,0.0,997121911090.1447,0.0,0.0,0.0,664737514754.7218,100771321324.24532,0.0,1416034582038.6045,0.0,0.0,0.0,0.0,-55269266463.268814,0.0,0.0,0.0
0.02,-1,-1,1,-50033.1684827722,0.0,-0.0005003316848277219,0.0,9.776222432912253e+23,1.0077132114867981e+23,0.0,1.4160345700313044e+24,1606019139553.743,100771321148.6798,0.0,1416034570031.304,999227481311.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737514602.6484,100771321148.67963,0.0,1416034570031.3022,-57945856360.07875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999823636522.2479,7594422.968426426,4.749072119290853e-65,372810.3342417451,0.0,0.0,0.0,0.0,997272801836.2983,265175.1247683618,7.609585977455335e-64,5973595.59608047,0.0,0.0,0.0,0.0,664737522005.554,100777477279.20187,62589821.105793454,1416085399914.0027,0.0,0.0,0.0,0.0,8391216876151915.0,0.0,0.0,0.0,13784.93073344673,0.0,0.0,0.0,-999227481311.1718,0.0,0.0,0.0,997098570829.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57945856360.07875,0.0,0.0,0.0,-55816932093.39899,0.0,0.0,0.0,-1.262177448353619e-18,-50033.1684827705,-1.2621774483536189e-26,-0.000500331684827705,9.77622251682442e+23,1.0077132114867981e+23,0.0,1.4160345700313044e+24,1606019153338.6736,100771321148.6798,0.0,1416034570031.304,0.0,0.0,0.0,0.0,997098570829.423,0.0,0.0,0.0,664737514602.6484,100771321148.67963,0.0,1416034570031.3022,0.0,0.0,0.0,0.0,-55816932093.39899,0.0,0.0,0.0
0.04,-1,-1,1,-50023.72706103625,0.0,-0.0005002372706103624,0.0,9.772635404077076e+23,1.007713209788884e+23,0.0,1.4160345579734798e+24,1605429869311.279,100771320978.88837,0.0,1416034557973.4795,999242930848.6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737514442.9723,100771320978.88821,0.0,1416034557973.4768,-58550575980.32783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999845391848.4774,7594414.9758710675,4.733866375029356e-65,371616.6016657701,0.0,0.0,0.0,0.0,997250975163.7672,264978.7519060571,7.611106551947312e-64,5974789.321274953,0.0,0.0,0.0,0.0,664737522005.5541,100777477279.20201,62589821.10579342,1416085399914.002,0.0,0.0,0.0,0.0,2402327225410854.0,0.0,0.0,0.0,3946.4972589944955,0.0,0.0,0.0,-999242930848.6339,0.0,0.0,0.0,997074916349.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58550575980.32783,0.0,0.0,0.0,-56382557534.20783,0.0,0.0,0.0,-6.310887241768095e-19,-50023.72706103449,-6.3108872417680944e-27,-0.0005002372706103448,9.772635428100368e+23,1.007713209788884e+23,0.0,1.4160345579734798e+24,1605429873257.7795,100771320978.88837,0.0,1416034557973.4795,0.0,0.0,0.0,0.0,997074916349.011,0.0,0.0,0.0,664737514442.9723,100771320978.88821,0.0,1416034557973.4768,0.0,0.0,0.0,0.0,-56382557534.20783,0.0,0.0,0.0
0.06,-1,-1,1,-50013.97170776314,0.0,-0.0005001397170776314,0.0,9.768929077800827e+23,1.0077132081480134e+23,0.0,1.4160345458619606e+24,1604821001113.1653,100771320814.80132,0.0,1416034545861.9602,999258430467.3516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737514274.9849,100771320814.80109,0.0,1416034545861.957,-59174943629.17254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999867402105.8612,7594397.470020146,4.7186966695408445e-65,370425.6908802369,0.0,0.0,0.0,0.0,997228891489.3297,264789.50823080906,7.612623522561831e-64,5975980.224693295,0.0,0.0,0.0,0.0,664737522005.5552,100777477279.20218,62589821.10579345,1416085399914.0027,0.0,0.0,0.0,0.0,1436129929899115.5,0.0,0.0,0.0,2359.2468053295743,0.0,0.0,0.0,-999258430467.3516,0.0,0.0,0.0,997050942565.1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59174943629.17254,0.0,0.0,0.0,-56967453367.68631,0.0,0.0,0.0,-1.262177448353619e-18,-50013.97170776123,-1.2621774483536189e-26,-0.0005001397170776122,9.76892909216213e+23,1.0077132081480134e+23,0.0,1.4160345458619606e+24,1604821003472.4126,100771320814.80132,0.0,1416034545861.9602,0.0,0.0,0.0,0.0,997050942565.1127,0.0,0.0,0.0,664737514274.9849,100771320814.80109,0.0,1416034545861.957,0.0,0.0,0.0,0.0,-56967453367.68631,0.0,0.0,0.0
0.08,-1,-1,1,-50003.87852172694,0.0,-0.0005000387852172693,0.0,9.765094392327913e+23,1.0077132065629921e+23,0.0,1.4160345336922778e+24,1604191046311.5095,100771320656.29918,0.0,1416034533692.2776,999273966715.9698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737514097.8701,100771320656.29901,0.0,1416034533692.275,-59820434502.331665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999889669222.9569,7594370.593679415,4.7035604398731825e-65,369237.40038524295,0.0,0.0,0.0,0.0,997206548834.5652,264607.2332482823,7.614137145594103e-64,5977168.507834184,0.0,0.0,0.0,0.0,664737522005.5546,100777477279.20195,62589821.10579343,1416085399914.0012,0.0,0.0,0.0,0.0,1472647507228251.0,0.0,0.0,0.0,2419.237183538731,0.0,0.0,0.0,-999273966715.9698,0.0,0.0,0.0,997026642686.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59820434502.331665,0.0,0.0,0.0,-57573108053.91871,0.0,0.0,0.0,-1.262177448353619e-18,-50003.87852172557,-1.2621774483536189e-26,-0.0005000387852172556,9.765094407054382e+23,1.0077132065629921e+23,0.0,1.4160345336922778e+24,1604191048730.7454,100771320656.29918,0.0,1416034533692.2776,0.0,0.0,0.0,0.0,997026642686.794,0.0,0.0,0.0,664737514097.8701,100771320656.29901,0.0,1416034533692.275,0.0,0.0,0.0,0.0,-57573108053.91871,0.0,0.0,0.0
0.1,-1,-1,1,-49993.42087684202,0.0,-0.0004999342087684201,0.0,9.761121222742768e+23,1.0077132050324786e+23,0.0,1.4160345214597536e+24,1603538341604.5305,100771320503.24783,0.0,1416034521459.7532,999289523774.1626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737513910.7047,100771320503.24762,0.0,1416034521459.751,-60488696080.337746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999912194555.5021,7594334.511191951,4.688455227745028e-65,368051.53688149166,0.0,0.0,0.0,0.0,997183945794.9161,264431.75022931,7.615647666872324e-64,5978354.3639956955,0.0,0.0,0.0,0.0,664737522005.5542,100777477279.20195,62589821.105793454,1416085399914.0024,0.0,0.0,0.0,0.0,3904208714134173.5,0.0,0.0,0.0,6413.759468690958,0.0,0.0,0.0,-999289523774.1626,0.0,0.0,0.0,997002009960.8857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60488696080.337746,0.0,0.0,0.0,-58201175853.30228,0.0,0.0,0.0,-1.262177448353619e-18,-49993.42087684024,-1.2621774483536189e-26,-0.0004999342087684024,9.761121261784845e+23,1.0077132050324786e+23,0.0,1.4160345214597536e+24,1603538348018.288,100771320503.24783,0.0,1416034521459.7532,0.0,0.0,0.0,0.0,997002009960.8857,0.0,0.0,0.0,664737513910.7047,100771320503.24762,0.0,1416034521459.751,0.0,0.0,0.0,0.0,-58201175853.30228,0.0,0.0,0.0
0.12,-1,-1,1,-49982.5690842573,0.0,-0.000499825690842573,0.0,9.756998316764306e+23,1.0077132035554424e+23,0.0,1.416034509159596e+24,1602861038488.994,100771320355.54422,0.0,1416034509159.5955,999305084728.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737513712.4265,100771320355.54405,0.0,1416034509159.5928,-61181559951.45064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999934980285.1097,7594289.342456466,4.673378858919899e-65,366867.92934739945,0.0,0.0,0.0,0.0,997161080136.2086,264262.9192771397,7.61715530382009e-64,5979537.964198438,0.0,0.0,0.0,0.0,664737522005.5543,100777477279.2019,62589821.10579345,1416085399914.003,0.0,0.0,0.0,0.0,3773185502326029.5,0.0,0.0,0.0,6198.51704010088,0.0,0.0,0.0,-999305084728.0186,0.0,0.0,0.0,996977036176.7987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61181559951.45064,0.0,0.0,0.0,-58853505201.71339,0.0,0.0,0.0,-1.262177448353619e-18,-49982.56908425557,-1.2621774483536189e-26,-0.0004998256908425557,9.756998354496167e+23,1.0077132035554424e+23,0.0,1.416034509159596e+24,1602861044687.5117,100771320355.54422,0.0,1416034509159.5955,0.0,0.0,0.0,0.0,996977036176.7987,0.0,0.0,0.0,664737513712.4265,100771320355.54405,0.0,1416034509159.5928,0.0,0.0,0.0,0.0,-58853505201.71339,0.0,0.0,0.0
0.14,-1,-1,1,-49971.28972974888,0.0,-0.0004997128972974887,0.0,9.75271296520913e+23,1.007713202130359e+23,0.0,1.4160344967864718e+24,1602157049124.5376,100771320213.03587,0.0,1416034496786.4714,999320629038.3794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737513501.8125,100771320213.03572,0.0,1416034496786.4695,-61901093415.656105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999958027425.5411,7594235.270990137,4.65832897713804e-65,365686.39245575015,0.0,0.0,0.0,0.0,997137950795.2639,264100.5476222094,7.618660292063427e-64,5980719.493768454,0.0,0.0,0.0,0.0,664737522005.5537,100777477279.20186,62589821.10579343,1416085399914.0012,0.0,0.0,0.0,0.0,3639897448927424.5,0.0,0.0,0.0,5979.553973025642,0.0,0.0,0.0,-999320629038.3794,0.0,0.0,0.0,996951713559.5912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61901093415.656105,0.0,0.0,0.0,-59532171957.31498,0.0,0.0,0.0,-1.262177448353619e-18,-49971.28972974703,-1.2621774483536189e-26,-0.0004997128972974703,9.752713001608103e+23,1.007713202130359e+23,0.0,1.4160344967864718e+24,1602157055104.0913,100771320213.03587,0.0,1416034496786.4714,0.0,0.0,0.0,0.0,996951713559.5912,0.0,0.0,0.0,664737513501.8125,100771320213.03572,0.0,1416034496786.4695,0.0,0.0,0.0,0.0,-59532171957.31498,0.0,0.0,0.0
0.16,-1,-1,1,-49959.54516181077,0.0,-0.0004995954516181076,0.0,9.748250862966578e+23,1.0077132007556641e+23,0.0,1.416034484334655e+24,1601424023494.9182,100771320075.56639,0.0,1416034484334.6545,999336133487.9637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664737513277.4475,100771320075.56624,0.0,1416034484334.6511,-62649623270.49223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999981337017.8564,7594172.482600533,4.643303288773682e-65,364506.74577625806,0.0,0.0,0.0,0.0,997114556680.7452,263944.43992765277,7.620162860964907e-64,5981899.133134928,0.0,0.0,0.0,0.0,664737522005.5544,100777477279.20216,62589821.105793454,1416085399914.0024,0.0,0.0,0.0,0.0,3504032569759114.0,0.0,0.0,0.0,5756.357745817397,0.0,0.0,0.0,-999336133487.9637,0.0,0.0,0.0,996926033447.7448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62649623270.49223,0.0,0.0,0.0,-60239517473.91586,0.0,0.0,0.0,-1.262177448353619e-18,-49959.54516180907,-1.2621774483536189e-26,-0.0004995954516180906,9.74825089800692e+23,1.0077132007556641e+23,0.0,1.416034484334655e+24,1601424029251.2786,100771320075.56639,0.0,1416034484334.6545,0.0,0.0,0.0,0.0,996926033447.7448,0.0,0.0,0.0,664737513277.4475,100771320075.56624,0.0,1416034484334.6511,0.0,0.0,0.0,0.0,-60239517473.91586,0.0,0.0,0.0
