sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:fsf,avg:g_CB:p,tot:g_CB:I,tot:g_CB:n,tot:g_CB:fsf,tot:g_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:fsf,avg:g_IB:p,tot:g_IB:I,tot:g_IB:n,tot:g_IB:fsf,tot:g_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:fsf,avg:g_VB:p,tot:g_VB:I,tot:g_VB:n,tot:g_VB:fsf,tot:g_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-44412.8761148324,0.0,-0.0004441287611483239,0.0,9.621392651696461e+23,1.4850810927907742e+23,0.0,1.4160355669564378e+24,1207490271035.4617,148508109279.0774,0.0,1416035566956.4375,874605585525.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216622491.3854,148508109279.07706,0.0,1416035566956.4343,-256331936981.1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877254480078.2479,23478285.269944075,6.461761157842275e-66,50723.13160556773,0.0,0.0,0.0,0.0,781951732141.3711,19.24721908517446,8.019875595566729e-64,6295680.692166695,0.0,0.0,0.0,0.0,589216907630.3237,148515610237.74698,62589821.1057934,1416085399913.9954,0.0,0.0,0.0,0.0,-336710354587.797,0.0,0.0,0.0,-0.42257341742515564,0.0,0.0,0.0,-874605585525.1929,0.0,0.0,0.0,781430501800.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256331936981.1171,0.0,0.0,0.0,-163156853256.856,0.0,0.0,0.0,-2.524354896707238e-18,-44412.876114830935,-2.5243548967072378e-26,-0.00044412876114830927,9.621392651693088e+23,1.4850810927907742e+23,0.0,1.4160355669564378e+24,1207490271035.0383,148508109279.0774,0.0,1416035566956.4375,0.0,0.0,0.0,0.0,781430501800.509,0.0,0.0,0.0,589216622491.3854,148508109279.07706,0.0,1416035566956.4343,0.0,0.0,0.0,0.0,-163156853256.856,0.0,0.0,0.0
0.02,-1,-1,1,-44393.41893823935,0.0,-0.0004439341893823935,0.0,9.611716344934547e+23,1.4850809233325434e+23,0.0,1.4160355444433035e+24,1206275889012.2412,148508092333.2543,0.0,1416035544443.3032,874098460075.6877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216618563.6902,148508092333.25388,0.0,1416035544443.2993,-257039189627.13647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876754714492.9174,23491245.908110034,6.5562593507551e-66,51464.92472089848,0.0,0.0,0.0,0.0,782503800337.5822,19.580211642352936,8.018930613596698e-64,6294938.904167943,0.0,0.0,0.0,0.0,589216907630.3243,148515610237.74725,62589821.105793424,1416085399913.9963,0.0,0.0,0.0,0.0,-88319439149810.84,0.0,0.0,0.0,-110.84140038490295,0.0,0.0,0.0,-874098460075.6877,0.0,0.0,0.0,781976876318.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257039189627.13647,0.0,0.0,0.0,-164917605981.12512,0.0,0.0,0.0,-2.524354896707238e-18,-44393.418938237955,-2.5243548967072378e-26,-0.0004439341893823795,9.611716344051356e+23,1.4850809233325434e+23,0.0,1.4160355444433035e+24,1206275888901.4001,148508092333.2543,0.0,1416035544443.3032,0.0,0.0,0.0,0.0,781976876318.8345,0.0,0.0,0.0,589216618563.6902,148508092333.25388,0.0,1416035544443.2993,0.0,0.0,0.0,0.0,-164917605981.12512,0.0,0.0,0.0
0.04,-1,-1,1,-44373.77505135925,0.0,-0.0004437377505135924,0.0,9.601947181617553e+23,1.4850807521282954e+23,0.0,1.4160355220553693e+24,1205049853438.3425,148508075212.8295,0.0,1416035522055.369,873585733372.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216614588.2788,148508075212.82907,0.0,1416035522055.3662,-257752494522.21088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876249410608.4352,23504350.16921181,6.65084467605397e-66,52207.40194147301,0.0,0.0,0.0,0.0,783061367442.2722,19.925090560345172,8.017984760302753e-64,6294196.432067461,0.0,0.0,0.0,0.0,589216907630.3241,148515610237.7473,62589821.105793424,1416085399913.9958,0.0,0.0,0.0,0.0,38594443917521.984,0.0,0.0,0.0,48.43624746799469,0.0,0.0,0.0,-873585733372.2747,0.0,0.0,0.0,782528694466.9845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257752494522.21088,0.0,0.0,0.0,-166695455568.4837,0.0,0.0,0.0,-1.262177448353619e-18,-44373.77505135778,-1.2621774483536189e-26,-0.0004437377505135777,9.601947182003502e+23,1.4850807521282954e+23,0.0,1.4160355220553693e+24,1205049853486.7793,148508075212.8295,0.0,1416035522055.369,0.0,0.0,0.0,0.0,782528694466.9845,0.0,0.0,0.0,589216614588.2788,148508075212.82907,0.0,1416035522055.3662,0.0,0.0,0.0,0.0,-166695455568.4837,0.0,0.0,0.0
0.06,-1,-1,1,-44353.94003056482,0.0,-0.0004435394003056482,0.0,9.592082962758319e+23,1.4850805791363071e+23,0.0,1.4160354997837018e+24,1203811888339.6216,148508057913.63068,0.0,1416035499783.7014,873067307504.8184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216610564.0721,148508057913.63028,0.0,1416035499783.6987,-258472029729.26913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875738472367.0107,23517600.54717801,6.745533532148978e-66,52950.69199032637,0.0,0.0,0.0,0.0,783624519863.2633,20.28249862109757,8.017037871700813e-64,6293453.14714306,0.0,0.0,0.0,0.0,589216907630.3247,148515610237.74725,62589821.10579338,1416085399913.9956,0.0,0.0,0.0,0.0,-146165271115031.06,0.0,0.0,0.0,-183.43824976682663,0.0,0.0,0.0,-873067307504.8184,0.0,0.0,0.0,783086041481.2418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258472029729.26913,0.0,0.0,0.0,-168490763889.13077,0.0,0.0,0.0,-1.262177448353619e-18,-44353.9400305634,-1.2621774483536189e-26,-0.0004435394003056339,9.592082961296668e+23,1.4850805791363071e+23,0.0,1.4160354997837018e+24,1203811888156.1836,148508057913.63068,0.0,1416035499783.7014,0.0,0.0,0.0,0.0,783086041481.2418,0.0,0.0,0.0,589216610564.0721,148508057913.63028,0.0,1416035499783.6987,0.0,0.0,0.0,0.0,-168490763889.13077,0.0,0.0,0.0
0.08,-1,-1,1,-44333.90924914099,0.0,-0.0004433390924914099,0.0,9.582121388868864e+23,1.4850804043129553e+23,0.0,1.416035477619565e+24,1202561705129.024,148508040431.2955,0.0,1416035477619.5647,872543078312.7998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216606489.9357,148508040431.29504,0.0,1416035477619.563,-259197979673.71118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875221797526.6608,23530999.696985293,6.840342614566719e-66,53694.925922953444,0.0,0.0,0.0,0.0,784193350172.4362,20.653127151706826,8.016089780835601e-64,6292708.918340168,0.0,0.0,0.0,0.0,589216907630.3245,148515610237.74728,62589821.10579342,1416085399913.996,0.0,0.0,0.0,0.0,-515124793842192.6,0.0,0.0,0.0,-646.4845573306084,0.0,0.0,0.0,-872543078312.7998,0.0,0.0,0.0,783649008704.1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259197979673.71118,0.0,0.0,0.0,-170303910711.51898,0.0,0.0,0.0,-2.524354896707238e-18,-44333.90924913961,-2.5243548967072378e-26,-0.000443339092491396,9.582121383717613e+23,1.4850804043129553e+23,0.0,1.416035477619565e+24,1202561704482.539,148508040431.2955,0.0,1416035477619.5647,0.0,0.0,0.0,0.0,783649008704.1226,0.0,0.0,0.0,589216606489.9357,148508040431.29504,0.0,1416035477619.563,0.0,0.0,0.0,0.0,-170303910711.51898,0.0,0.0,0.0
0.1,-1,-1,1,-44313.67788487064,0.0,-0.0004431367788487063,0.0,9.572060053880338e+23,1.4850802276125871e+23,0.0,1.41603545555441e+24,1201299001843.5354,148508022761.25867,0.0,1416035455554.4094,872012935024.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216602364.6831,148508022761.2582,0.0,1416035455554.4065,-259930535545.9641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874699277305.1333,23544550.443661824,6.935288932617542e-66,54440.23725816653,0.0,0.0,0.0,0.0,784767957448.3014,21.037721219750573,8.015140317613991e-64,6291963.612140886,0.0,0.0,0.0,0.0,589216907630.3242,148515610237.7472,62589821.10579339,1416085399913.9954,0.0,0.0,0.0,0.0,29068481427652.164,0.0,0.0,0.0,36.48111015558243,0.0,0.0,0.0,-872012935024.8162,0.0,0.0,0.0,784217693924.8823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259930535545.9641,0.0,0.0,0.0,-172135294409.54904,0.0,0.0,0.0,-2.524354896707238e-18,-44313.677884869074,-2.5243548967072378e-26,-0.0004431367788486906,9.572060054171022e+23,1.4850802276125871e+23,0.0,1.41603545555441e+24,1201299001880.0164,148508022761.25867,0.0,1416035455554.4094,0.0,0.0,0.0,0.0,784217693924.8823,0.0,0.0,0.0,589216602364.6831,148508022761.2582,0.0,1416035455554.4065,0.0,0.0,0.0,0.0,-172135294409.54904,0.0,0.0,0.0
0.12,-1,-1,1,-44293.240858230565,0.0,-0.0004429324085823056,0.0,9.561896441560177e+23,1.485080048987445e+23,0.0,1.4160354335798024e+24,1200023462694.5322,148508004898.74448,0.0,1416035433579.802,871476760259.8322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216598187.0651,148508004898.74396,0.0,1416035433579.7986,-260669895752.36658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874170796386.0737,23558255.7818653,7.030390075155486e-66,55186.76406426921,0.0,0.0,0.0,0.0,785348447217.2402,21.437084032122947,8.014189306147435e-64,6291217.090477842,0.0,0.0,0.0,0.0,589216907630.3245,148515610237.74738,62589821.1057934,1416085399913.9956,0.0,0.0,0.0,0.0,24605712950839.645,0.0,0.0,0.0,30.880310237407684,0.0,0.0,0.0,-871476760259.8322,0.0,0.0,0.0,784792201305.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260669895752.36658,0.0,0.0,0.0,-173985336767.07327,0.0,0.0,0.0,-2.524354896707238e-18,-44293.240858229234,-2.5243548967072378e-26,-0.0004429324085822923,9.561896441806233e+23,1.485080048987445e+23,0.0,1.4160354335798024e+24,1200023462725.4124,148508004898.74448,0.0,1416035433579.802,0.0,0.0,0.0,0.0,784792201305.42,0.0,0.0,0.0,589216598187.0651,148508004898.74396,0.0,1416035433579.7986,0.0,0.0,0.0,0.0,-173985336767.07327,0.0,0.0,0.0
0.14,-1,-1,1,-44272.59287719845,0.0,-0.0004427259287719844,0.0,9.551627916378832e+23,1.4850798683874963e+23,0.0,1.4160354116874645e+24,1198734756921.5513,148507986838.7496,0.0,1416035411687.464,870934429403.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216593955.7747,148507986838.7491,0.0,1416035411687.4617,-261416266437.9028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873636232301.1168,23572118.891665407,7.125663933481979e-66,55934.64678390338,0.0,0.0,0.0,0.0,785934932078.0063,21.852082267386994,8.013236567522928e-64,6290469.212909375,0.0,0.0,0.0,0.0,589216907630.3247,148515610237.74738,62589821.10579341,1416085399913.9958,0.0,0.0,0.0,0.0,20763361388422.797,0.0,0.0,0.0,26.058137089014053,0.0,0.0,0.0,-870934429403.6787,0.0,0.0,0.0,785372642017.7095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261416266437.9028,0.0,0.0,0.0,-175854479025.8744,0.0,0.0,0.0,-1.262177448353619e-18,-44272.59287719702,-1.2621774483536189e-26,-0.0004427259287719701,9.551627916586471e+23,1.4850798683874963e+23,0.0,1.4160354116874645e+24,1198734756947.61,148507986838.7496,0.0,1416035411687.464,0.0,0.0,0.0,0.0,785372642017.7095,0.0,0.0,0.0,589216593955.7747,148507986838.7491,0.0,1416035411687.4617,0.0,0.0,0.0,0.0,-175854479025.8744,0.0,0.0,0.0
0.16,-1,-1,1,-44251.72839121404,0.0,-0.00044251728391214034,0.0,9.541251717987777e+23,1.4850796857603266e+23,0.0,1.4160353898692228e+24,1197432538099.2769,148507968576.03262,0.0,1416035389869.2224,870385810441.9587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589216589669.4373,148507968576.03207,0.0,1416035389869.2195,-262169862012.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873095455268.36,23586143.14256135,7.22112890815882e-66,56684.029857472524,0.0,0.0,0.0,0.0,786527531820.388,22.283651010051184,8.012281917734842e-64,6289719.834996052,0.0,0.0,0.0,0.0,589216907630.3246,148515610237.7473,62589821.10579341,1416085399913.9963,0.0,0.0,0.0,0.0,17534721129636.08,0.0,0.0,0.0,22.006175130605698,0.0,0.0,0.0,-870385810441.9587,0.0,0.0,0.0,785959134349.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262169862012.1188,0.0,0.0,0.0,-177743185897.71124,0.0,0.0,0.0,-1.262177448353619e-18,-44251.72839121243,-1.2621774483536189e-26,-0.00044251728391212424,9.54125171816313e+23,1.4850796857603266e+23,0.0,1.4160353898692228e+24,1197432538121.2837,148507968576.03262,0.0,1416035389869.2224,0.0,0.0,0.0,0.0,785959134349.5582,0.0,0.0,0.0,589216589669.4373,148507968576.03207,0.0,1416035389869.2195,0.0,0.0,0.0,0.0,-177743185897.71124,0.0,0.0,0.0
