sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-58756.99178972424,0.0,-0.0005875699178972423,0.0,1.65241780154122e+24,1.416031554380188e+24,1.4567428293405304e+23,0.0,2105617473593.0403,1416031554380.1877,145674282934.053,0.0,1593962227654.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698196137.0675,1416031554380.186,145674282934.0527,0.0,-82042950198.86609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598504755892.3743,4342346.813036227,6879042.430675005,5.531601571079801e-64,0.0,0.0,0.0,0.0,1932921583007.025,30790672.040265135,1210122.3829718416,3.9223740182209976e-63,0.0,0.0,0.0,0.0,593698451725.8878,1416085399913.996,145682734079.84186,62589821.10579343,0.0,0.0,0.0,0.0,9599933442389.586,0.0,0.0,0.0,12.232855142792687,0.0,0.0,0.0,-1593962227654.84,0.0,0.0,0.0,1926989176193.2527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82042950198.86609,0.0,0.0,0.0,-415069898725.0469,0.0,0.0,0.0,-1.8932661725304287e-18,-58756.99178972222,-1.8932661725304283e-26,-0.0005875699178972221,1.652417801550819e+24,1.416031554380188e+24,1.4567428293405304e+23,0.0,2105617473605.2722,1416031554380.1877,145674282934.053,0.0,0.0,0.0,0.0,0.0,1926989176193.2527,0.0,0.0,0.0,593698196137.0675,1416031554380.186,145674282934.0527,0.0,0.0,0.0,0.0,0.0,-415069898725.0469,0.0,0.0,0.0
0.02,-1,-1,1,-58737.797724493335,0.0,-0.0005873779772449332,0.0,1.651477647865673e+24,1.4160315488711463e+24,1.4567427457928755e+23,0.0,2104419469065.8271,1416031548871.146,145674274579.2875,0.0,1593820335925.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698193121.4066,1416031548871.1436,145674274579.28717,0.0,-83099059980.71484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598421445359.9426,4342119.7772460235,6916875.069644259,5.531312482091015e-64,0.0,0.0,0.0,0.0,1933051780817.4993,30790949.521556646,1164167.6997013625,3.9224093513212066e-63,0.0,0.0,0.0,0.0,593698451725.8878,1416085399913.9958,145682734079.84195,62589821.10579344,0.0,0.0,0.0,0.0,3.0785194900362776e+16,0.0,0.0,0.0,39228.4834075931,0.0,0.0,0.0,-1593820335925.1362,0.0,0.0,0.0,1927100514145.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83099059980.71484,0.0,0.0,0.0,-416379198972.24994,0.0,0.0,0.0,-1.8932661725304287e-18,-58737.79772449127,-1.8932661725304283e-26,-0.0005873779772449126,1.6514776786508688e+24,1.4160315488711463e+24,1.4567427457928755e+23,0.0,2104419508294.3115,1416031548871.146,145674274579.2875,0.0,0.0,0.0,0.0,0.0,1927100514145.1538,0.0,0.0,0.0,593698193121.4066,1416031548871.1436,145674274579.28717,0.0,0.0,0.0,0.0,0.0,-416379198972.24994,0.0,0.0,0.0
0.04,-1,-1,1,-58718.237214350345,0.0,-0.0005871823721435033,0.0,1.6505195684791027e+24,1.416031543264589e+24,1.456742662561158e+23,0.0,2103198622440.01,1416031543264.5889,145674266256.11575,0.0,1593677508914.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698190037.5724,1416031543264.5857,145674266256.1155,0.0,-84177076511.95438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598338416280.468,4341889.703114137,6953899.037536238,5.5310195238785244e-64,0.0,0.0,0.0,0.0,1933181183780.8108,30791230.71628469,1119673.9145314875,3.922445157326566e-63,0.0,0.0,0.0,0.0,593698451725.8883,1416085399913.9966,145682734079.842,62589821.10579337,0.0,0.0,0.0,0.0,1.2887706754961786e+16,0.0,0.0,0.0,16422.348217551364,0.0,0.0,0.0,-1593677508914.39,0.0,0.0,0.0,1927210745492.8794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84177076511.95438,0.0,0.0,0.0,-417710296668.0949,0.0,0.0,0.0,-1.8932661725304287e-18,-58718.23721434848,-1.8932661725304283e-26,-0.0005871823721434847,1.6505195813668092e+24,1.416031543264589e+24,1.456742662561158e+23,0.0,2103198638862.3577,1416031543264.5889,145674266256.11575,0.0,0.0,0.0,0.0,0.0,1927210745492.8794,0.0,0.0,0.0,593698190037.5724,1416031543264.5857,145674266256.1155,0.0,0.0,0.0,0.0,0.0,-417710296668.0949,0.0,0.0,0.0
0.06,-1,-1,1,-58698.29976062672,0.0,-0.0005869829976062671,0.0,1.6495430204499756e+24,1.4160315375577235e+24,1.4567425796504101e+23,0.0,2101954241877.1675,1416031537557.7231,145674257965.041,0.0,1593533715780.4749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698186883.2903,1416031537557.7214,145674257965.04068,0.0,-85277660786.60121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598255674516.461,4341656.532539581,6990097.870748135,5.530722622455177e-64,0.0,0.0,0.0,0.0,1933309787843.782,30791515.695459295,1076653.0203168718,3.922481445279944e-63,0.0,0.0,0.0,0.0,593698451725.8878,1416085399913.9954,145682734079.84192,62589821.10579339,0.0,0.0,0.0,0.0,7461986504615690.0,0.0,0.0,0.0,9508.545089008054,0.0,0.0,0.0,-1593533715780.4749,0.0,0.0,0.0,1927319857555.6985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85277660786.60121,0.0,0.0,0.0,-419063793053.2788,0.0,0.0,0.0,-1.8932661725304287e-18,-58698.29976062494,-1.8932661725304283e-26,-0.0005869829976062493,1.64954302791196e+24,1.4160315375577235e+24,1.4567425796504101e+23,0.0,2101954251385.71,1416031537557.7231,145674257965.041,0.0,0.0,0.0,0.0,0.0,1927319857555.6985,0.0,0.0,0.0,593698186883.2903,1416031537557.7214,145674257965.04068,0.0,0.0,0.0,0.0,0.0,-419063793053.2788,0.0,0.0,0.0
0.08,-1,-1,1,-58677.973173932085,0.0,-0.0005867797317393208,0.0,1.648547417213268e+24,1.4160315317469418e+24,1.456742497054845e+23,0.0,2100685579938.2666,1416031531746.9414,145674249705.48447,0.0,1593388912801.1892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698183655.9028,1416031531746.9395,145674249705.48416,0.0,-86401516518.82596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598173215411.5647,4341420.152412906,7025465.10784787,5.530421633775036e-64,0.0,0.0,0.0,0.0,1933437605285.3674,30791804.597322434,1035103.1050194188,3.9225182327869374e-63,0.0,0.0,0.0,0.0,593698451725.8882,1416085399913.9966,145682734079.84204,62589821.10579342,0.0,0.0,0.0,0.0,-7579291047298894.0,0.0,0.0,0.0,-9658.022112661041,0.0,0.0,0.0,-1593388912801.1892,0.0,0.0,0.0,1927427851449.9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86401516518.82596,0.0,0.0,0.0,-420440464825.5753,0.0,0.0,0.0,-1.8932661725304287e-18,-58677.97317393011,-1.8932661725304283e-26,-0.000586779731739301,1.6485474096339771e+24,1.4160315317469418e+24,1.456742497054845e+23,0.0,2100685570280.2449,1416031531746.9414,145674249705.48447,0.0,0.0,0.0,0.0,0.0,1927427851449.9175,0.0,0.0,0.0,593698183655.9028,1416031531746.9395,145674249705.48416,0.0,0.0,0.0,0.0,0.0,-420440464825.5753,0.0,0.0,0.0
0.1,-1,-1,1,-58657.24993536159,0.0,-0.0005865724993536158,0.0,1.6475323640373859e+24,1.4160315258300142e+24,1.4567424147702216e+23,0.0,2099392133630.8196,1416031525830.014,145674241477.02213,0.0,1593243070256.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698180353.5095,1416031525830.0125,145674241477.02182,0.0,-87549116978.88298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598091035516.415,4341180.49955105,7059998.454327983,5.5301164773579454e-64,0.0,0.0,0.0,0.0,1933564646393.5952,30792097.49909536,995015.7154879849,3.922555529684035e-63,0.0,0.0,0.0,0.0,593698451725.8878,1416085399913.9956,145682734079.8419,62589821.1057934,0.0,0.0,0.0,0.0,1.93627878594102e+16,0.0,0.0,0.0,24673.314712672727,0.0,0.0,0.0,-1593243070256.192,0.0,0.0,0.0,1927534731115.5908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87549116978.88298,0.0,0.0,0.0,-421840753164.9681,0.0,0.0,0.0,-1.262177448353619e-18,-58657.24993535969,-1.2621774483536189e-26,-0.0005865724993535967,1.647532383400174e+24,1.4160315258300142e+24,1.4567424147702216e+23,0.0,2099392158304.1345,1416031525830.014,145674241477.02213,0.0,0.0,0.0,0.0,0.0,1927534731115.5908,0.0,0.0,0.0,593698180353.5095,1416031525830.0125,145674241477.02182,0.0,0.0,0.0,0.0,0.0,-421840753164.9681,0.0,0.0,0.0
0.12,-1,-1,1,-58636.11076241756,0.0,-0.0005863611076241755,0.0,1.64649695229048e+24,1.4160315198014042e+24,1.4567423327954978e+23,0.0,2098072745117.445,1416031519801.4038,145674233279.54974,0.0,1593096127654.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698176972.2225,1416031519801.4026,145674233279.54947,0.0,-88721559509.38853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598009135248.6868,4340937.40908332,7093696.930320173,5.529806943261482e-64,0.0,0.0,0.0,0.0,1933690915397.1743,30792394.602281835,956379.8948215415,3.922593361630852e-63,0.0,0.0,0.0,0.0,593698451725.8881,1416085399913.996,145682734079.84198,62589821.1057934,0.0,0.0,0.0,0.0,1.819220699888502e+16,0.0,0.0,0.0,23181.684985689353,0.0,0.0,0.0,-1593096127654.611,0.0,0.0,0.0,1927640483043.6252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88721559509.38853,0.0,0.0,0.0,-423265891716.72,0.0,0.0,0.0,-1.8932661725304287e-18,-58636.11076241554,-1.8932661725304283e-26,-0.0005863611076241553,1.6464969704826856e+24,1.4160315198014042e+24,1.4567423327954978e+23,0.0,2098072768299.1282,1416031519801.4038,145674233279.54974,0.0,0.0,0.0,0.0,0.0,1927640483043.6252,0.0,0.0,0.0,593698176972.2225,1416031519801.4026,145674233279.54947,0.0,0.0,0.0,0.0,0.0,-423265891716.72,0.0,0.0,0.0
0.14,-1,-1,1,-58614.54446007784,0.0,-0.0005861454446007783,0.0,1.6454406192453415e+24,1.4160315136578538e+24,1.4567422511280756e+23,0.0,2096726697334.7944,1416031513657.8535,145674225112.80753,0.0,1592948045748.8608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698173509.452,1416031513657.8508,145674225112.8073,0.0,-89919521923.52066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597927512978.248,4340690.787928274,7126564.834463234,5.529492912937698e-64,0.0,0.0,0.0,0.0,1933816419628.9646,30792696.020645794,919177.0724802718,3.9226317431165906e-63,0.0,0.0,0.0,0.0,593698451725.888,1416085399913.9966,145682734079.8421,62589821.105793424,0.0,0.0,0.0,0.0,1.70662206896855e+16,0.0,0.0,0.0,21746.880515859928,0.0,0.0,0.0,-1592948045748.8608,0.0,0.0,0.0,1927745104795.1416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89919521923.52066,0.0,0.0,0.0,-424716559222.91925,0.0,0.0,0.0,-1.262177448353619e-18,-58614.54446007596,-1.2621774483536189e-26,-0.0005861454446007595,1.6454406363115613e+24,1.4160315136578538e+24,1.4567422511280756e+23,0.0,2096726719081.6736,1416031513657.8535,145674225112.80753,0.0,0.0,0.0,0.0,0.0,1927745104795.1416,0.0,0.0,0.0,593698173509.452,1416031513657.8508,145674225112.8073,0.0,0.0,0.0,0.0,0.0,-424716559222.91925,0.0,0.0,0.0
0.16,-1,-1,1,-58592.53657064529,0.0,-0.0005859253657064528,0.0,1.6443626567491497e+24,1.416031507395174e+24,1.4567421697662531e+23,0.0,2095353087908.8113,1416031507395.1738,145674216976.62527,0.0,1592798776564.8462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698169962.0262,1416031507395.1719,145674216976.62503,0.0,-91143858618.06209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597846168147.1292,4340440.514733472,7158608.990000945,5.529174231843761e-64,0.0,0.0,0.0,0.0,1933941164706.4185,30793001.902502533,883384.8820190208,3.9226706930298264e-63,0.0,0.0,0.0,0.0,593698451725.8881,1416085399913.9956,145682734079.84207,62589821.105793424,0.0,0.0,0.0,0.0,1.5984646013057782e+16,0.0,0.0,0.0,20368.668216295657,0.0,0.0,0.0,-1592798776564.8462,0.0,0.0,0.0,1927848589103.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91143858618.06209,0.0,0.0,0.0,-426193650787.5893,0.0,0.0,0.0,-1.8932661725304287e-18,-58592.53657064334,-1.8932661725304283e-26,-0.0005859253657064333,1.6443626727337958e+24,1.416031507395174e+24,1.4567421697662531e+23,0.0,2095353108277.4795,1416031507395.1738,145674216976.62527,0.0,0.0,0.0,0.0,0.0,1927848589103.0425,0.0,0.0,0.0,593698169962.0262,1416031507395.1719,145674216976.62503,0.0,0.0,0.0,0.0,0.0,-426193650787.5893,0.0,0.0,0.0
0.18,-1,-1,1,-58570.07180999883,0.0,-0.0005857007180999882,0.0,1.6432623161702331e+24,1.4160315010089485e+24,1.4567420887087256e+23,0.0,2093950962884.6743,1416031501008.9482,145674208870.87253,0.0,1592648269826.4482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698166326.5854,1416031501008.946,145674208870.87228,0.0,-92395473268.35939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597765100627.8748,4340186.461555683,7189838.874712109,5.528850737043489e-64,0.0,0.0,0.0,0.0,1934065155534.4966,30793312.40422352,848977.1115973453,3.9227102312849657e-63,0.0,0.0,0.0,0.0,593698451725.8887,1416085399913.9966,145682734079.842,62589821.10579341,0.0,0.0,0.0,0.0,1.4946864389920076e+16,0.0,0.0,0.0,19046.259853583528,0.0,0.0,0.0,-1592648269826.4482,0.0,0.0,0.0,1927950927263.3535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92395473268.35939,0.0,0.0,0.0,-427698111659.0042,0.0,0.0,0.0,-1.8932661725304287e-18,-58570.071809996756,-1.8932661725304283e-26,-0.0005857007180999675,1.6432623311170994e+24,1.4160315010089485e+24,1.4567420887087256e+23,0.0,2093950981930.9368,1416031501008.9482,145674208870.87253,0.0,0.0,0.0,0.0,0.0,1927950927263.3535,0.0,0.0,0.0,593698166326.5854,1416031501008.946,145674208870.87228,0.0,0.0,0.0,0.0,0.0,-427698111659.0042,0.0,0.0,0.0
0.2,-1,-1,1,-58547.13400400539,0.0,-0.0005854713400400538,0.0,1.6421388052831412e+24,1.4160314944944938e+24,1.4567420079545905e+23,0.0,2092519312757.5537,1416031494494.4934,145674200795.459,0.0,1592496472749.9133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698162599.569,1416031494494.4907,145674200795.45868,0.0,-93675322591.92914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597684310727.177,4339928.493351303,7220266.265199758,5.528522256558364e-64,0.0,0.0,0.0,0.0,1934188396309.3389,30793627.690857813,815924.2926367329,3.922750378901612e-63,0.0,0.0,0.0,0.0,593698451725.8876,1416085399913.9954,145682734079.84183,62589821.1057934,0.0,0.0,0.0,0.0,1.3952259367938832e+16,0.0,0.0,0.0,17778.86990435049,0.0,0.0,0.0,-1592496472749.9133,0.0,0.0,0.0,1928052109083.1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93675322591.92914,0.0,0.0,0.0,-429230941146.33386,0.0,0.0,0.0,-2.524354896707238e-18,-58547.13400400357,-2.5243548967072378e-26,-0.0005854713400400356,1.6421388192354e+24,1.4160314944944938e+24,1.4567420079545905e+23,0.0,2092519330536.4226,1416031494494.4934,145674200795.459,0.0,0.0,0.0,0.0,0.0,1928052109083.1904,0.0,0.0,0.0,593698162599.569,1416031494494.4907,145674200795.45868,0.0,0.0,0.0,0.0,0.0,-429230941146.33386,0.0,0.0,0.0
0.22,-1,-1,1,-58523.70601833426,0.0,-0.0005852370601833425,0.0,1.6409912848309198e+24,1.4160314878468564e+24,1.4567419275033289e+23,0.0,2091057068092.0405,1416031487846.856,145674192750.33286,0.0,1592343329814.6433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593698158777.2045,1416031487846.8538,145674192750.33252,0.0,-94984420499.8074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597603799187.428,4339666.467413825,7249904.90244485,5.5281886086510806e-64,0.0,0.0,0.0,0.0,1934310890525.186,30793947.936820325,784194.2472059681,3.9227911580921107e-63,0.0,0.0,0.0,0.0,593698451725.887,1416085399913.9956,145682734079.8415,62589821.10579341,0.0,0.0,0.0,0.0,1.3000190176134442e+16,0.0,0.0,0.0,16565.681856834213,0.0,0.0,0.0,-1592343329814.6433,0.0,0.0,0.0,1928152122826.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94984420499.8074,0.0,0.0,0.0,-430793196945.5535,0.0,0.0,0.0,-2.524354896707238e-18,-58523.70601833222,-2.5243548967072378e-26,-0.000585237060183322,1.6409912978311107e+24,1.4160314878468564e+24,1.4567419275033289e+23,0.0,2091057084657.7234,1416031487846.856,145674192750.33286,0.0,0.0,0.0,0.0,0.0,1928152122826.0715,0.0,0.0,0.0,593698158777.2045,1416031487846.8538,145674192750.33252,0.0,0.0,0.0,0.0,0.0,-430793196945.5535,0.0,0.0,0.0
