sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-47016.30127945994,0.0,-0.0004701630127945993,9.283772314747112e+23,1.148601211510884e+23,1.416033099726074e+24,0.0,1403633759199.4536,114860121151.08836,1416033099726.0737,0.0,890688212750.2303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448085021.3207,114860121151.0882,1416033099726.0713,0.0,-129502538572.09863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892110063073.0841,15422837.56378947,320527.42751690565,4.08316532616767e-65,0.0,0.0,0.0,0.0,1060684074794.433,2594259.423200502,6827913.787029757,8.697863807787748e-64,0.0,0.0,0.0,0.0,642448395848.8037,114866892160.18582,1416085399914.0007,62589821.105793424,0.0,0.0,0.0,0.0,1206596511.1379437,0.0,0.0,0.0,0.001824279548600316,0.0,0.0,0.0,-890688212750.2303,0.0,0.0,0.0,1059835199362.5087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129502538572.09863,0.0,0.0,0.0,-298649525184.3745,0.0,0.0,0.0,-47016.30127945821,-1.8932661725304287e-18,-0.0004701630127945821,-1.8932661725304283e-26,9.283772314747115e+23,1.148601211510884e+23,1.416033099726074e+24,0.0,1403633759199.454,114860121151.08836,1416033099726.0737,0.0,0.0,0.0,0.0,0.0,1059835199362.5087,0.0,0.0,0.0,642448085021.3207,114860121151.0882,1416033099726.0713,0.0,0.0,0.0,0.0,0.0,-298649525184.3745,0.0,0.0,0.0
0.02,-1,-1,1,0.0,-46990.74260615091,0.0,-0.00046990742606150903,9.273221261614607e+23,1.1486011684620044e+23,1.416033093712132e+24,0.0,1402038522492.887,114860116846.20041,1416033093712.1318,0.0,890539591155.0636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448081061.2822,114860116846.20024,1416033093712.1287,0.0,-130949149723.45961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891977451882.9762,15471172.699291844,320461.31666921364,4.082323316320374e-65,0.0,0.0,0.0,0.0,1060851255199.0206,2536247.2121111834,6827994.588672429,8.697966720107025e-64,0.0,0.0,0.0,0.0,642448395848.8035,114866892160.1858,1416085399914.001,62589821.10579345,0.0,0.0,0.0,0.0,-58716525149634.47,0.0,0.0,0.0,-88.77479340159334,0.0,0.0,0.0,-890539591155.0636,0.0,0.0,0.0,1059997271465.6257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130949149723.45961,0.0,0.0,0.0,-300406830122.797,0.0,0.0,0.0,-46990.74260614921,-1.8932661725304287e-18,-0.00046990742606149206,-1.8932661725304283e-26,9.273221261027438e+23,1.1486011684620044e+23,1.416033093712132e+24,0.0,1402038522404.1116,114860116846.20041,1416033093712.1318,0.0,0.0,0.0,0.0,0.0,1059997271465.6257,0.0,0.0,0.0,642448081061.2822,114860116846.20024,1416033093712.1287,0.0,0.0,0.0,0.0,0.0,-300406830122.797,0.0,0.0,0.0
0.04,-1,-1,1,0.0,-46964.80443381143,0.0,-0.0004696480443381142,9.262513545317767e+23,1.1486011253203236e+23,1.4160330876100334e+24,0.0,1400419599541.2437,114860112532.03233,1416033087610.033,0.0,890390512581.3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448077025.9852,114860112532.03214,1416033087610.0308,0.0,-132418990066.10902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891844642322.2104,15518765.366285147,320394.54448070267,4.081472882779408e-65,0.0,0.0,0.0,0.0,1061018627768.8416,2479214.8949379744,6828076.198615484,8.698070661988924e-64,0.0,0.0,0.0,0.0,642448395848.8035,114866892160.18584,1416085399914.001,62589821.10579343,0.0,0.0,0.0,0.0,-245245106756652.2,0.0,0.0,0.0,-370.79141910374165,0.0,0.0,0.0,-890390512581.3658,0.0,0.0,0.0,1060159468283.3286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132418990066.10902,0.0,0.0,0.0,-302187946138.8626,0.0,0.0,0.0,-46964.80443380978,-1.8932661725304287e-18,-0.00046964804433809773,-1.8932661725304283e-26,9.262513542865318e+23,1.1486011253203236e+23,1.4160330876100334e+24,0.0,1400419599170.4524,114860112532.03233,1416033087610.033,0.0,0.0,0.0,0.0,0.0,1060159468283.3286,0.0,0.0,0.0,642448077025.9852,114860112532.03214,1416033087610.0308,0.0,0.0,0.0,0.0,0.0,-302187946138.8626,0.0,0.0,0.0
0.06,-1,-1,1,0.0,-46938.4761105774,0.0,-0.000469384761105774,9.251644766037572e+23,1.1486010820824035e+23,1.416033081417188e+24,0.0,1398776325126.3018,114860108208.24033,1416033081417.1875,0.0,890240960746.4174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448072913.0791,114860108208.24011,1416033081417.184,0.0,-133912708533.19531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891711625315.6321,15565611.752957458,320327.0929398548,4.080613796128845e-65,0.0,0.0,0.0,0.0,1061186203705.3112,2423166.5569925266,6828158.638872884,8.698175661473156e-64,0.0,0.0,0.0,0.0,642448395848.8031,114866892160.18553,1416085399914.0002,62589821.10579343,0.0,0.0,0.0,0.0,-138536514577429.02,0.0,0.0,0.0,-209.4563741441816,0.0,0.0,0.0,-890240960746.4174,0.0,0.0,0.0,1060321799084.5447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133912708533.19531,0.0,0.0,0.0,-303993547080.77875,0.0,0.0,0.0,-46938.47611057585,-1.8932661725304287e-18,-0.0004693847611057585,-1.8932661725304283e-26,9.251644764652218e+23,1.1486010820824035e+23,1.416033081417188e+24,0.0,1398776324916.8472,114860108208.24033,1416033081417.1875,0.0,0.0,0.0,0.0,0.0,1060321799084.5447,0.0,0.0,0.0,642448072913.0791,114860108208.24011,1416033081417.184,0.0,0.0,0.0,0.0,0.0,-303993547080.77875,0.0,0.0,0.0
0.08,-1,-1,1,0.0,-46911.7464965785,0.0,-0.00046911746496578486,9.240610322384628e+23,1.1486010387446688e+23,1.4160330751308757e+24,0.0,1397108003553.9758,114860103874.46686,1416033075130.8752,0.0,890090918655.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448068720.1094,114860103874.46663,1416033075130.8735,0.0,-135430983821.89752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891578391405.4384,15611709.370967563,320258.943232613,4.079745816730516e-65,0.0,0.0,0.0,0.0,1061353994675.6526,2368104.6219161344,6828241.93243942,8.698281747848828e-64,0.0,0.0,0.0,0.0,642448395848.8029,114866892160.18567,1416085399914.0007,62589821.10579341,0.0,0.0,0.0,0.0,948888714609343.6,0.0,0.0,0.0,1434.6455173543654,0.0,0.0,0.0,-890090918655.7633,0.0,0.0,0.0,1060484273514.8418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135430983821.89752,0.0,0.0,0.0,-305824337246.33044,0.0,0.0,0.0,-46911.74649657709,-1.8932661725304287e-18,-0.0004691174649657708,-1.8932661725304283e-26,9.240610331873521e+23,1.1486010387446688e+23,1.4160330751308757e+24,0.0,1397108004988.622,114860103874.46686,1416033075130.8752,0.0,0.0,0.0,0.0,0.0,1060484273514.8418,0.0,0.0,0.0,642448068720.1094,114860103874.46663,1416033075130.8735,0.0,0.0,0.0,0.0,0.0,-305824337246.33044,0.0,0.0,0.0
0.1,-1,-1,1,0.0,-46884.60348283294,0.0,-0.0004688460348283293,9.229405229374423e+23,1.1486009953033736e+23,1.416033068748159e+24,0.0,1395413881133.5981,114860099530.33734,1416033068748.1587,0.0,889940368363.7151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448064444.4272,114860099530.33708,1416033068748.156,0.0,-136974551674.54272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891444930814.9524,15657056.626499739,320190.0745905584,4.078868680054446e-65,0.0,0.0,0.0,0.0,1061522012731.7343,2314030.393048941,6828326.104698555,8.698388953447374e-64,0.0,0.0,0.0,0.0,642448395848.8038,114866892160.1859,1416085399914.0007,62589821.10579345,0.0,0.0,0.0,0.0,-22847121525216.55,0.0,0.0,0.0,-34.543060715077445,0.0,0.0,0.0,-889940368363.7151,0.0,0.0,0.0,1060646901419.8676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136974551674.54272,0.0,0.0,0.0,-307681084765.2391,0.0,0.0,0.0,-46884.60348283121,-1.8932661725304287e-18,-0.00046884603482831203,-1.8932661725304283e-26,9.229405229145956e+23,1.1486009953033736e+23,1.416033068748159e+24,0.0,1395413881099.056,114860099530.33734,1416033068748.1587,0.0,0.0,0.0,0.0,0.0,1060646901419.8676,0.0,0.0,0.0,642448064444.4272,114860099530.33708,1416033068748.156,0.0,0.0,0.0,0.0,0.0,-307681084765.2391,0.0,0.0,0.0
0.12,-1,-1,1,0.0,-46857.03500486428,0.0,-0.00046857035004864276,9.218024492648601e+23,1.1486009517548522e+23,1.416033062266095e+24,0.0,1393693202757.25,114860095175.4852,1416033062266.0945,0.0,889789292158.7263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448060083.3531,114860095175.48503,1416033062266.0913,0.0,-138544149484.83038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891311234018.8389,15701653.054175857,320120.4668735148,4.077982129570881e-65,0.0,0.0,0.0,0.0,1061690269591.8384,2260943.748027393,6828411.180265905,8.69849730962245e-64,0.0,0.0,0.0,0.0,642448395848.8016,114866892160.18555,1416085399913.9985,62589821.10579344,0.0,0.0,0.0,0.0,-21126469208344.09,0.0,0.0,0.0,-31.941568996058777,0.0,0.0,0.0,-889789292158.7263,0.0,0.0,0.0,1060809692333.4653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138544149484.83038,0.0,0.0,0.0,-309564549691.511,0.0,0.0,0.0,-46857.03500486247,-1.8932661725304287e-18,-0.0004685703500486246,-1.8932661725304283e-26,9.218024492437333e+23,1.1486009517548522e+23,1.416033062266095e+24,0.0,1393693202725.3079,114860095175.4852,1416033062266.0945,0.0,0.0,0.0,0.0,0.0,1060809692333.4653,0.0,0.0,0.0,642448060083.3531,114860095175.48503,1416033062266.0913,0.0,0.0,0.0,0.0,0.0,-309564549691.511,0.0,0.0,0.0
0.14,-1,-1,1,0.0,-46829.02795460495,0.0,-0.0004682902795460494,9.206462705431743e+23,1.1486009080953478e+23,1.4160330556815042e+24,0.0,1391945150962.778,114860090809.53476,1416033055681.504,0.0,889637671482.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448055634.0106,114860090809.53455,1416033055681.5007,0.0,-140140576154.1798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891177291327.4661,15745498.979118211,320050.09787720244,4.07708588246045e-65,0.0,0.0,0.0,0.0,1061858777163.982,2208843.5754333893,6828497.18627987,8.698606850940854e-64,0.0,0.0,0.0,0.0,642448395848.8044,114866892160.18597,1416085399914.001,62589821.10579343,0.0,0.0,0.0,0.0,-19463920183456.49,0.0,0.0,0.0,-29.42792490986176,0.0,0.0,0.0,-889637671482.948,0.0,0.0,0.0,1060972655781.6377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140140576154.1798,0.0,0.0,0.0,-311475560482.2986,0.0,0.0,0.0,-46829.02795460344,-1.8932661725304287e-18,-0.0004682902795460344,-1.8932661725304283e-26,9.206462705237106e+23,1.1486009080953478e+23,1.4160330556815042e+24,0.0,1391945150933.3506,114860090809.53476,1416033055681.504,0.0,0.0,0.0,0.0,0.0,1060972655781.6377,0.0,0.0,0.0,642448055634.0106,114860090809.53455,1416033055681.5007,0.0,0.0,0.0,0.0,0.0,-311475560482.2986,0.0,0.0,0.0
0.16,-1,-1,1,0.0,-46800.56862649764,0.0,-0.00046800568626497634,9.194714209825248e+23,1.1486008643209842e+23,1.4160330489910444e+24,0.0,1390168870320.1682,114860086432.09839,1416033048991.044,0.0,889485487192.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642448051093.3707,114860086432.09811,1416033048991.0417,0.0,-141764667965.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891043092878.8555,15788595.68820969,319978.9444805822,4.076179644226539e-65,0.0,0.0,0.0,0.0,1062027547555.6027,2157727.561232647,6828584.150999319,8.698717613396634e-64,0.0,0.0,0.0,0.0,642448395848.8033,114866892160.18573,1416085399914.0005,62589821.105793424,0.0,0.0,0.0,0.0,-17860207575316.934,0.0,0.0,0.0,-27.003236883785576,0.0,0.0,0.0,-889485487192.1807,0.0,0.0,0.0,1061135801383.4585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141764667965.3846,0.0,0.0,0.0,-313414982183.66516,0.0,0.0,0.0,-46800.56862649621,-1.8932661725304287e-18,-0.0004680056862649621,-1.8932661725304283e-26,9.194714209646648e+23,1.1486008643209842e+23,1.4160330489910444e+24,0.0,1390168870293.1655,114860086432.09839,1416033048991.044,0.0,0.0,0.0,0.0,0.0,1061135801383.4585,0.0,0.0,0.0,642448051093.3707,114860086432.09811,1416033048991.0417,0.0,0.0,0.0,0.0,0.0,-313414982183.66516,0.0,0.0,0.0
