sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,tot:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,tot:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,tot:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:gother_forward_ci:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gabs_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gother_forward_iv:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gabs_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gother_forward_cv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gabs_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-34620.46659758652,0.0,-0.00034620466597586513,1.4063825892622863e+24,0.0,5.2134917558727754e+23,6.250117892512726e+22,1576989209796.7793,0.0,521349175587.2774,62501178925.12724,1423910030786.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582396554.47623,0.0,521349175587.27673,62501178925.12687,-51503217543.77362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-549999842493.4349,0.0,0.0,0.0,-0.6167196775786579,0.0,0.0,0.0,-1423910030786.0767,0.0,0.0,0.0,2254423886995.7666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51503217543.77362,0.0,0.0,0.0,-882017073754.0819,0.0,0.0,0.0,-34620.46659758487,3.915415576939251e-18,-0.00034620466597584865,3.9154155769392505e-26,1.4063825892617368e+24,0.0,5.2134917558727754e+23,6.250117892512726e+22,1576989209796.1636,0.0,521349175587.2774,62501178925.12724,0.0,0.0,0.0,0.0,2254423886995.7666,0.0,0.0,0.0,204582396554.47623,0.0,521349175587.27673,62501178925.12687,0.0,0.0,0.0,0.0,-882017073754.0819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429975100067.9827,5.37688293542355e-64,4220870.495071489,1882174.9955161158,0.0,0.0,0.0,0.0,2284035955166.599,4.756479130917062e-63,37338448.41978126,1205487.5807688832,0.0,0.0,0.0,0.0,204583469779.02948,23046523.403540086,521424166644.6948,62508292165.95692
0.029333333333333336,-1,-1,1,0.0,-34611.31048389673,0.0,-0.0003461131048389672,1.4058729561520686e+24,0.0,5.2134916796748674e+23,6.250116306902051e+22,1576417753692.3704,0.0,521349167967.48663,62501163069.0205,1423672899253.9653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582391326.38943,0.0,521349167967.4858,62501163069.020096,-51837536887.98357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4007180971286031.5,0.0,0.0,0.0,4493.287389696576,0.0,0.0,0.0,-1423672899253.9653,0.0,0.0,0.0,2255011441025.1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51837536887.98357,0.0,0.0,0.0,-883176074165.8818,0.0,0.0,0.0,-34611.31048389517,3.2843268527624414e-18,-0.0003461131048389517,3.284326852762441e-26,1.4058729601592497e+24,0.0,5.2134916796748674e+23,6.250116306902051e+22,1576417758185.658,0.0,521349167967.48663,62501163069.0205,0.0,0.0,0.0,0.0,2255011441025.1514,0.0,0.0,0.0,204582391326.38943,0.0,521349167967.4858,62501163069.020096,0.0,0.0,0.0,0.0,-883176074165.8818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429777375302.0044,5.37684745131985e-64,4220842.631508108,1884826.0369823708,0.0,0.0,0.0,0.0,2284662465147.5137,4.7564850449343484e-63,37338494.857934974,1211401.645177513,0.0,0.0,0.0,0.0,204583469779.02963,23046523.403540086,521424166644.69495,62508292165.957016
0.05866666666666667,-1,-1,1,0.0,-34602.056597378505,0.0,-0.00034602056597378503,1.4053578738097152e+24,0.0,5.213491602960422e+23,6.2501147102119215e+22,1575840187315.8738,0.0,521349160296.04205,62501147102.1192,1423433643905.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582386047.79318,0.0,521349160296.0412,62501147102.118835,-52175842637.79828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4233748742641002e+16,0.0,0.0,0.0,15960.42808939889,0.0,0.0,0.0,-1423433643905.879,0.0,0.0,0.0,2255600191766.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52175842637.79828,0.0,0.0,0.0,-884342374538.1696,0.0,0.0,0.0,-34602.05659737703,3.5998712148508465e-18,-0.00034602056597377023,3.599871214850846e-26,1.4053578880434642e+24,0.0,5.213491602960422e+23,6.2501147102119215e+22,1575840203276.3022,0.0,521349160296.04205,62501147102.1192,0.0,0.0,0.0,0.0,2255600191766.679,0.0,0.0,0.0,204582386047.79318,0.0,521349160296.0412,62501147102.118835,0.0,0.0,0.0,0.0,-884342374538.1696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429577996642.0864,5.3768117380428824e-64,4220814.587983121,1887470.6336999754,0.0,0.0,0.0,0.0,2285290417195.9014,4.756490997147176e-63,37338541.59601739,1217361.5655800346,0.0,0.0,0.0,0.0,204583469779.0296,23046523.403540086,521424166644.6947,62508292165.95701
0.08800000000000001,-1,-1,1,0.0,-34592.70283711115,0.0,-0.0003459270283711115,1.4048372273370058e+24,0.0,5.2134915257198964e+23,6.250113102293286e+22,1575256381830.9011,0.0,521349152571.9895,62501131022.932846,1423192229332.4475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582380717.68454,0.0,521349152571.9886,62501131022.932465,-52518228219.23087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905018672127452e+16,0.0,0.0,0.0,43787.3190198564,0.0,0.0,0.0,-1423192229332.4475,0.0,0.0,0.0,2256190150900.2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52518228219.23087,0.0,0.0,0.0,-885516105999.7128,0.0,0.0,0.0,-34592.702837109624,4.230959939027656e-18,-0.0003459270283710962,4.230959939027655e-26,1.4048372663871917e+24,0.0,5.2134915257198964e+23,6.250113102293286e+22,1575256425618.2192,0.0,521349152571.9895,62501131022.932846,0.0,0.0,0.0,0.0,2256190150900.2485,0.0,0.0,0.0,204582380717.68454,0.0,521349152571.9886,62501131022.932465,0.0,0.0,0.0,0.0,-885516105999.7128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429376939692.2312,5.3767757921055644e-64,4220786.361757971,1890108.4174476839,0.0,0.0,0.0,0.0,2285919827399.498,4.756496988136726e-63,37338588.63859309,1223367.6286810734,0.0,0.0,0.0,0.0,204583469779.02942,23046523.403540082,521424166644.69464,62508292165.95696
0.11733333333333335,-1,-1,1,0.0,-34583.246193309125,0.0,-0.00034583246193309124,1.4043108669616743e+24,0.0,5.2134914479359683e+23,6.2501114829007904e+22,1574666169296.4885,0.0,521349144793.5967,62501114829.00789,1422948605196.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582375334.5504,0.0,521349144793.5957,62501114829.007484,-52864811234.20973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76564235841545e+16,0.0,0.0,0.0,42224.48011312354,0.0,0.0,0.0,-1422948605196.148,0.0,0.0,0.0,2256781361995.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52864811234.20973,0.0,0.0,0.0,-886697525808.6132,0.0,0.0,0.0,-34583.24619330761,3.915434836238695e-18,-0.00034583246193307606,3.9154348362386944e-26,1.4043109046180978e+24,0.0,5.2134914479359683e+23,6.2501114829007904e+22,1574666211520.9683,0.0,521349144793.5967,62501114829.00789,0.0,0.0,0.0,0.0,2256781361995.03,0.0,0.0,0.0,204582375334.5504,0.0,521349144793.5957,62501114829.007484,0.0,0.0,0.0,0.0,-886697525808.6132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429174167977.7305,5.37673960540918e-64,4220757.946473478,1892739.4376954397,0.0,0.0,0.0,0.0,2286550747975.8994,4.756503019252789e-63,37338635.99625971,1229419.599790985,0.0,0.0,0.0,0.0,204583469779.02954,23046523.403540082,521424166644.69495,62508292165.95698
0.14666666666666667,-1,-1,1,0.0,-34573.684701426406,0.0,-0.000345736847014264,1.403778670597736e+24,0.0,5.2134913695985774e+23,6.2501098518147926e+22,1574069412816.5437,0.0,521349136959.8576,62501098518.14791,1422702726945.6604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582369897.3538,0.0,521349136959.857,62501098518.147514,-53215684026.47024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6289585876138296e+16,0.0,0.0,0.0,40691.83292768337,0.0,0.0,0.0,-1422702726945.6604,0.0,0.0,0.0,2257373861524.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53215684026.47024,0.0,0.0,0.0,-887886777913.3771,0.0,0.0,0.0,-34573.68470142488,3.915434836238695e-18,-0.0003457368470142487,3.9154348362386944e-26,1.4037787068873213e+24,0.0,5.2134913695985774e+23,6.2501098518147926e+22,1574069453508.376,0.0,521349136959.8576,62501098518.14791,0.0,0.0,0.0,0.0,2257373861524.401,0.0,0.0,0.0,204582369897.3538,0.0,521349136959.857,62501098518.147514,0.0,0.0,0.0,0.0,-887886777913.3771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428969647832.408,5.3767031735169304e-64,4220729.338645786,1895363.9879190903,0.0,0.0,0.0,0.0,2287183220238.8164,4.756509091234839e-63,37338683.67482427,1235516.2256293506,0.0,0.0,0.0,0.0,204583469779.02954,23046523.403540075,521424166644.6945,62508292165.95705
0.17600000000000002,-1,-1,1,0.0,-34564.015851339784,0.0,-0.0003456401585133978,1.4032404985282034e+24,0.0,5.2134912906943326e+23,6.250108208803036e+22,1573465955725.1755,0.0,521349129069.43317,62501082088.03035,1422454546425.8384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582364404.81537,0.0,521349129069.4324,62501082088.02993,-53570955105.47812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4949677480394784e+16,0.0,0.0,0.0,39189.3818177674,0.0,0.0,0.0,-1422454546425.8384,0.0,0.0,0.0,2257967687442.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53570955105.47812,0.0,0.0,0.0,-889084056932.7914,0.0,0.0,0.0,-34564.015851338125,3.915434836238695e-18,-0.0003456401585133812,3.9154348362386944e-26,1.4032405334778813e+24,0.0,5.2134912906943326e+23,6.250108208803036e+22,1573465994914.558,0.0,521349129069.43317,62501082088.03035,0.0,0.0,0.0,0.0,2257967687442.534,0.0,0.0,0.0,204582364404.81537,0.0,521349129069.4324,62501082088.02993,0.0,0.0,0.0,0.0,-889084056932.7914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428763343891.8242,5.37666649043409e-64,4220700.533567929,1897982.4008365637,0.0,0.0,0.0,0.0,2287817288686.1875,4.7565152050819797e-63,37338731.6821311,1241656.204264297,0.0,0.0,0.0,0.0,204583469779.02917,23046523.403540075,521424166644.6943,62508292165.95696
0.20533333333333337,-1,-1,1,0.0,-34554.23702677787,0.0,-0.00034554237026777863,1.4026962051277003e+24,0.0,5.2134912112092895e+23,6.250106553625521e+22,1572855634731.3647,0.0,521349121120.92883,62501065536.255196,1422204013719.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582358855.60516,0.0,521349121120.9281,62501065536.25479,-53930737844.153496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3636708434170076e+16,0.0,0.0,0.0,37717.138038228266,0.0,0.0,0.0,-1422204013719.912,0.0,0.0,0.0,2258562878922.8135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53930737844.153496,0.0,0.0,0.0,-890289565329.9155,0.0,0.0,0.0,-34554.23702677637,4.2309791983271e-18,-0.0003455423702677636,4.230979198327099e-26,1.4026962387644094e+24,0.0,5.2134912112092895e+23,6.250106553625521e+22,1572855672448.5037,0.0,521349121120.92883,62501065536.255196,0.0,0.0,0.0,0.0,2258562878922.8135,0.0,0.0,0.0,204582358855.60516,0.0,521349121120.9281,62501065536.25479,0.0,0.0,0.0,0.0,-890289565329.9155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428555219603.0398,5.376629549922869e-64,4220671.52634198,1900595.1917088523,0.0,0.0,0.0,0.0,2288452999299.3765,4.7565213618338475e-63,37338780.02634316,1247837.7126091882,0.0,0.0,0.0,0.0,204583469779.02927,23046523.403540064,521424166644.69434,62508292165.95693
0.2346666666666667,-1,-1,1,0.0,-34544.34549756244,0.0,-0.00034544345497562436,1.402145638430617e+24,0.0,5.213491131128934e+23,6.250104886034252e+22,1572238279434.7314,0.0,521349113112.89325,62501048860.34251,1421951077066.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204582353248.3378,0.0,521349113112.8923,62501048860.3421,-54295150880.060104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2350656527431144e+16,0.0,0.0,0.0,36275.07668475993,0.0,0.0,0.0,-1421951077066.455,0.0,0.0,0.0,2259159476350.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54295150880.060104,0.0,0.0,0.0,-891503513888.6283,0.0,0.0,0.0,-34544.345497560804,3.5998904741502904e-18,-0.000345443454975608,3.5998904741502896e-26,1.4021456707812732e+24,0.0,5.213491131128934e+23,6.250104886034252e+22,1572238315709.8079,0.0,521349113112.89325,62501048860.34251,0.0,0.0,0.0,0.0,2259159476350.098,0.0,0.0,0.0,204582353248.3378,0.0,521349113112.8923,62501048860.3421,0.0,0.0,0.0,0.0,-891503513888.6283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428345237188.8186,5.3765923454875875e-64,4220642.311867414,1903203.1090033823,0.0,0.0,0.0,0.0,2289090399551.5957,4.756527562573062e-63,37338828.71596135,1254058.2693633027,0.0,0.0,0.0,0.0,204583469779.02957,23046523.403540082,521424166644.69476,62508292165.95701
