sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:p,avg:g_CB:I,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:p,tot:g_CB:I,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:p,avg:g_IB:I,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:p,tot:g_IB:I,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:p,avg:g_VB:I,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:p,tot:g_VB:I,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-20441.01502616604,0.0,-0.00020441015026166035,5.2135013012639573e+23,4.994169891304763e+23,4.6471523411926375e+22,0.0,521350130126.3956,708006271289.759,46471523411.92636,0.0,0.0,621403556595.0018,0.0,0.0,0.0,0.0,0.0,0.0,521350130126.3947,229943256053.67148,46471523411.93024,0.0,0.0,-143340541358.91248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179208.3195165768,625412040293.7085,14401681.401772698,2.2829410468261494e-65,0.0,0.0,0.0,0.0,11604233.09838707,1573538442890.7173,3.634446249857256,1.4782262213062887e-63,0.0,0.0,0.0,0.0,521423987233.94293,229945630910.16547,46476282695.32089,23046515.473730743,0.0,0.0,0.0,0.0,0.0,-366957253074.6042,0.0,0.0,0.0,-0.5202226638793945,0.0,0.0,0.0,-621403556595.0018,0.0,0.0,0.0,1568505525246.0686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143340541358.91248,0.0,0.0,0.0,-1090442510010.5,0.0,0.0,-20441.015026165172,7.86126084699982e-19,-0.0002044101502616517,7.86126084699982e-27,5.2135013012639573e+23,4.9941698913010913e+23,4.6471523411926375e+22,0.0,521350130126.3956,708006271289.2386,46471523411.92636,0.0,0.0,0.0,0.0,0.0,0.0,1568505525246.0686,0.0,0.0,521350130126.3947,229943256053.67148,46471523411.93024,0.0,0.0,0.0,0.0,0.0,0.0,-1090442510010.5,0.0,0.0
0.029333333333333336,-1,-1,1,0.0,-20429.333647029453,0.0,-0.0002042933364702945,5.2135012233787567e+23,4.9890271128073945e+23,4.647151084227673e+22,0.0,521350122337.87555,707277197288.0255,46471510842.27672,0.0,0.0,621042408966.8738,0.0,0.0,0.0,0.0,0.0,0.0,521350122337.8747,229943248426.23688,46471510842.28029,0.0,0.0,-143708460105.08368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179298.81511693183,625061208874.3994,14411561.741850495,2.284093860096944e-65,0.0,0.0,0.0,0.0,11603961.613309324,1574797731291.867,3.6871926031252618,1.4781916369053308e-63,0.0,0.0,0.0,0.0,521423987233.9424,229945630910.16528,46476282695.32084,23046515.473730717,0.0,0.0,0.0,0.0,0.0,-72684766342896.38,0.0,0.0,0.0,-103.04269081354141,0.0,0.0,0.0,-621042408966.8738,0.0,0.0,0.0,1569755657344.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143708460105.08368,0.0,0.0,0.0,-1092421708585.6953,0.0,0.0,-20429.33364702855,1.1016704467883868e-18,-0.00020429333647028548,1.1016704467883867e-26,5.2135012233787567e+23,4.989027112080543e+23,4.647151084227673e+22,0.0,521350122337.87555,707277197184.9823,46471510842.27672,0.0,0.0,0.0,0.0,0.0,0.0,1569755657344.444,0.0,0.0,521350122337.8747,229943248426.23688,46471510842.28029,0.0,0.0,0.0,0.0,0.0,0.0,-1092421708585.6953,0.0,0.0
0.05866666666666667,-1,-1,1,0.0,-20417.558419281395,0.0,-0.0002041755841928139,5.2135011449467046e+23,4.983843020204946e+23,4.647149815885474e+22,0.0,521350114494.67035,706542266327.8531,46471498158.85472,0.0,0.0,620678443988.7668,0.0,0.0,0.0,0.0,0.0,0.0,521350114494.66925,229943240733.40628,46471498158.85806,0.0,0.0,-144079418394.31784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179389.7491996807,624707645339.3523,14421519.022669684,2.2852522591368025e-65,0.0,0.0,0.0,0.0,11603688.812792653,1576065080742.7786,3.7414978949460402,1.4781568849312905e-63,0.0,0.0,0.0,0.0,521423987233.94257,229945630910.1652,46476282695.32089,23046515.473730735,0.0,0.0,0.0,0.0,0.0,-759699509420869.8,0.0,0.0,0.0,-1076.999839156866,0.0,0.0,0.0,-620678443988.7668,0.0,0.0,0.0,1571013786404.7178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144079418394.31784,0.0,0.0,0.0,-1094414761887.2673,0.0,0.0,-20417.558419280507,1.1016704467883868e-18,-0.00020417558419280504,1.1016704467883867e-26,5.2135011449467046e+23,4.9838430126079513e+23,4.647149815885474e+22,0.0,521350114494.67035,706542265250.8534,46471498158.85472,0.0,0.0,0.0,0.0,0.0,0.0,1571013786404.7178,0.0,0.0,521350114494.66925,229943240733.40628,46471498158.85806,0.0,0.0,0.0,0.0,0.0,0.0,-1094414761887.2673,0.0,0.0
0.08800000000000001,-1,-1,1,0.0,-20405.68734581614,0.0,-0.00020405687345816136,5.213501065956014e+23,4.978616725598724e+23,4.647148535917128e+22,0.0,521350106595.6013,705801352534.9012,46471485359.17127,0.0,0.0,620311600790.8475,0.0,0.0,0.0,0.0,0.0,0.0,521350106595.60046,229943232973.7798,46471485359.17435,0.0,0.0,-144453481229.72446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179481.13207538234,624351290642.0519,14431554.905652437,2.2864163752917846e-65,0.0,0.0,0.0,0.0,11603414.665905548,1577340665507.8784,3.7974323543887847,1.4781219614437814e-63,0.0,0.0,0.0,0.0,521423987233.94165,229945630910.16516,46476282695.32084,23046515.47373073,0.0,0.0,0.0,0.0,0.0,-349570520138680.0,0.0,0.0,0.0,-495.5740911960602,0.0,0.0,0.0,-620311600790.8475,0.0,0.0,0.0,1572280085321.9768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144453481229.72446,0.0,0.0,0.0,-1096421966256.4269,0.0,0.0,-20405.687345815302,7.86126084699982e-19,-0.000204056873458153,7.86126084699982e-27,5.213501065956014e+23,4.978616722103013e+23,4.647148535917128e+22,0.0,521350106595.6013,705801352039.3264,46471485359.17127,0.0,0.0,0.0,0.0,0.0,0.0,1572280085321.9768,0.0,0.0,521350106595.60046,229943232973.7798,46471485359.17435,0.0,0.0,0.0,0.0,0.0,0.0,-1096421966256.4269,0.0,0.0
0.11733333333333335,-1,-1,1,0.0,-20393.71832321935,0.0,-0.00020393718323219345,5.2135009863943234e+23,4.973347309252153e+23,4.647147244064857e+22,0.0,521350098639.4322,705054325521.2819,46471472440.64855,0.0,0.0,619941816358.8807,0.0,0.0,0.0,0.0,0.0,0.0,521350098639.43134,229943225145.90033,46471472440.65136,0.0,0.0,-144830715983.49808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179572.9748750011,623992083657.4579,14441671.11137285,2.2875863503589523e-65,0.0,0.0,0.0,0.0,11603139.139255388,1578624665941.2312,3.8550703885389974,1.478086862188889e-63,0.0,0.0,0.0,0.0,521423987233.9426,229945630910.1651,46476282695.320786,23046515.473730735,0.0,0.0,0.0,0.0,0.0,-87049505926741.22,0.0,0.0,0.0,-123.40708756446838,0.0,0.0,0.0,-619941816358.8807,0.0,0.0,0.0,1573554733011.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144830715983.49808,0.0,0.0,0.0,-1098443632759.1729,0.0,0.0,-20393.7183232185,7.86126084699982e-19,-0.00020393718323218497,7.86126084699982e-27,5.2135009863943234e+23,4.97334730838165e+23,4.647147244064857e+22,0.0,521350098639.4322,705054325397.8738,46471472440.64855,0.0,0.0,0.0,0.0,0.0,0.0,1573554733011.1492,0.0,0.0,521350098639.43134,229943225145.90033,46471472440.65136,0.0,0.0,0.0,0.0,0.0,0.0,-1098443632759.1729,0.0,0.0
0.14666666666666667,-1,-1,1,0.0,-20381.649181989815,0.0,-0.0002038164918198981,5.2135009062488586e+23,4.968033816352465e+23,4.647145940061321e+22,0.0,521350090624.88574,704301049926.4763,46471459400.6132,0.0,0.0,619569025327.7373,0.0,0.0,0.0,0.0,0.0,0.0,521350090624.8847,229943217248.25754,46471459400.61578,0.0,0.0,-145211192649.51675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179665.28889336652,623629960982.5499,14451869.425373232,2.288762328223113e-65,0.0,0.0,0.0,0.0,11602862.19895789,1579917269129.0916,3.9144910956815235,1.4780515828500767e-63,0.0,0.0,0.0,0.0,521423987233.94226,229945630910.16522,46476282695.320854,23046515.473730735,0.0,0.0,0.0,0.0,0.0,-27826927981416.05,0.0,0.0,0.0,-39.44927775859833,0.0,0.0,0.0,-619569025327.7373,0.0,0.0,0.0,1574837915071.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145211192649.51675,0.0,0.0,0.0,-1100480082432.698,0.0,0.0,-20381.649181989003,4.705817226115773e-19,-0.00020381649181989,4.705817226115772e-27,5.2135009062488586e+23,4.9680338160742024e+23,4.647145940061321e+22,0.0,521350090624.88574,704301049887.028,46471459400.6132,0.0,0.0,0.0,0.0,0.0,0.0,1574837915071.47,0.0,0.0,521350090624.8847,229943217248.25754,46471459400.61578,0.0,0.0,0.0,0.0,0.0,0.0,-1100480082432.698,0.0,0.0
0.17600000000000002,-1,-1,1,0.0,-20369.477672291338,0.0,-0.00020369477672291334,5.2135008255064316e+23,4.962675255569102e+23,4.6471446236291475e+22,0.0,521350082550.643,703541385212.9642,46471446236.291466,0.0,0.0,619193159876.2745,0.0,0.0,0.0,0.0,0.0,0.0,521350082550.64185,229943209279.286,46471446236.29386,0.0,0.0,-145594983942.5946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179758.08573799612,623264856834.0847,14462151.701085828,2.2899444567530395e-65,0.0,0.0,0.0,0.0,11602583.810190663,1581218669178.851,3.9757785050598793,1.4780161189912742e-63,0.0,0.0,0.0,0.0,521423987233.94214,229945630910.16525,46476282695.32082,23046515.47373073,0.0,0.0,0.0,0.0,0.0,-27761096590495.477,0.0,0.0,0.0,-39.355950862169266,0.0,0.0,0.0,-619193159876.2745,0.0,0.0,0.0,1576129824066.9636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145594983942.5946,0.0,0.0,0.0,-1102531648172.6396,0.0,0.0,-20369.47767229047,7.86126084699982e-19,-0.00020369477672290467,7.86126084699982e-27,5.2135008255064316e+23,4.962675255291488e+23,4.6471446236291475e+22,0.0,521350082550.643,703541385173.6079,46471446236.291466,0.0,0.0,0.0,0.0,0.0,0.0,1576129824066.9636,0.0,0.0,521350082550.64185,229943209279.286,46471446236.29386,0.0,0.0,0.0,0.0,0.0,0.0,-1102531648172.6396,0.0,0.0
0.20533333333333337,-1,-1,1,0.0,-20357.201456268434,0.0,-0.00020357201456268432,5.2135007441533354e+23,4.957270597404367e+23,4.647143294480438e+22,0.0,521350074415.33344,702775185432.4017,46471432944.80437,0.0,0.0,618814149599.6633,0.0,0.0,0.0,0.0,0.0,0.0,521350074415.3329,229943201237.36096,46471432944.80654,0.0,0.0,-145982165404.6208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179851.37738489377,622896702924.0953,14472519.863202875,2.2911328885116755e-65,0.0,0.0,0.0,0.0,11602303.93702598,1582529067583.0254,4.039022033865202,1.4779804660355946e-63,0.0,0.0,0.0,0.0,521423987233.94196,229945630910.1648,46476282695.320786,23046515.47373073,0.0,0.0,0.0,0.0,0.0,-27718181969899.09,0.0,0.0,0.0,-39.295112282037735,0.0,0.0,0.0,-618814149599.6633,0.0,0.0,0.0,1577430659886.4478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145982165404.6208,0.0,0.0,0.0,-1104598675730.699,0.0,0.0,-20357.201456267587,7.86126084699982e-19,-0.00020357201456267586,7.86126084699982e-27,5.2135007441533354e+23,4.9572705971271845e+23,4.647143294480438e+22,0.0,521350074415.33344,702775185393.1066,46471432944.80437,0.0,0.0,0.0,0.0,0.0,0.0,1577430659886.4478,0.0,0.0,521350074415.3329,229943201237.36096,46471432944.80654,0.0,0.0,0.0,0.0,0.0,0.0,-1104598675730.699,0.0,0.0
0.2346666666666667,-1,-1,1,0.0,-20344.81810476041,0.0,-0.00020344818104760405,5.213500662175403e+23,4.951818772410697e+23,4.64714195231613e+22,0.0,521350066217.54016,702002298972.8896,46471419523.161285,0.0,0.0,618431921362.4557,0.0,0.0,0.0,0.0,0.0,0.0,521350066217.5392,229943193120.79755,46471419523.16324,0.0,0.0,-146372815510.36237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179945.17620656965,622525428316.2076,14482975.911423463,2.2923277811121406e-65,0.0,0.0,0.0,0.0,11602022.542346524,1583848673646.7922,4.104316884918333,1.4779446192546444e-63,0.0,0.0,0.0,0.0,521423987233.9421,229945630910.1648,46476282695.32075,23046515.47373073,0.0,0.0,0.0,0.0,0.0,-27708488338363.676,0.0,0.0,0.0,-39.28136995434761,0.0,0.0,0.0,-618431921362.4557,0.0,0.0,0.0,1578740630168.9373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146372815510.36237,0.0,0.0,0.0,-1106681524356.1243,0.0,0.0,-20344.818104759604,7.86126084699982e-19,-0.000203448181047596,7.86126084699982e-27,5.213500662175403e+23,4.951818772133622e+23,4.64714195231613e+22,0.0,521350066217.54016,702002298933.6096,46471419523.161285,0.0,0.0,0.0,0.0,0.0,0.0,1578740630168.9373,0.0,0.0,521350066217.5392,229943193120.79755,46471419523.16324,0.0,0.0,0.0,0.0,0.0,0.0,-1106681524356.1243,0.0,0.0
