sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,avg:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,avg:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,avg:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-25739.053701098146,0.0,-0.0002573905370109814,5.213561574769607e+23,0.0,6.351048974132165e+23,3.6813100707809036e+22,521356157476.9607,0.0,1048336261647.6115,36813100707.80903,0.0,0.0,1052300998513.8132,0.0,0.0,0.0,0.0,0.0,521356157476.9588,0.0,245226150821.11057,36813100707.8122,0.0,0.0,-249190887687.31244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183519.07585623141,3.0494541430830417e-59,1057372619092.9966,41189366.94946428,0.0,0.0,0.0,0.0,58956739.55565974,9.796073308011003e-57,949758114896.2445,5.053276423651765,0.0,0.0,0.0,0.0,521402021374.33167,45012376.12872889,245226540346.09824,36816905683.41967,0.0,0.0,0.0,0.0,0.0,0.0,-941577495800.3048,0.0,0.0,0.0,-1.554215431213379,0.0,0.0,0.0,-1052300998513.8132,0.0,0.0,0.0,948577906541.4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249190887687.31244,0.0,0.0,0.0,-145467795716.49747,0.0,-25739.05370109735,-7.573300447038095e-18,-0.0002573905370109735,-7.573300447038095e-26,5.213561574769607e+23,0.0,6.351048974122751e+23,3.6813100707809036e+22,521356157476.9607,0.0,1048336261646.0574,36813100707.80903,0.0,0.0,0.0,0.0,0.0,0.0,948577906541.4437,0.0,521356157476.9588,0.0,245226150821.11057,36813100707.8122,0.0,0.0,0.0,0.0,0.0,0.0,-145467795716.49747,0.0
0.03,-1,-1,1,0.0,-25722.010249543568,0.0,-0.00025722010249543565,5.213561208057874e+23,0.0,6.34460469710107e+23,3.6813090701647997e+22,521356120805.7874,0.0,1047272536691.4166,36813090701.64799,0.0,0.0,1051871784390.5902,0.0,0.0,0.0,0.0,0.0,521356120805.7854,0.0,245226145425.8692,36813090701.65093,0.0,0.0,-249825393125.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190600.61421983197,3.167124067643767e-59,1056956393497.4005,41212787.401877314,0.0,0.0,0.0,0.0,58949658.46014319,9.794896608689884e-57,950235226326.6581,5.127955616737875,0.0,0.0,0.0,0.0,521402021374.3317,45012376.12872892,245226540346.09824,36816905683.41972,0.0,0.0,0.0,0.0,0.0,0.0,3223148951041064.5,0.0,0.0,0.0,5320.2926568984985,0.0,0.0,0.0,-1051871784390.5902,0.0,0.0,0.0,949041996322.7042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249825393125.0421,0.0,0.0,0.0,-146995599736.86368,0.0,-25722.010249542887,-7.573297187661814e-18,-0.00025722010249542887,-7.573297187661812e-26,5.213561208057874e+23,0.0,6.344604729332564e+23,3.6813090701647997e+22,521356120805.7874,0.0,1047272542011.71,36813090701.64799,0.0,0.0,0.0,0.0,0.0,0.0,949041996322.7042,0.0,521356120805.7854,0.0,245226145425.8692,36813090701.65093,0.0,0.0,0.0,0.0,0.0,0.0,-146995599736.86368,0.0
0.06,-1,-1,1,0.0,-25704.7950724467,0.0,-0.000257047950724467,5.213560851506289e+23,0.0,6.338095451835311e+23,3.6813080582373056e+22,521356085150.6289,0.0,1046198087749.8563,36813080582.37305,0.0,0.0,1051434339786.9388,0.0,0.0,0.0,0.0,0.0,521356085150.62695,0.0,245226139951.0201,36813080582.375755,0.0,0.0,-250462391988.10257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197656.58410844443,3.284369087984404e-59,1056531988150.6841,41236668.13244106,0.0,0.0,0.0,0.0,58942602.931396216,9.793724158411237e-57,950721156050.6072,5.205059055047143,0.0,0.0,0.0,0.0,521402021374.33167,45012376.12872889,245226540346.0983,36816905683.41971,0.0,0.0,0.0,0.0,0.0,0.0,1.1737223752264324e+16,0.0,0.0,0.0,19374.055090248585,0.0,0.0,0.0,-1051434339786.9388,0.0,0.0,0.0,949514739435.4907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250462391988.10257,0.0,0.0,0.0,-148542772262.60007,0.0,-25704.795072445864,-7.573291642873363e-18,-0.0002570479507244586,-7.573291642873361e-26,5.213560851506289e+23,0.0,6.338095569207548e+23,3.6813080582373056e+22,521356085150.6289,0.0,1046198107123.9114,36813080582.37305,0.0,0.0,0.0,0.0,0.0,0.0,949514739435.4907,0.0,521356085150.62695,0.0,245226139951.0201,36813080582.375755,0.0,0.0,0.0,0.0,0.0,0.0,-148542772262.60007,0.0
0.09,-1,-1,1,0.0,-25687.406659929435,0.0,-0.0002568740665992943,5.2135605043122395e+23,0.0,6.331520777166164e+23,3.68130703489509e+22,521356050431.22394,0.0,1045112838700.089,36813070348.95089,0.0,0.0,1050988860070.708,0.0,0.0,0.0,0.0,0.0,521356050431.22235,0.0,245226134396.653,36813070348.95343,0.0,0.0,-251102155767.27127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204688.1068809182,3.401207838661583e-59,1056099603999.8895,41260997.835178755,0.0,0.0,0.0,0.0,58935571.848131634,9.792555770829471e-57,951215642824.6193,5.284693444892355,0.0,0.0,0.0,0.0,521402021374.33154,45012376.12872891,245226540346.09824,36816905683.41972,0.0,0.0,0.0,0.0,0.0,0.0,5788485466530444.0,0.0,0.0,0.0,9554.766841351986,0.0,0.0,0.0,-1050988860070.708,0.0,0.0,0.0,949995875921.9633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251102155767.27127,0.0,0.0,0.0,-150109162063.75903,0.0,-25687.406659928598,-5.048930113594869e-18,-0.00025687406659928596,-5.048930113594868e-26,5.2135605043122395e+23,0.0,6.33152083505102e+23,3.68130703489509e+22,521356050431.22394,0.0,1045112848254.8562,36813070348.95089,0.0,0.0,0.0,0.0,0.0,0.0,949995875921.9633,0.0,521356050431.22235,0.0,245226134396.653,36813070348.95343,0.0,0.0,0.0,0.0,0.0,0.0,-150109162063.75903,0.0
0.12,-1,-1,1,0.0,-25669.843619981115,0.0,-0.0002566984361998111,5.2135601657604734e+23,0.0,6.324880051161128e+23,3.6813060000123705e+22,521356016576.04736,0.0,1044016686882.7908,36813060000.123695,0.0,0.0,1050535504134.6364,0.0,0.0,0.0,0.0,0.0,521356016576.0459,0.0,245226128762.81583,36813060000.12602,0.0,0.0,-251744946014.66168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211696.21430511633,3.517657465449595e-59,1055659405310.6891,41285767.27013176,0.0,0.0,0.0,0.0,58928564.178646944,9.791391274486869e-57,951718467866.9474,5.366973544677503,0.0,0.0,0.0,0.0,521402021374.33215,45012376.128728926,245226540346.09857,36816905683.41979,0.0,0.0,0.0,0.0,0.0,0.0,2724798815099169.5,0.0,0.0,0.0,4497.690720379353,0.0,0.0,0.0,-1050535504134.6364,0.0,0.0,0.0,950485188220.2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251744946014.66168,0.0,0.0,0.0,-151694625602.57913,0.0,-25669.843619980293,-7.573288118062599e-18,-0.0002566984361998029,-7.573288118062598e-26,5.2135601657604734e+23,0.0,6.324880078409117e+23,3.6813060000123705e+22,521356016576.04736,0.0,1044016691380.4817,36813060000.123695,0.0,0.0,0.0,0.0,0.0,0.0,950485188220.2449,0.0,521356016576.0459,0.0,245226128762.81583,36813060000.12602,0.0,0.0,0.0,0.0,0.0,0.0,-151694625602.57913,0.0
0.15,-1,-1,1,0.0,-25652.10416199964,0.0,-0.00025652104161999636,5.213559835198274e+23,0.0,6.318172540109608e+23,3.6813049534440186e+22,521355983519.8274,0.0,1042909511187.9801,36813049534.44018,0.0,0.0,1050074403023.4968,0.0,0.0,0.0,0.0,0.0,521355983519.82526,0.0,245226123049.34167,36813049534.442314,0.0,0.0,-252391014884.8578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218682.1269569752,3.633738251341032e-59,1055211528306.1986,41310968.77639303,0.0,0.0,0.0,0.0,58921578.702443436,9.790230466553455e-57,952229444801.1537,5.452022293456749,0.0,0.0,0.0,0.0,521402021374.3318,45012376.12872889,245226540346.0983,36816905683.4197,0.0,0.0,0.0,0.0,0.0,0.0,1.2914812622225462e+16,0.0,0.0,0.0,21317.842831015587,0.0,0.0,0.0,-1050074403023.4968,0.0,0.0,0.0,950982490646.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252391014884.8578,0.0,0.0,0.0,-153299081190.278,0.0,-25652.104161998875,-7.573272072669348e-18,-0.0002565210416199887,-7.573272072669347e-26,5.213559835198274e+23,0.0,6.318172669257732e+23,3.6813049534440186e+22,521355983519.8274,0.0,1042909532505.8229,36813049534.44018,0.0,0.0,0.0,0.0,0.0,0.0,950982490646.759,0.0,521355983519.82526,0.0,245226123049.34167,36813049534.442314,0.0,0.0,0.0,0.0,0.0,0.0,-153299081190.278,0.0
0.18,-1,-1,1,0.0,-25634.18576173996,0.0,-0.00025634185761739956,5.213559512019405e+23,0.0,6.311397429556618e+23,3.6813038950274612e+22,521355951201.9405,0.0,1041791177177.5986,36813038950.274605,0.0,0.0,1049605665398.596,0.0,0.0,0.0,0.0,0.0,521355951201.9386,0.0,245226117255.73703,36813038950.27654,0.0,0.0,-253040605476.73404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225647.41727515036,3.7494763259278655e-59,1054756086639.0544,41336595.96306456,0.0,0.0,0.0,0.0,58914613.84718191,9.789073085733312e-57,952748413266.5465,5.539971138967063,0.0,0.0,0.0,0.0,521402021374.33167,45012376.12872888,245226540346.09836,36816905683.41975,0.0,0.0,0.0,0.0,0.0,0.0,1.099435786269288e+16,0.0,0.0,0.0,18147.843085348606,0.0,0.0,0.0,-1049605665398.596,0.0,0.0,0.0,951487622703.2236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253040605476.73404,0.0,0.0,0.0,-154922544633.51926,0.0,-25634.18576173927,-5.0489204919128624e-18,-0.0002563418576173927,-5.0489204919128616e-26,5.213559512019405e+23,0.0,6.311397539500193e+23,3.6813038950274612e+22,521355951201.9405,0.0,1041791195325.4413,36813038950.274605,0.0,0.0,0.0,0.0,0.0,0.0,951487622703.2236,0.0,521355951201.9386,0.0,245226117255.73703,36813038950.27654,0.0,0.0,0.0,0.0,0.0,0.0,-154922544633.51926,0.0
0.21,-1,-1,1,0.0,-25616.086068273355,0.0,-0.00025616086068273354,5.2135591956812586e+23,0.0,6.30455376242636e+23,3.6813028245801745e+22,521355919568.12585,0.0,1040661526871.875,36813028245.801735,0.0,0.0,1049129371887.2849,0.0,0.0,0.0,0.0,0.0,521355919568.1241,0.0,245226111381.50977,36813028245.80352,0.0,0.0,-253693956396.91895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232593.4800751098,3.864894867248886e-59,1054293165835.1113,41362644.02076942,0.0,0.0,0.0,0.0,58907668.21813469,9.787918900246036e-57,953275245109.5924,5.630961378797384,0.0,0.0,0.0,0.0,521402021374.3314,45012376.1287289,245226540346.09802,36816905683.41971,0.0,0.0,0.0,0.0,0.0,0.0,9397360597629894.0,0.0,0.0,0.0,15511.758637666702,0.0,0.0,0.0,-1049129371887.2849,0.0,0.0,0.0,952000456155.5321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253693956396.91895,0.0,0.0,0.0,-156565025153.40817,0.0,-25616.08606827253,-7.573278802623942e-18,-0.00025616086068272525,-7.573278802623941e-26,5.2135591956812586e+23,0.0,6.304553856399969e+23,3.6813028245801745e+22,521355919568.12585,0.0,1040661542383.634,36813028245.801735,0.0,0.0,0.0,0.0,0.0,0.0,952000456155.5321,0.0,521355919568.1241,0.0,245226111381.50977,36813028245.80352,0.0,0.0,0.0,0.0,0.0,0.0,-156565025153.40817,0.0
0.24,-1,-1,1,0.0,-25597.802300967684,0.0,-0.0002559780230096768,5.2135588856826e+23,0.0,6.29764048795098e+23,3.681301741902202e+22,521355888568.26,0.0,1039520386825.7528,36813017419.02201,0.0,0.0,1048645582527.8114,0.0,0.0,0.0,0.0,0.0,521355888568.25793,0.0,245226105425.9631,36813017419.02361,0.0,0.0,-254351301128.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239521.86244212382,3.980019583431177e-59,1053822830725.6384,41389109.30239966,0.0,0.0,0.0,0.0,58900740.26831405,9.786767653010337e-57,953809835766.0831,5.725144466356891,0.0,0.0,0.0,0.0,521402021374.3322,45012376.128728904,245226540346.09857,36816905683.41975,0.0,0.0,0.0,0.0,0.0,0.0,8063014488984427.0,0.0,0.0,0.0,13309.219471335411,0.0,0.0,0.0,-1048645582527.8114,0.0,0.0,0.0,952520885855.5892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254351301128.0217,0.0,0.0,0.0,-158226591146.58014,0.0,-25597.802300966858,-7.573282310485818e-18,-0.0002559780230096685,-7.573282310485817e-26,5.2135588856826e+23,0.0,6.297640568581124e+23,3.681301741902202e+22,521355888568.26,0.0,1039520400134.9724,36813017419.02201,0.0,0.0,0.0,0.0,0.0,0.0,952520885855.5892,0.0,521355888568.25793,0.0,245226105425.9631,36813017419.02361,0.0,0.0,0.0,0.0,0.0,0.0,-158226591146.58014,0.0
