,X
0,0.0
1,0.001
2,0.0021999999999999997
3,0.0036399999999999996
4,0.0053679999999999995
5,0.0074416
6,0.009929919999999998
7,0.012915903999999997
8,0.016499084799999997
9,0.020798901759999995
10,0.025958682111999993
11,0.03176694568959999
12,0.03641355655167999
13,0.04013084524134399
14,0.043104676193075196
15,0.04548374095446016
16,0.04738699276356813
17,0.0489095942108545
18,0.05
19,0.051000000000000004
20,0.0522
21,0.05364
22,0.055368
23,0.0574416
24,0.059929920000000005
25,0.06291590400000001
26,0.06649908480000001
27,0.07079890176
28,0.075958682112
29,0.0821504185344
30,0.08958050224128
31,0.098496602689536
32,0.1091959232274432
33,0.12203510787293184
34,0.1374421294475182
35,0.15593055533702185
36,0.17593055533702184
37,0.19593055533702183
38,0.21593055533702182
39,0.2359305553370218
40,0.2559305553370218
41,0.2759305553370218
42,0.29593055533702184
43,0.31593055533702186
44,0.3359305553370219
45,0.3559305553370219
46,0.3759305553370219
47,0.3959305553370219
48,0.41593055533702195
49,0.43593055533702196
50,0.455930555337022
51,0.475930555337022
52,0.495930555337022
53,0.515930555337022
54,0.535930555337022
55,0.5559305553370221
56,0.5759305553370221
57,0.5959305553370221
58,0.6159305553370221
59,0.6359305553370221
60,0.6559305553370222
61,0.6759305553370222
62,0.6959305553370222
63,0.7159305553370222
64,0.7359305553370222
65,0.7559305553370222
66,0.7759305553370223
67,0.7959305553370223
68,0.8159305553370223
69,0.8359305553370223
70,0.8559305553370223
71,0.8759305553370224
72,0.8959305553370224
73,0.9159305553370224
74,0.9359305553370224
75,0.9559305553370224
76,0.9757444442696179
77,0.9915955554156943
78,1.0042764443325554
79,1.0144211554660443
80,1.0225369243728355
81,1.0290295394982685
82,1.0342236315986149
83,1.0383789052788919
84,1.0417031242231134
85,1.0443624993784908
86,1.0464899995027925
87,1.048191999602234
88,1.049553599681787
89,1.05
90,1.051
91,1.0521999999999998
92,1.0536399999999997
93,1.0553679999999996
94,1.0574415999999995
95,1.0599299199999994
96,1.0629159039999994
97,1.066499084799999
98,1.0707989017599988
99,1.0759586821119986
100,1.0821504185343984
101,1.0895805022412781
102,1.0984966026895338
103,1.1091959232274404
104,1.1220351078729285
105,1.137442129447514
106,1.155930555337017
107,1.175930555337017
108,1.195930555337017
109,1.215930555337017
110,1.235930555337017
111,1.255930555337017
112,1.275930555337017
113,1.295930555337017
114,1.315930555337017
115,1.335930555337017
116,1.3559305553370171
117,1.3759305553370171
118,1.3959305553370172
119,1.4159305553370172
120,1.4359305553370172
121,1.4559305553370172
122,1.4759305553370172
123,1.4959305553370172
124,1.5159305553370173
125,1.5359305553370173
126,1.5559305553370173
127,1.5759305553370173
128,1.5959305553370173
129,1.6159305553370173
130,1.6359305553370174
131,1.6559305553370174
132,1.6759305553370174
133,1.6959305553370174
134,1.7159305553370174
135,1.7359305553370175
136,1.7559305553370175
137,1.7759305553370175
138,1.7959305553370175
139,1.8159305553370175
140,1.8359305553370175
141,1.8559305553370176
142,1.8759305553370176
143,1.8959305553370176
144,1.9159305553370176
145,1.9359305553370176
146,1.9559305553370177
147,1.9759305553370177
148,1.9959305553370177
149,2.0159305553370177
150,2.0359305553370177
151,2.0559305553370177
152,2.0759305553370178
153,2.0959305553370178
154,2.115930555337018
155,2.135930555337018
156,2.155930555337018
157,2.175930555337018
158,2.195930555337018
159,2.215930555337018
160,2.235930555337018
161,2.255930555337018
162,2.275930555337018
163,2.295930555337018
164,2.315930555337018
165,2.335930555337018
166,2.355930555337018
167,2.375930555337018
168,2.395930555337018
169,2.415930555337018
170,2.435930555337018
171,2.455930555337018
172,2.475930555337018
173,2.495930555337018
174,2.515930555337018
175,2.535930555337018
176,2.555930555337018
177,2.575930555337018
178,2.595930555337018
179,2.6159305553370182
180,2.6338745584971974
181,2.6482297610253407
182,2.659713923047855
183,2.668901252665867
184,2.6762511163602762
185,2.6821310073158036
186,2.6868349200802255
187,2.6905980502917632
188,2.6936085544609933
189,2.6960169577963775
190,2.6979436804646846
191,2.6994850585993304
192,2.7006505711379134
193,2.7016505711379133
194,2.702850571137913
195,2.7042905711379133
196,2.706018571137913
197,2.7080921711379133
198,2.710580491137913
199,2.713566475137913
200,2.717149655937913
201,2.7214494728979126
202,2.7266092532499124
203,2.732800989672312
204,2.740231073379192
205,2.7491471738274478
206,2.7598464943653545
207,2.7726856790108427
208,2.7880927005854286
209,2.8065811264749314
210,2.8265811264749314
211,2.8465811264749314
212,2.8665811264749315
213,2.8865811264749315
214,2.9065811264749315
215,2.9265811264749315
216,2.9465811264749315
217,2.9665811264749316
218,2.9865811264749316
219,3.0065811264749316
220,3.0265811264749316
221,3.0465811264749316
222,3.0665811264749316
223,3.0865811264749317
224,3.1065811264749317
225,3.1265811264749317
226,3.1465811264749317
227,3.1665811264749317
228,3.1865811264749317
229,3.2065811264749318
230,3.226581126474932
231,3.246581126474932
232,3.266581126474932
233,3.286581126474932
234,3.306581126474932
235,3.326581126474932
236,3.346581126474932
237,3.366581126474932
238,3.386581126474932
239,3.406581126474932
240,3.426581126474932
241,3.446581126474932
242,3.466581126474932
243,3.486581126474932
244,3.506581126474932
245,3.526581126474932
246,3.546581126474932
247,3.566581126474932
248,3.586581126474932
249,3.606581126474932
250,3.626395015407528
251,3.642246126553605
252,3.6549270154704665
253,3.665071726603956
254,3.6731874955107475
255,3.6796801106361805
256,3.684874202736527
257,3.6890294764168043
258,3.6923536953610263
259,3.6950130705164037
260,3.6971405706407054
261,3.698842570740147
262,3.7002041708197004
263,3.7006505711379134
