sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:p,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:p,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:p,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:p,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:p,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:p,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-28896.14364265296,0.0,-0.0002889614364265296,0.0,4.565287103379365e+22,5.2137311996460334e+23,8.614526253514493e+23,0.0,45652871033.79363,521373119964.6032,1236529436628.1018,0.0,0.0,0.0,1550629440805.4622,0.0,0.0,0.0,0.0,0.0,45652871033.79353,521373119964.8124,231237486640.72256,0.0,0.0,0.0,-545337490818.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-977585746401.1705,0.0,0.0,0.0,-1.4032269641757011,0.0,0.0,0.0,-1550629440805.4622,0.0,0.0,0.0,1124445229094.4934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545337490818.0823,0.0,0.0,0.0,-119153279108.51671,-28896.14364265193,8.000987064465114e-19,-0.00028896143642651923,8.000987064465113e-27,0.0,4.565287103379365e+22,5.2137311996460334e+23,8.614526253504719e+23,0.0,45652871033.79363,521373119964.6032,1236529436626.6987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124445229094.4934,0.0,45652871033.79353,521373119964.8124,231237486640.72256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119153279108.51671,0.0,0.0,0.0,0.0,1.120981610955285e-67,8916060.333671536,880.0743932947626,1609576433709.5964,0.0,0.0,0.0,0.0,9.301538196471661e-64,237386.91762289064,7301795.250583089,1125370828663.9924,0.0,0.0,0.0,0.0,23046523.40354007,45659315778.77685,521424166644.7,231238157960.0094
0.029333333333333336,-1,-1,1,0.0,-28870.76930807488,0.0,-0.00028870769308074874,0.0,4.565287106048957e+22,5.213729629784039e+23,8.603493277485146e+23,0.0,45652871060.489555,521372962978.40375,1234945762815.7046,0.0,0.0,0.0,1550694769672.3687,0.0,0.0,0.0,0.0,0.0,45652871060.489494,521372962978.60156,231237481962.05215,0.0,0.0,0.0,-546986488818.71625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.965188821159235e+16,0.0,0.0,0.0,99978.34768363088,0.0,0.0,0.0,-1550694769672.3687,0.0,0.0,0.0,1123778147214.5288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546986488818.71625,0.0,0.0,0.0,-120069766382.5295,-28870.769308073694,8.000987064465114e-19,-0.00028870769308073687,8.000987064465113e-27,0.0,4.565287106048957e+22,5.213729629784039e+23,8.603493974004025e+23,0.0,45652871060.489555,521372962978.40375,1234945862794.0518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123778147214.5288,0.0,45652871060.489494,521372962978.60156,231237481962.05215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120069766382.5295,0.0,0.0,0.0,0.0,1.1376869382460422e-67,8884659.480050405,893.190885301917,1609820065517.2283,0.0,0.0,0.0,0.0,9.301534112947226e-64,236709.88783236826,7301792.044352107,1124710924862.0532,0.0,0.0,0.0,0.0,23046523.403540067,45659315778.77686,521424166644.7002,231238157960.0096
0.05866666666666667,-1,-1,1,0.0,-28845.12094995141,0.0,-0.0002884512094995141,0.0,4.5652871088845976e+22,5.213728046625089e+23,8.592340411159987e+23,0.0,45652871088.84596,521372804662.5088,1233344879945.5396,0.0,0.0,0.0,1550759202828.7002,0.0,0.0,0.0,0.0,0.0,45652871088.84591,521372804662.69574,231237477225.67294,0.0,0.0,0.0,-548651800108.83276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.227462207716491e+17,0.0,0.0,0.0,319730.01274380833,0.0,0.0,0.0,-1550759202828.7002,0.0,0.0,0.0,1123105773633.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548651800108.83276,0.0,0.0,0.0,-120998051183.27531,-28845.1209499502,8.000987064465114e-19,-0.00028845120949950195,8.000987064465113e-27,0.0,4.5652871088845976e+22,5.213728046625089e+23,8.59234263862219e+23,0.0,45652871088.84596,521372804662.5088,1233345199675.5518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123105773633.1562,0.0,45652871088.84591,521372804662.69574,231237477225.67294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120998051183.27531,0.0,0.0,0.0,0.0,1.1548975887039213e-67,8853143.866513776,906.7041029710297,1610064565346.385,0.0,0.0,0.0,0.0,9.301529905899342e-64,236031.48899198463,7301788.741144422,1124045821750.7444,0.0,0.0,0.0,0.0,23046523.40354007,45659315778.77682,521424166644.70026,231238157960.00955
0.08800000000000001,-1,-1,1,0.0,-28819.193286057503,0.0,-0.000288191932860575,0.0,4.565287111976915e+22,5.213726449871803e+23,8.581069128024258e+23,0.0,45652871119.76914,521372644987.1802,1231726999521.7366,0.0,0.0,0.0,1550822784856.445,0.0,0.0,0.0,0.0,0.0,45652871119.76908,521372644987.35583,231237472431.0045,0.0,0.0,0.0,-550333257765.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.782722196280305e+16,0.0,0.0,0.0,54297.20925603807,0.0,0.0,0.0,-1550822784856.445,0.0,0.0,0.0,1122427980473.7732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550333257765.712,0.0,0.0,0.0,-121938399085.83234,-28819.19328605633,8.000987064465114e-19,-0.00028819193286056324,8.000987064465113e-27,0.0,4.565287111976915e+22,5.213726449871803e+23,8.581069506296474e+23,0.0,45652871119.76914,521372644987.1802,1231727053818.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122427980473.7732,0.0,45652871119.76908,521372644987.35583,231237472431.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121938399085.83234,0.0,0.0,0.0,0.0,1.1726368865418051e-67,8821510.172990661,920.6323511985433,1610309959742.041,0.0,0.0,0.0,0.0,9.301525569626527e-64,235351.29529585165,7301785.336485534,1123375393532.6326,0.0,0.0,0.0,0.0,23046523.40354007,45659315778.77688,521424166644.7003,231238157960.0097
0.11733333333333335,-1,-1,1,0.0,-28792.978901090897,0.0,-0.00028792978901090894,0.0,4.565287115195559e+22,5.2137248392258086e+23,8.569671519330086e+23,0.0,45652871151.955574,521372483922.58075,1230090986322.3152,0.0,0.0,0.0,1550885420568.7192,0.0,0.0,0.0,0.0,0.0,45652871151.955505,521372483922.7453,231237467575.7037,0.0,0.0,0.0,-552031901822.1074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862558319094539e+16,0.0,0.0,0.0,55443.17727634311,0.0,0.0,0.0,-1550885420568.7192,0.0,0.0,0.0,1121744663168.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552031901822.1074,0.0,0.0,0.0,-122891088978.2358,-28792.97890108969,8.000987064465114e-19,-0.00028792978901089685,8.000987064465113e-27,0.0,4.565287115195559e+22,5.2137248392258086e+23,8.569671905585916e+23,0.0,45652871151.955574,521372483922.58075,1230091041765.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121744663168.0254,0.0,45652871151.955505,521372483922.7453,231237467575.7037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122891088978.2358,0.0,0.0,0.0,0.0,1.1909294994113693e-67,8789755.9378882,934.9949902202022,1610556265960.6353,0.0,0.0,0.0,0.0,9.301521098098946e-64,234669.8527303001,7301781.825643002,1122699537822.1243,0.0,0.0,0.0,0.0,23046523.403540067,45659315778.77682,521424166644.7001,231238157960.0095
0.14666666666666667,-1,-1,1,0.0,-28766.471570032987,0.0,-0.0002876647157003298,0.0,4.565287118574896e+22,5.2137232143705826e+23,8.558146539366799e+23,0.0,45652871185.74895,521372321437.0581,1228436690245.9243,0.0,0.0,0.0,1550947118491.1343,0.0,0.0,0.0,0.0,0.0,45652871185.74888,521372321437.2123,231237462658.65442,0.0,0.0,0.0,-553747890903.8643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.945500226766364e+16,0.0,0.0,0.0,56633.72574468702,0.0,0.0,0.0,-1550947118491.1343,0.0,0.0,0.0,1121055692080.6707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553747890903.8643,0.0,0.0,0.0,-123856407859.67432,-28766.47157003178,1.1156430685349162e-18,-0.0002876647157003178,1.115643068534916e-26,0.0,4.565287118574896e+22,5.2137232143705826e+23,8.558146933916819e+23,0.0,45652871185.74895,521372321437.0581,1228436746879.6497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121055692080.6707,0.0,45652871185.74888,521372321437.2123,231237462658.65442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123856407859.67432,0.0,0.0,0.0,0.0,1.2098017366190377e-67,8757877.880261427,949.8126706255323,1610803509681.3281,0.0,0.0,0.0,0.0,9.301516484885398e-64,233986.978348695,7301778.203568897,1122018127231.5002,0.0,0.0,0.0,0.0,23046523.40354006,45659315778.77686,521424166644.70026,231238157960.00955
0.17600000000000002,-1,-1,1,0.0,-28739.664445553517,0.0,-0.0002873966444555351,0.0,4.565287122105288e+22,5.213721574980111e+23,8.546491210942039e+23,0.0,45652871221.05287,521372157498.0109,1226763683946.2566,0.0,0.0,0.0,1551007859094.4272,0.0,0.0,0.0,0.0,0.0,45652871221.05277,521372157498.1543,231237457678.34802,0.0,0.0,0.0,-555481632826.5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.031724318478999e+16,0.0,0.0,0.0,57871.3866956383,0.0,0.0,0.0,-1551007859094.4272,0.0,0.0,0.0,1120360938391.3345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555481632826.5175,0.0,0.0,0.0,-124834654252.03903,-28739.66444555225,8.000987064465114e-19,-0.00028739664445552246,8.000987064465113e-27,0.0,4.565287122105288e+22,5.213721574980111e+23,8.54649161411448e+23,0.0,45652871221.05287,521372157498.0109,1226763741817.6445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120360938391.3345,0.0,45652871221.05277,521372157498.1543,231237457678.34802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124834654252.03903,0.0,0.0,0.0,0.0,1.2292815724438883e-67,8725872.800087545,965.107352456247,1611051715464.9617,0.0,0.0,0.0,0.0,9.301511723147749e-64,233302.68113096966,7301774.464895241,1121331035278.551,0.0,0.0,0.0,0.0,23046523.403540064,45659315778.77702,521424166644.70044,231238157960.00986
0.20533333333333337,-1,-1,1,0.0,-28712.550419594456,0.0,-0.0002871255041959445,0.0,4.5652871257763676e+22,5.213719920716395e+23,8.534702443499526e+23,0.0,45652871257.763664,521371992071.63934,1225071523804.7417,0.0,0.0,0.0,1551067622089.526,0.0,0.0,0.0,0.0,0.0,45652871257.763596,521371992071.7727,231237452633.21487,0.0,0.0,0.0,-557233550917.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121420252105875e+16,0.0,0.0,0.0,59158.882479056716,0.0,0.0,0.0,-1551067622089.526,0.0,0.0,0.0,1119660268440.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557233550917.999,0.0,0.0,0.0,-125826138110.15767,-28712.550419593343,4.845543443581067e-19,-0.0002871255041959334,4.845543443581066e-27,0.0,4.5652871257763676e+22,5.213719920716395e+23,8.534702855641557e+23,0.0,45652871257.763664,521371992071.63934,1225071582963.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119660268440.567,0.0,45652871257.763596,521371992071.7727,231237452633.21487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125826138110.15767,0.0,0.0,0.0,0.0,1.249398803555539e-67,8693737.38142858,980.902429350017,1611300908786.808,0.0,0.0,0.0,0.0,9.301506805602373e-64,232616.97074710322,7301770.603903674,1120638130732.108,0.0,0.0,0.0,0.0,23046523.40354007,45659315778.776825,521424166644.69977,231238157960.0094
0.2346666666666667,-1,-1,1,0.0,-28685.122109861484,0.0,-0.0002868512210986148,0.0,4.565287129577234e+22,5.213718251228858e+23,8.522777027245103e+23,0.0,45652871295.77233,521371825122.8856,1223359749087.4006,0.0,0.0,0.0,1551126386399.5264,0.0,0.0,0.0,0.0,0.0,45652871295.77226,521371825123.0088,231237447521.62616,0.0,0.0,0.0,-559004084833.7509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.214790230723518e+16,0.0,0.0,0.0,60499.115518696606,0.0,0.0,0.0,-1551126386399.5264,0.0,0.0,0.0,1118953543439.1614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559004084833.7509,0.0,0.0,0.0,-126831181374.27032,-28685.12210986035,8.000987064465114e-19,-0.0002868512210986035,8.000987064465113e-27,0.0,4.565287129577234e+22,5.213718251228858e+23,8.522777448724134e+23,0.0,45652871295.77233,521371825122.8856,1223359809586.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118953543439.1614,0.0,45652871295.77226,521371825123.0088,231237447521.62616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126831181374.27032,0.0,0.0,0.0,0.0,1.2701852005829238e-67,8661468.180934293,997.2228476970787,1611551116097.4316,0.0,0.0,0.0,0.0,9.301501724483091e-64,231929.85735923218,7301766.614496232,1119939277325.5347,0.0,0.0,0.0,0.0,23046523.403540075,45659315778.77689,521424166644.7003,231238157960.00977
