sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:fsf,avg:g_CB:n,avg:g_CB:I,avg:g_CB:p,tot:g_CB:fsf,tot:g_CB:n,tot:g_CB:I,tot:g_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:fsf,avg:g_IB:n,avg:g_IB:I,avg:g_IB:p,tot:g_IB:fsf,tot:g_IB:n,tot:g_IB:I,tot:g_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:fsf,avg:g_VB:n,avg:g_VB:I,avg:g_VB:p,tot:g_VB:fsf,tot:g_VB:n,tot:g_VB:I,tot:g_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-47326.713843208214,0.0,-0.0004732671384320821,0.0,0.0,1.663465615814068e+23,1.2014328989633965e+24,1.4160477417697048e+24,0.0,166346561581.40677,1371507106837.693,1416047741769.7043,0.0,0.0,1499827074561.306,0.0,0.0,0.0,0.0,0.0,0.0,166346561581.40652,560991741715.1816,1416047741769.6948,0.0,0.0,-689311709438.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.583588626452386e-64,4412228.13010469,1538077368242.2336,5168120.099706753,0.0,0.0,0.0,0.0,7.58759563359084e-64,192401.47557313205,934786064442.7169,5956352.866261225,0.0,0.0,0.0,0.0,62589821.10579339,166357037787.98514,560992184826.5918,1416085399913.9915,0.0,0.0,0.0,0.0,0.0,0.0,34423066162.668,0.0,0.0,0.0,0.03929597726346401,0.0,0.0,0.0,-1499827074561.306,0.0,0.0,0.0,934436073847.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689311709438.794,0.0,0.0,0.0,-123920708725.35063,0.0,-2.524354896707238e-18,-47326.713843206526,-2.5243548967072378e-26,-0.00047326713843206516,0.0,1.663465615814068e+23,1.2014328989634313e+24,1.4160477417697048e+24,0.0,166346561581.40677,1371507106837.7327,1416047741769.7043,0.0,0.0,0.0,0.0,0.0,0.0,934436073847.9001,0.0,0.0,166346561581.40652,560991741715.1816,1416047741769.6948,0.0,0.0,0.0,0.0,0.0,0.0,-123920708725.35063,0.0
0.02,-1,-1,1,-47304.73329075545,0.0,-0.00047304733290755443,0.0,0.0,1.663465615546696e+23,1.2002312166554536e+24,1.416047593395974e+24,0.0,166346561554.66956,1370135315015.6724,1416047593395.9736,0.0,0.0,1500049697087.4368,0.0,0.0,0.0,0.0,0.0,0.0,166346561554.66937,560991739046.7518,1416047593395.9646,0.0,0.0,-690906121118.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.589645010937091e-64,4401055.395248667,1538388494144.734,5172875.363324193,0.0,0.0,0.0,0.0,7.586115183983706e-64,192198.47199480576,934223363979.9817,5955190.468025228,0.0,0.0,0.0,0.0,62589821.105793424,166357037787.9849,560992184826.5919,1416085399913.9917,0.0,0.0,0.0,0.0,0.0,0.0,2.153326665724254e+16,0.0,0.0,0.0,24581.504534560816,0.0,0.0,0.0,-1500049697087.4368,0.0,0.0,0.0,933871053493.9594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690906121118.5164,0.0,0.0,0.0,-124727452943.53455,0.0,-1.262177448353619e-18,-47304.73329075395,-1.2621774483536189e-26,-0.00047304733290753947,0.0,1.663465615546696e+23,1.2002312381887203e+24,1.416047593395974e+24,0.0,166346561554.66956,1370135339597.1768,1416047593395.9736,0.0,0.0,0.0,0.0,0.0,0.0,933871053493.9594,0.0,0.0,166346561554.66937,560991739046.7518,1416047593395.9646,0.0,0.0,0.0,0.0,0.0,0.0,-124727452943.53455,0.0
0.04,-1,-1,1,-47282.515175301116,0.0,-0.0004728251517530111,0.0,0.0,1.6634656152614376e+23,1.1990164659988494e+24,1.4160474436916336e+24,0.0,166346561526.14374,1368748604896.4421,1416047443691.6333,0.0,0.0,1500273141856.1995,0.0,0.0,0.0,0.0,0.0,0.0,166346561526.1435,560991736343.9792,1416047443691.6238,0.0,0.0,-692516273303.7379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.595734965962173e-64,4389821.215355371,1538701315993.2053,5177656.98286635,0.0,0.0,0.0,0.0,7.584626528244115e-64,191993.76535396252,933655839390.5011,5954021.627219243,0.0,0.0,0.0,0.0,62589821.105793364,166357037787.98462,560992184826.5906,1416085399913.9897,0.0,0.0,0.0,0.0,0.0,0.0,1.3340325058483336e+17,0.0,0.0,0.0,152287.7444176954,0.0,0.0,0.0,-1500273141856.1995,0.0,0.0,0.0,933301180373.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692516273303.7379,0.0,0.0,0.0,-125544159533.76863,0.0,-1.262177448353619e-18,-47282.51517529954,-1.2621774483536189e-26,-0.00047282515175299533,0.0,1.6634656152614376e+23,1.1990165994020999e+24,1.4160474436916336e+24,0.0,166346561526.14374,1368748757184.1865,1416047443691.6333,0.0,0.0,0.0,0.0,0.0,0.0,933301180373.9753,0.0,0.0,166346561526.1435,560991736343.9792,1416047443691.6238,0.0,0.0,0.0,0.0,0.0,0.0,-125544159533.76863,0.0
0.06,-1,-1,1,-47260.05358350864,0.0,-0.0004726005358350863,0.0,0.0,1.6634656149619576e+23,1.1977885604145706e+24,1.4160472926239736e+24,0.0,166346561496.1957,1367346877644.9102,1416047292623.9734,0.0,0.0,1500497448031.738,0.0,0.0,0.0,0.0,0.0,0.0,166346561496.1954,560991733606.1555,1416047292623.9646,0.0,0.0,-694142303992.9843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.601855623289234e-64,4378523.941931418,1539015880615.2302,5182462.706868342,0.0,0.0,0.0,0.0,7.583130367497027e-64,191787.23500649803,933083366507.9678,5952846.89420145,0.0,0.0,0.0,0.0,62589821.1057934,166357037787.98492,560992184826.5918,1416085399913.9922,0.0,0.0,0.0,0.0,0.0,0.0,7.05738451119532e+16,0.0,0.0,0.0,80564.24142490153,0.0,0.0,0.0,-1500497448031.738,0.0,0.0,0.0,932726329527.6345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694142303992.9843,0.0,0.0,0.0,-126371104924.63834,0.0,-2.524354896707238e-18,-47260.05358350706,-2.5243548967072378e-26,-0.00047260053583507054,0.0,1.6634656149619576e+23,1.1977886309884149e+24,1.4160472926239736e+24,0.0,166346561496.1957,1367346958209.1506,1416047292623.9734,0.0,0.0,0.0,0.0,0.0,0.0,932726329527.6345,0.0,0.0,166346561496.1954,560991733606.1555,1416047292623.9646,0.0,0.0,0.0,0.0,0.0,0.0,-126371104924.63834,0.0
0.08,-1,-1,1,-47237.34221761122,0.0,-0.00047237342217611216,0.0,0.0,1.6634656146423225e+23,1.1965469071722145e+24,1.416047140159392e+24,0.0,166346561464.2322,1365929456624.07,1416047140159.3916,0.0,0.0,1500722618915.8386,0.0,0.0,0.0,0.0,0.0,0.0,166346561464.23187,560991730832.1382,1416047140159.383,0.0,0.0,-695784893123.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60800331114525e-64,4367162.050227821,1539332229056.5737,5187289.653007845,0.0,0.0,0.0,0.0,7.581627599287019e-64,191578.91584194836,932505830084.7938,5951666.9735397035,0.0,0.0,0.0,0.0,62589821.10579339,166357037787.98486,560992184826.5912,1416085399913.991,0.0,0.0,0.0,0.0,0.0,0.0,1.1146025126158933e+17,0.0,0.0,0.0,127238.50567691345,0.0,0.0,0.0,-1500722618915.8386,0.0,0.0,0.0,932146385010.1138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695784893123.906,0.0,0.0,0.0,-127208531979.67651,0.0,-2.524354896707238e-18,-47237.34221760974,-2.5243548967072378e-26,-0.0004723734221760973,0.0,1.6634656146423225e+23,1.1965470186324657e+24,1.416047140159392e+24,0.0,166346561464.2322,1365929583862.5757,1416047140159.3916,0.0,0.0,0.0,0.0,0.0,0.0,932146385010.1138,0.0,0.0,166346561464.23187,560991730832.1382,1416047140159.383,0.0,0.0,0.0,0.0,0.0,0.0,-127208531979.67651,0.0
0.1,-1,-1,1,-47214.37455922264,0.0,-0.00047214374559222637,0.0,0.0,1.6634656143059386e+23,1.1952913687691976e+24,1.41604698626245e+24,0.0,166346561430.5938,1364496184866.5454,1416046986262.4495,0.0,0.0,1500948693935.1553,0.0,0.0,0.0,0.0,0.0,0.0,166346561430.59348,560991728021.1163,1416046986262.4407,0.0,0.0,-697444237089.7269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61417342590043e-64,4355733.764721669,1539650411649.9773,5192134.207257045,0.0,0.0,0.0,0.0,7.580119348945866e-64,191368.68416164818,931923096278.8041,5950482.748663275,0.0,0.0,0.0,0.0,62589821.10579341,166357037787.98517,560992184826.5922,1416085399913.992,0.0,0.0,0.0,0.0,0.0,0.0,1.021007970352829e+16,0.0,0.0,0.0,11655.413204391503,0.0,0.0,0.0,-1500948693935.1553,0.0,0.0,0.0,931561212109.4597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697444237089.7269,0.0,0.0,0.0,-128056743608.61835,0.0,-2.524354896707238e-18,-47214.374559220916,-2.5243548967072378e-26,-0.0004721437455922091,0.0,1.6634656143059386e+23,1.195291378979277e+24,1.41604698626245e+24,0.0,166346561430.5938,1364496196521.9583,1416046986262.4495,0.0,0.0,0.0,0.0,0.0,0.0,931561212109.4597,0.0,0.0,166346561430.59348,560991728021.1163,1416046986262.4407,0.0,0.0,0.0,0.0,0.0,0.0,-128056743608.61835,0.0
0.12,-1,-1,1,-47191.14378427472,0.0,-0.0004719114378427471,0.0,0.0,1.663465613947214e+23,1.1940213552512828e+24,1.416046830896622e+24,0.0,166346561394.72134,1363046388904.488,1416046830896.6218,0.0,0.0,1501175680550.8247,0.0,0.0,0.0,0.0,0.0,0.0,166346561394.72107,560991725171.8931,1416046830896.613,0.0,0.0,-699121016818.2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620360200759015e-64,4344237.410393899,1539970473657.3113,5196991.842183253,0.0,0.0,0.0,0.0,7.578607026134795e-64,191156.56628725573,931335038762.5673,5949295.326278332,0.0,0.0,0.0,0.0,62589821.10579338,166357037787.985,560992184826.5918,1416085399913.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0510211554671532e+16,0.0,0.0,0.0,11998.031562176171,0.0,0.0,0.0,-1501175680550.8247,0.0,0.0,0.0,930970683728.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699121016818.2297,0.0,0.0,0.0,-128916007997.99635,0.0,-1.262177448353619e-18,-47191.14378427318,-1.2621774483536189e-26,-0.0004719114378427318,0.0,1.663465613947214e+23,1.1940213657614942e+24,1.416046830896622e+24,0.0,166346561394.72134,1363046400902.5193,1416046830896.6218,0.0,0.0,0.0,0.0,0.0,0.0,930970683728.623,0.0,0.0,166346561394.72107,560991725171.8931,1416046830896.613,0.0,0.0,0.0,0.0,0.0,0.0,-128916007997.99635,0.0
0.14,-1,-1,1,-47167.64275378363,0.0,-0.00047167642753783616,0.0,0.0,1.6634656135667952e+23,1.1927365667427908e+24,1.416046674023521e+24,0.0,166346561356.67947,1361579726411.9756,1416046674023.5205,0.0,0.0,1501403610339.592,0.0,0.0,0.0,0.0,0.0,0.0,166346561356.67926,560991722283.4668,1416046674023.5107,0.0,0.0,-700815606211.0829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.626556497439581e-64,4332671.114711155,1540292467416.0046,5201856.95333498,0.0,0.0,0.0,0.0,7.577092375767137e-64,190942.4770154039,930741516403.7738,5948106.076362469,0.0,0.0,0.0,0.0,62589821.10579341,166357037787.9848,560992184826.5912,1416085399913.9917,0.0,0.0,0.0,0.0,0.0,0.0,1.0824256636845252e+16,0.0,0.0,0.0,12356.532700642005,0.0,0.0,0.0,-1501403610339.592,0.0,0.0,0.0,930374657827.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700815606211.0829,0.0,0.0,0.0,-129786641342.81546,0.0,-1.262177448353619e-18,-47167.64275378201,-1.2621774483536189e-26,-0.00047167642753782006,0.0,1.6634656135667952e+23,1.1927365775670474e+24,1.416046674023521e+24,0.0,166346561356.67947,1361579738768.5083,1416046674023.5205,0.0,0.0,0.0,0.0,0.0,0.0,930374657827.8573,0.0,0.0,166346561356.67926,560991722283.4668,1416046674023.5107,0.0,0.0,0.0,0.0,0.0,0.0,-129786641342.81546,0.0
0.16,-1,-1,1,-47143.86398063867,0.0,-0.0004714386398063866,0.0,0.0,1.663465613163423e+23,1.1914365939181549e+24,1.4160465156031696e+24,0.0,166346561316.34225,1360095730119.5298,1416046515603.1692,0.0,0.0,1501632509014.894,0.0,0.0,0.0,0.0,0.0,0.0,166346561316.34204,560991719354.7179,1416046515603.1584,0.0,0.0,-702528498250.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.632753506438575e-64,4321032.959742722,1540616446011.02,5206722.623905492,0.0,0.0,0.0,0.0,7.575577551277178e-64,190726.36109138178,930142384728.4203,5946916.6896913545,0.0,0.0,0.0,0.0,62589821.10579337,166357037787.98486,560992184826.5912,1416085399913.9912,0.0,0.0,0.0,0.0,0.0,0.0,1.1153040156439098e+16,0.0,0.0,0.0,12731.858641960187,0.0,0.0,0.0,-1501632509014.894,0.0,0.0,0.0,929772989009.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702528498250.0814,0.0,0.0,0.0,-130668965513.09096,0.0,-1.262177448353619e-18,-47143.86398063711,-1.2621774483536189e-26,-0.000471438639806371,0.0,1.663465613163423e+23,1.1914366050711956e+24,1.4160465156031696e+24,0.0,166346561316.34225,1360095742851.389,1416046515603.1692,0.0,0.0,0.0,0.0,0.0,0.0,929772989009.7625,0.0,0.0,166346561316.34204,560991719354.7179,1416046515603.1584,0.0,0.0,0.0,0.0,0.0,0.0,-130668965513.09096,0.0
