sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,avg:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,avg:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,avg:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-44386.50508062437,0.0,-0.0004438650508062436,0.0,1.4160301768836118e+24,1.7340773795250078e+23,1.073590983446208e+24,0.0,1416030176883.6113,173407737952.50073,1180950081790.8289,0.0,0.0,0.0,818892276018.8363,0.0,0.0,0.0,0.0,0.0,1416030176883.609,173407737952.5005,549822752006.4377,0.0,0.0,0.0,-187764946234.4442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989794038452675e-65,313194.8243701943,3423954.016825869,820846107903.0573,0.0,0.0,0.0,0.0,3.842756894412669e-63,30165649.06638648,0.6286541501317408,1623156485868.056,0.0,0.0,0.0,0.0,62589821.10579339,1416085399913.9905,173416424741.29572,549824399100.9088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316222071308.9813,0.0,0.0,0.0,-0.3478442784398794,0.0,0.0,0.0,-818892276018.8363,0.0,0.0,0.0,1607403947412.7146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187764946234.4442,0.0,0.0,0.0,-976276617628.6686,-44386.505080622854,-3.7865323450608574e-18,-0.00044386505080622847,-3.7865323450608567e-26,0.0,1.4160301768836118e+24,1.7340773795250078e+23,1.073590983445892e+24,0.0,1416030176883.6113,173407737952.50073,1180950081790.4812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607403947412.7146,0.0,1416030176883.609,173407737952.5005,549822752006.4377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-976276617628.6686
0.02,-1,-1,1,0.0,-44368.391999922875,0.0,-0.00044368391999922866,0.0,1.4160301701356515e+24,1.7340771829738805e+23,1.0725632534300856e+24,0.0,1416030170135.6511,173407718297.388,1179819578773.0942,0.0,0.0,0.0,818305746106.077,0.0,0.0,0.0,0.0,0.0,1416030170135.6487,173407718297.38757,549822746733.8732,0.0,0.0,0.0,-188308914066.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9910820066017e-65,313295.9296635251,3426022.0101090795,820265247039.942,0.0,0.0,0.0,0.0,3.842692496002424e-63,30165143.5566727,0.637632718511913,1623636917344.8406,0.0,0.0,0.0,0.0,62589821.10579338,1416085399913.9888,173416424741.29605,549824399100.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1615818975042890.2,0.0,0.0,0.0,-1777.4008725471795,0.0,0.0,0.0,-818305746106.077,0.0,0.0,0.0,1607858750043.7744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188308914066.8545,0.0,0.0,0.0,-977861919781.9513,-44368.391999921514,-2.524354896707238e-18,-0.00044368391999921505,-2.5243548967072378e-26,0.0,1.4160301701356515e+24,1.7340771829738805e+23,1.0725632518142677e+24,0.0,1416030170135.6511,173407718297.388,1179819576995.6946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607858750043.7744,0.0,1416030170135.6487,173407718297.38757,549822746733.8732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-977861919781.9513
0.04,-1,-1,1,0.0,-44350.11600512547,0.0,-0.00044350116005125465,0.0,1.4160301633334482e+24,1.73407698452288e+23,1.0715262804116258e+24,0.0,1416030163333.4478,173407698452.28793,1178678908452.7883,0.0,0.0,0.0,817714170615.756,0.0,0.0,0.0,0.0,0.0,1416030163333.4456,173407698452.28757,549822741410.9814,0.0,0.0,0.0,-188858003573.94757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.992377726904283e-65,313397.64349750464,3428107.7766147805,819679393977.852,0.0,0.0,0.0,0.0,3.842627709984493e-63,30164635.00435598,0.6469087198256196,1624119718632.2942,0.0,0.0,0.0,0.0,62589821.10579338,1416085399913.9893,173416424741.2958,549824399100.9087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6964743061583827.0,0.0,0.0,0.0,-7661.217367742211,0.0,0.0,0.0,-817714170615.756,0.0,0.0,0.0,1608315722964.6873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188858003573.94757,0.0,0.0,0.0,-979459563584.096,-44350.11600512392,-1.262177448353619e-18,-0.00044350116005123914,-1.2621774483536189e-26,0.0,1.4160301633334482e+24,1.73407698452288e+23,1.0715262734468836e+24,0.0,1416030163333.4478,173407698452.28793,1178678900791.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608315722964.6873,0.0,1416030163333.4456,173407698452.28757,549822741410.9814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-979459563584.096
0.06,-1,-1,1,0.0,-44331.67317254884,0.0,-0.00044331673172548833,0.0,1.4160301564757058e+24,1.7340767841254815e+23,1.0704798396539815e+24,0.0,1416030156475.7056,173407678412.54813,1177527823619.3796,0.0,0.0,0.0,817117426766.6554,0.0,0.0,0.0,0.0,0.0,1416030156475.7031,173407678412.54773,549822736036.5537,0.0,0.0,0.0,-189412339183.82758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9936813812113245e-65,313499.9801482706,3430211.7495679357,819088427230.8121,0.0,0.0,0.0,0.0,3.8425625272663197e-63,30164123.33805821,0.6564974883752134,1624604951740.1438,0.0,0.0,0.0,0.0,62589821.10579338,1416085399913.9895,173416424741.296,549824399100.9087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4139370432098141.5,0.0,0.0,0.0,-4553.307475307956,0.0,0.0,0.0,-817117426766.6554,0.0,0.0,0.0,1608774923473.0613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189412339183.82758,0.0,0.0,0.0,-981069840443.5426,-44331.67317254737,-1.262177448353619e-18,-0.00044331673172547364,-1.2621774483536189e-26,0.0,1.4160301564757058e+24,1.7340767841254815e+23,1.07047983551461e+24,0.0,1416030156475.7056,173407678412.54813,1177527819066.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608774923473.0613,0.0,1416030156475.7031,173407678412.54773,549822736036.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-981069840443.5426
0.08,-1,-1,1,0.0,-44313.059347249386,0.0,-0.00044313059347249377,0.0,1.416030149560958e+24,1.7340765817332343e+23,1.0694236976584791e+24,0.0,1416030149560.9578,173407658173.3234,1176366067424.3271,0.0,0.0,0.0,816515387074.8937,0.0,0.0,0.0,0.0,0.0,1416030149560.9556,173407658173.323,549822730609.2866,0.0,0.0,0.0,-189972050259.85107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.994993233842861e-65,313602.96036582283,3432334.37887553,818492220661.7224,0.0,0.0,0.0,0.0,3.842496934631902e-63,30163608.454032853,0.6664154231967561,1625092680963.265,0.0,0.0,0.0,0.0,62589821.10579339,1416085399913.9895,173416424741.29614,549824399100.9092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5994486843071539.0,0.0,0.0,0.0,-6593.935527378693,0.0,0.0,0.0,-816515387074.8937,0.0,0.0,0.0,1609236410528.6965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189972050259.85107,0.0,0.0,0.0,-982693080307.5901,-44313.0593472479,-2.524354896707238e-18,-0.00044313059347247897,-2.5243548967072378e-26,0.0,1.416030149560958e+24,1.7340765817332343e+23,1.0694236916639932e+24,0.0,1416030149560.9578,173407658173.3234,1176366060830.3926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609236410528.6965,0.0,1416030149560.9556,173407658173.323,549822730609.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-982693080307.5901
0.1,-1,-1,1,0.0,-44294.27026955713,0.0,-0.0004429427026955712,0.0,1.416030142587805e+24,1.7340763772956358e+23,1.0683576106987384e+24,0.0,1416030142587.8047,173407637729.56354,1175193371768.6123,0.0,0.0,0.0,815907918321.4589,0.0,0.0,0.0,0.0,0.0,1416030142587.8025,173407637729.56302,549822725127.8676,0.0,0.0,0.0,-190537271680.71338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.996313482022466e-65,313706.59963292826,3434476.1347121974,817890642456.1837,0.0,0.0,0.0,0.0,3.842430922220069e-63,30163090.274868242,0.6766800833641441,1625582973634.9446,0.0,0.0,0.0,0.0,62589821.105793394,1416085399913.9902,173416424741.2958,549824399100.9088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-582358479059555.4,0.0,0.0,0.0,-640.5943269655108,0.0,0.0,0.0,-815907918321.4589,0.0,0.0,0.0,1609700246336.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190537271680.71338,0.0,0.0,0.0,-984329600336.6433,-44294.2702695558,-2.524354896707238e-18,-0.00044294270269555787,-2.5243548967072378e-26,0.0,1.416030142587805e+24,1.7340763772956358e+23,1.0683576101163795e+24,0.0,1416030142587.8047,173407637729.56354,1175193371128.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609700246336.796,0.0,1416030142587.8025,173407637729.56302,549822725127.8676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984329600336.6433
0.12,-1,-1,1,0.0,-44275.301433673994,0.0,-0.00044275301433673985,0.0,1.4160301355546662e+24,1.7340761707600487e+23,1.0672813252121715e+24,0.0,1416030135554.6658,173407617076.00482,1174009457733.3887,0.0,0.0,0.0,815294881950.6097,0.0,0.0,0.0,0.0,0.0,1416030135554.6633,173407617076.00433,549822719590.8881,0.0,0.0,0.0,-191108143808.10858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9976424053917744e-65,313810.91990183166,3436637.506031984,817283555520.7583,0.0,0.0,0.0,0.0,3.8423644760487215e-63,30162568.690807432,0.6873102509926864,1626075899706.4648,0.0,0.0,0.0,0.0,62589821.10579337,1416085399913.9888,173416424741.29596,549824399100.9089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-579293193900111.0,0.0,0.0,0.0,-637.2225132901222,0.0,0.0,0.0,-815294881950.6097,0.0,0.0,0.0,1610166495076.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191108143808.10858,0.0,0.0,0.0,-985979757570.9475,-44275.30143367248,-2.524354896707238e-18,-0.0004427530143367248,-2.5243548967072378e-26,0.0,1.4160301355546662e+24,1.7340761707600487e+23,1.0672813246328784e+24,0.0,1416030135554.6658,173407617076.00482,1174009457096.1663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610166495076.227,0.0,1416030135554.6633,173407617076.00433,549822719590.8881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-985979757570.9475
0.14,-1,-1,1,0.0,-44256.148188230676,0.0,-0.0004425614818823067,0.0,1.416030128459992e+24,1.7340759620715295e+23,1.0661945763949762e+24,0.0,1416030128459.9917,173407596207.1529,1172814034034.4739,0.0,0.0,0.0,814676133120.0286,0.0,0.0,0.0,0.0,0.0,1416030128459.9897,173407596207.15237,549822713996.9125,0.0,0.0,0.0,-191684813082.4656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.998980238050869e-65,313915.93954935623,3438819.0038684974,816670816539.4788,0.0,0.0,0.0,0.0,3.842297584412878e-63,30162043.609969016,0.6983260504965468,1626571532416.2456,0.0,0.0,0.0,0.0,62589821.10579339,1416085399913.9907,173416424741.29623,549824399100.9095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-576204145620153.8,0.0,0.0,0.0,-633.8245601821691,0.0,0.0,0.0,-814676133120.0286,0.0,0.0,0.0,1610635224280.9553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191684813082.4656,0.0,0.0,0.0,-987643904877.2161,-44256.14818822925,-2.524354896707238e-18,-0.00044256148188229243,-2.5243548967072378e-26,0.0,1.416030128459992e+24,1.7340759620715295e+23,1.0661945758187735e+24,0.0,1416030128459.9917,173407596207.1529,1172814033400.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610635224280.9553,0.0,1416030128459.9897,173407596207.15237,549822713996.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-987643904877.2161
0.16,-1,-1,1,0.0,-44236.80566413521,0.0,-0.000442368056641352,0.0,1.4160301213021313e+24,1.7340757511726992e+23,1.0650970879766912e+24,0.0,1416030121302.1309,173407575117.26987,1171606796774.3604,0.0,0.0,0.0,814051520677.004,0.0,0.0,0.0,0.0,0.0,1416030121302.129,173407575117.2692,549822708344.4308,0.0,0.0,0.0,-192267432247.07352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000327240464353e-65,314021.67902157194,3441021.1613759114,816052275952.3895,0.0,0.0,0.0,0.0,3.842230234289289e-63,30161514.93012589,0.7097490858208232,1627069948199.122,0.0,0.0,0.0,0.0,62589821.10579336,1416085399913.9897,173416424741.29575,549824399100.9087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-573081503634087.0,0.0,0.0,0.0,-630.3896539974958,0.0,0.0,0.0,-814051520677.004,0.0,0.0,0.0,1611106504335.6655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192267432247.07352,0.0,0.0,0.0,-989322416536.1227,-44236.80566413377,-3.7865323450608574e-18,-0.0004423680566413376,-3.7865323450608567e-26,0.0,1.4160301213021313e+24,1.7340757511726992e+23,1.0650970874036085e+24,0.0,1416030121302.1309,173407575117.26987,1171606796143.9695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611106504335.6655,0.0,1416030121302.129,173407575117.2692,549822708344.4308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989322416536.1227
