sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:I,avg:g_CB:p,avg:g_CB:n,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:p,tot:g_CB:n,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:fsf,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:I,avg:g_IB:p,avg:g_IB:n,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:p,tot:g_IB:n,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:fsf,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:I,avg:g_VB:p,avg:g_VB:n,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:p,tot:g_VB:n,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-39232.97256332093,0.0,-0.00039232972563320924,8.570567235211155e+23,1.4160315324957376e+24,1.963270133630704e+23,0.0,836370996861.9568,1416031532495.7373,196327013363.07037,0.0,449757711145.3723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513564014636.1013,1416031532495.736,196327013363.07016,0.0,-126950728919.51537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-815428607848.8534,0.0,0.0,0.0,-0.7957476079463959,0.0,0.0,0.0,-449757711145.3723,0.0,0.0,0.0,1097205126500.0363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126950728919.51537,0.0,0.0,0.0,-774398144274.9753,0.0,0.0,0.0,-39232.972563319156,1.140743713500115e-17,-0.0003923297256331915,1.140743713500115e-25,8.570567235203009e+23,1.4160315324957376e+24,1.963270133630704e+23,0.0,836370996861.162,1416031532495.7373,196327013363.07037,0.0,0.0,0.0,0.0,0.0,1097205126500.0363,0.0,0.0,0.0,513564014636.1013,1416031532495.736,196327013363.07016,0.0,0.0,0.0,0.0,0.0,-774398144274.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451626105151.0751,173115.8751295307,16309705.575323308,2.205328143198539e-65,0.0,0.0,0.0,0.0,1098262495236.3248,10829868.765781369,26.302027133859234,1.379582378175492e-63,0.0,0.0,0.0,0.0,513565036667.53284,1416085781024.5908,196336853392.83023,62589837.950572275
0.02,-1,-1,1,0.0,-39220.193864127956,0.0,-0.0003922019386412795,8.56239444498026e+23,1.4160315244781552e+24,1.9632699110424338e+23,0.0,835573443499.9724,1416031524478.1548,196326991104.24335,0.0,449386664063.61755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513564010127.21783,1416031524478.1528,196326991104.24292,0.0,-127377230690.86147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67060552350122.42,0.0,0.0,0.0,-65.44199407100677,0.0,0.0,0.0,-449386664063.61755,0.0,0.0,0.0,1098448926894.4083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127377230690.86147,0.0,0.0,0.0,-776439493587.0941,0.0,0.0,0.0,-39220.1938641262,1.266961458335477e-17,-0.00039220193864126195,1.2669614583354768e-25,8.562394444309652e+23,1.4160315244781552e+24,1.9632699110424338e+23,0.0,835573443434.5302,1416031524478.1548,196326991104.24335,0.0,0.0,0.0,0.0,0.0,1098448926894.4083,0.0,0.0,0.0,513564010127.21783,1416031524478.1528,196326991104.24292,0.0,0.0,0.0,0.0,0.0,-776439493587.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451261380596.4654,173256.26008575052,16319441.99976866,2.20711649086788e-65,0.0,0.0,0.0,0.0,1099509111871.9895,10829447.613617979,26.74231384272643,1.379528727746214e-63,0.0,0.0,0.0,0.0,513565036667.5326,1416085781024.5908,196336853392.83014,62589837.95057228
0.04,-1,-1,1,0.0,-39207.29764531386,0.0,-0.0003920729764531386,8.55414649423275e+23,1.416031516398549e+24,1.9632696863022537e+23,0.0,834768555492.0442,1416031516398.5486,196326968630.2253,0.0,449012418987.91724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513564005572.1731,1416031516398.5464,196326968630.22495,0.0,-127807869068.04536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272804324637479.88,0.0,0.0,0.0,-266.2199813425541,0.0,0.0,0.0,-449012418987.91724,0.0,0.0,0.0,1099701919643.4104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127807869068.04536,0.0,0.0,0.0,-778497369989.7593,0.0,0.0,0.0,-39207.29764531194,1.140743713500115e-17,-0.00039207297645311935,1.140743713500115e-25,8.554146491504708e+23,1.416031516398549e+24,1.9632696863022537e+23,0.0,834768555225.8243,1416031516398.5486,196326968630.2253,0.0,0.0,0.0,0.0,0.0,1099701919643.4104,0.0,0.0,0.0,513564005572.1731,1416031516398.5464,196326968630.22495,0.0,0.0,0.0,0.0,0.0,-778497369989.7593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450893519383.1073,173397.34434572337,16329262.152947774,2.2089137469523147e-65,0.0,0.0,0.0,0.0,1100764943655.4211,10829024.36355658,27.197625514271323,1.3794748100644845e-63,0.0,0.0,0.0,0.0,513565036667.5324,1416085781024.59,196336853392.8302,62589837.95057225
0.06,-1,-1,1,0.0,-39194.28105783627,0.0,-0.0003919428105783627,8.545821557648783e+23,1.4160315082553884e+24,1.96326945935745e+23,0.0,833956154711.7388,1416031508255.388,196326945935.74493,0.0,448634898209.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513564000969.84344,1416031508255.3862,196326945935.7445,0.0,-128242744467.23964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20218797993566.016,0.0,0.0,0.0,-19.730801671743393,0.0,0.0,0.0,-448634898209.136,0.0,0.0,0.0,1100964328013.8696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128242744467.23964,0.0,0.0,0.0,-780572174291.7045,0.0,0.0,0.0,-39194.28105783448,1.140743713500115e-17,-0.00039194281057834473,1.140743713500115e-25,8.545821557446595e+23,1.4160315082553884e+24,1.96326945935745e+23,0.0,833956154692.008,1416031508255.388,196326945935.74493,0.0,0.0,0.0,0.0,0.0,1100964328013.8696,0.0,0.0,0.0,513564000969.84344,1416031508255.3862,196326945935.7445,0.0,0.0,0.0,0.0,0.0,-780572174291.7045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450522445290.3834,173539.14722984383,16339168.069884486,2.2107201575925235e-65,0.0,0.0,0.0,0.0,1102030214407.4722,10828598.957636382,27.668743371212457,1.3794206177460868e-63,0.0,0.0,0.0,0.0,513565036667.5321,1416085781024.5903,196336853392.82977,62589837.950572275
0.08,-1,-1,1,0.0,-39181.141124180256,0.0,-0.0003918114112418025,8.537417734655147e+23,1.4160315000470678e+24,1.9632692301531623e+23,0.0,833136055688.9153,1416031500047.0674,196326923015.3162,0.0,448254020844.37604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513563996319.0574,1416031500047.0654,196326923015.3157,0.0,-128681961474.51668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20208444460090.176,0.0,0.0,0.0,-19.72069802880287,0.0,0.0,0.0,-448254020844.37604,0.0,0.0,0.0,1102236384374.2932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128681961474.51668,0.0,0.0,0.0,-782664325024.1545,0.0,0.0,0.0,-39181.141124178495,1.140743713500115e-17,-0.0003918114112417849,1.140743713500115e-25,8.537417734453069e+23,1.4160315000470678e+24,1.9632692301531623e+23,0.0,833136055669.1953,1416031500047.0674,196326923015.3162,0.0,0.0,0.0,0.0,0.0,1102236384374.2932,0.0,0.0,0.0,513563996319.0574,1416031500047.0654,196326923015.3157,0.0,0.0,0.0,0.0,0.0,-782664325024.1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450148078985.4143,173681.6891256162,16349161.869359,2.2125359825113174e-65,0.0,0.0,0.0,0.0,1103305157076.0713,10828171.334695235,28.1565043763443,1.3793661429993388e-63,0.0,0.0,0.0,0.0,513565036667.5325,1416085781024.591,196336853392.8299,62589837.95057228
0.1,-1,-1,1,0.0,-39167.87474910543,0.0,-0.00039167874749105426,8.528933044325263e+23,1.4160314917719143e+24,1.9632689986322053e+23,0.0,832308065112.0356,1416031491771.9138,196326899863.2205,0.0,447869702601.0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513563991618.5917,1416031491771.911,196326899863.22,0.0,-129125629107.61423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20267231550876.562,0.0,0.0,0.0,-19.778066247701645,0.0,0.0,0.0,-447869702601.0594,0.0,0.0,0.0,1103518330899.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129125629107.61423,0.0,0.0,0.0,-784774257425.6611,0.0,0.0,0.0,-39167.874749103816,1.266961458335477e-17,-0.0003916787474910381,1.2669614583354768e-25,8.528933044122585e+23,1.4160314917719143e+24,1.9632689986322053e+23,0.0,832308065092.257,1416031491771.9138,196326899863.2205,0.0,0.0,0.0,0.0,0.0,1103518330899.328,0.0,0.0,0.0,513563991618.5917,1416031491771.911,196326899863.22,0.0,0.0,0.0,0.0,0.0,-784774257425.6611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449770337791.09467,173824.99118517607,16359245.760108387,2.214361491159564e-65,0.0,0.0,0.0,0.0,1104590014439.0347,10827741.431277135,28.661807313269268,1.3793113777407073e-63,0.0,0.0,0.0,0.0,513565036667.53284,1416085781024.591,196336853392.8303,62589837.950572304
0.12,-1,-1,1,0.0,-39154.47870311635,0.0,-0.0003915447870311634,8.520365421191558e+23,1.4160314834281868e+24,1.9632687647349462e+23,0.0,831471981419.5076,1416031483428.1865,196326876473.49457,0.0,447481855595.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513563986867.17194,1416031483428.1848,196326876473.49405,0.0,-129573861043.0876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20385527867451.105,0.0,0.0,0.0,-19.89350739121437,0.0,0.0,0.0,-447481855595.4245,0.0,0.0,0.0,1104810420079.4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129573861043.0876,0.0,0.0,0.0,-786902425546.9618,0.0,0.0,0.0,-39154.478703114626,1.140743713500115e-17,-0.0003915447870311462,1.140743713500115e-25,8.520365420987701e+23,1.4160314834281868e+24,1.9632687647349462e+23,0.0,831471981399.6139,1416031483428.1865,196326876473.49457,0.0,0.0,0.0,0.0,0.0,1104810420079.4053,0.0,0.0,0.0,513563986867.17194,1416031483428.1848,196326876473.49405,0.0,0.0,0.0,0.0,0.0,-786902425546.9618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449389135508.0999,173969.07550101125,16369422.045506319,2.21619696495648e-65,0.0,0.0,0.0,0.0,1105885039616.2173,10827309.181105029,29.1856188453377,1.379256313527621e-63,0.0,0.0,0.0,0.0,513565036667.5323,1416085781024.5908,196336853392.83035,62589837.950572275
0.14,-1,-1,1,0.0,-39140.949616784215,0.0,-0.00039140949616784206,8.511712710290885e+23,1.4160314750140705e+24,1.9632685283991745e+23,0.0,830627594316.1871,1416031475014.07,196326852839.91742,0.0,447090388126.72766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513563982063.47046,1416031475014.0686,196326852839.91684,0.0,-130026775874.00969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20541003295124.5,0.0,0.0,0.0,-20.04523029923439,0.0,0.0,0.0,-447090388126.72766,0.0,0.0,0.0,1106112915374.6455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130026775874.00969,0.0,0.0,0.0,-789049303141.9736,0.0,0.0,0.0,-39140.949616782535,1.140743713500115e-17,-0.0003914094961678253,1.140743713500115e-25,8.511712710085472e+23,1.4160314750140705e+24,1.9632685283991745e+23,0.0,830627594296.1415,1416031475014.07,196326852839.91742,0.0,0.0,0.0,0.0,0.0,1106112915374.6455,0.0,0.0,0.0,513563982063.47046,1416031475014.0686,196326852839.91684,0.0,0.0,0.0,0.0,0.0,-789049303141.9736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449004382193.062,174113.965083597,16379693.129341273,2.2180426970086824e-65,0.0,0.0,0.0,0.0,1107190496724.1497,10826874.515147999,29.728980023938345,1.3792009415668827e-63,0.0,0.0,0.0,0.0,513565036667.5322,1416085781024.5906,196336853392.82993,62589837.95057228
0.16,-1,-1,1,0.0,-39127.28397258563,0.0,-0.00039127283972585625,8.502972661943733e+23,1.4160314665276674e+24,1.9632682895599265e+23,0.0,829774684263.8981,1416031466527.667,196326828955.99258,0.0,446695204440.1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513563977206.0999,1416031466527.6643,196326828955.99194,0.0,-130484497382.32823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20707413024324.504,0.0,0.0,0.0,-20.207623600959778,0.0,0.0,0.0,-446695204440.1274,0.0,0.0,0.0,1107426091898.5667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130484497382.32823,0.0,0.0,0.0,-791215384860.975,0.0,0.0,0.0,-39127.28397258385,1.266961458335477e-17,-0.0003912728397258384,1.2669614583354768e-25,8.502972661736657e+23,1.4160314665276674e+24,1.9632682895599265e+23,0.0,829774684243.6903,1416031466527.667,196326828955.99258,0.0,0.0,0.0,0.0,0.0,1107426091898.5667,0.0,0.0,0.0,513563977206.0999,1416031466527.6643,196326828955.99194,0.0,0.0,0.0,0.0,0.0,-791215384860.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448615983925.66974,174259.6838869612,16390061.521842815,2.219898992440873e-65,0.0,0.0,0.0,0.0,1108506661560.8982,10826437.361544333,30.29301255589635,1.379145252704751e-63,0.0,0.0,0.0,0.0,513565036667.5317,1416085781024.59,196336853392.8296,62589837.950572275
