sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-41630.18887139613,0.0,-0.00041630188871396125,0.0,7.841014241792137e+23,1.374165829594924e+23,1.4160241871474792e+24,0.0,1044911246016.3015,137416582959.49237,1416024187147.4788,0.0,543586589524.26166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760726480.6577,137416582959.49203,1416024187147.477,0.0,-105436069988.6192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1667703109.8664331,0.0,0.0,0.0,-0.002222418785095215,0.0,0.0,0.0,-543586589524.26166,0.0,0.0,0.0,3021231602027.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105436069988.6192,0.0,0.0,0.0,-2583081082492.1567,0.0,0.0,0.0,7.354548678631539e-18,-41630.18887139428,7.354548678631538e-26,-0.0004163018887139428,7.841014241792121e+23,1.374165829594924e+23,1.4160241871474792e+24,0.0,1044911246016.2994,137416582959.49237,1416024187147.4788,0.0,0.0,0.0,0.0,0.0,3021231602027.796,0.0,0.0,0.0,606760726480.6577,137416582959.49203,1416024187147.477,0.0,0.0,0.0,0.0,0.0,-2583081082492.1567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545142556176.4803,8780816.78214749,694593.6603824428,8.848328964789715e-65,0.0,0.0,0.0,0.0,3038995774366.9375,4905539.910909313,46326686.078687675,5.901461782519899e-63,0.0,0.0,0.0,0.0,606763264714.4031,137424337402.06769,1416085781024.6006,62589837.95057233
0.02,-1,-1,1,-41621.192553009605,0.0,-0.00041621192553009597,0.0,7.836800821910532e+23,1.3741657090670457e+23,1.4160241837140686e+24,0.0,1044349756178.0339,137416570906.70454,1416024183714.0684,0.0,543359261687.72516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760723252.3293,137416570906.70424,1416024183714.0667,0.0,-105770228762.02142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4279854770697827.0,0.0,0.0,0.0,-5703.431014552712,0.0,0.0,0.0,-543359261687.72516,0.0,0.0,0.0,3021544664253.4663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105770228762.02142,0.0,0.0,0.0,-2583955637031.193,0.0,0.0,0.0,7.354548678631539e-18,-41621.19255300761,7.354548678631538e-26,-0.00041621192553007607,7.83680077911198e+23,1.3741657090670457e+23,1.4160241837140686e+24,0.0,1044349750474.6025,137416570906.70454,1416024183714.0684,0.0,0.0,0.0,0.0,0.0,3021544664253.4663,0.0,0.0,0.0,606760723252.3293,137416570906.70424,1416024183714.0667,0.0,0.0,0.0,0.0,0.0,-2583955637031.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544920128924.1014,8841592.018358823,694593.3114688097,8.848324521147324e-65,0.0,0.0,0.0,0.0,3039314960578.37,4813315.794920614,46326691.31224832,5.901462449066256e-63,0.0,0.0,0.0,0.0,606763264714.4026,137424337402.06721,1416085781024.6008,62589837.95057232
0.04,-1,-1,1,-41612.062154773164,0.0,-0.0004161206215477316,0.0,7.832524605067868e+23,1.3741655886424124e+23,1.4160241802519978e+24,0.0,1043779897875.0751,137416558864.24121,1416024180251.9976,0.0,543132180794.5222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760719992.8754,137416558864.24083,1416024180251.9954,0.0,-106113002912.32341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9200029981450806.0,0.0,0.0,0.0,-12260.167492194101,0.0,0.0,0.0,-543132180794.5222,0.0,0.0,0.0,3021856321226.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106113002912.32341,0.0,0.0,0.0,-2584837155604.1206,0.0,0.0,0.0,7.354548678631539e-18,-41612.06215477128,7.354548678631538e-26,-0.00041612062154771273,7.832524513067568e+23,1.3741655886424124e+23,1.4160241802519978e+24,0.0,1043779885614.9077,137416558864.24121,1416024180251.9976,0.0,0.0,0.0,0.0,0.0,3021856321226.15,0.0,0.0,0.0,606760719992.8754,137416558864.24083,1416024180251.9954,0.0,0.0,0.0,0.0,0.0,-2584837155604.1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544698072060.31537,8906837.174431836,694592.9593670988,8.848320036902143e-65,0.0,0.0,0.0,0.0,3039632795501.842,4715157.269140237,46326696.59362842,5.901463121703014e-63,0.0,0.0,0.0,0.0,606763264714.4026,137424337402.0674,1416085781024.5996,62589837.95057229
0.06,-1,-1,1,-41602.79303747303,0.0,-0.00041602793037473024,0.0,7.828183402024588e+23,1.3741654683595991e+23,1.416024176760515e+24,0.0,1043201379364.423,137416546835.95987,1416024176760.5146,0.0,542905413089.9565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760716701.4822,137416546835.9595,1416024176760.5137,0.0,-106464750427.01588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-586962873019898.2,0.0,0.0,0.0,-782.1999655906111,0.0,0.0,0.0,-542905413089.9565,0.0,0.0,0.0,3022166476293.9546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106464750427.01588,0.0,0.0,0.0,-2585725814413.2134,0.0,0.0,0.0,7.354510160032651e-18,-41602.79303747112,7.35451016003265e-26,-0.0004160279303747112,7.828183396154958e+23,1.3741654683595991e+23,1.416024176760515e+24,0.0,1043201378582.2229,137416546835.95987,1416024176760.5146,0.0,0.0,0.0,0.0,0.0,3022166476293.9546,0.0,0.0,0.0,606760716701.4822,137416546835.9595,1416024176760.5137,0.0,0.0,0.0,0.0,0.0,-2585725814413.2134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544476457242.85065,8976454.974930594,694592.6039880523,8.84831551091733e-65,0.0,0.0,0.0,0.0,3039949183514.5034,4611250.534537664,46326701.924167804,5.901463800600732e-63,0.0,0.0,0.0,0.0,606763264714.4027,137424337402.06747,1416085781024.5999,62589837.95057233
0.08,-1,-1,1,-41593.37969927054,0.0,-0.0004159337969927053,0.0,7.82377466054353e+23,1.374165348247064e+23,1.4160241732384015e+24,0.0,1042613860529.1959,137416534824.70636,1416024173238.4011,0.0,542679005711.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760713376.8889,137416534824.70604,1416024173238.4001,0.0,-106825858558.94939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-566819474082819.8,0.0,0.0,0.0,-755.3564177621156,0.0,0.0,0.0,-542679005711.2548,0.0,0.0,0.0,3022475059513.5454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106825858558.94939,0.0,0.0,0.0,-2586621913116.5977,0.0,0.0,0.0,9.24777633256308e-18,-41593.37969926854,9.247776332563078e-26,-0.00041593379699268534,7.823774654875328e+23,1.374165348247064e+23,1.4160241732384015e+24,0.0,1042613859773.8386,137416534824.70636,1416024173238.4011,0.0,0.0,0.0,0.0,0.0,3022475059513.5454,0.0,0.0,0.0,606760713376.8889,137416534824.70604,1416024173238.4001,0.0,0.0,0.0,0.0,0.0,-2586621913116.5977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544255337509.92316,9050294.096981626,694592.245196898,8.848310941476508e-65,0.0,0.0,0.0,0.0,3040264056479.239,4501856.112549087,46326707.305886745,5.901464486016842e-63,0.0,0.0,0.0,0.0,606763264714.4019,137424337402.06717,1416085781024.5996,62589837.95057231
0.1,-1,-1,1,-41583.81744993177,0.0,-0.00041583817449931764,0.0,7.819296174702026e+23,1.3741652283367691e+23,1.416024169684802e+24,0.0,1042017047403.1632,137416522833.67688,1416024169684.8015,0.0,542453012426.00555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760710018.1656,137416522833.67667,1416024169684.7993,0.0,-107196675041.00824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-546622017992003.06,0.0,0.0,0.0,-728.4408321511,0.0,0.0,0.0,-542453012426.00555,0.0,0.0,0.0,3022781993738.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107196675041.00824,0.0,0.0,0.0,-2587525657082.1025,0.0,0.0,0.0,7.985598884209461e-18,-41583.817449929746,7.985598884209459e-26,-0.00041583817449929736,7.819296169235808e+23,1.3741652283367691e+23,1.416024169684802e+24,0.0,1042017046674.7228,137416522833.67688,1416024169684.8015,0.0,0.0,0.0,0.0,0.0,3022781993738.662,0.0,0.0,0.0,606760710018.1656,137416522833.67667,1416024169684.7993,0.0,0.0,0.0,0.0,0.0,-2587525657082.1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544034772002.40125,9128144.157282494,694591.8828944385,8.84830632731614e-65,0.0,0.0,0.0,0.0,3040577338324.695,4387315.499235976,46326712.74027407,5.901465178140886e-63,0.0,0.0,0.0,0.0,606763264714.4021,137424337402.06737,1416085781024.5996,62589837.9505723
0.12,-1,-1,1,-41574.10144756893,0.0,-0.00041574101447568927,0.0,7.814745676727382e+23,1.374165108655321e+23,1.4160241660987217e+24,0.0,1041410637777.8193,137416510865.53207,1416024166098.7214,0.0,542227477043.97534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760706624.2433,137416510865.5318,1416024166098.7207,0.0,-107577545890.40019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-526457327216881.1,0.0,0.0,0.0,-701.5689103389159,0.0,0.0,0.0,-542227477043.97534,0.0,0.0,0.0,3023087216508.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107577545890.40019,0.0,0.0,0.0,-2588437286056.2837,0.0,0.0,0.0,9.24777633256308e-18,-41574.10144756696,9.247776332563078e-26,-0.00041574101447566954,7.814745671462807e+23,1.374165108655321e+23,1.4160241660987217e+24,0.0,1041410637076.2504,137416510865.53207,1416024166098.7214,0.0,0.0,0.0,0.0,0.0,3023087216508.285,0.0,0.0,0.0,606760706624.2433,137416510865.5318,1416024166098.7207,0.0,0.0,0.0,0.0,0.0,-2588437286056.2837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543814809932.0404,9209740.592393868,694591.5169693499,8.848301667018492e-65,0.0,0.0,0.0,0.0,3040888967829.177,4268042.899507496,46326718.228999645,5.901465877185531e-63,0.0,0.0,0.0,0.0,606763264714.4025,137424337402.06725,1416085781024.6003,62589837.9505723
0.14,-1,-1,1,-41564.22691551559,0.0,-0.0004156422691551559,0.0,7.810120929396962e+23,1.3741649892255577e+23,1.4160241624791447e+24,0.0,1040794333515.8296,137416498922.55573,1416024162479.1443,0.0,542002436389.49316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760703194.0236,137416498922.55545,1416024162479.1426,0.0,-107968806067.68745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-506407338359761.8,0.0,0.0,0.0,-674.8498428901657,0.0,0.0,0.0,-542002436389.49316,0.0,0.0,0.0,3023390676048.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107968806067.68745,0.0,0.0,0.0,-2589357046401.5874,0.0,0.0,0.0,7.354510160032651e-18,-41564.22691551355,7.35451016003265e-26,-0.0004156422691551355,7.810120924332892e+23,1.3741649892255577e+23,1.4160241624791447e+24,0.0,1040794332840.9802,137416498922.55573,1416024162479.1443,0.0,0.0,0.0,0.0,0.0,3023390676048.547,0.0,0.0,0.0,606760703194.0236,137416498922.55545,1416024162479.1426,0.0,0.0,0.0,0.0,0.0,-2589357046401.5874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543595493412.2307,9294767.603859385,694591.1473085022,8.84829695914274e-65,0.0,0.0,0.0,0.0,3041198894436.0454,4144520.2225456387,46326723.77375967,5.901466583366873e-63,0.0,0.0,0.0,0.0,606763264714.4025,137424337402.0672,1416085781024.5996,62589837.95057231
0.16,-1,-1,1,-41554.18913769013,0.0,-0.0004155418913769013,0.0,7.805419723867273e+23,1.3741648700663041e+23,1.4160241588250309e+24,0.0,1040167840261.7269,137416487006.63037,1416024158825.0305,0.0,541777919908.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606760699726.3739,137416487006.63002,1416024158825.029,0.0,-108370779373.23315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-486469924107910.75,0.0,0.0,0.0,-648.2807948999107,0.0,0.0,0.0,-541777919908.585,0.0,0.0,0.0,3023692331686.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108370779373.23315,0.0,0.0,0.0,-2590285191799.055,0.0,0.0,0.0,7.985598884209461e-18,-41554.18913768811,7.985598884209459e-26,-0.00041554189137688106,7.805419719002573e+23,1.3741648700663041e+23,1.4160241588250309e+24,0.0,1040167839613.4459,137416487006.63037,1416024158825.0305,0.0,0.0,0.0,0.0,0.0,3023692331686.125,0.0,0.0,0.0,606760699726.3739,137416487006.63002,1416024158825.029,0.0,0.0,0.0,0.0,0.0,-2590285191799.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543376857058.30206,9382863.454653805,694590.7737967138,8.848292202222032e-65,0.0,0.0,0.0,0.0,3041507078680.293,4017288.7917752326,46326729.376282685,5.901467296904981e-63,0.0,0.0,0.0,0.0,606763264714.4032,137424337402.06761,1416085781024.601,62589837.95057231
