sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-48419.592666378885,0.0,-0.0004841959266637888,0.0,1.5651021310766465e+24,2.1405289622575635e+23,1.416026089400016e+24,0.0,1392034284463.1245,214052896225.75635,1416026089400.0159,0.0,975762707505.5286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519359618.26184,214052896225.75565,1416026089400.014,0.0,-69247782660.66632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40090956700.764984,0.0,0.0,0.0,-0.0356577280908823,0.0,0.0,0.0,-975762707505.5286,0.0,0.0,0.0,2689710454569.0845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69247782660.66632,0.0,0.0,0.0,-1783195529724.2593,0.0,0.0,0.0,1.1990223536172728e-17,-48419.59266637677,1.1990223536172727e-25,-0.0004841959266637676,1.5651021310766054e+24,2.1405289622575635e+23,1.416026089400016e+24,0.0,1392034284463.0881,214052896225.75635,1416026089400.0159,0.0,0.0,0.0,0.0,0.0,2689710454569.0845,0.0,0.0,0.0,485519359618.26184,214052896225.75565,1416026089400.014,0.0,0.0,0.0,0.0,0.0,-1783195529724.2593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980892788242.6693,7184850.370677395,3451044.5985922823,4.3962333440368385e-64,0.0,0.0,0.0,0.0,2701957344568.861,5344198.474745544,46392428.726869345,5.90984112390214e-63,0.0,0.0,0.0,0.0,485521008144.0951,214064060373.6741,1416085781024.588,62589837.950572275
0.02,-1,-1,1,-48410.638278382066,0.0,-0.0004841063827838206,0.0,1.564473799926572e+24,2.1405287323743336e+23,1.4160260808724608e+24,0.0,1391475433711.1304,214052873237.43338,1416026080872.4604,0.0,975514162449.8501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519354159.1888,214052873237.43262,1416026080872.4595,0.0,-69558082897.90797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7705396466497464e+16,0.0,0.0,0.0,-15747.546701263636,0.0,0.0,0.0,-975514162449.8501,0.0,0.0,0.0,2691034879912.1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69558082897.90797,0.0,0.0,0.0,-1785078816107.7205,0.0,0.0,0.0,1.1990223536172728e-17,-48410.63827837988,1.1990223536172727e-25,-0.0004841063827837988,1.5644737822211765e+24,2.1405287323743336e+23,1.4160260808724608e+24,0.0,1391475417963.5845,214052873237.43338,1416026080872.4604,0.0,0.0,0.0,0.0,0.0,2691034879912.1147,0.0,0.0,0.0,485519354159.1888,214052873237.43262,1416026080872.4595,0.0,0.0,0.0,0.0,0.0,-1785078816107.7205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980667265184.9716,7198482.3543364415,3451034.393883399,4.396220347547215e-64,0.0,0.0,0.0,0.0,2703294736848.359,5366180.541918863,46392459.34031009,5.909845022848967e-63,0.0,0.0,0.0,0.0,485521008144.09503,214064060373.6742,1416085781024.5874,62589837.95057228
0.04,-1,-1,1,-48401.59094167447,0.0,-0.0004840159094167446,0.0,1.5638389480062318e+24,2.1405285004853734e+23,1.4160260722893805e+24,0.0,1390910783250.8677,214052850048.53735,1416026072289.3801,0.0,975263115690.2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519348652.3746,214052850048.53656,1416026072289.3787,0.0,-69871681091.74974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.860000977654769e+16,0.0,0.0,0.0,-34331.648984851316,0.0,0.0,0.0,-975263115690.2441,0.0,0.0,0.0,2692365154502.3726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69871681091.74974,0.0,0.0,0.0,-1786973754235.528,0.0,0.0,0.0,1.1990223536172728e-17,-48401.59094167237,1.1990223536172727e-25,-0.00048401590941672364,1.563838909406223e+24,2.1405285004853734e+23,1.4160260722893805e+24,0.0,1390910748919.2195,214052850048.53735,1416026072289.3801,0.0,0.0,0.0,0.0,0.0,2692365154502.3726,0.0,0.0,0.0,485519348652.3746,214052850048.53656,1416026072289.3787,0.0,0.0,0.0,0.0,0.0,-1786973754235.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980439485168.4088,7212198.267557305,3451024.1242375397,4.3962072683543294e-64,0.0,0.0,0.0,0.0,2704638058534.281,5388364.82400032,46392490.14855707,5.909848946606776e-63,0.0,0.0,0.0,0.0,485521008144.0944,214064060373.67377,1416085781024.5874,62589837.950572275
0.06,-1,-1,1,-48392.44891168019,0.0,-0.00048392448911680185,0.0,1.5631974254244403e+24,2.140528266543896e+23,1.4160260636496825e+24,0.0,1390340199766.008,214052826654.38962,1416026063649.6821,0.0,975009507904.9165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519343096.8582,214052826654.38885,1416026063649.6794,0.0,-70188651235.76752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638230478643156.0,0.0,0.0,0.0,2346.4968858361244,0.0,0.0,0.0,-975009507904.9165,0.0,0.0,0.0,2693701431963.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70188651235.76752,0.0,0.0,0.0,-1788880572947.5312,0.0,0.0,0.0,1.0728046087819109e-17,-48392.448911678046,1.0728046087819108e-25,-0.0004839244891167804,1.5631974280626704e+24,2.140528266543896e+23,1.4160260636496825e+24,0.0,1390340202112.5046,214052826654.38962,1416026063649.6821,0.0,0.0,0.0,0.0,0.0,2693701431963.177,0.0,0.0,0.0,485519343096.8582,214052826654.38885,1416026063649.6794,0.0,0.0,0.0,0.0,0.0,-1788880572947.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980209394360.7007,7226001.626633271,3451013.788390405,4.3961941048468385e-64,0.0,0.0,0.0,0.0,2705987464835.157,5410744.404457882,46392521.15540343,5.90985289565897e-63,0.0,0.0,0.0,0.0,485521008144.0946,214064060373.67395,1416085781024.5881,62589837.95057227
0.08,-1,-1,1,-48383.20886843016,0.0,-0.00048383208868430156,0.0,1.5625490418196847e+24,2.14052803050024e+23,1.4160260549514256e+24,0.0,1389763513945.0752,214052803050.02402,1416026054951.4253,0.0,974753274824.4669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519337491.1243,214052803050.02332,1416026054951.4229,0.0,-70509098370.51561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2543308197278385.5,0.0,0.0,0.0,2262.0710407774895,0.0,0.0,0.0,-974753274824.4669,0.0,0.0,0.0,2695043873698.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70509098370.51561,0.0,0.0,0.0,-1790799694982.4697,0.0,0.0,0.0,1.0728046087819109e-17,-48383.20886842804,1.0728046087819108e-25,-0.0004838320886842803,1.562549044362991e+24,2.14052803050024e+23,1.4160260549514256e+24,0.0,1389763516207.1443,214052803050.02402,1416026054951.4253,0.0,0.0,0.0,0.0,0.0,2695043873698.4917,0.0,0.0,0.0,485519337491.1243,214052803050.02332,1416026054951.4229,0.0,0.0,0.0,0.0,0.0,-1790799694982.4697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979976936287.9679,7239894.758048455,3451003.3840145743,4.3961808540603755e-64,0.0,0.0,0.0,0.0,2707343120069.569,5433320.2679162,46392552.367831424,5.909856870894838e-63,0.0,0.0,0.0,0.0,485521008144.0946,214064060373.67395,1416085781024.5872,62589837.95057226
0.1,-1,-1,1,-48373.86863174323,0.0,-0.00048373868631743224,0.0,1.5618936274501938e+24,2.1405277923038124e+23,1.4160260461932859e+24,0.0,1389180574816.2188,214052779230.38126,1416026046193.2856,0.0,974494351897.8455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519331834.0392,214052779230.38043,1416026046193.2832,0.0,-70833108915.66628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450297348526948.0,0.0,0.0,0.0,2179.3452635146677,0.0,0.0,0.0,-974494351897.8455,0.0,0.0,0.0,2696392645125.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70833108915.66628,0.0,0.0,0.0,-1792731399964.4524,0.0,0.0,0.0,1.1990223536172728e-17,-48373.86863174124,1.1990223536172727e-25,-0.00048373868631741235,1.5618936299004906e+24,2.1405277923038124e+23,1.4160260461932859e+24,0.0,1389180576995.5635,214052779230.38126,1416026046193.2856,0.0,0.0,0.0,0.0,0.0,2696392645125.975,0.0,0.0,0.0,485519331834.0392,214052779230.38043,1416026046193.2832,0.0,0.0,0.0,0.0,0.0,-1792731399964.4524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979742052810.4562,7253881.870644798,3450992.909561786,4.396167514024474e-64,0.0,0.0,0.0,0.0,2708705191593.277,5456082.866921309,46392583.79048557,5.909860872905555e-63,0.0,0.0,0.0,0.0,485521008144.09467,214064060373.67395,1416085781024.5872,62589837.950572245
0.12,-1,-1,1,-48364.42554472752,0.0,-0.00048364425544727513,0.0,1.561230995876347e+24,2.14052755190163e+23,1.4160260373736755e+24,0.0,1388591216556.1748,214052755190.16302,1416026037373.675,0.0,974232671155.4064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519326124.289,214052755190.1623,1416026037373.672,0.0,-71160780723.52182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359118546317792.0,0.0,0.0,0.0,2098.2489464301616,0.0,0.0,0.0,-974232671155.4064,0.0,0.0,0.0,2697747919220.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71160780723.52182,0.0,0.0,0.0,-1794676026690.2249,0.0,0.0,0.0,1.1990223536172728e-17,-48364.425544725535,1.1990223536172727e-25,-0.00048364425544725523,1.5612309982354646e+24,2.14052755190163e+23,1.4160260373736755e+24,0.0,1388591218654.4229,214052755190.16302,1416026037373.675,0.0,0.0,0.0,0.0,0.0,2697747919220.354,0.0,0.0,0.0,485519326124.289,214052755190.1623,1416026037373.672,0.0,0.0,0.0,0.0,0.0,-1794676026690.2249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979504683218.2892,7267967.413449168,3450982.3631579243,4.396154082354466e-64,0.0,0.0,0.0,0.0,2710073854727.627,5479022.242883921,46392615.428987935,5.909864902406494e-63,0.0,0.0,0.0,0.0,485521008144.0944,214064060373.67377,1416085781024.5872,62589837.95057225
0.14,-1,-1,1,-48354.87681892416,0.0,-0.00048354876818924153,0.0,1.5605609514261138e+24,2.1405273092385652e+23,1.4160260284909342e+24,0.0,1387995265130.1821,214052730923.85654,1416026028490.9338,0.0,973968161745.4594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519320360.5026,214052730923.85593,1416026028490.932,0.0,-71492216975.7795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269851249433383.5,0.0,0.0,0.0,2018.852761812508,0.0,0.0,0.0,-973968161745.4594,0.0,0.0,0.0,2699109875917.9585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71492216975.7795,0.0,0.0,0.0,-1796633929129.426,0.0,0.0,0.0,1.1990223536172728e-17,-48354.87681892209,1.1990223536172727e-25,-0.00048354876818922077,1.5605609536959656e+24,2.1405273092385652e+23,1.4160260284909342e+24,0.0,1387995267149.0356,214052730923.85654,1416026028490.9338,0.0,0.0,0.0,0.0,0.0,2699109875917.9585,0.0,0.0,0.0,485519320360.5026,214052730923.85593,1416026028490.932,0.0,0.0,0.0,0.0,0.0,-1796633929129.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979264764314.4167,7282156.599555377,3450971.7428432326,4.396140556557256e-64,0.0,0.0,0.0,0.0,2711449291863.6494,5502124.994152592,46392647.289217845,5.9098689601456e-63,0.0,0.0,0.0,0.0,485521008144.09454,214064060373.67398,1416085781024.588,62589837.95057228
0.16,-1,-1,1,-48345.21952291833,0.0,-0.00048345219522918323,0.0,1.55988328839596e+24,2.1405270642572066e+23,1.4160260195433252e+24,0.0,1387392537581.2534,214052706425.72067,1416026019543.325,0.0,973700749763.7733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485519314541.24426,214052706425.7199,1416026019543.323,0.0,-71827526723.76501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182424624832537.2,0.0,0.0,0.0,1941.0937092863023,0.0,0.0,0.0,-973700749763.7733,0.0,0.0,0.0,2700478702441.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71827526723.76501,0.0,0.0,0.0,-1798605477460.0952,0.0,0.0,0.0,1.4514578432879967e-17,-48345.21952291619,1.4514578432879964e-25,-0.0004834521952291618,1.559883290578383e+24,2.1405270642572066e+23,1.4160260195433252e+24,0.0,1387392539522.3457,214052706425.72067,1416026019543.325,0.0,0.0,0.0,0.0,0.0,2700478702441.1978,0.0,0.0,0.0,485519314541.24426,214052706425.7199,1416026019543.323,0.0,0.0,0.0,0.0,0.0,-1798605477460.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979022230284.0598,7296455.576642723,3450961.046567266,4.396126934023952e-64,0.0,0.0,0.0,0.0,2712831692794.534,5525373.450477986,46392679.377326585,5.909873046905535e-63,0.0,0.0,0.0,0.0,485521008144.0946,214064060373.67404,1416085781024.588,62589837.950572245
