sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,tot:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:gother_forward_ci:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gother_forward_iv:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gother_forward_cv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gabs_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,tot:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,tot:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-47397.09977117047,0.0,-0.00047397099771170464,0.0,9.229043715759205e+23,1.1040584166702446e+23,1.4160294898588405e+24,0.0,1431859223146.9207,110405841667.02443,1416029489858.84,0.0,970470954154.3477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494315271.8484,110405841667.02422,1416029489858.8384,0.0,-188106046279.27536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413713050.4725,17537894.07282425,828501.9053558684,1.0554181183030504e-64,0.0,0.0,0.0,0.0,1743223362940.112,121525.86894641336,27589194.618253827,3.514537522975802e-63,0.0,0.0,0.0,0.0,649494863324.1135,110412675202.2464,1416085399914.0012,62589821.10579345,0.0,0.0,0.0,0.0,56043239895.974525,0.0,0.0,0.0,0.08694945263187037,0.0,0.0,0.0,-970470954154.3477,0.0,0.0,0.0,1727964304361.7078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188106046279.27536,0.0,0.0,0.0,-945599396486.5479,0.0,0.0,0.0,-1.262177448353619e-18,-47397.099771168665,-1.2621774483536189e-26,-0.0004739709977116866,9.22904371575977e+23,1.1040584166702446e+23,1.4160294898588405e+24,0.0,1431859223147.0083,110405841667.02443,1416029489858.84,0.0,0.0,0.0,0.0,0.0,1727964304361.7078,0.0,0.0,0.0,649494315271.8484,110405841667.02422,1416029489858.8384,0.0,0.0,0.0,0.0,0.0,-945599396486.5479,0.0,0.0,0.0
0.02,-1,-1,1,-47384.754660141254,0.0,-0.00047384754660141247,0.0,9.224077345472951e+23,1.104058415195375e+23,1.4160294870999943e+24,0.0,1431088705277.5781,110405841519.53748,1416029487099.994,0.0,970462944179.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494313769.6924,110405841519.53728,1416029487099.992,0.0,-188868552671.47467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413652681.8885,17537904.560495142,828499.6088126785,1.0554151933009126e-64,0.0,0.0,0.0,0.0,1743223377573.941,121523.6077086802,27589206.100628965,3.514538985476936e-63,0.0,0.0,0.0,0.0,649494863324.1144,110412675202.24658,1416085399914.0015,62589821.105793476,0.0,0.0,0.0,0.0,-1351116966461018.2,0.0,0.0,0.0,-2096.2185786096384,0.0,0.0,0.0,-970462944179.3589,0.0,0.0,0.0,1727952060568.4783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188868552671.47467,0.0,0.0,0.0,-946357671156.8103,0.0,0.0,0.0,-1.262177448353619e-18,-47384.75466013958,-1.2621774483536189e-26,-0.0004738475466013957,9.224077331961787e+23,1.104058415195375e+23,1.4160294870999943e+24,0.0,1431088703181.3604,110405841519.53748,1416029487099.994,0.0,0.0,0.0,0.0,0.0,1727952060568.4783,0.0,0.0,0.0,649494313769.6924,110405841519.53728,1416029487099.992,0.0,0.0,0.0,0.0,0.0,-946357671156.8103,0.0,0.0,0.0
0.04,-1,-1,1,-47372.28742168108,0.0,-0.00047372287421681075,0.0,9.21906184940787e+23,1.1040584137093928e+23,1.4160294843141382e+24,0.0,1430310565686.8877,110405841370.93925,1416029484314.1377,0.0,970454855248.3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494312248.6553,110405841370.93912,1416029484314.1343,0.0,-189638601810.14227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413591995.195,17537915.11922276,828497.2901600118,1.0554122401418408e-64,0.0,0.0,0.0,0.0,1743223392284.812,121521.33077121896,27589217.693547934,3.514540462056541e-63,0.0,0.0,0.0,0.0,649494863324.1149,110412675202.24658,1416085399914.0017,62589821.10579345,0.0,0.0,0.0,0.0,-4901483069503327.0,0.0,0.0,0.0,-7604.508068569138,0.0,0.0,0.0,-970454855248.3749,0.0,0.0,0.0,1727939695542.9607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189638601810.14227,0.0,0.0,0.0,-947123449709.2357,0.0,0.0,0.0,-1.262177448353619e-18,-47372.28742167972,-1.2621774483536189e-26,-0.00047372287421679714,9.219061800393051e+23,1.1040584137093928e+23,1.4160294843141382e+24,0.0,1430310558082.3816,110405841370.93925,1416029484314.1377,0.0,0.0,0.0,0.0,0.0,1727939695542.9607,0.0,0.0,0.0,649494312248.6553,110405841370.93912,1416029484314.1343,0.0,0.0,0.0,0.0,0.0,-947123449709.2357,0.0,0.0,0.0
0.06,-1,-1,1,-47359.694302362244,0.0,-0.0004735969430236224,0.0,9.213995698642994e+23,1.1040584122119831e+23,1.4160294815004909e+24,0.0,1429524567167.2195,110405841221.19829,1416029481500.4905,0.0,970446684788.1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494310708.168,110405841221.1982,1416029481500.488,0.0,-190416428329.10132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413530863.3485,17537925.75324758,828494.9487470946,1.0554092579969901e-64,0.0,0.0,0.0,0.0,1743223407103.5505,121519.03767966176,27589229.400264695,3.5145419531290245e-63,0.0,0.0,0.0,0.0,649494863324.1134,110412675202.24641,1416085399914.0007,62589821.10579343,0.0,0.0,0.0,0.0,-3015976851908019.5,0.0,0.0,0.0,-4679.20014814543,0.0,0.0,0.0,-970446684788.1504,0.0,0.0,0.0,1727927205730.2163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190416428329.10132,0.0,0.0,0.0,-947896953950.3663,0.0,0.0,0.0,-1.262177448353619e-18,-47359.69430236081,-1.2621774483536189e-26,-0.00047359694302360805,9.213995668483219e+23,1.1040584122119831e+23,1.4160294815004909e+24,0.0,1429524562488.0183,110405841221.19829,1416029481500.4905,0.0,0.0,0.0,0.0,0.0,1727927205730.2163,0.0,0.0,0.0,649494310708.168,110405841221.1982,1416029481500.488,0.0,0.0,0.0,0.0,0.0,-947896953950.3663,0.0,0.0,0.0
0.08,-1,-1,1,-47346.97111577909,0.0,-0.00047346971115779077,0.0,9.20887722732423e+23,1.1040584107028338e+23,1.4160294786580887e+24,0.0,1428730451266.1677,110405841070.28336,1416029478658.0884,0.0,970438430240.1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494309147.5514,110405841070.28316,1416029478658.086,0.0,-191202288121.49765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413469395.6276,17537936.462585025,828492.5837871082,1.0554062458642769e-64,0.0,0.0,0.0,0.0,1743223422003.6545,121516.72794118967,27589241.224713504,3.5145434591954484e-63,0.0,0.0,0.0,0.0,649494863324.1145,110412675202.2467,1416085399914.0015,62589821.10579346,0.0,0.0,0.0,0.0,-5937198455702153.0,0.0,0.0,0.0,-9211.390291644586,0.0,0.0,0.0,-970438430240.1129,0.0,0.0,0.0,1727914586739.6362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191202288121.49765,0.0,0.0,0.0,-948678453832.4102,0.0,0.0,0.0,-6.310887241768095e-19,-47346.9711157772,-6.3108872417680944e-27,-0.00047346971115777196,9.208877167952248e+23,1.1040584107028338e+23,1.4160294786580887e+24,0.0,1428730442054.7778,110405841070.28336,1416029478658.0884,0.0,0.0,0.0,0.0,0.0,1727914586739.6362,0.0,0.0,0.0,649494309147.5514,110405841070.28316,1416029478658.086,0.0,0.0,0.0,0.0,0.0,-948678453832.4102,0.0,0.0,0.0
0.1,-1,-1,1,-47334.11419329269,0.0,-0.00047334114193292684,0.0,9.203704965939288e+23,1.1040584091816896e+23,1.4160294757861536e+24,0.0,1427927989993.1858,110405840918.16893,1416029475786.1533,0.0,970430089236.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494307566.2084,110405840918.16878,1416029475786.1504,0.0,-191996406809.9598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413407576.9656,17537947.25031794,828490.1946634066,1.0554032029583773e-64,0.0,0.0,0.0,0.0,1743223436988.7615,121514.40087769792,27589253.169977218,3.5145449806484615e-63,0.0,0.0,0.0,0.0,649494863324.1139,110412675202.2465,1416085399914.001,62589821.10579343,0.0,0.0,0.0,0.0,-7714811705565995.0,0.0,0.0,0.0,-11969.305418495116,0.0,0.0,0.0,-970430089236.937,0.0,0.0,0.0,1727901835094.5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191996406809.9598,0.0,0.0,0.0,-949468164636.898,0.0,0.0,0.0,-1.8932661725304287e-18,-47334.114193291025,-1.8932661725304283e-26,-0.00047334114193291015,9.203704888791173e+23,1.1040584091816896e+23,1.4160294757861536e+24,0.0,1427927978023.8806,110405840918.16893,1416029475786.1533,0.0,0.0,0.0,0.0,0.0,1727901835094.5713,0.0,0.0,0.0,649494307566.2084,110405840918.16878,1416029475786.1504,0.0,0.0,0.0,0.0,0.0,-949468164636.898,0.0,0.0,0.0
0.12,-1,-1,1,-47321.11859447142,0.0,-0.0004732111859447142,0.0,9.198476903859956e+23,1.1040584076481207e+23,1.41602947288362e+24,0.0,1427116871405.1685,110405840764.81204,1416029472883.6196,0.0,970421658446.3246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494305963.4005,110405840764.81187,1416029472883.618,0.0,-192799093004.55777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413345292.5143,17537958.120157287,828487.7804705196,1.0554001281260071e-64,0.0,0.0,0.0,0.0,1743223452086.746,121512.05610944513,27589265.240583174,3.514546518064715e-63,0.0,0.0,0.0,0.0,649494863324.1154,110412675202.24696,1416085399914.0015,62589821.10579343,0.0,0.0,0.0,0.0,-7489980156383962.0,0.0,0.0,0.0,-11620.485825408789,0.0,0.0,0.0,-970421658446.3246,0.0,0.0,0.0,1727888945880.9543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192799093004.55777,0.0,0.0,0.0,-950266392059.6705,0.0,0.0,0.0,-1.262177448353619e-18,-47321.118594469604,-1.2621774483536189e-26,-0.000473211185944696,9.198476828960164e+23,1.1040584076481207e+23,1.41602947288362e+24,0.0,1427116859784.684,110405840764.81204,1416029472883.6196,0.0,0.0,0.0,0.0,0.0,1727888945880.9543,0.0,0.0,0.0,649494305963.4005,110405840764.81187,1416029472883.618,0.0,0.0,0.0,0.0,0.0,-950266392059.6705,0.0,0.0,0.0
0.14,-1,-1,1,-47307.979788071505,0.0,-0.000473079797880715,0.0,9.193191230119998e+23,1.1040584061017895e+23,1.4160294699494847e+24,0.0,1426296814535.9849,110405840610.17892,1416029469949.4844,0.0,970413135012.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494304338.3918,110405840610.17877,1416029469949.4824,0.0,-193610624814.74146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413282585.8016,17537969.07397863,828485.3403993372,1.0553970203367051e-64,0.0,0.0,0.0,0.0,1743223467287.021,121509.69298825199,27589277.44057669,3.514548071959434e-63,0.0,0.0,0.0,0.0,649494863324.1149,110412675202.24675,1416085399914.001,62589821.10579345,0.0,0.0,0.0,0.0,-7267107554284918.0,0.0,0.0,0.0,-11274.705481604211,0.0,0.0,0.0,-970413135012.3352,0.0,0.0,0.0,1727875914569.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193610624814.74146,0.0,0.0,0.0,-951073415646.1162,0.0,0.0,0.0,-1.262177448353619e-18,-47307.979788069904,-1.2621774483536189e-26,-0.00047307979788069896,9.193191157448928e+23,1.1040584061017895e+23,1.4160294699494847e+24,0.0,1426296803261.2803,110405840610.17892,1416029469949.4844,0.0,0.0,0.0,0.0,0.0,1727875914569.004,0.0,0.0,0.0,649494304338.3918,110405840610.17877,1416029469949.4824,0.0,0.0,0.0,0.0,0.0,-951073415646.1162,0.0,0.0,0.0
0.16,-1,-1,1,-47294.69280498371,0.0,-0.00047294692804983703,0.0,9.187845945672218e+23,1.1040584045423171e+23,1.4160294669826658e+24,0.0,1425467509239.291,110405840454.23169,1416029466982.6653,0.0,970404515719.1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649494302690.3967,110405840454.23157,1416029466982.6628,0.0,-194431309170.2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972413219440.9338,17537980.114611562,828482.8735605109,1.0553938784577885e-64,0.0,0.0,0.0,0.0,1743223482593.4717,121507.31090226615,27589289.774404682,3.514549642898959e-63,0.0,0.0,0.0,0.0,649494863324.1134,110412675202.24641,1416085399914.001,62589821.10579344,0.0,0.0,0.0,0.0,-7046177343304072.0,0.0,0.0,0.0,-10931.938700984734,0.0,0.0,0.0,-970404515719.1373,0.0,0.0,0.0,1727862736228.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194431309170.2452,0.0,0.0,0.0,-951889540611.4874,0.0,0.0,0.0,-1.262177448353619e-18,-47294.692804982056,-1.2621774483536189e-26,-0.0004729469280498205,9.187845875210441e+23,1.1040584045423171e+23,1.4160294669826658e+24,0.0,1425467498307.3518,110405840454.23169,1416029466982.6653,0.0,0.0,0.0,0.0,0.0,1727862736228.442,0.0,0.0,0.0,649494302690.3967,110405840454.23157,1416029466982.6628,0.0,0.0,0.0,0.0,0.0,-951889540611.4874,0.0,0.0,0.0
